,ts,open,high,low,close,volume
0,1504238400000,2e-05,2.3e-05,1.68e-05,1.801e-05,6127674.0
1,1504242000000,1.802e-05,1.86e-05,1.6e-05,1.789e-05,1104211.0
2,1504245600000,1.725e-05,1.728e-05,1.566e-05,1.568e-05,1035496.0
3,1504249200000,1.58e-05,1.63e-05,1.578e-05,1.61e-05,103535.0
4,1504252800000,1.61e-05,1.61e-05,1.543e-05,1.554e-05,316099.0
5,1504256400000,1.6e-05,1.64e-05,1.555e-05,1.6e-05,342560.0
6,1504260000000,1.58e-05,1.623e-05,1.551e-05,1.604e-05,208699.0
7,1504263600000,1.557e-05,1.58e-05,1.501e-05,1.56e-05,400176.0
8,1504267200000,1.56e-05,1.598e-05,1.423e-05,1.497e-05,410715.0
9,1504270800000,1.496e-05,1.555e-05,1.438e-05,1.555e-05,184691.0
10,1504274400000,1.555e-05,1.56e-05,1.473e-05,1.56e-05,165643.0
11,1504278000000,1.56e-05,1.621e-05,1.503e-05,1.615e-05,242251.0
12,1504281600000,1.615e-05,1.65e-05,1.585e-05,1.65e-05,140142.0
13,1504285200000,1.65e-05,1.65e-05,1.562e-05,1.565e-05,67431.0
14,1504288800000,1.565e-05,1.644e-05,1.565e-05,1.575e-05,33471.0
15,1504292400000,1.576e-05,1.85e-05,1.576e-05,1.625e-05,369155.0
16,1504296000000,1.628e-05,1.85e-05,1.626e-05,1.849e-05,198535.0
17,1504299600000,1.849e-05,1.849e-05,1.657e-05,1.8e-05,226522.0
18,1504303200000,1.7e-05,1.701e-05,1.595e-05,1.599e-05,67614.0
19,1504306800000,1.697e-05,1.697e-05,1.571e-05,1.576e-05,85693.0
20,1504310400000,1.603e-05,1.788e-05,1.575e-05,1.633e-05,419182.0
21,1504314000000,1.65e-05,1.65e-05,1.453e-05,1.453e-05,401103.0
22,1504317600000,1.453e-05,1.549e-05,1.401e-05,1.5e-05,465806.0
23,1504321200000,1.421e-05,1.547e-05,1.421e-05,1.466e-05,295520.0
24,1504324800000,1.466e-05,1.499e-05,1.451e-05,1.455e-05,225296.0
25,1504328400000,1.455e-05,1.465e-05,1.4e-05,1.4e-05,664316.0
26,1504332000000,1.389e-05,1.458e-05,1.321e-05,1.41e-05,110751.0
27,1504335600000,1.409e-05,1.429e-05,1.35e-05,1.35e-05,217298.0
28,1504339200000,1.365e-05,1.45e-05,1.35e-05,1.352e-05,112072.0
29,1504342800000,1.352e-05,1.48e-05,1.352e-05,1.48e-05,179162.0
30,1504346400000,1.42e-05,1.44e-05,1.35e-05,1.35e-05,287664.0
31,1504350000000,1.327e-05,1.485e-05,1.205e-05,1.303e-05,789792.0
32,1504353600000,1.268e-05,1.29e-05,1.1e-05,1.265e-05,633534.0
33,1504357200000,1.248e-05,1.399e-05,1.136e-05,1.35e-05,284892.0
34,1504360800000,1.349e-05,1.389e-05,1.15e-05,1.298e-05,396181.0
35,1504364400000,1.297e-05,1.3e-05,1.11e-05,1.25e-05,617673.0
36,1504368000000,1.25e-05,1.295e-05,1.131e-05,1.255e-05,193351.0
37,1504371600000,1.28e-05,1.32e-05,1.232e-05,1.28e-05,319614.0
38,1504375200000,1.32e-05,1.32e-05,1.285e-05,1.3e-05,34130.0
39,1504378800000,1.313e-05,1.313e-05,1.252e-05,1.252e-05,38069.0
40,1504382400000,1.313e-05,1.313e-05,1.312e-05,1.312e-05,90741.0
41,1504386000000,1.29e-05,1.3e-05,1.254e-05,1.299e-05,46080.0
42,1504389600000,1.299e-05,1.34e-05,1.16e-05,1.165e-05,349176.0
43,1504393200000,1.18e-05,1.488e-05,1.18e-05,1.488e-05,733078.0
44,1504396800000,1.45e-05,1.487e-05,1.313e-05,1.36e-05,354697.0
45,1504400400000,1.475e-05,1.486e-05,1.36e-05,1.478e-05,381198.0
46,1504404000000,1.478e-05,1.488e-05,1.308e-05,1.401e-05,594847.0
47,1504407600000,1.402e-05,1.49e-05,1.365e-05,1.4e-05,523733.0
48,1504411200000,1.4e-05,1.446e-05,1.35e-05,1.419e-05,646702.0
49,1504414800000,1.408e-05,1.541e-05,1.365e-05,1.541e-05,1514415.0
50,1504418400000,1.535e-05,1.779e-05,1.511e-05,1.779e-05,3528463.0
51,1504422000000,1.779e-05,1.85e-05,1.68e-05,1.75e-05,4232295.0
52,1504425600000,1.755e-05,3e-05,1.75e-05,2.23e-05,10314093.0
53,1504429200000,2.22e-05,2.3e-05,1.728e-05,1.75e-05,4974010.0
54,1504432800000,1.79e-05,2.1e-05,1.75e-05,1.93e-05,3127233.0
55,1504436400000,1.939e-05,1.997e-05,1.65e-05,1.66e-05,3046572.0
56,1504440000000,1.7e-05,1.85e-05,1.65e-05,1.822e-05,2317649.0
57,1504443600000,1.85e-05,1.879e-05,1.501e-05,1.6e-05,2182992.0
58,1504447200000,1.6e-05,1.889e-05,1.55e-05,1.65e-05,3148729.0
59,1504450800000,1.63e-05,1.889e-05,1.6e-05,1.715e-05,2258647.0
60,1504454400000,1.715e-05,1.89e-05,1.714e-05,1.82e-05,1708915.0
61,1504458000000,1.82e-05,1.96e-05,1.819e-05,1.96e-05,2025400.0
62,1504461600000,1.97e-05,2.18e-05,1.911e-05,2.143e-05,4554969.0
63,1504465200000,2.14e-05,2.17e-05,1.95e-05,2.118e-05,2688851.0
64,1504468800000,2.118e-05,2.118e-05,1.923e-05,2.1e-05,1445214.0
65,1504472400000,2.099e-05,2.143e-05,2e-05,2.012e-05,1518654.0
66,1504476000000,2.01e-05,2.039e-05,1.905e-05,1.947e-05,1687293.0
67,1504479600000,1.947e-05,1.955e-05,1.713e-05,1.85e-05,1609296.0
68,1504483200000,1.859e-05,1.86e-05,1.755e-05,1.818e-05,1082170.0
69,1504486800000,1.818e-05,1.95e-05,1.8e-05,1.899e-05,1342483.0
