,ts,open,high,low,close,volume
0,1511341200000,5.2,6.4,5.2,6.2,109.7
1,1511344800000,6.49,6.79,6.49,6.79,255.0
2,1511348400000,7.0016,7.0016,7.0016,7.0016,11.0
3,1511352000000,7.0016,7.0016,7.0016,7.0016,0.0
4,1511355600000,7.0016,7.0016,7.0016,7.0016,0.93
5,1511359200000,6.8772,6.8772,6.8772,6.8772,2.5
6,1511362800000,6.8772,6.8772,6.8772,6.8772,0.0
7,1511366400000,6.6685,6.6685,6.6685,6.6685,20.71
8,1511370000000,6.6685,6.6685,6.6685,6.6685,0.0
9,1511373600000,6.6685,6.8499,5.8926,5.8926,251.87
10,1511377200000,5.8926,5.8926,5.5,5.5001,171.28
11,1511380800000,5.2001,5.8533,5.2,5.8533,149.4
12,1511384400000,5.7013,5.7013,5.2,5.2,1387.35
13,1511388000000,5.2079,5.2079,5.2079,5.2079,2.0
14,1511391600000,5.5892,5.6013,5.5892,5.6013,268.35
15,1511395200000,5.6013,5.6014,5.6013,5.6013,503.92
16,1511398800000,5.6013,5.6013,5.56,5.56,9.08
17,1511402400000,5.208,5.5088,5.2079,5.2079,565.81
18,1511406000000,4.8187,4.8187,4.8187,4.8187,9.0
19,1511409600000,4.8187,4.8187,4.8187,4.8187,0.0
20,1511413200000,5.01,5.01,4.8187,4.8187,4175.09
21,1511416800000,5.3207,5.3207,5.2708,5.2709,5.49
22,1511420400000,5.1968,5.1968,5.1968,5.1968,1.0
23,1511424000000,5.16,5.1968,5.16,5.1968,123.16
24,1511427600000,5.1968,5.1968,5.1968,5.1968,0.0
25,1511431200000,5.0872,5.1403,5.0872,5.1403,9.0
26,1511434800000,5.1403,5.2202,5.1403,5.2202,341.37
27,1511438400000,5.2202,5.2202,5.2098,5.2202,41.39
28,1511442000000,5.2201,5.25,5.2201,5.245,1887.23
29,1511445600000,5.2449,5.245,5.2449,5.245,131.2
30,1511449200000,5.3301,5.3335,5.3301,5.3335,183.13
31,1511452800000,5.2202,5.2202,5.2202,5.2202,30.01
32,1511456400000,5.2202,5.2202,5.2202,5.2202,3.06
33,1511460000000,5.0412,5.0412,4.81,4.81,377.79
34,1511463600000,4.7003,5.102,4.7,4.8,836.61
35,1511467200000,4.8,5.0421,4.8,4.9,171.15
36,1511470800000,4.8001,4.8001,4.8,4.8,394.97
37,1511474400000,4.9,4.9,4.899,4.9,48.6
38,1511478000000,4.8001,4.8002,4.7972,4.7972,968.07
39,1511481600000,4.64,5.041,4.64,5.041,143.49
40,1511485200000,5.041,5.041,5.041,5.041,0.0
41,1511488800000,4.9252,4.9252,4.9252,4.9252,1.54
42,1511492400000,4.4167,5.0283,4.4167,5.0283,95.57
43,1511496000000,5.0283,5.0283,5.0283,5.0283,0.0
44,1511499600000,5.0283,5.0283,5.0283,5.0283,0.0
45,1511503200000,5.0283,5.0283,5.0283,5.0283,0.0
46,1511506800000,5.0283,5.0283,5.0283,5.0283,0.0
47,1511510400000,5.0282,5.0282,4.9308,4.9406,37.31
48,1511514000000,4.9406,4.9406,4.5308,4.5308,149.04
49,1511517600000,4.5504,4.5504,4.3234,4.3406,74.43
50,1511521200000,4.3406,4.3755,4.21,4.3317,15.72
51,1511524800000,4.3185,4.6834,4.3185,4.5307,17.92
52,1511528400000,4.5128,4.5128,4.4372,4.4549,2.4
53,1511532000000,4.4549,4.4549,4.4549,4.4549,0.0
54,1511535600000,4.4681,4.4681,4.4681,4.4681,0.3
55,1511539200000,4.4801,4.5027,4.4681,4.4681,10.04
56,1511542800000,4.4681,4.5162,4.4681,4.5162,4.56
57,1511546400000,4.4989,4.4989,4.4945,4.4945,8.34
58,1511550000000,4.4901,4.6599,4.47,4.6599,19.83
59,1511553600000,4.6458,4.7803,4.6458,4.7803,10.85
60,1511557200000,4.7803,4.7803,4.7803,4.7803,79.14
61,1511560800000,4.7803,4.7803,4.7803,4.7803,0.0
62,1511564400000,4.6409,4.6961,4.636,4.636,57.54
63,1511568000000,4.6314,4.6314,4.5415,4.5415,56.0
64,1511571600000,4.566,4.8519,4.566,4.8304,25.8
65,1511575200000,4.8208,4.8422,4.5235,4.5326,56.57
66,1511578800000,4.4877,4.4904,4.3414,4.4645,76.75
67,1511582400000,4.4106,4.5326,4.3753,4.5035,20.05
68,1511586000000,4.4946,4.5053,4.4946,4.505,13.22
69,1511589600000,4.4901,4.4901,4.3199,4.3199,69.71
70,1511593200000,4.3372,4.3533,4.2817,4.286,44.84
71,1511596800000,4.3009,4.5144,4.286,4.4918,122.58
72,1511600400000,4.4962,4.6229,4.4962,4.5813,9.1
73,1511604000000,4.595,4.7456,4.595,4.6042,10.2
74,1511607600000,4.5995,4.618,4.5224,4.5224,23.96
75,1511611200000,4.5441,4.5901,4.5441,4.5901,2.4
76,1511614800000,4.5494,4.5494,4.5044,4.5044,19.16
77,1511618400000,4.4909,4.4909,4.4553,4.4553,3.0
78,1511622000000,4.45,4.535,4.4332,4.44,8.03
79,1511625600000,4.4625,4.5534,4.4625,4.5165,3.9
80,1511629200000,4.5166,4.5441,4.4798,4.4798,1.4
81,1511632800000,4.4798,4.5625,4.3895,4.3895,33.02
82,1511636400000,4.4267,4.5168,4.3245,4.3443,6.2
83,1511640000000,4.346,4.5864,4.2945,4.5864,12.88
84,1511643600000,4.2861,4.2861,4.2733,4.2733,31.02
85,1511647200000,4.3181,4.4029,4.254,4.293,31.65
86,1511650800000,4.293,4.3151,4.231,4.231,22.38
87,1511654400000,4.21,4.3588,4.2,4.3059,428.81
88,1511658000000,4.2845,4.2845,4.2421,4.2719,2.7
89,1511661600000,4.2421,4.2421,4.062,4.1032,716.09
90,1511665200000,4.1032,4.1239,4.0669,4.0669,1.5
91,1511668800000,4.1032,4.4271,4.1032,4.1692,127.07
92,1511672400000,4.1485,4.1485,4.0467,4.0467,62.52
93,1511676000000,4.0266,4.0266,4.0266,4.0266,0.6
94,1511679600000,4.0619,4.2075,4.0007,4.2075,11.5
95,1511683200000,4.1863,4.2076,4.1656,4.2076,18.51
96,1511686800000,4.1505,4.1654,4.066,4.0809,42.52
97,1511690400000,4.0809,4.0809,4.0809,4.0809,0.0
98,1511694000000,4.08,4.08,4.08,4.08,2.0
99,1511697600000,4.08,4.08,4.08,4.08,0.99
100,1511701200000,4.1029,4.1029,4.1029,4.1029,0.3
101,1511704800000,4.1236,4.1446,4.1236,4.1446,1.2
102,1511708400000,4.1446,4.1446,4.1446,4.1446,0.6
103,1511712000000,4.1209,4.1238,3.8908,4.0821,66.23
104,1511715600000,4.0618,4.0618,3.9887,3.9887,2.26
105,1511719200000,3.969,3.969,3.969,3.969,33.22
106,1511722800000,4.0003,4.1443,4.0003,4.1443,41.69
107,1511726400000,4.1441,4.1442,4.1441,4.1442,10.01
108,1511730000000,4.1442,4.1442,4.1442,4.1442,4.9
109,1511733600000,4.1442,4.1442,4.1442,4.1442,0.0
110,1511737200000,4.1442,4.1442,4.1442,4.1442,0.0
111,1511740800000,4.0523,4.0523,3.9493,3.9493,5.39
112,1511744400000,3.969,4.0323,3.9493,4.0242,7.05
113,1511748000000,3.9999,4.1655,3.9999,4.1655,17.29
114,1511751600000,4.1446,4.2416,4.1446,4.2416,6.13
115,1511755200000,4.2204,4.315,4.2013,4.315,166.6
116,1511758800000,4.2687,4.3586,4.1022,4.3586,19.71
117,1511762400000,4.3673,4.3673,4.3194,4.3499,17.13
118,1511766000000,4.3498,4.3542,4.1932,4.2141,118.49
119,1511769600000,4.2141,4.2798,4.1724,4.2392,40.2
120,1511773200000,4.2455,4.2713,4.2455,4.2713,1.0
121,1511776800000,4.2627,4.2713,4.256,4.2713,1.7
122,1511780400000,4.2799,4.3234,4.2799,4.3028,950.51
123,1511784000000,4.3114,4.6,4.2937,4.2943,769.78
124,1511787600000,4.5989,4.5989,4.2308,4.2817,3.7
125,1511791200000,4.4747,4.4748,4.214,4.214,70.61
126,1511794800000,4.214,4.223,4.1229,4.1271,31.73
127,1511798400000,4.1271,4.2785,4.1271,4.2785,27.83
128,1511802000000,4.2785,4.2785,4.0931,4.0931,26.14
129,1511805600000,4.0995,4.0995,4.0995,4.0995,16.82
130,1511809200000,4.1507,4.2355,4.1507,4.1881,40.47
131,1511812800000,4.1881,4.2347,4.0933,4.2347,26.53
132,1511816400000,4.2346,4.2354,4.1343,4.1343,10.6
133,1511820000000,4.0933,4.0933,4.0933,4.0933,6.0
134,1511823600000,4.134,4.134,4.0366,4.0567,5.85
135,1511827200000,4.1091,4.1093,4.1091,4.1093,3.2
136,1511830800000,4.1508,4.1931,4.1508,4.1931,112.3
137,1511834400000,4.2354,4.2785,4.2354,4.2785,12.24
138,1511838000000,4.23,4.4423,4.23,4.4423,49.61
139,1511841600000,4.4422,4.4423,4.307,4.4418,313.1
140,1511845200000,4.3501,4.452,4.3083,4.452,31.6
141,1511848800000,4.452,4.4767,4.4519,4.4767,80.98
142,1511852400000,4.45,4.45,4.4319,4.45,16.0
143,1511856000000,4.3489,4.3489,4.2633,4.2633,43.38
144,1511859600000,4.3059,4.306,4.3059,4.306,16.85
145,1511863200000,4.3059,4.3059,4.112,4.2307,113.42
146,1511866800000,4.2307,4.2307,4.2307,4.2307,123.64
147,1511870400000,4.2307,4.2307,4.2307,4.2307,0.0
148,1511874000000,4.2307,4.2308,4.2307,4.2308,31.22
149,1511877600000,4.2308,4.2308,4.1381,4.1381,46.02
150,1511881200000,4.13,4.13,4.13,4.13,8.6
151,1511884800000,4.1381,4.1883,4.1381,4.1883,4.63
152,1511888400000,4.1883,4.1883,4.1883,4.1883,0.0
153,1511892000000,4.1882,4.4689,4.1882,4.4689,22.81
154,1511895600000,4.2211,4.2211,4.111,4.1787,12.9
155,1511899200000,4.1381,4.2211,4.1381,4.2211,1.01
156,1511902800000,4.1794,4.2436,4.1794,4.2436,356.38
