,ts,open,high,low,close,volume
0,1511341200000,0.012,0.012,0.00119,0.00121,7306.89
1,1511344800000,0.0012099,0.0013491,0.0012018,0.001278,23013.51
2,1511348400000,0.001278,0.0012849,0.0012401,0.0012783,80289.22
3,1511352000000,0.0012848,0.0012943,0.0012626,0.0012755,87748.81
4,1511355600000,0.0012755,0.0013249,0.0012755,0.0013049,82267.48
5,1511359200000,0.0012924,0.0013049,0.0012405,0.0012775,60708.11
6,1511362800000,0.001265,0.001288,0.0012021,0.0012021,74603.9
7,1511366400000,0.0012022,0.0012448,0.0012022,0.0012309,84650.54
8,1511370000000,0.0012308,0.001287,0.0012101,0.00123,30349.38
9,1511373600000,0.0012799,0.00133,0.001101,0.0011603,21892.45
10,1511377200000,0.0011604,0.0012711,0.001,0.001051,17510.94
11,1511380800000,0.0010849,0.001145,0.00099,0.001055,12372.28
12,1511384400000,0.001055,0.001055,0.000975,0.0010094,25108.68
13,1511388000000,0.0010094,0.00108,0.0009901,0.0010421,23539.32
14,1511391600000,0.0010441,0.0010958,0.0010421,0.0010451,25179.98
15,1511395200000,0.0010451,0.0010964,0.0010451,0.0010866,24909.09
16,1511398800000,0.0010673,0.0010859,0.000975,0.00102,22267.52
17,1511402400000,0.00102,0.00108,0.0009933,0.001015,12829.21
18,1511406000000,0.0010082,0.0010293,0.0009633,0.0009876,30694.28
19,1511409600000,0.0009876,0.0010199,0.000943,0.0010013,19872.83
20,1511413200000,0.00102,0.0010259,0.00094,0.0010101,29164.55
21,1511416800000,0.00101,0.0010191,0.000998,0.000998,18561.01
22,1511420400000,0.000999,0.0010078,0.00097,0.0009908,13660.57
23,1511424000000,0.0009907,0.001005,0.0009805,0.0010006,15045.94
24,1511427600000,0.0009999,0.0010021,0.0009772,0.000981,16121.63
25,1511431200000,0.0009817,0.0010018,0.0009769,0.000995,13948.1
26,1511434800000,0.0009979,0.001001,0.0009779,0.0010002,30418.02
27,1511438400000,0.0010004,0.0010012,0.000985,0.0010012,34751.47
28,1511442000000,0.0010048,0.001008,0.0010003,0.0010049,31580.24
29,1511445600000,0.001005,0.0010191,0.0009999,0.0010172,23260.66
30,1511449200000,0.0010116,0.0010172,0.0010017,0.0010017,25378.82
31,1511452800000,0.0010017,0.001006,0.0009913,0.0009932,22725.69
32,1511456400000,0.0009989,0.001,0.00095,0.0009633,20856.7
33,1511460000000,0.0009632,0.0009668,0.0009193,0.0009193,15080.96
34,1511463600000,0.0009199,0.0009313,0.0008559,0.0009086,23417.31
35,1511467200000,0.0009086,0.00093,0.0009002,0.0009136,18885.76
36,1511470800000,0.0009184,0.0009349,0.0008881,0.0009349,22237.09
37,1511474400000,0.0009349,0.000973,0.000915,0.000973,16325.55
38,1511478000000,0.0009553,0.0009663,0.000917,0.000917,16001.9
39,1511481600000,0.0009151,0.0009543,0.0009151,0.0009289,21051.25
40,1511485200000,0.0009289,0.000938,0.0009096,0.0009318,14689.27
41,1511488800000,0.000932,0.0009372,0.000932,0.0009363,24732.91
42,1511492400000,0.0009325,0.0009368,0.000921,0.0009364,20651.86
43,1511496000000,0.0009364,0.0009364,0.0009191,0.0009346,18339.86
44,1511499600000,0.0009346,0.0009351,0.00092,0.0009345,25049.61
45,1511503200000,0.0009321,0.0009348,0.0009243,0.0009308,10284.52
46,1511506800000,0.0009292,0.0009359,0.0009292,0.0009336,24432.44
47,1511510400000,0.0009359,0.000954,0.0009199,0.0009348,17935.85
48,1511514000000,0.0009348,0.000954,0.0009198,0.000954,15112.13
49,1511517600000,0.0009568,0.0009754,0.0009568,0.0009591,30343.84
50,1511521200000,0.0009592,0.0009592,0.000924,0.0009334,11740.1
51,1511524800000,0.0009334,0.0009369,0.0009199,0.0009248,12023.99
52,1511528400000,0.0009247,0.0009324,0.0009239,0.0009256,17124.05
53,1511532000000,0.0009256,0.0009325,0.0009249,0.0009293,15584.57
54,1511535600000,0.0009293,0.0009369,0.0009291,0.0009351,13559.1
55,1511539200000,0.0009351,0.0009365,0.000927,0.0009291,18980.34
56,1511542800000,0.000929,0.0009321,0.000925,0.0009309,21971.91
57,1511546400000,0.0009311,0.0009311,0.0009202,0.0009221,33650.49
58,1511550000000,0.0009209,0.001,0.0009111,0.0009561,30865.04
59,1511553600000,0.0009729,0.001,0.0009551,0.000966,17213.53
60,1511557200000,0.0009601,0.0009789,0.0009568,0.000968,8874.86
61,1511560800000,0.000968,0.0009759,0.0009565,0.0009596,14357.98
62,1511564400000,0.0009679,0.0009689,0.0009564,0.0009565,17502.95
63,1511568000000,0.0009615,0.0009757,0.0009571,0.0009734,16587.63
64,1511571600000,0.0009734,0.0010146,0.0009664,0.0010054,29188.18
