,ts,open,high,low,close,volume
0,1511341200000,0.021667,0.074,0.0033,0.027599,945.0
1,1511344800000,0.0273,0.030175,0.027,0.030175,1366.74
2,1511348400000,0.030175,0.030427,0.0276,0.030427,626.69
3,1511352000000,0.030427,0.030427,0.029,0.029,427.27
4,1511355600000,0.029,0.030427,0.029,0.030427,113.87
5,1511359200000,0.030402,0.030402,0.02802,0.03,321.66
6,1511362800000,0.029995,0.029995,0.027,0.028,718.52
7,1511366400000,0.02775,0.029,0.027701,0.02882,254.21
8,1511370000000,0.02882,0.029,0.027,0.029,641.03
9,1511373600000,0.029,0.029,0.023873,0.027345,1250.1
10,1511377200000,0.027297,0.027451,0.021874,0.023539,2455.18
11,1511380800000,0.023539,0.0256,0.022,0.024005,1226.37
12,1511384400000,0.024006,0.024006,0.0217,0.022,1793.17
13,1511388000000,0.022002,0.024548,0.022001,0.023005,663.05
14,1511391600000,0.023005,0.024548,0.0221,0.02286,1626.31
15,1511395200000,0.02286,0.024548,0.022239,0.024548,184.22
16,1511398800000,0.024539,0.024539,0.021101,0.021101,1553.64
17,1511402400000,0.023795,0.023795,0.022,0.023081,545.29
18,1511406000000,0.023081,0.023081,0.021016,0.021018,667.63
19,1511409600000,0.021029,0.0215,0.0208,0.0215,708.17
20,1511413200000,0.022034,0.022424,0.02016,0.021507,1787.32
21,1511416800000,0.021571,0.022362,0.0215,0.0215,261.5
22,1511420400000,0.0215,0.022199,0.02078,0.02079,247.07
23,1511424000000,0.022099,0.0221,0.021196,0.021196,173.62
24,1511427600000,0.0211,0.0211,0.020262,0.020262,1255.76
25,1511431200000,0.020662,0.020963,0.02,0.020078,1743.65
26,1511434800000,0.021112,0.021112,0.02,0.020724,654.21
27,1511438400000,0.020701,0.022,0.020695,0.022,687.94
28,1511442000000,0.022,0.0221,0.020819,0.0209,130.75
29,1511445600000,0.022099,0.022199,0.02,0.02,2938.22
30,1511449200000,0.020049,0.0202,0.01985,0.01985,1154.39
31,1511452800000,0.01985,0.019988,0.01985,0.019925,891.3
32,1511456400000,0.0199,0.0199,0.018469,0.018471,1478.96
33,1511460000000,0.018501,0.018774,0.017801,0.017801,559.78
34,1511463600000,0.017801,0.017801,0.016,0.017433,3129.09
35,1511467200000,0.017704,0.018199,0.017433,0.018199,241.16
36,1511470800000,0.018199,0.018699,0.0178,0.018699,383.05
37,1511474400000,0.018774,0.018774,0.018052,0.018774,1568.37
38,1511478000000,0.018774,0.019259,0.018121,0.018121,615.29
39,1511481600000,0.018069,0.018434,0.018,0.018,1656.77
40,1511485200000,0.01801,0.018431,0.01801,0.018431,418.43
41,1511488800000,0.018431,0.018999,0.018,0.018999,615.11
