,ts,open,high,low,close,volume
0,1513134000000,111.0,124.0,105.02,105.02,115.79355
1,1513137600000,116.0,117.0,105.02,105.07,9.53445
2,1513141200000,112.99,116.3,105.07,106.03,71.24575
3,1513144800000,106.03,117.0,106.0,115.9,26.32317
4,1513148400000,109.29,113.49,108.18,109.99,3.7083
5,1513152000000,109.99,110.01,106.86,106.86,26.35386
6,1513155600000,106.86,109.99,105.87,109.88,4.5399
7,1513159200000,106.88,109.87,101.31,103.02,30.65565
8,1513162800000,109.48,111.59,106.34,106.43,17.89476
9,1513166400000,107.0,115.37,98.9,115.37,122.36264
10,1513170000000,115.81,124.0,110.59,119.5,62.34565
11,1513173600000,119.5,120.0,109.4,109.5,19.95867
12,1513177200000,109.5,115.0,106.96,112.74,84.21729
13,1513180800000,113.98,114.54,109.4,110.0,44.84217
14,1513184400000,110.0,110.5,106.21,110.5,34.24953
15,1513188000000,110.5,110.5,105.08,110.5,66.23678
16,1513191600000,110.5,112.55,107.22,109.4,48.11934
17,1513195200000,110.5,110.51,104.7,107.22,54.25132
18,1513198800000,107.22,108.3,103.02,104.03,57.1817
19,1513202400000,104.03,109.4,104.03,107.9,55.3543
20,1513206000000,107.9,108.3,102.12,106.65,35.5247
21,1513209600000,106.65,108.02,102.12,106.5,41.97007
22,1513213200000,106.5,107.56,102.7,106.0,22.10116
23,1513216800000,105.1,109.29,100.01,100.01,170.91402
24,1513220400000,102.02,102.73,97.21,97.59,72.1965
25,1513224000000,97.57,99.35,94.3,96.73,68.40482
26,1513227600000,96.8,99.8,96.8,99.79,76.74204
27,1513231200000,99.79,100.78,96.94,97.08,64.35336
28,1513234800000,97.34,98.46,91.8,96.97,136.00779
29,1513238400000,96.97,98.13,92.48,96.77,40.47661
30,1513242000000,93.33,101.95,93.32,101.95,91.59027
31,1513245600000,98.59,102.02,97.93,100.0,38.39717
32,1513249200000,100.0,100.0,94.8,95.55,50.33476
33,1513252800000,97.0,104.99,97.0,101.45,58.56219
34,1513256400000,101.33,101.79,95.76,96.87,28.08344
35,1513260000000,96.87,97.97,91.15,92.13,122.75329
36,1513263600000,91.16,96.72,88.85,92.45,154.36207
37,1513267200000,93.2,96.72,91.07,93.78,99.40658
38,1513270800000,93.82,97.14,90.0,90.0,110.56005
39,1513274400000,90.0,90.01,83.9,87.09,120.25277
40,1513278000000,86.77,89.35,83.54,86.1,90.23454
41,1513281600000,86.3,90.0,85.94,88.54,168.06112
42,1513285200000,88.01,88.57,84.6,86.21,83.53825
43,1513288800000,86.36,89.04,83.75,86.39,65.94719
44,1513292400000,85.5,87.54,83.0,86.09,164.63418
45,1513296000000,86.52,87.17,84.19,84.41,40.83661
46,1513299600000,83.58,84.79,77.01,79.64,126.01867
47,1513303200000,79.64,82.89,77.72,82.89,129.65589
48,1513306800000,80.0,87.54,80.0,85.34,113.60229
49,1513310400000,84.54,88.12,84.54,85.89,77.551
50,1513314000000,85.93,87.83,1.0,84.54,399.02327
51,1513317600000,84.5,84.5,78.01,81.85,104.24282
52,1513321200000,81.1,82.0,79.78,81.79,50.58832
53,1513324800000,80.79,84.0,80.5,81.83,46.0556
54,1513328400000,81.83,81.83,72.82,74.54,338.64917
55,1513332000000,74.71,80.03,72.1,80.03,103.86269
56,1513335600000,78.0,79.11,75.29,76.9,73.67671
57,1513339200000,79.03,79.11,75.84,79.0,131.93007
58,1513342800000,79.0,90.33,78.52,82.0,140.42919
59,1513346400000,82.0,83.82,75.84,82.38,301.10421
60,1513350000000,82.38,88.11,81.06,87.0,129.50948
61,1513353600000,87.0,87.0,80.38,83.87,122.38979
62,1513357200000,81.01,81.01,77.87,80.89,26.50574
63,1513360800000,81.01,81.99,75.01,76.0,61.41663
64,1513364400000,76.01,76.01,67.98,68.05,243.38866
65,1513368000000,70.23,75.01,67.98,70.3,128.3226
66,1513371600000,70.56,78.14,70.56,77.06,202.15328
67,1513375200000,75.17,79.73,73.95,74.83,72.55855
68,1513378800000,74.5,75.5,70.68,70.68,102.78521
69,1513382400000,70.68,71.5,69.31,70.51,119.48966
70,1513386000000,70.59,73.0,69.56,70.35,112.11985
71,1513389600000,71.77,77.0,70.4,75.88,151.76626
72,1513393200000,74.99,76.81,72.15,73.6,35.62236
73,1513396800000,72.63,72.63,68.32,69.62,80.75943
74,1513400400000,69.62,74.3,68.22,72.09,52.11962
75,1513404000000,72.09,74.72,69.36,69.36,81.01456
76,1513407600000,69.36,73.3,68.8,70.48,39.12434
77,1513411200000,70.48,72.42,69.57,69.93,42.41268
78,1513414800000,70.0,70.06,66.89,66.89,130.91901
79,1513418400000,66.88,69.48,66.5,68.6,28.69498
80,1513422000000,68.48,68.48,64.4,66.15,32.46839
81,1513425600000,66.2,67.98,65.55,67.98,104.81433
82,1513429200000,67.98,71.92,66.28,66.62,432.45255
83,1513432800000,67.98,69.9,65.0,66.9,185.70975
84,1513436400000,67.0,69.74,66.9,68.5,87.37131
85,1513440000000,67.7,69.79,65.5,66.1,135.08762
86,1513443600000,66.18,69.52,66.18,69.34,75.60546
87,1513447200000,69.34,69.52,66.9,68.48,72.63465
88,1513450800000,67.67,68.0,62.15,63.0,51.97542
89,1513454400000,63.01,66.9,62.31,66.0,50.29727
90,1513458000000,65.52,67.45,63.01,64.01,99.50959
91,1513461600000,65.52,66.92,62.0,62.0,72.02181
92,1513465200000,60.62,65.49,60.61,62.87,131.68797
93,1513468800000,64.51,66.42,61.26,63.25,78.99927
94,1513472400000,61.35,68.47,61.35,66.52,143.43353
95,1513476000000,64.63,68.48,60.01,60.01,93.23602
96,1513479600000,60.02,61.38,55.74,55.74,162.51557
97,1513483200000,55.74,60.0,55.36,58.11,272.36436
98,1513486800000,58.25,59.29,53.28,58.5,270.89112
99,1513490400000,58.75,61.39,57.01,57.2,261.33426
100,1513494000000,59.17,60.23,57.21,57.66,45.46299
101,1513497600000,57.66,57.79,52.1,53.53,114.77257
102,1513501200000,53.53,54.77,50.03,53.0,163.07464
103,1513504800000,52.13,52.6,49.17,50.99,275.9258
104,1513508400000,51.0,52.1,48.0,48.64,179.30214
105,1513512000000,48.64,52.18,39.89,49.5,571.70965
106,1513515600000,49.5,56.0,49.5,54.64,503.87133
107,1513519200000,54.64,56.68,51.28,53.53,347.60186
108,1513522800000,53.53,57.3,53.42,55.0,183.67408
109,1513526400000,55.01,55.01,53.42,53.74,177.25075
110,1513530000000,53.74,53.74,51.95,52.91,104.4475
111,1513533600000,52.92,57.0,52.12,56.52,124.83529
112,1513537200000,57.0,57.2,53.57,55.14,93.50576
113,1513540800000,55.16,56.79,52.66,54.1,179.13625
114,1513544400000,54.1,56.15,52.98,54.19,81.23149
115,1513548000000,54.19,54.98,53.0,53.0,108.76894
116,1513551600000,53.92,54.99,52.11,52.11,101.93186
