,ts,open,high,low,close,volume
0,1500004800000,0.019,0.019329,0.019,0.019229,55.59
1,1500008400000,0.019293,0.019293,0.018996,0.019088,72.0
2,1500012000000,0.019066,0.019181,0.018896,0.019097,261.17
3,1500015600000,0.019062,0.019113,0.019059,0.019108,100.87
4,1500019200000,0.019105,0.019328,0.019105,0.019296,38.66
5,1500022800000,0.01932,0.019328,0.019106,0.019117,256.8
6,1500026400000,0.019141,0.019143,0.01909,0.019139,263.36
7,1500030000000,0.019139,0.019141,0.019082,0.019141,264.18
8,1500033600000,0.01914,0.01922,0.019038,0.019079,341.21
9,1500037200000,0.019151,0.019499,0.019146,0.019146,427.56
10,1500040800000,0.019167,0.019302,0.019051,0.019095,437.13
11,1500044400000,0.019105,0.019893,0.019105,0.019706,818.79
12,1500048000000,0.019602,0.019895,0.019005,0.019005,992.65
13,1500051600000,0.018909,0.018909,0.016806,0.01682,290.72
14,1500055200000,0.01682,0.01682,0.01682,0.01682,22.0
15,1500058800000,0.01682,0.016869,0.01682,0.016869,139.1
16,1500062400000,0.0187,0.018733,0.0187,0.018733,3.29
17,1500066000000,0.018733,0.018733,0.018733,0.018733,0.0
18,1500069600000,0.018733,0.018733,0.018733,0.018733,0.0
19,1500073200000,0.01888,0.018911,0.018637,0.018711,498.2
20,1500076800000,0.018929,0.018929,0.018643,0.018645,286.6
21,1500080400000,0.018759,0.018856,0.018759,0.018823,178.26
22,1500084000000,0.018854,0.018854,0.018487,0.018487,90.05
23,1500087600000,0.018972,0.018972,0.017443,0.018281,1101.35
24,1500091200000,0.018284,0.020547,0.017877,0.019923,1143.22
25,1500094800000,0.019899,0.019914,0.019041,0.019041,235.09
26,1500098400000,0.019058,0.019777,0.018324,0.019717,1460.46
27,1500102000000,0.019697,0.019921,0.019613,0.019704,81.04
28,1500105600000,0.019704,0.019918,0.018345,0.018686,1276.15
29,1500109200000,0.018697,0.018816,0.018599,0.018732,344.81
30,1500112800000,0.018781,0.018888,0.018649,0.018829,344.24
31,1500116400000,0.018826,0.018852,0.018424,0.018439,361.7
32,1500120000000,0.018499,0.020453,0.018464,0.018589,9894.36
33,1500123600000,0.018589,0.01877,0.018589,0.01877,168.57
34,1500127200000,0.01877,0.0209,0.018761,0.019736,560.0
35,1500130800000,0.019138,0.019345,0.019038,0.019268,652.57
36,1500134400000,0.019343,0.019431,0.019258,0.01932,538.73
37,1500138000000,0.01931,0.019542,0.019264,0.019457,289.93
38,1500141600000,0.019471,0.019532,0.019366,0.019436,410.83
39,1500145200000,0.01945,0.019558,0.019366,0.019558,326.81
40,1500148800000,0.019513,0.01958,0.019434,0.019561,286.12
41,1500152400000,0.019561,0.019589,0.019473,0.019575,298.73
42,1500156000000,0.019563,0.01972,0.019498,0.019593,322.76
43,1500159600000,0.019561,0.019629,0.019423,0.019504,469.21
44,1500163200000,0.019518,0.019541,0.019399,0.019529,324.77
45,1500166800000,0.019526,0.019574,0.019359,0.019561,360.27
46,1500170400000,0.019528,0.019587,0.019426,0.0195,292.5
47,1500174000000,0.019546,0.01975,0.019497,0.019647,1453.81
48,1500177600000,0.019599,0.019821,0.019526,0.019637,2282.79
49,1500181200000,0.019636,0.019933,0.019568,0.019714,1235.06
50,1500184800000,0.019679,0.019862,0.019633,0.019778,314.33
51,1500188400000,0.019778,0.019928,0.019685,0.019873,317.91
52,1500192000000,0.019855,0.019995,0.019829,0.019917,308.75
53,1500195600000,0.019889,0.019917,0.019672,0.019877,312.5
54,1500199200000,0.019894,0.019998,0.019764,0.019858,337.26
55,1500202800000,0.019857,0.019897,0.019541,0.019801,334.58
56,1500206400000,0.019792,0.019853,0.019514,0.01978,339.0
57,1500210000000,0.019752,0.020025,0.019617,0.020025,310.76
58,1500213600000,0.020031,0.020123,0.019736,0.019777,316.95
59,1500217200000,0.019815,0.020045,0.019743,0.020022,289.96
60,1500220800000,0.019999,0.020095,0.019973,0.020073,272.16
61,1500224400000,0.020089,0.020711,0.020039,0.020552,496.03
62,1500228000000,0.020641,0.020806,0.020248,0.020594,425.39
63,1500231600000,0.020558,0.020656,0.020157,0.020417,233.83
64,1500235200000,0.020417,0.020658,0.020305,0.020579,318.36
65,1500238800000,0.020569,0.020917,0.02049,0.020817,275.23
66,1500242400000,0.02089,0.021298,0.020846,0.021298,296.47
67,1500246000000,0.021278,0.021594,0.021174,0.021418,341.36
68,1500249600000,0.021392,0.021543,0.021046,0.021199,333.56
69,1500253200000,0.021273,0.021499,0.021106,0.02129,323.15
70,1500256800000,0.021239,0.021241,0.02086,0.020915,356.57
71,1500260400000,0.020933,0.020966,0.020464,0.020538,327.77
72,1500264000000,0.020514,0.020789,0.020494,0.020675,303.23
73,1500267600000,0.02065,0.020842,0.020584,0.020797,342.57
74,1500271200000,0.020854,0.020994,0.020763,0.020925,318.71
75,1500274800000,0.020918,0.020918,0.020378,0.020466,292.37
76,1500278400000,0.020458,0.020515,0.020167,0.020303,404.24
77,1500282000000,0.020368,0.020383,0.020082,0.020345,309.05
78,1500285600000,0.020357,0.020746,0.020277,0.020706,344.97
79,1500289200000,0.020685,0.020722,0.020185,0.020263,324.95
80,1500292800000,0.020214,0.020389,0.020039,0.020368,393.08
81,1500296400000,0.020385,0.020452,0.020224,0.020253,362.77
82,1500300000000,0.020279,0.020548,0.020221,0.020396,364.64
83,1500303600000,0.020383,0.020411,0.020105,0.020198,314.52
84,1500307200000,0.020211,0.020233,0.020039,0.02009,349.24
85,1500310800000,0.02009,0.020349,0.019862,0.019986,366.87
