,ts,open,high,low,close,volume
0,1513134000000,0.45,0.69898,0.45,0.49779,85.219
1,1513137600000,0.47018,0.4898,0.4612,0.47657,521.337
2,1513141200000,0.47658,5.0,0.47658,0.49994,349.626
3,1513144800000,0.4947,0.5,0.45801,0.46301,645.707
4,1513148400000,0.46302,0.486,0.4561,0.48,241.519
5,1513152000000,0.46304,0.47998,0.45101,0.45542,620.464
6,1513155600000,0.45543,0.46295,0.442,0.45607,417.235
7,1513159200000,0.46288,0.46288,0.426,0.43612,758.14
8,1513162800000,0.43612,0.451,0.435,0.44606,329.87
9,1513166400000,0.44606,0.48607,0.435,0.47512,782.753
10,1513170000000,0.476,0.51899,0.475,0.48765,1791.433
11,1513173600000,0.48765,0.48765,0.4127,0.42911,1967.829
12,1513177200000,0.42,0.4583,0.41901,0.43181,1614.586
13,1513180800000,0.433,0.441,0.42,0.42131,666.868
14,1513184400000,0.42133,0.44,0.42101,0.43759,633.673
15,1513188000000,0.43758,0.43999,0.42601,0.43995,881.846
16,1513191600000,0.4355,0.43995,0.42805,0.42805,535.196
17,1513195200000,0.42805,0.43987,0.41964,0.434,827.091
18,1513198800000,0.434,0.43799,0.42659,0.4311,479.215
19,1513202400000,0.4311,0.44567,0.4311,0.432,615.701
20,1513206000000,0.43355,0.43795,0.416,0.42,1473.916
21,1513209600000,0.42,0.42994,0.409,0.40922,362.731
22,1513213200000,0.40926,0.41889,0.4,0.41198,832.659
23,1513216800000,0.41001,0.41999,0.40511,0.41201,519.407
24,1513220400000,0.414,0.42871,0.41007,0.412,547.428
25,1513224000000,0.41204,0.41901,0.4,0.4033,555.645
26,1513227600000,0.4033,0.42,0.396,0.409,834.877
27,1513231200000,0.40899,0.41177,0.405,0.40501,588.367
28,1513234800000,0.40501,0.4128,0.40001,0.40411,742.06
29,1513238400000,0.40416,0.41999,0.39615,0.4069,1017.839
30,1513242000000,0.4069,0.4069,0.37502,0.38801,4532.426
31,1513245600000,0.38801,0.41706,0.385,0.41203,772.261
32,1513249200000,0.41498,0.428,0.40615,0.41907,882.37
33,1513252800000,0.41916,0.43,0.41019,0.41998,763.717
34,1513256400000,0.41998,0.425,0.41004,0.415,806.077
35,1513260000000,0.415,0.42399,0.39169,0.39639,1629.879
36,1513263600000,0.39639,0.42,0.39,0.41505,1497.03
37,1513267200000,0.41599,0.42289,0.4,0.41401,890.41
38,1513270800000,0.4145,0.41849,0.4015,0.4015,1010.93
39,1513274400000,0.4,0.41,0.3955,0.39615,1463.789
40,1513278000000,0.39615,0.4071,0.39508,0.39615,1589.143
41,1513281600000,0.39617,0.41168,0.382,0.40215,1421.224
42,1513285200000,0.40215,0.406,0.388,0.39502,1036.238
43,1513288800000,0.395,0.40269,0.382,0.39329,1329.345
44,1513292400000,0.39329,0.409,0.3902,0.40014,918.604
45,1513296000000,0.39677,0.42377,0.39673,0.41606,1014.057
46,1513299600000,0.41606,0.41999,0.397,0.41167,1108.313
47,1513303200000,0.40994,0.42,0.3927,0.406,1502.161
48,1513306800000,0.406,0.4271,0.40142,0.41705,1247.326
49,1513310400000,0.42002,0.43253,0.40669,0.41357,1061.487
50,1513314000000,0.41357,0.41839,0.4,0.40407,882.708
51,1513317600000,0.40416,0.41088,0.399,0.4103,454.892
52,1513321200000,0.4102,0.41599,0.395,0.40376,667.149
53,1513324800000,0.4035,0.41281,0.4,0.4052,438.427
54,1513328400000,0.4052,0.40899,0.393,0.40449,809.846
55,1513332000000,0.40447,0.409,0.39302,0.39575,606.186
56,1513335600000,0.40254,0.40799,0.39623,0.405,552.114
57,1513339200000,0.405,0.41,0.39801,0.41,286.042
58,1513342800000,0.408,0.45,0.408,0.43415,1301.554
59,1513346400000,0.43415,0.5,0.41605,0.43201,1841.53
60,1513350000000,0.43201,0.456,0.43,0.446,1761.382
61,1513353600000,0.446,0.46,0.43801,0.45258,961.857
62,1513357200000,0.45258,0.46,0.42885,0.44226,1786.297
63,1513360800000,0.44,0.44263,0.43133,0.43301,926.349
64,1513364400000,0.43584,0.4508,0.42507,0.4508,621.102
65,1513368000000,0.4508,0.46821,0.443,0.448,648.838
66,1513371600000,0.448,0.448,0.431,0.445,682.661
67,1513375200000,0.44501,0.44644,0.43106,0.43713,428.476
68,1513378800000,0.43707,0.43978,0.43101,0.43544,312.064
69,1513382400000,0.43545,0.43599,0.42316,0.42405,644.881
70,1513386000000,0.42405,0.44342,0.41811,0.42399,963.442
71,1513389600000,0.42415,0.42992,0.42393,0.42578,351.794
72,1513393200000,0.42578,0.42863,0.41817,0.427,717.809
73,1513396800000,0.42698,0.4306,0.41988,0.42683,471.881
74,1513400400000,0.42685,0.435,0.42,0.43,792.269
75,1513404000000,0.43,0.439,0.42517,0.43,756.411
76,1513407600000,0.43,0.44,0.42895,0.43051,337.298
77,1513411200000,0.43051,0.43333,0.4234,0.42992,239.866
78,1513414800000,0.42821,0.432,0.42,0.4283,474.114
79,1513418400000,0.4283,0.43484,0.4283,0.4293,477.213
80,1513422000000,0.4293,0.43737,0.42831,0.43737,856.24
81,1513425600000,0.43737,0.43991,0.43061,0.4376,540.075
82,1513429200000,0.43759,0.438,0.43015,0.43241,481.653
83,1513432800000,0.43006,0.43594,0.42299,0.43,819.563
84,1513436400000,0.43001,0.43589,0.42768,0.42841,695.259
85,1513440000000,0.42841,0.43367,0.425,0.42634,900.416
86,1513443600000,0.42634,0.435,0.425,0.43439,1140.056
87,1513447200000,0.43439,0.44,0.428,0.4301,705.457
88,1513450800000,0.4301,0.43194,0.423,0.42313,684.211
89,1513454400000,0.42473,0.4381,0.423,0.42498,1001.0
90,1513458000000,0.42498,0.43198,0.423,0.42696,781.235
91,1513461600000,0.42696,0.431,0.42301,0.42487,767.742
92,1513465200000,0.42487,0.432,0.42301,0.43001,596.91
93,1513468800000,0.432,0.44177,0.42509,0.42869,1044.701
94,1513472400000,0.42869,0.49,0.42826,0.44201,1622.321
95,1513476000000,0.44205,0.45982,0.43,0.43283,1151.557
96,1513479600000,0.43294,0.44479,0.43,0.43469,740.963
97,1513483200000,0.43469,0.445,0.43,0.4358,909.509
98,1513486800000,0.4358,0.449,0.4275,0.449,1074.775
99,1513490400000,0.449,0.4599,0.435,0.45482,795.749
100,1513494000000,0.45478,0.46599,0.44804,0.44804,475.128
101,1513497600000,0.44997,0.45266,0.4352,0.442,660.506
102,1513501200000,0.43967,0.44599,0.43206,0.439,442.09
103,1513504800000,0.44095,0.45,0.4336,0.44533,493.813
104,1513508400000,0.44534,0.44998,0.43712,0.44519,395.124
105,1513512000000,0.44519,0.44971,0.4422,0.44517,337.311
106,1513515600000,0.44236,0.4485,0.43553,0.4445,699.99
107,1513519200000,0.443,0.446,0.43759,0.4455,688.93
108,1513522800000,0.44356,0.452,0.44,0.44519,585.85
109,1513526400000,0.4469,0.45,0.43897,0.44314,542.343
110,1513530000000,0.44314,0.44723,0.44283,0.44432,615.711
111,1513533600000,0.4443,0.44503,0.424,0.44503,958.727
112,1513537200000,0.43837,0.44682,0.43351,0.44644,581.054
113,1513540800000,0.44361,0.4499,0.431,0.4391,698.237
114,1513544400000,0.4391,0.442,0.43527,0.43798,711.8
115,1513548000000,0.43553,0.44797,0.43011,0.4465,814.738
116,1513551600000,0.44185,0.44876,0.43578,0.43603,495.23
117,1513555200000,0.44761,0.44761,0.42299,0.43555,774.799
118,1513558800000,0.43555,0.44192,0.42781,0.43811,1441.288
119,1513562400000,0.43816,0.4412,0.432,0.4351,592.532
120,1513566000000,0.4351,0.439,0.425,0.43,557.056
121,1513569600000,0.43007,0.43785,0.42615,0.436,589.952
122,1513573200000,0.4338,0.43938,0.43204,0.43646,520.565
123,1513576800000,0.4341,0.4435,0.43281,0.4386,683.896
124,1513580400000,0.43862,0.44329,0.43428,0.438,369.18
125,1513584000000,0.438,0.441,0.43,0.4354,531.854
126,1513587600000,0.43654,0.443,0.43113,0.43998,375.825
127,1513591200000,0.4399,0.43998,0.4323,0.433,404.894
128,1513594800000,0.433,0.43899,0.42556,0.43746,635.36
129,1513598400000,0.43746,0.44311,0.43089,0.4356,233.701
130,1513602000000,0.43562,0.44,0.42556,0.43497,412.949
131,1513605600000,0.43497,0.43599,0.42905,0.43289,752.077
132,1513609200000,0.43253,0.43396,0.42556,0.43235,1082.705
133,1513612800000,0.432,0.43251,0.42556,0.429,679.664
