,ts,open,high,low,close,volume
0,1513134000000,272.0,288.0,272.0,276.0,130.86075
1,1513137600000,276.0,288.0,269.99,279.0,606.4813
2,1513141200000,279.0,330.0,279.0,302.0,383.76674
3,1513144800000,302.0,304.11,286.0,291.13,351.59475
4,1513148400000,291.13,296.0,285.0,287.0,165.1242
5,1513152000000,287.0,290.0,280.1,280.1,123.97367
6,1513155600000,280.1,288.96,278.0,284.19,93.71678
7,1513159200000,284.19,287.4,275.2,275.26,325.33309
8,1513162800000,275.26,286.98,270.26,280.0,129.29289
9,1513166400000,280.0,308.0,280.0,305.0,767.25811
10,1513170000000,305.0,325.0,300.0,318.98,668.29285
11,1513173600000,318.98,318.98,291.11,291.11,1106.11984
12,1513177200000,292.0,307.89,291.11,297.0,466.63946
13,1513180800000,294.07,297.9,287.54,288.01,256.55492
14,1513184400000,288.01,301.63,270.0,282.5,953.75885
15,1513188000000,280.0,296.0,260.0,279.81,895.34641
16,1513191600000,279.81,294.0,268.89,288.88,467.10171
17,1513195200000,288.88,288.88,276.0,278.0,537.60466
18,1513198800000,278.0,292.88,277.0,288.66,543.99848
19,1513202400000,292.88,301.0,288.66,294.0,304.86198
20,1513206000000,293.97,307.89,286.0,290.01,287.47875
21,1513209600000,290.01,296.0,283.99,296.0,260.90723
22,1513213200000,296.0,298.0,291.09,297.49,387.43553
23,1513216800000,297.49,299.0,288.01,288.11,380.08477
24,1513220400000,288.11,302.72,288.11,288.11,198.9682
25,1513224000000,288.11,294.99,288.11,291.4,359.2342
26,1513227600000,291.4,295.0,283.0,283.1,334.99456
27,1513231200000,283.1,290.0,283.0,283.0,218.35947
28,1513234800000,282.05,290.0,280.0,283.04,231.94131
29,1513238400000,288.5,290.0,283.0,286.5,234.65118
30,1513242000000,286.5,294.99,280.0,285.87,338.97948
31,1513245600000,282.13,288.97,282.1,287.0,232.89674
32,1513249200000,286.1,288.95,283.61,285.0,210.98231
33,1513252800000,287.88,288.8,282.0,284.0,270.06848
34,1513256400000,284.0,285.8,275.0,281.85,616.55266
35,1513260000000,281.85,282.0,260.98,260.98,698.54236
36,1513263600000,260.98,279.0,252.0,275.01,1360.65506
37,1513267200000,275.01,278.0,271.2,273.03,631.71742
38,1513270800000,273.03,278.7,265.99,265.99,228.38622
39,1513274400000,268.0,275.0,257.01,261.2,572.18415
40,1513278000000,257.6,270.0,257.5,263.99,335.02479
41,1513281600000,263.99,280.0,263.0,272.4,439.38289
42,1513285200000,273.8,273.8,265.0,265.3,259.80451
43,1513288800000,265.3,270.93,265.3,267.55,453.14626
44,1513292400000,266.5,272.4,264.01,272.4,377.08404
