,ts,open,high,low,close,volume
0,1514444400000,0.00198,0.00198,0.00112,0.001221,58018.1
1,1514448000000,0.001221,0.00136,0.001221,0.0012654,19695.37
2,1514451600000,0.0012702,0.0013301,0.0012,0.00123,8943.4
3,1514455200000,0.001235,0.00124,0.00116,0.0012,8291.22
4,1514458800000,0.0012,0.0012799,0.0011611,0.00127,8685.79
5,1514462400000,0.00127,0.0013957,0.001175,0.0013957,21364.67
6,1514466000000,0.0013958,0.0016699,0.0013689,0.0016469,29049.54
7,1514469600000,0.00162,0.001645,0.00141,0.0014264,19838.5
8,1514473200000,0.0014249,0.0014657,0.0013651,0.0014134,11663.49
9,1514476800000,0.0014133,0.0014958,0.001376,0.0014956,12030.24
10,1514480400000,0.0014956,0.0014956,0.00139,0.0014256,8138.58
11,1514484000000,0.0014254,0.0014254,0.0012929,0.0013168,8631.76
12,1514487600000,0.0013168,0.001443,0.0012929,0.0014281,6686.17
13,1514491200000,0.0014265,0.0014797,0.00135,0.0013797,9563.81
14,1514494800000,0.001368,0.00145,0.001368,0.0014255,9703.25
15,1514498400000,0.001429,0.001429,0.0013571,0.0013962,18830.95
16,1514502000000,0.001404,0.0014096,0.0013169,0.0013289,19826.45
17,1514505600000,0.001329,0.001358,0.00128,0.00133,9185.84
18,1514509200000,0.00133,0.0013799,0.0013205,0.0013589,6326.98
19,1514512800000,0.0013575,0.0013692,0.00131,0.001318,6394.18
20,1514516400000,0.001318,0.001319,0.00129,0.00129,5862.23
21,1514520000000,0.0013076,0.0013597,0.0012768,0.001315,7163.0
22,1514523600000,0.00132,0.0013389,0.0012811,0.0012926,9183.68
23,1514527200000,0.0012968,0.00138,0.001295,0.0013177,24966.23
24,1514530800000,0.0013177,0.0013462,0.0012927,0.0013001,9147.07
25,1514534400000,0.0013,0.0013585,0.0012768,0.0013498,8347.16
26,1514538000000,0.0013498,0.0013585,0.0013089,0.0013152,4729.12
27,1514541600000,0.0013153,0.0013157,0.0012713,0.0012713,4144.12
28,1514545200000,0.0012832,0.0012832,0.001246,0.0012624,4526.83
29,1514548800000,0.0012704,0.0012984,0.001245,0.0012509,3315.79
30,1514552400000,0.0012508,0.00131,0.0012309,0.0012664,6626.42
31,1514556000000,0.0012664,0.0012993,0.001245,0.0012462,6716.98
32,1514559600000,0.0012488,0.0012598,0.001225,0.0012564,7297.9
33,1514563200000,0.0012559,0.0012568,0.00123,0.0012332,10529.23
34,1514566800000,0.0012332,0.0012489,0.00123,0.001236,5023.96
35,1514570400000,0.001236,0.0012769,0.001229,0.0012361,5039.88
36,1514574000000,0.0012361,0.0012598,0.0012359,0.0012506,5425.66
37,1514577600000,0.0012506,0.0012599,0.0012402,0.0012475,4016.11
38,1514581200000,0.0012403,0.0012469,0.0012334,0.0012385,2474.47
39,1514584800000,0.0012385,0.0012458,0.0012369,0.0012369,3801.49
40,1514588400000,0.0012369,0.0012472,0.001228,0.0012472,5274.48
41,1514592000000,0.0012473,0.001285,0.001229,0.0012478,3455.87
42,1514595600000,0.0012471,0.001282,0.001247,0.0012701,6642.28
43,1514599200000,0.0012701,0.0012974,0.0012416,0.001267,3446.46
44,1514602800000,0.0012633,0.0012972,0.0012502,0.001266,2155.84
45,1514606400000,0.0012672,0.0012971,0.0012672,0.00128,981.36
46,1514610000000,0.0012675,0.0013061,0.0012675,0.001299,2337.94
47,1514613600000,0.0013,0.0013488,0.0013,0.0013402,4402.99
48,1514617200000,0.0013402,0.0013491,0.0013081,0.0013491,3056.8
49,1514620800000,0.0013489,0.0014169,0.0013478,0.0014169,4339.76
50,1514624400000,0.0014175,0.0014693,0.0014169,0.0014597,5437.02
51,1514628000000,0.0014407,0.001451,0.0013302,0.0013537,3839.35
52,1514631600000,0.0013316,0.0013536,0.0013082,0.0013158,2235.72
53,1514635200000,0.0013203,0.0013399,0.0013,0.0013112,4060.62
54,1514638800000,0.0013112,0.0013369,0.0012611,0.0012611,8623.08
55,1514642400000,0.001265,0.0013987,0.0012611,0.0013044,3601.53
56,1514646000000,0.0013053,0.0013195,0.0012501,0.0012603,2086.89
57,1514649600000,0.0012605,0.0012832,0.00125,0.00125,2078.35
58,1514653200000,0.00125,0.0012694,0.0012399,0.0012692,1256.23
59,1514656800000,0.001266,0.001266,0.001233,0.0012587,1382.93
60,1514660400000,0.001235,0.0013579,0.001233,0.0013424,4209.9
61,1514664000000,0.0013399,0.0013425,0.0012271,0.0012615,4136.98
62,1514667600000,0.0012617,0.0013399,0.0012617,0.0013003,1696.53
63,1514671200000,0.0013008,0.0014094,0.0012999,0.0013198,2574.9
64,1514674800000,0.0013138,0.0013784,0.0013007,0.0013784,2101.41
65,1514678400000,0.0013784,0.0014287,0.00127,0.0014287,7866.37
66,1514682000000,0.0014287,0.0014387,0.0013441,0.001438,7816.12
67,1514685600000,0.001428,0.0015,0.001372,0.001429,9362.22
68,1514689200000,0.001429,0.0015177,0.001361,0.0015001,5303.16
69,1514692800000,0.001515,0.0016,0.00148,0.0015955,9674.71
70,1514696400000,0.0015954,0.00198,0.00155,0.0016584,23440.6
71,1514700000000,0.0016584,0.0018,0.0015851,0.0016957,4553.13
72,1514703600000,0.0016964,0.0017393,0.0016,0.0016155,4350.57
73,1514707200000,0.0016155,0.0016274,0.00155,0.001624,4179.94
74,1514710800000,0.0016239,0.001739,0.0016239,0.0016659,1221.43
75,1514714400000,0.0016659,0.00193,0.0015974,0.00189,8521.17
76,1514718000000,0.0019299,0.00208,0.0017901,0.0020791,18039.99
77,1514721600000,0.0020791,0.00208,0.0018097,0.001889,9502.04
78,1514725200000,0.0018422,0.001889,0.0018001,0.001807,5325.26
79,1514728800000,0.001807,0.00183,0.0017104,0.0017227,6471.39
80,1514732400000,0.0017195,0.0018098,0.0017195,0.0017954,4228.09
81,1514736000000,0.0018,0.00192,0.001685,0.0017,8857.08
82,1514739600000,0.0017225,0.0017424,0.00158,0.0016298,4315.09
83,1514743200000,0.0016298,0.0017353,0.001523,0.0016995,5015.38
84,1514746800000,0.0016995,0.001735,0.0016,0.0016959,5341.85
85,1514750400000,0.0016959,0.0016976,0.0015877,0.0016318,2281.38
86,1514754000000,0.0016318,0.00166,0.0015892,0.0016356,1631.36
87,1514757600000,0.0016356,0.0018444,0.0015907,0.001751,5497.12
88,1514761200000,0.001751,0.001751,0.001581,0.001698,2236.2
89,1514764800000,0.0016845,0.0017979,0.0015968,0.0017054,2989.68
90,1514768400000,0.0016924,0.001791,0.0016,0.001791,1581.65
91,1514772000000,0.001791,0.001791,0.0017131,0.00175,1208.03
92,1514775600000,0.0017399,0.0018444,0.0017211,0.0017986,2592.99
93,1514779200000,0.0018264,0.0019,0.0017762,0.0017762,4418.23
94,1514782800000,0.0018038,0.0018999,0.0017675,0.00186,2886.14
95,1514786400000,0.0018234,0.001931,0.0017211,0.0018529,2557.38
96,1514790000000,0.0018529,0.0019319,0.0017771,0.001811,1807.18
97,1514793600000,0.0018237,0.0019319,0.0018,0.0018334,1049.05
98,1514797200000,0.0018198,0.0018198,0.001795,0.00181,1268.19
99,1514800800000,0.00181,0.0019,0.0018036,0.0019,3225.9
100,1514804400000,0.001847,0.001847,0.00174,0.0017496,3293.11
101,1514808000000,0.0017495,0.0018127,0.001748,0.00177,1758.04
102,1514811600000,0.0017701,0.001833,0.0017531,0.0017678,1379.49
103,1514815200000,0.0017678,0.0018487,0.0017531,0.0017789,4514.27
104,1514818800000,0.0017961,0.00182,0.0017483,0.0017662,1269.48
105,1514822400000,0.0017661,0.0017938,0.0017479,0.0017699,1211.8
106,1514826000000,0.0017699,0.0017832,0.0016059,0.0017349,5322.98
107,1514829600000,0.0017349,0.0018,0.0016,0.0017196,2970.55
108,1514833200000,0.0017196,0.0017198,0.0016101,0.0017123,1070.09
109,1514836800000,0.0017123,0.0017264,0.0016345,0.0017165,3862.88
110,1514840400000,0.0017165,0.001751,0.0016485,0.0017379,1559.12
111,1514844000000,0.0017255,0.0017509,0.00165,0.00172,1712.26
112,1514847600000,0.00172,0.0017553,0.0017106,0.0017434,1231.52
113,1514851200000,0.0017434,0.0017981,0.0017,0.0017295,1713.49
114,1514854800000,0.0017379,0.0017894,0.0016994,0.0017245,3389.33
115,1514858400000,0.0017179,0.0017245,0.0016558,0.0016558,4152.82
116,1514862000000,0.0016943,0.0016943,0.001655,0.0016699,2366.18
117,1514865600000,0.00168,0.0017858,0.0016699,0.00178,2866.04
118,1514869200000,0.00178,0.001798,0.00174,0.0017868,2980.4
119,1514872800000,0.0017868,0.0017976,0.0017539,0.0017967,1291.59
120,1514876400000,0.0017858,0.0017963,0.0017,0.0017357,950.19
121,1514880000000,0.001736,0.0017965,0.001736,0.0017772,1655.13
122,1514883600000,0.0017772,0.0017967,0.0017653,0.0017852,959.16
123,1514887200000,0.0017852,0.001786,0.001769,0.0017705,1373.44
124,1514890800000,0.00178,0.001807,0.0017705,0.0017981,1406.81
125,1514894400000,0.0017982,0.001819,0.0017694,0.0017706,3023.09
126,1514898000000,0.0017706,0.001784,0.0016967,0.0017439,2317.37
127,1514901600000,0.0017418,0.0017769,0.00167,0.0017171,3418.81
128,1514905200000,0.00176,0.0018499,0.0017272,0.0018173,7380.54
129,1514908800000,0.0018173,0.001898,0.0018005,0.0018805,4386.25
130,1514912400000,0.001882,0.0019,0.0018081,0.0018331,5483.94
131,1514916000000,0.0018331,0.00186,0.0016,0.001634,6576.7
132,1514919600000,0.001635,0.0017281,0.0015915,0.00164,8934.69
133,1514923200000,0.0017,0.00173,0.0016127,0.00173,2889.81
134,1514926800000,0.001692,0.001784,0.0016416,0.001729,2103.71
135,1514930400000,0.001729,0.00178,0.0016649,0.0016649,1655.02
136,1514934000000,0.0017059,0.001913,0.0016649,0.0017419,12544.12
137,1514937600000,0.0017419,0.00175,0.001686,0.0016943,2844.91
138,1514941200000,0.0017003,0.0017121,0.0016127,0.0016338,2824.65
139,1514944800000,0.001636,0.0016583,0.001581,0.001581,1938.63
140,1514948400000,0.001581,0.0016349,0.0015801,0.0016349,2986.6
141,1514952000000,0.00163,0.0016934,0.0015816,0.0016425,3410.43
142,1514955600000,0.0016597,0.0017549,0.0016314,0.0016522,1307.37
143,1514959200000,0.001652,0.0017229,0.0016042,0.0016291,2076.63
144,1514962800000,0.0016292,0.0016435,0.0016004,0.0016213,2192.49
145,1514966400000,0.001615,0.0016375,0.00159,0.00159,2158.34
146,1514970000000,0.0015914,0.0016184,0.0015914,0.001606,2185.24
147,1514973600000,0.0016049,0.00168,0.0015954,0.0016452,1360.95
148,1514977200000,0.001675,0.0016892,0.001626,0.0016626,858.93
149,1514980800000,0.0016611,0.0016855,0.0016311,0.0016855,1150.69
150,1514984400000,0.0016855,0.0016999,0.0016496,0.0016569,1324.2
151,1514988000000,0.0016543,0.0016899,0.0016399,0.0016401,1732.24
152,1514991600000,0.0016401,0.00168,0.0016,0.0016784,2611.95
153,1514995200000,0.0016789,0.001729,0.0016701,0.0016766,1588.33
154,1514998800000,0.0016826,0.0017189,0.0016803,0.0016803,1628.95
155,1515002400000,0.0016803,0.0017169,0.0016803,0.001682,1252.98
156,1515006000000,0.0016965,0.0017501,0.0016766,0.0016934,2957.72
157,1515009600000,0.0016875,0.0017969,0.0016666,0.0017422,3416.75
158,1515013200000,0.0017423,0.0017506,0.0017,0.0017,2719.21
159,1515016800000,0.001712,0.0017186,0.001645,0.0016853,2167.9
