,ts,open,high,low,close,volume
0,1514444400000,0.0205,0.045,0.0204,0.025,6580.23
1,1514448000000,0.024501,0.027489,0.023011,0.025731,2074.22
2,1514451600000,0.027,0.027097,0.025651,0.025651,1003.24
3,1514455200000,0.025651,0.025651,0.024139,0.025,1047.14
4,1514458800000,0.024999,0.025897,0.023617,0.025897,1157.08
5,1514462400000,0.025897,0.028,0.024,0.028,3388.21
6,1514466000000,0.028,0.033332,0.026526,0.03333,4129.72
7,1514469600000,0.03333,0.033333,0.028101,0.028152,5428.87
8,1514473200000,0.028152,0.0295,0.0268,0.029295,2017.21
9,1514476800000,0.029293,0.0299,0.027916,0.0296,2708.57
10,1514480400000,0.0296,0.0296,0.026301,0.0291,2456.13
11,1514484000000,0.029005,0.029399,0.025,0.027396,1746.27
12,1514487600000,0.02739,0.0284,0.0256,0.0284,1013.17
13,1514491200000,0.027802,0.029399,0.02635,0.027772,933.92
14,1514494800000,0.0276,0.0293,0.0271,0.028117,871.79
15,1514498400000,0.028117,0.028117,0.027298,0.027799,3392.14
16,1514502000000,0.027799,0.0281,0.026334,0.026334,1808.4
17,1514505600000,0.026802,0.0272,0.025259,0.0269,2533.94
18,1514509200000,0.026897,0.028,0.025907,0.027,969.89
19,1514512800000,0.026985,0.027499,0.025905,0.0265,1166.45
20,1514516400000,0.0265,0.027,0.025503,0.025603,3333.01
21,1514520000000,0.0263,0.02652,0.0251,0.026,1410.18
22,1514523600000,0.026484,0.02652,0.025247,0.025899,2044.74
23,1514527200000,0.025899,0.028,0.025899,0.026533,3365.01
24,1514530800000,0.026001,0.026533,0.025509,0.025515,1429.38
25,1514534400000,0.025514,0.026841,0.025001,0.026279,1209.71
26,1514538000000,0.026841,0.027,0.025351,0.026652,342.55
27,1514541600000,0.025535,0.02665,0.024711,0.024726,538.38
28,1514545200000,0.025201,0.025201,0.024221,0.025185,525.91
29,1514548800000,0.025128,0.025185,0.0238,0.025185,848.43
30,1514552400000,0.024132,0.026059,0.02402,0.0253,234.5
31,1514556000000,0.0253,0.0253,0.024005,0.024215,660.87
32,1514559600000,0.024215,0.025197,0.023701,0.0245,552.25
33,1514563200000,0.0245,0.0245,0.023731,0.024012,896.66
34,1514566800000,0.024309,0.0265,0.024003,0.024152,1294.76
35,1514570400000,0.024152,0.025697,0.024,0.024565,1878.2
36,1514574000000,0.024565,0.024905,0.024011,0.02435,312.38
37,1514577600000,0.02435,0.024905,0.024305,0.024401,760.4
38,1514581200000,0.024401,0.024904,0.024,0.02428,601.42
39,1514584800000,0.0248,0.0257,0.024001,0.0243,541.27
40,1514588400000,0.0243,0.02589,0.024002,0.02412,932.47
41,1514592000000,0.024199,0.02503,0.024004,0.024253,1043.06
42,1514595600000,0.024478,0.025547,0.02403,0.025448,640.38
43,1514599200000,0.02452,0.02452,0.02398,0.02398,362.97
44,1514602800000,0.02398,0.02513,0.02398,0.024861,91.18
45,1514606400000,0.024861,0.025409,0.02486,0.025409,287.7
46,1514610000000,0.025409,0.025448,0.024278,0.024521,75.95
47,1514613600000,0.025448,0.0265,0.02456,0.02571,504.51
48,1514617200000,0.025712,0.026368,0.025014,0.026298,188.15
49,1514620800000,0.026298,0.02723,0.026,0.026303,512.88
50,1514624400000,0.026304,0.029478,0.026303,0.027387,1154.62
51,1514628000000,0.027387,0.0295,0.025,0.02517,459.51
52,1514631600000,0.02517,0.025908,0.02459,0.02459,302.07
53,1514635200000,0.024885,0.02499,0.02456,0.02456,103.05
54,1514638800000,0.02423,0.02499,0.022,0.022,364.93
55,1514642400000,0.02486,0.025,0.023006,0.025,855.86
56,1514646000000,0.024999,0.025,0.02201,0.022326,385.65
57,1514649600000,0.022657,0.026232,0.022326,0.022326,735.87
58,1514653200000,0.022906,0.02515,0.022356,0.022712,141.79
59,1514656800000,0.022732,0.025197,0.022712,0.022999,392.44
60,1514660400000,0.022712,0.025001,0.0225,0.025,1577.34
61,1514664000000,0.024801,0.025926,0.02299,0.02407,247.87
62,1514667600000,0.023936,0.02407,0.023111,0.02407,621.77
63,1514671200000,0.024071,0.024071,0.023,0.023786,72.49
64,1514674800000,0.023786,0.025001,0.02272,0.025,1201.24
65,1514678400000,0.025,0.026,0.023069,0.025739,2688.66
66,1514682000000,0.025741,0.0283,0.023069,0.025327,696.46
67,1514685600000,0.026701,0.02899,0.026701,0.02682,1230.09
68,1514689200000,0.02682,0.029,0.024938,0.027603,1029.72
69,1514692800000,0.028,0.029317,0.027834,0.02801,799.52
70,1514696400000,0.029102,0.036998,0.029039,0.03,3490.0
71,1514700000000,0.034995,0.035,0.029,0.031235,1016.48
72,1514703600000,0.031103,0.031235,0.029041,0.029139,796.14
73,1514707200000,0.030783,0.030784,0.027221,0.027826,519.61
74,1514710800000,0.030758,0.031878,0.029423,0.030798,263.07
75,1514714400000,0.030916,0.035,0.028147,0.035,1630.48
76,1514718000000,0.035,0.0375,0.033,0.0375,1758.9
77,1514721600000,0.0389,0.0389,0.033,0.036999,1197.15
78,1514725200000,0.034256,0.035,0.032008,0.0328,629.21
79,1514728800000,0.032974,0.03449,0.031178,0.031178,836.58
80,1514732400000,0.031666,0.033,0.03144,0.032886,594.39
81,1514736000000,0.033033,0.037,0.03128,0.033296,1587.74
82,1514739600000,0.033033,0.034,0.028501,0.03151,1622.89
83,1514743200000,0.030549,0.032731,0.028625,0.028625,1182.21
84,1514746800000,0.030915,0.032332,0.02985,0.031558,1139.91
85,1514750400000,0.03139,0.032295,0.028506,0.030658,305.93
86,1514754000000,0.030658,0.032136,0.028506,0.030918,632.31
87,1514757600000,0.030918,0.035,0.030441,0.033274,808.81
88,1514761200000,0.033266,0.03676,0.028506,0.030987,1148.37
89,1514764800000,0.031304,0.034999,0.030987,0.031857,443.58
90,1514768400000,0.031722,0.033,0.028507,0.033,240.93
91,1514772000000,0.032553,0.033,0.0287,0.032213,370.6
92,1514775600000,0.031924,0.034899,0.03157,0.034899,502.68
93,1514779200000,0.033714,0.033848,0.032615,0.032615,250.92
94,1514782800000,0.032615,0.033703,0.032615,0.0335,2171.98
95,1514786400000,0.033245,0.037,0.0285,0.033062,2750.52
96,1514790000000,0.033237,0.036,0.0285,0.032769,224.08
97,1514793600000,0.033007,0.033584,0.03201,0.032873,268.13
98,1514797200000,0.033021,0.03318,0.032467,0.032704,490.38
99,1514800800000,0.032704,0.033315,0.032045,0.032805,1296.37
100,1514804400000,0.032805,0.032805,0.029001,0.031291,1206.16
101,1514808000000,0.031291,0.032399,0.029001,0.031993,269.06
102,1514811600000,0.030691,0.032317,0.030691,0.030743,283.62
103,1514815200000,0.031026,0.038251,0.0309,0.031852,1972.19
104,1514818800000,0.031754,0.032299,0.03095,0.031326,493.94
105,1514822400000,0.031311,0.03279,0.030975,0.03118,273.61
106,1514826000000,0.03117,0.031251,0.029,0.030127,737.18
107,1514829600000,0.030127,0.031899,0.029618,0.030306,611.32
108,1514833200000,0.030426,0.031,0.029909,0.030349,162.93
109,1514836800000,0.030349,0.031007,0.028643,0.030785,166.86
110,1514840400000,0.03047,0.0311,0.029879,0.030647,98.07
111,1514844000000,0.0307,0.031839,0.029879,0.030384,1553.63
112,1514847600000,0.030384,0.031344,0.030384,0.031177,110.57
113,1514851200000,0.031056,0.031344,0.03,0.030541,550.68
114,1514854800000,0.030499,0.0318,0.027001,0.027711,1282.33
115,1514858400000,0.027763,0.029018,0.02583,0.02642,574.8
116,1514862000000,0.026705,0.03051,0.025501,0.03036,264.59
117,1514865600000,0.027226,0.03051,0.026532,0.027793,1002.9
118,1514869200000,0.027793,0.02803,0.026894,0.027998,510.06
119,1514872800000,0.02775,0.02803,0.026532,0.027796,195.78
120,1514876400000,0.027799,0.029,0.026533,0.026533,237.53
121,1514880000000,0.027583,0.02838,0.027583,0.02838,441.31
122,1514883600000,0.028474,0.029067,0.027909,0.028613,218.44
123,1514887200000,0.028613,0.028613,0.028134,0.0284,28.1
124,1514890800000,0.0284,0.029,0.02783,0.02838,481.2
125,1514894400000,0.028518,0.028792,0.0277,0.028322,151.78
126,1514898000000,0.028464,0.02875,0.027671,0.02795,231.43
127,1514901600000,0.027765,0.028212,0.026355,0.027874,1545.53
128,1514905200000,0.027988,0.02991,0.027401,0.028631,873.54
129,1514908800000,0.028723,0.030299,0.0268,0.030025,1226.65
130,1514912400000,0.029765,0.030024,0.0268,0.029116,257.83
131,1514916000000,0.029222,0.029708,0.0273,0.028379,272.09
132,1514919600000,0.02799,0.030821,0.027775,0.0284,659.91
133,1514923200000,0.0294,0.031998,0.028914,0.029402,142.92
134,1514926800000,0.029402,0.03198,0.027,0.029342,541.87
135,1514930400000,0.029471,0.0336,0.028169,0.029963,550.97
136,1514934000000,0.029963,0.035001,0.0283,0.0283,1532.65
137,1514937600000,0.02943,0.030042,0.02837,0.0288,593.54
138,1514941200000,0.0287,0.0288,0.02785,0.02785,245.66
139,1514944800000,0.02785,0.0288,0.0271,0.027872,418.16
140,1514948400000,0.027859,0.028599,0.0273,0.028301,637.4
141,1514952000000,0.028202,0.03,0.028202,0.02906,297.11
142,1514955600000,0.028881,0.03,0.028,0.028193,161.28
143,1514959200000,0.028194,0.03,0.027101,0.0285,381.63
144,1514962800000,0.02844,0.02844,0.027,0.027,709.12
145,1514966400000,0.027723,0.028064,0.02718,0.027454,376.88
146,1514970000000,0.027499,0.027698,0.027201,0.027596,159.61
