,ts,open,high,low,close,volume
0,1511488800000,1.5e-06,6.41e-06,1.5e-06,2.16e-06,12662508.0
1,1511492400000,2.13e-06,2.18e-06,1.78e-06,1.88e-06,13287265.0
2,1511496000000,1.78e-06,2.04e-06,1.76e-06,1.9e-06,4266220.0
3,1511499600000,1.9e-06,1.96e-06,1.78e-06,1.96e-06,3468766.0
4,1511503200000,1.96e-06,1.97e-06,1.83e-06,1.86e-06,2557983.0
5,1511506800000,1.86e-06,1.91e-06,1.83e-06,1.86e-06,1422639.0
6,1511510400000,1.86e-06,1.86e-06,1.78e-06,1.85e-06,2086334.0
7,1511514000000,1.84e-06,2.07e-06,1.72e-06,2.07e-06,4512993.0
8,1511517600000,2.07e-06,2.16e-06,2e-06,2.14e-06,4654826.0
9,1511521200000,2.14e-06,2.59e-06,2.05e-06,2.1e-06,14714656.0
10,1511524800000,2.1e-06,2.16e-06,1.99e-06,2.07e-06,5597217.0
11,1511528400000,2.13e-06,2.13e-06,1.93e-06,2.04e-06,3396388.0
12,1511532000000,2.06e-06,2.08e-06,1.8e-06,1.92e-06,4030691.0
13,1511535600000,1.9e-06,2e-06,1.9e-06,1.93e-06,1217073.0
14,1511539200000,1.94e-06,2.05e-06,1.91e-06,2e-06,2012043.0
15,1511542800000,2e-06,2.04e-06,1.94e-06,2.03e-06,1383564.0
16,1511546400000,1.97e-06,2.05e-06,1.97e-06,1.97e-06,522200.0
17,1511550000000,1.97e-06,2e-06,1.96e-06,1.98e-06,1036032.0
18,1511553600000,1.98e-06,1.99e-06,1.89e-06,1.9e-06,1494589.0
19,1511557200000,1.91e-06,1.95e-06,1.89e-06,1.93e-06,328906.0
20,1511560800000,1.93e-06,1.93e-06,1.86e-06,1.91e-06,936544.0
21,1511564400000,1.91e-06,1.92e-06,1.87e-06,1.88e-06,926493.0
22,1511568000000,1.89e-06,1.92e-06,1.87e-06,1.9e-06,803392.0
23,1511571600000,1.92e-06,1.93e-06,1.87e-06,1.9e-06,470310.0
24,1511575200000,1.93e-06,2.04e-06,1.88e-06,1.94e-06,829331.0
25,1511578800000,1.94e-06,1.99e-06,1.87e-06,1.94e-06,1684924.0
26,1511582400000,1.91e-06,1.94e-06,1.87e-06,1.93e-06,2155515.0
27,1511586000000,1.92e-06,1.98e-06,1.9e-06,1.98e-06,588898.0
28,1511589600000,1.97e-06,2.05e-06,1.93e-06,2e-06,2050918.0
29,1511593200000,2e-06,2e-06,1.95e-06,1.95e-06,79775.0
