,ts,open,high,low,close,volume
0,1511488800000,4e-05,7.997e-05,4e-05,4.291e-05,3281877.0
1,1511492400000,4.295e-05,4.295e-05,3.531e-05,3.76e-05,6388800.0
2,1511496000000,3.758e-05,4.001e-05,3.511e-05,3.8e-05,1689340.0
3,1511499600000,3.939e-05,4.142e-05,3.531e-05,3.861e-05,1645302.0
4,1511503200000,3.861e-05,3.998e-05,3.643e-05,3.643e-05,857796.0
5,1511506800000,3.671e-05,3.887e-05,3.658e-05,3.8e-05,264741.0
6,1511510400000,3.8e-05,3.83e-05,3.8e-05,3.8e-05,1215892.0
7,1511514000000,3.73e-05,4.12e-05,3.721e-05,4.001e-05,839552.0
8,1511517600000,4.001e-05,4.142e-05,3.868e-05,4.122e-05,1668006.0
9,1511521200000,4.122e-05,5.05e-05,4.001e-05,4.1e-05,3490718.0
10,1511524800000,4.1e-05,4.199e-05,4e-05,4.031e-05,987058.0
11,1511528400000,4.016e-05,4.016e-05,3.601e-05,3.849e-05,833446.0
12,1511532000000,3.849e-05,3.85e-05,3.333e-05,3.55e-05,1755512.0
13,1511535600000,3.58e-05,3.78e-05,3.349e-05,3.4e-05,357782.0
14,1511539200000,3.401e-05,3.67e-05,3.401e-05,3.66e-05,170830.0
15,1511542800000,3.659e-05,3.66e-05,3.659e-05,3.66e-05,8470.0
16,1511546400000,3.659e-05,3.66e-05,3.58e-05,3.58e-05,112497.0
17,1511550000000,3.66e-05,3.66e-05,3.413e-05,3.606e-05,43742.0
18,1511553600000,3.606e-05,3.606e-05,3.401e-05,3.412e-05,135948.0
19,1511557200000,3.412e-05,3.412e-05,3.412e-05,3.412e-05,0.0
20,1511560800000,3.412e-05,3.449e-05,3.412e-05,3.448e-05,99900.0
21,1511564400000,3.358e-05,3.445e-05,3.15e-05,3.445e-05,354302.0
22,1511568000000,3.333e-05,3.333e-05,3.143e-05,3.144e-05,144707.0
23,1511571600000,3.175e-05,3.334e-05,3.14e-05,3.32e-05,424544.0
24,1511575200000,3.154e-05,3.448e-05,3.154e-05,3.411e-05,168681.0
25,1511578800000,3.41e-05,3.41e-05,3.274e-05,3.274e-05,251538.0
26,1511582400000,3.39e-05,3.42e-05,3.277e-05,3.42e-05,1789773.0
27,1511586000000,3.42e-05,3.56e-05,3.34e-05,3.37e-05,250235.0
28,1511589600000,3.35e-05,3.59e-05,3.331e-05,3.404e-05,944263.0
29,1511593200000,3.46e-05,3.46e-05,3.451e-05,3.453e-05,28675.0
30,1511596800000,3.458e-05,3.537e-05,3.405e-05,3.466e-05,670912.0
31,1511600400000,3.49e-05,3.53e-05,3.49e-05,3.53e-05,224040.0
32,1511604000000,3.52e-05,3.58e-05,3.415e-05,3.58e-05,324608.0
33,1511607600000,3.416e-05,3.549e-05,3.293e-05,3.3e-05,269475.0
34,1511611200000,3.299e-05,3.306e-05,3.299e-05,3.306e-05,81856.0
35,1511614800000,3.35e-05,3.547e-05,3.166e-05,3.171e-05,272271.0
36,1511618400000,3.17e-05,3.2e-05,3.15e-05,3.2e-05,575139.0
37,1511622000000,3.2e-05,3.2e-05,3.106e-05,3.2e-05,725408.0
38,1511625600000,3.19e-05,3.409e-05,3.109e-05,3.409e-05,104299.0
39,1511629200000,3.409e-05,3.409e-05,3.409e-05,3.409e-05,0.0
40,1511632800000,3.236e-05,3.409e-05,3.236e-05,3.409e-05,27848.0
41,1511636400000,3.409e-05,3.51e-05,3.39e-05,3.39e-05,17490.0
42,1511640000000,3.39e-05,3.39e-05,3.39e-05,3.39e-05,0.0
43,1511643600000,3.42e-05,3.599e-05,3.24e-05,3.24e-05,164179.0
44,1511647200000,3.477e-05,3.477e-05,3.477e-05,3.477e-05,3430.0
45,1511650800000,3.329e-05,3.334e-05,3.329e-05,3.334e-05,40632.0
46,1511654400000,3.38e-05,3.6e-05,3.256e-05,3.333e-05,505936.0
47,1511658000000,3.378e-05,3.582e-05,3.375e-05,3.44e-05,121070.0
48,1511661600000,3.44e-05,3.447e-05,3.3e-05,3.31e-05,88257.0
49,1511665200000,3.31e-05,3.358e-05,3.261e-05,3.3e-05,634905.0
50,1511668800000,3.31e-05,3.446e-05,3.31e-05,3.4e-05,78527.0
51,1511672400000,3.401e-05,3.401e-05,3.393e-05,3.393e-05,27445.0
52,1511676000000,3.393e-05,3.529e-05,3.321e-05,3.529e-05,432751.0
53,1511679600000,3.455e-05,3.482e-05,3.36e-05,3.416e-05,230484.0
54,1511683200000,3.401e-05,3.448e-05,3.327e-05,3.35e-05,76155.0
55,1511686800000,3.36e-05,3.429e-05,3.341e-05,3.341e-05,516205.0
56,1511690400000,3.442e-05,3.442e-05,3.33e-05,3.341e-05,154994.0
57,1511694000000,3.334e-05,3.344e-05,3.3e-05,3.344e-05,100926.0
58,1511697600000,3.339e-05,3.379e-05,3.28e-05,3.3e-05,202661.0
59,1511701200000,3.282e-05,3.363e-05,3.263e-05,3.278e-05,991273.0
60,1511704800000,3.278e-05,3.288e-05,3.27e-05,3.27e-05,269806.0
61,1511708400000,3.34e-05,3.35e-05,3.24e-05,3.24e-05,423745.0
62,1511712000000,3.304e-05,3.467e-05,3.235e-05,3.467e-05,318812.0
63,1511715600000,3.44e-05,3.441e-05,3.39e-05,3.39e-05,45734.0
64,1511719200000,3.401e-05,3.468e-05,3.401e-05,3.468e-05,181292.0
65,1511722800000,3.468e-05,3.468e-05,3.4e-05,3.4e-05,31292.0
66,1511726400000,3.4e-05,3.469e-05,3.399e-05,3.469e-05,34740.0
67,1511730000000,3.403e-05,3.417e-05,3.4e-05,3.417e-05,94252.0
68,1511733600000,3.366e-05,3.383e-05,3.323e-05,3.35e-05,28554.0
69,1511737200000,3.349e-05,3.349e-05,3.27e-05,3.32e-05,24334.0
70,1511740800000,3.359e-05,3.445e-05,3.353e-05,3.444e-05,64063.0
71,1511744400000,3.462e-05,3.55e-05,3.336e-05,3.38e-05,287988.0
72,1511748000000,3.352e-05,3.55e-05,3.334e-05,3.44e-05,709673.0
73,1511751600000,3.429e-05,3.429e-05,3.271e-05,3.292e-05,113156.0
74,1511755200000,3.299e-05,3.312e-05,3.292e-05,3.3e-05,254309.0
75,1511758800000,3.292e-05,3.292e-05,3.27e-05,3.271e-05,141919.0
76,1511762400000,3.271e-05,3.321e-05,3.269e-05,3.269e-05,148349.0
77,1511766000000,3.269e-05,3.27e-05,3.106e-05,3.232e-05,414527.0
78,1511769600000,3.239e-05,3.8e-05,3.239e-05,3.626e-05,4299940.0
79,1511773200000,3.597e-05,3.639e-05,3.397e-05,3.546e-05,995715.0
80,1511776800000,3.538e-05,3.575e-05,3.404e-05,3.57e-05,503931.0
81,1511780400000,3.577e-05,3.799e-05,3.548e-05,3.75e-05,1174817.0
82,1511784000000,3.697e-05,3.704e-05,3.454e-05,3.65e-05,506670.0
83,1511787600000,3.552e-05,3.552e-05,3.249e-05,3.45e-05,1452130.0
84,1511791200000,3.481e-05,3.798e-05,3.481e-05,3.555e-05,537086.0
85,1511794800000,3.6e-05,3.797e-05,3.566e-05,3.776e-05,916839.0
86,1511798400000,3.795e-05,3.8e-05,3.664e-05,3.724e-05,2953848.0
87,1511802000000,3.725e-05,3.805e-05,3.723e-05,3.8e-05,187407.0
88,1511805600000,3.8e-05,3.8e-05,3.559e-05,3.644e-05,525919.0
89,1511809200000,3.646e-05,3.802e-05,3.646e-05,3.801e-05,181894.0
90,1511812800000,3.697e-05,3.804e-05,3.683e-05,3.804e-05,255208.0
91,1511816400000,3.803e-05,3.804e-05,3.691e-05,3.691e-05,39705.0
92,1511820000000,3.704e-05,3.781e-05,3.559e-05,3.6e-05,187428.0
93,1511823600000,3.687e-05,3.687e-05,3.559e-05,3.562e-05,305806.0
94,1511827200000,3.681e-05,3.795e-05,3.681e-05,3.79e-05,997383.0
95,1511830800000,3.79e-05,3.79e-05,3.603e-05,3.785e-05,1143206.0
96,1511834400000,3.785e-05,3.983e-05,3.692e-05,3.983e-05,2947297.0
97,1511838000000,3.982e-05,3.982e-05,3.712e-05,3.901e-05,1771022.0
