,ts,open,high,low,close,volume
0,1514178000000,3.0002,21.0,3.0002,3.52,914.94
1,1514181600000,3.56,3.92997,1.5,3.59998,1184.7
2,1514185200000,3.30001,3.53732,3.30001,3.35,135.95
3,1514188800000,3.5,3.58696,3.03485,3.34798,311.48
4,1514192400000,3.33,3.5999,3.21677,3.21678,1619.38
5,1514196000000,3.14,3.43516,3.08,3.2,21.26
6,1514199600000,3.2,3.53844,3.2,3.22187,447.95
7,1514203200000,3.25277,3.37394,3.18,3.18,334.87
8,1514206800000,3.18,3.18,2.89348,3.1,324.02
9,1514210400000,3.1,3.15,2.78461,2.78461,146.89
10,1514214000000,2.78481,2.97294,2.78481,2.8053,87.21
11,1514217600000,2.79975,2.90146,2.68,2.70051,1200.45
12,1514221200000,2.701,2.91323,2.44489,2.91322,1021.48
13,1514224800000,2.8,2.8,2.76,2.76,119.42
14,1514228400000,2.79999,3.04191,2.76007,3.0,274.22
15,1514232000000,3.14999,3.15,2.95012,3.0,309.52
16,1514235600000,3.12999,3.22443,3.12999,3.18258,63.48
17,1514239200000,3.0,3.09999,2.83432,2.87628,104.3
18,1514242800000,2.87628,2.96,2.744,2.96,93.06
19,1514246400000,2.96,3.09393,2.80165,2.85057,320.14
20,1514250000000,2.85036,2.87469,2.80935,2.82631,364.11
21,1514253600000,2.827,2.827,2.48964,2.60068,953.93
22,1514257200000,2.60095,2.66759,2.44499,2.55185,1576.78
23,1514260800000,2.5353,2.59134,2.21565,2.21571,1622.24
24,1514264400000,2.24952,2.40567,2.12686,2.38776,2331.23
25,1514268000000,2.39834,2.47634,2.36115,2.39324,1100.48
26,1514271600000,2.39381,2.47589,2.36382,2.36551,525.72
27,1514275200000,2.47468,2.52135,2.35069,2.3706,1213.19
28,1514278800000,2.371,2.42196,2.32562,2.34542,386.57
29,1514282400000,2.32094,2.32094,2.22928,2.2471,188.64
30,1514286000000,2.2471,2.28364,2.18278,2.27992,284.02
31,1514289600000,2.28095,2.3739,2.23578,2.32054,99.44
32,1514293200000,2.32054,2.32054,2.17447,2.17584,112.6
33,1514296800000,2.17584,2.23578,2.08004,2.1,782.73
34,1514300400000,2.08,2.17024,2.08,2.11931,401.52
35,1514304000000,2.12358,2.16347,1.90581,2.01751,831.74
36,1514307600000,2.01777,2.01777,1.91555,1.91799,463.46
37,1514311200000,1.91799,1.98726,1.61894,1.63217,2706.43
38,1514314800000,1.63215,1.899,1.61966,1.8597,3084.88
39,1514318400000,1.86033,2.07119,1.74045,1.74095,2572.78
40,1514322000000,1.74197,1.83897,1.70384,1.80101,615.51
41,1514325600000,1.73702,1.88318,1.73702,1.78341,273.36
42,1514329200000,1.79563,1.91101,1.79563,1.8529,329.74
43,1514332800000,1.85371,1.93253,1.83673,1.91891,320.55
44,1514336400000,1.91593,1.95332,1.741,1.741,596.84
45,1514340000000,1.73838,1.79152,1.66792,1.77083,2353.53
46,1514343600000,1.77468,1.86324,1.73497,1.78938,1258.2
47,1514347200000,1.78939,1.81621,1.6468,1.67038,1487.1
48,1514350800000,1.6605,1.69998,1.54566,1.5707,770.44
49,1514354400000,1.5707,1.57558,1.5,1.502,2507.64
50,1514358000000,1.502,1.6367,1.4738,1.60932,2515.62
51,1514361600000,1.61291,1.67998,1.55446,1.61892,1291.62
52,1514365200000,1.61892,1.67162,1.61892,1.64227,390.3
53,1514368800000,1.64265,1.69999,1.58162,1.67791,1735.39
54,1514372400000,1.68033,1.73031,1.6563,1.70696,1447.58
55,1514376000000,1.70707,1.70707,1.64538,1.66355,1734.43
56,1514379600000,1.66354,2.14578,1.66238,1.69576,8626.41
