,ts,open,high,low,close,volume
0,1503547200000,0.00289,0.00289,0.00255,0.00259,1381.04
1,1503550800000,0.00262,0.002743,0.002553,0.002554,840.99
2,1503554400000,0.002555,0.002698,0.002555,0.002698,215.5
3,1503558000000,0.002699,0.002699,0.002557,0.002679,648.55
4,1503561600000,0.002559,0.00256,0.002554,0.002554,1387.19
5,1503565200000,0.002554,0.002647,0.002501,0.002501,1136.26
6,1503568800000,0.0025,0.002547,0.00242,0.00244,2038.84
7,1503572400000,0.002449,0.002478,0.00237,0.00243,5047.15
8,1503576000000,0.00243,0.002447,0.002386,0.002425,4667.98
9,1503579600000,0.002419,0.0025,0.002387,0.002426,3757.32
10,1503583200000,0.002425,0.002477,0.0024,0.002423,3031.54
11,1503586800000,0.00244,0.00244,0.002279,0.002385,6586.77
12,1503590400000,0.002419,0.002419,0.002251,0.0023,6054.42
13,1503594000000,0.0023,0.002334,0.002266,0.002291,1959.84
14,1503597600000,0.002292,0.002379,0.002292,0.002337,3601.83
15,1503601200000,0.002327,0.00235,0.00228,0.002349,1957.65
16,1503604800000,0.00235,0.002477,0.002349,0.002396,3836.7
17,1503608400000,0.002395,0.00245,0.002314,0.002337,3366.15
18,1503612000000,0.00235,0.002373,0.002251,0.002251,3596.03
19,1503615600000,0.00225,0.002313,0.002203,0.002302,2442.1
20,1503619200000,0.002302,0.002355,0.0022,0.002349,6602.67
21,1503622800000,0.002348,0.002348,0.002219,0.00225,3973.14
22,1503626400000,0.00224,0.0023,0.002221,0.002286,7451.1
23,1503630000000,0.002286,0.002289,0.002199,0.002243,5393.89
24,1503633600000,0.002244,0.002278,0.002221,0.002246,4813.3
25,1503637200000,0.00223,0.002249,0.002166,0.002168,1509.24
26,1503640800000,0.002167,0.002169,0.001999,0.002061,3224.5
27,1503644400000,0.002062,0.002121,0.002052,0.002078,3162.91
28,1503648000000,0.002078,0.002156,0.002068,0.00212,3082.33
29,1503651600000,0.00212,0.002145,0.00207,0.00207,5132.58
30,1503655200000,0.002071,0.002101,0.002011,0.002076,2961.98
31,1503658800000,0.002076,0.002094,0.001999,0.001999,3900.29
32,1503662400000,0.001999,0.002131,0.001999,0.00211,7072.25
33,1503666000000,0.002101,0.002163,0.002059,0.002141,3797.11
34,1503669600000,0.002141,0.002206,0.002123,0.0022,3461.94
35,1503673200000,0.002199,0.002262,0.002085,0.002122,4139.06
36,1503676800000,0.002122,0.002138,0.002069,0.002104,4704.3
