,ts,open,high,low,close,volume
0,1509674400000,0.004057,0.007411,0.004057,0.005926,14421.02
1,1509678000000,0.005914,0.0063,0.005207,0.0063,24706.87
2,1509681600000,0.0063,0.006998,0.005803,0.006998,21007.15
3,1509685200000,0.006998,0.006999,0.006108,0.0068,9593.99
4,1509688800000,0.00685,0.00685,0.006196,0.006196,4785.06
5,1509692400000,0.006198,0.0062,0.005812,0.006,14961.34
6,1509696000000,0.005843,0.005999,0.004649,0.004654,7632.79
7,1509699600000,0.005108,0.005999,0.005108,0.0059,12136.69
8,1509703200000,0.005938,0.0061,0.005799,0.00597,6129.05
9,1509706800000,0.005867,0.006,0.00581,0.005816,4474.03
10,1509710400000,0.0061,0.0061,0.005619,0.005643,4001.54
11,1509714000000,0.005766,0.006083,0.005744,0.006004,6554.67
12,1509717600000,0.006002,0.007306,0.006,0.00675,62311.6
13,1509721200000,0.006401,0.006601,0.0061,0.0062,14651.33
14,1509724800000,0.006002,0.0061,0.0055,0.00575,17601.51
15,1509728400000,0.0057,0.005849,0.0055,0.005527,8692.45
16,1509732000000,0.005732,0.0059,0.005412,0.005509,14995.62
17,1509735600000,0.005509,0.00575,0.005509,0.0057,2395.52
18,1509739200000,0.00575,0.0065,0.00575,0.005903,6567.6
19,1509742800000,0.005903,0.00605,0.0058,0.00605,5141.01
20,1509746400000,0.00605,0.0063,0.00605,0.0062,11185.46
21,1509750000000,0.00605,0.0062,0.0058,0.0062,777.55
22,1509753600000,0.0061,0.0061,0.00555,0.005805,3663.11
23,1509757200000,0.00592,0.006498,0.00592,0.006498,6844.87
24,1509760800000,0.006498,0.006498,0.00635,0.00635,913.33
25,1509764400000,0.006347,0.006347,0.006159,0.006263,816.47
26,1509768000000,0.006348,0.006348,0.006006,0.006006,711.44
27,1509771600000,0.006055,0.00621,0.00605,0.006162,4618.28
28,1509775200000,0.00605,0.00605,0.005921,0.00596,2821.21
29,1509778800000,0.00596,0.006097,0.00596,0.006097,3931.57
30,1509782400000,0.006073,0.0065,0.006056,0.0062,19196.06
31,1509786000000,0.00627,0.00627,0.005977,0.00618,7813.55
32,1509789600000,0.00617,0.006181,0.0061,0.0061,2496.57
33,1509793200000,0.006093,0.00627,0.00603,0.00627,6640.07
34,1509796800000,0.00627,0.00627,0.005591,0.0057,27570.48
35,1509800400000,0.0057,0.0062,0.005608,0.006082,18526.59
36,1509804000000,0.006081,0.00625,0.0058,0.0058,5868.98
37,1509807600000,0.005815,0.006091,0.005815,0.006005,3473.56
38,1509811200000,0.006005,0.0061,0.005818,0.005902,22251.07
39,1509814800000,0.005914,0.006123,0.005914,0.005915,5195.58
40,1509818400000,0.006096,0.006107,0.00592,0.005939,5897.61
41,1509822000000,0.005926,0.00605,0.005924,0.005956,10843.18
42,1509825600000,0.006048,0.006125,0.005933,0.006025,15793.61
43,1509829200000,0.006023,0.00605,0.005951,0.00604,2538.06
44,1509832800000,0.00595,0.0061,0.005932,0.005991,4624.29
45,1509836400000,0.005981,0.00615,0.005951,0.00615,8345.27
46,1509840000000,0.00615,0.0062,0.006097,0.006197,3969.83
47,1509843600000,0.006194,0.0064,0.006131,0.0062,5104.08
48,1509847200000,0.0062,0.0063,0.0062,0.006204,701.78
49,1509850800000,0.006227,0.006357,0.006224,0.006237,3251.76
50,1509854400000,0.006245,0.00635,0.0062,0.006349,7277.46
51,1509858000000,0.006349,0.0065,0.006257,0.0065,20559.63
52,1509861600000,0.00655,0.00667,0.00641,0.00641,11935.73
53,1509865200000,0.0065,0.00667,0.0065,0.00667,713.82
54,1509868800000,0.0066,0.00675,0.0062,0.00662,19608.79
55,1509872400000,0.006631,0.0067,0.00658,0.006621,8034.54
56,1509876000000,0.006621,0.0068,0.006421,0.006608,8258.48
57,1509879600000,0.006645,0.006789,0.0062,0.006629,9208.17
58,1509883200000,0.006316,0.006323,0.006201,0.00632,4685.12
59,1509886800000,0.006455,0.006455,0.0058,0.006105,26159.72
60,1509890400000,0.006101,0.006202,0.006067,0.006067,4618.39
61,1509894000000,0.006039,0.0061,0.00585,0.00585,4054.67
62,1509897600000,0.006047,0.006094,0.00585,0.00588,998.54
63,1509901200000,0.00587,0.006274,0.00587,0.006274,4129.86
64,1509904800000,0.005993,0.005993,0.005902,0.005902,1050.89
65,1509908400000,0.006171,0.0064,0.00615,0.0063,6976.62
66,1509912000000,0.0063,0.0065,0.006091,0.00635,35612.85
67,1509915600000,0.006202,0.00685,0.006202,0.006798,32671.85
68,1509919200000,0.006598,0.006599,0.00625,0.00645,5301.0
69,1509922800000,0.0063,0.00639,0.00625,0.006389,63.52
70,1509926400000,0.006502,0.006698,0.006502,0.006549,1333.61
71,1509930000000,0.006549,0.006549,0.006549,0.006549,300.0
72,1509933600000,0.006371,0.006641,0.006249,0.006449,9422.44
73,1509937200000,0.006459,0.006599,0.006299,0.006597,2477.54
74,1509940800000,0.0065,0.0065,0.006411,0.006411,3262.15
75,1509944400000,0.006559,0.006588,0.006521,0.006587,1270.94
76,1509948000000,0.006588,0.006588,0.006323,0.0064,458.56
77,1509951600000,0.006399,0.006399,0.006224,0.006399,1011.19
78,1509955200000,0.006278,0.006529,0.006254,0.006526,1104.66
79,1509958800000,0.006565,0.00675,0.006271,0.006271,13712.01
80,1509962400000,0.006301,0.0065,0.0063,0.006498,1582.49
81,1509966000000,0.00635,0.00635,0.00632,0.00632,1084.28
82,1509969600000,0.00632,0.006718,0.006313,0.006718,10065.49
83,1509973200000,0.00675,0.00675,0.0064,0.006599,5458.79
84,1509976800000,0.0066,0.00685,0.006504,0.0067,11502.34
