,ts,open,high,low,close,volume
0,1507863600000,1.292e-05,1.292e-05,1.292e-05,1.292e-05,100.0
1,1507867200000,0.00022,0.00022,2.052e-05,2.4e-05,600711.0
2,1507870800000,2.231e-05,2.415e-05,1.922e-05,2.204e-05,387996.0
3,1507874400000,2.28e-05,2.328e-05,2.189e-05,2.21e-05,210760.0
4,1507878000000,2.236e-05,2.239e-05,1.718e-05,1.907e-05,402290.0
5,1507881600000,1.919e-05,1.974e-05,1.823e-05,1.889e-05,27371.0
6,1507885200000,1.889e-05,1.945e-05,1.845e-05,1.846e-05,30015.0
7,1507888800000,1.891e-05,1.939e-05,1.845e-05,1.845e-05,62349.0
8,1507892400000,1.846e-05,1.899e-05,1.824e-05,1.825e-05,33209.0
9,1507896000000,1.825e-05,1.949e-05,1.78e-05,1.9e-05,125767.0
10,1507899600000,1.9e-05,1.958e-05,1.895e-05,1.903e-05,127557.0
11,1507903200000,1.904e-05,1.944e-05,1.807e-05,1.81e-05,62913.0
12,1507906800000,1.811e-05,1.958e-05,1.808e-05,1.958e-05,114847.0
13,1507910400000,1.958e-05,1.958e-05,1.815e-05,1.882e-05,101511.0
14,1507914000000,1.885e-05,2.15e-05,1.883e-05,1.92e-05,238971.0
15,1507917600000,1.92e-05,2.246e-05,1.904e-05,2.102e-05,273389.0
16,1507921200000,2.209e-05,2.409e-05,2.001e-05,2.364e-05,320526.0
17,1507924800000,2.201e-05,2.203e-05,2.15e-05,2.152e-05,51233.0
18,1507928400000,2.19e-05,2.19e-05,2.014e-05,2.014e-05,49486.0
19,1507932000000,2.015e-05,2.172e-05,1.902e-05,2.09e-05,190707.0
20,1507935600000,2.09e-05,2.148e-05,2e-05,2e-05,36628.0
21,1507939200000,1.996e-05,2e-05,1.9e-05,1.9e-05,37153.0
22,1507942800000,1.901e-05,1.923e-05,1.865e-05,1.9e-05,19165.0
23,1507946400000,1.9e-05,1.924e-05,1.868e-05,1.924e-05,13065.0
24,1507950000000,1.924e-05,2e-05,1.869e-05,1.999e-05,23918.0
25,1507953600000,1.979e-05,2e-05,1.937e-05,2e-05,76745.0
26,1507957200000,2.005e-05,2.07e-05,1.868e-05,1.9e-05,248815.0
27,1507960800000,1.9e-05,1.944e-05,1.872e-05,1.905e-05,26117.0
28,1507964400000,1.909e-05,1.924e-05,1.879e-05,1.924e-05,16195.0
29,1507968000000,1.9e-05,1.918e-05,1.9e-05,1.918e-05,8080.0
30,1507971600000,1.92e-05,1.95e-05,1.91e-05,1.949e-05,34957.0
31,1507975200000,1.926e-05,1.926e-05,1.9e-05,1.9e-05,32100.0
32,1507978800000,1.9e-05,1.95e-05,1.868e-05,1.923e-05,30891.0
33,1507982400000,1.923e-05,2e-05,1.923e-05,2e-05,19285.0
34,1507986000000,1.999e-05,1.999e-05,1.872e-05,1.872e-05,15982.0
35,1507989600000,1.872e-05,1.872e-05,1.871e-05,1.871e-05,4267.0
36,1507993200000,1.872e-05,1.932e-05,1.872e-05,1.915e-05,6367.0
37,1507996800000,1.915e-05,1.998e-05,1.877e-05,1.998e-05,55640.0
38,1508000400000,1.895e-05,1.895e-05,1.868e-05,1.873e-05,44936.0
39,1508004000000,1.874e-05,1.973e-05,1.868e-05,1.91e-05,59657.0
40,1508007600000,1.91e-05,1.91e-05,1.856e-05,1.857e-05,68447.0
41,1508011200000,1.9e-05,1.93e-05,1.791e-05,1.791e-05,108004.0
42,1508014800000,1.798e-05,1.9e-05,1.79e-05,1.9e-05,35237.0
43,1508018400000,1.9e-05,1.929e-05,1.79e-05,1.929e-05,21152.0
44,1508022000000,1.927e-05,1.927e-05,1.7e-05,1.72e-05,245437.0
45,1508025600000,1.72e-05,1.892e-05,1.7e-05,1.7e-05,145132.0
46,1508029200000,1.7e-05,1.89e-05,1.668e-05,1.88e-05,39891.0
47,1508032800000,1.8e-05,1.8e-05,1.61e-05,1.62e-05,50548.0
48,1508036400000,1.724e-05,1.724e-05,1.627e-05,1.646e-05,59711.0
49,1508040000000,1.714e-05,1.77e-05,1.663e-05,1.77e-05,24179.0
50,1508043600000,1.77e-05,1.8e-05,1.77e-05,1.8e-05,20955.0
51,1508047200000,1.811e-05,1.811e-05,1.764e-05,1.764e-05,12448.0
52,1508050800000,1.764e-05,1.766e-05,1.701e-05,1.751e-05,112789.0
53,1508054400000,1.747e-05,1.82e-05,1.712e-05,1.8e-05,137600.0
54,1508058000000,1.741e-05,1.854e-05,1.741e-05,1.8e-05,43194.0
55,1508061600000,1.774e-05,1.775e-05,1.716e-05,1.716e-05,106474.0
56,1508065200000,1.72e-05,1.792e-05,1.72e-05,1.792e-05,40727.0
57,1508068800000,1.754e-05,1.808e-05,1.752e-05,1.808e-05,17400.0
58,1508072400000,1.793e-05,1.799e-05,1.765e-05,1.765e-05,8230.0
59,1508076000000,1.743e-05,1.785e-05,1.743e-05,1.785e-05,10790.0
60,1508079600000,1.785e-05,1.785e-05,1.628e-05,1.75e-05,239934.0
61,1508083200000,1.75e-05,1.75e-05,1.711e-05,1.717e-05,2405.0
62,1508086800000,1.744e-05,1.797e-05,1.744e-05,1.797e-05,8032.0
63,1508090400000,1.746e-05,1.746e-05,1.713e-05,1.731e-05,34142.0
64,1508094000000,1.731e-05,1.746e-05,1.643e-05,1.746e-05,53397.0
65,1508097600000,1.687e-05,1.755e-05,1.635e-05,1.689e-05,154562.0
66,1508101200000,1.684e-05,1.743e-05,1.663e-05,1.743e-05,34257.0
67,1508104800000,1.7e-05,1.743e-05,1.7e-05,1.718e-05,21248.0
68,1508108400000,1.718e-05,1.718e-05,1.718e-05,1.718e-05,0.0
69,1508112000000,1.699e-05,1.699e-05,1.68e-05,1.684e-05,13374.0
70,1508115600000,1.69e-05,1.69e-05,1.68e-05,1.68e-05,22721.0
71,1508119200000,1.681e-05,1.73e-05,1.631e-05,1.718e-05,23772.0
72,1508122800000,1.719e-05,1.736e-05,1.718e-05,1.736e-05,9145.0
73,1508126400000,1.713e-05,1.713e-05,1.703e-05,1.71e-05,4378.0
74,1508130000000,1.732e-05,1.732e-05,1.703e-05,1.711e-05,10836.0
75,1508133600000,1.703e-05,1.747e-05,1.701e-05,1.747e-05,37061.0
76,1508137200000,1.747e-05,1.747e-05,1.628e-05,1.652e-05,90932.0
77,1508140800000,1.652e-05,1.719e-05,1.632e-05,1.719e-05,16730.0
78,1508144400000,1.653e-05,1.686e-05,1.653e-05,1.682e-05,26024.0
79,1508148000000,1.69e-05,1.72e-05,1.682e-05,1.701e-05,43614.0
80,1508151600000,1.702e-05,1.718e-05,1.69e-05,1.69e-05,28683.0
81,1508155200000,1.67e-05,1.67e-05,1.621e-05,1.621e-05,52441.0
82,1508158800000,1.622e-05,1.688e-05,1.61e-05,1.611e-05,52177.0
83,1508162400000,1.635e-05,1.635e-05,1.611e-05,1.611e-05,6468.0
84,1508166000000,1.611e-05,1.611e-05,1.501e-05,1.52e-05,85029.0
85,1508169600000,1.52e-05,1.652e-05,1.501e-05,1.652e-05,43274.0
86,1508173200000,1.507e-05,1.511e-05,1.501e-05,1.51e-05,4724.0
87,1508176800000,1.566e-05,1.579e-05,1.513e-05,1.558e-05,19811.0
88,1508180400000,1.596e-05,1.925e-05,1.59e-05,1.898e-05,131157.0
89,1508184000000,1.707e-05,1.768e-05,1.673e-05,1.691e-05,42707.0
90,1508187600000,1.815e-05,1.831e-05,1.815e-05,1.83e-05,55515.0
91,1508191200000,1.826e-05,1.826e-05,1.826e-05,1.826e-05,490.0
92,1508194800000,1.826e-05,1.826e-05,1.826e-05,1.826e-05,0.0
93,1508198400000,1.826e-05,1.826e-05,1.826e-05,1.826e-05,0.0
94,1508202000000,1.788e-05,1.789e-05,1.788e-05,1.789e-05,1533.0
95,1508205600000,1.788e-05,1.788e-05,1.647e-05,1.661e-05,4477.0
96,1508209200000,1.661e-05,1.661e-05,1.646e-05,1.646e-05,11000.0
97,1508212800000,1.655e-05,1.759e-05,1.655e-05,1.759e-05,9373.0
98,1508216400000,1.745e-05,1.757e-05,1.7e-05,1.757e-05,12419.0
99,1508220000000,1.681e-05,1.748e-05,1.628e-05,1.628e-05,21113.0
100,1508223600000,1.616e-05,1.616e-05,1.615e-05,1.615e-05,34575.0
101,1508227200000,1.602e-05,1.631e-05,1.601e-05,1.601e-05,23248.0
102,1508230800000,1.643e-05,1.753e-05,1.602e-05,1.602e-05,33214.0
103,1508234400000,1.601e-05,1.601e-05,1.6e-05,1.6e-05,13014.0
104,1508238000000,1.606e-05,1.696e-05,1.531e-05,1.531e-05,163988.0
105,1508241600000,1.533e-05,1.652e-05,1.532e-05,1.6e-05,231750.0
106,1508245200000,1.6e-05,1.6e-05,1.6e-05,1.6e-05,0.0
107,1508248800000,1.6e-05,1.6e-05,1.535e-05,1.561e-05,54629.0
108,1508252400000,1.565e-05,1.565e-05,1.544e-05,1.544e-05,10859.0
109,1508256000000,1.545e-05,1.596e-05,1.5e-05,1.596e-05,200577.0
110,1508259600000,1.596e-05,1.596e-05,1.517e-05,1.528e-05,8671.0
111,1508263200000,1.528e-05,1.593e-05,1.528e-05,1.593e-05,926.0
112,1508266800000,1.593e-05,1.617e-05,1.522e-05,1.525e-05,18764.0
113,1508270400000,1.531e-05,1.531e-05,1.525e-05,1.525e-05,9889.0
114,1508274000000,1.531e-05,1.619e-05,1.527e-05,1.527e-05,15811.0
115,1508277600000,1.528e-05,1.597e-05,1.522e-05,1.597e-05,13240.0
116,1508281200000,1.523e-05,1.574e-05,1.5e-05,1.503e-05,19494.0
117,1508284800000,1.572e-05,1.575e-05,1.537e-05,1.537e-05,5526.0
118,1508288400000,1.59e-05,1.715e-05,1.59e-05,1.616e-05,106719.0
119,1508292000000,1.562e-05,1.61e-05,1.562e-05,1.6e-05,15606.0
120,1508295600000,1.594e-05,1.599e-05,1.314e-05,1.411e-05,403942.0
121,1508299200000,1.554e-05,1.554e-05,1.442e-05,1.511e-05,35125.0
122,1508302800000,1.553e-05,1.553e-05,1.553e-05,1.553e-05,6164.0
123,1508306400000,1.569e-05,1.6e-05,1.569e-05,1.6e-05,54569.0
124,1508310000000,1.6e-05,1.615e-05,1.6e-05,1.615e-05,6830.0
125,1508313600000,1.596e-05,1.715e-05,1.554e-05,1.554e-05,76292.0
126,1508317200000,1.564e-05,1.564e-05,1.554e-05,1.555e-05,5443.0
127,1508320800000,1.56e-05,1.614e-05,1.56e-05,1.602e-05,22927.0
128,1508324400000,1.603e-05,1.619e-05,1.511e-05,1.583e-05,207156.0
129,1508328000000,1.531e-05,1.531e-05,1.495e-05,1.495e-05,87346.0
130,1508331600000,1.504e-05,1.629e-05,1.503e-05,1.506e-05,55865.0
131,1508335200000,1.506e-05,1.599e-05,1.503e-05,1.598e-05,115528.0
132,1508338800000,1.521e-05,1.597e-05,1.502e-05,1.597e-05,163671.0
133,1508342400000,1.52e-05,1.566e-05,1.45e-05,1.5e-05,251161.0
134,1508346000000,1.471e-05,1.499e-05,1.421e-05,1.489e-05,164170.0
135,1508349600000,1.487e-05,1.553e-05,1.443e-05,1.553e-05,76788.0
136,1508353200000,1.586e-05,1.598e-05,1.449e-05,1.598e-05,222930.0
137,1508356800000,1.598e-05,1.598e-05,1.454e-05,1.491e-05,118187.0
138,1508360400000,1.513e-05,1.599e-05,1.495e-05,1.561e-05,142831.0
139,1508364000000,1.52e-05,1.594e-05,1.519e-05,1.57e-05,76061.0
140,1508367600000,1.51e-05,1.51e-05,1.461e-05,1.502e-05,53143.0
141,1508371200000,1.506e-05,1.589e-05,1.423e-05,1.579e-05,141980.0
142,1508374800000,1.55e-05,1.55e-05,1.459e-05,1.549e-05,19183.0
143,1508378400000,1.549e-05,1.58e-05,1.549e-05,1.55e-05,9255.0
144,1508382000000,1.5e-05,1.55e-05,1.492e-05,1.492e-05,500.0
145,1508385600000,1.5e-05,1.5e-05,1.492e-05,1.492e-05,908.0
146,1508389200000,1.492e-05,1.549e-05,1.492e-05,1.549e-05,19694.0
147,1508392800000,1.5e-05,1.526e-05,1.5e-05,1.525e-05,14277.0
148,1508396400000,1.5e-05,1.569e-05,1.402e-05,1.567e-05,102292.0
149,1508400000000,1.567e-05,1.57e-05,1.4e-05,1.55e-05,212547.0
150,1508403600000,1.55e-05,1.57e-05,1.481e-05,1.535e-05,11310.0
151,1508407200000,1.535e-05,1.557e-05,1.535e-05,1.557e-05,20909.0
152,1508410800000,1.557e-05,1.561e-05,1.501e-05,1.533e-05,9720.0
153,1508414400000,1.529e-05,1.529e-05,1.527e-05,1.527e-05,788.0
154,1508418000000,1.52e-05,1.551e-05,1.501e-05,1.535e-05,70311.0
155,1508421600000,1.551e-05,1.562e-05,1.5e-05,1.5e-05,76475.0
156,1508425200000,1.49e-05,1.505e-05,1.48e-05,1.505e-05,23769.0
157,1508428800000,1.504e-05,1.504e-05,1.504e-05,1.504e-05,2888.0
158,1508432400000,1.504e-05,1.504e-05,1.471e-05,1.471e-05,10528.0
159,1508436000000,1.473e-05,1.53e-05,1.472e-05,1.472e-05,43711.0
160,1508439600000,1.472e-05,1.515e-05,1.472e-05,1.515e-05,1467.0
161,1508443200000,1.515e-05,1.523e-05,1.471e-05,1.523e-05,14957.0
162,1508446800000,1.515e-05,1.515e-05,1.405e-05,1.47e-05,82578.0
163,1508450400000,1.429e-05,1.47e-05,1.332e-05,1.332e-05,340887.0
164,1508454000000,1.35e-05,1.434e-05,1.301e-05,1.42e-05,54612.0
165,1508457600000,1.301e-05,1.443e-05,1.278e-05,1.287e-05,91096.0
166,1508461200000,1.292e-05,1.389e-05,1.292e-05,1.321e-05,7603.0
167,1508464800000,1.326e-05,1.379e-05,1.326e-05,1.336e-05,10785.0
168,1508468400000,1.336e-05,1.38e-05,1.336e-05,1.379e-05,46486.0
169,1508472000000,1.379e-05,1.379e-05,1.379e-05,1.379e-05,2605.0
170,1508475600000,1.357e-05,1.378e-05,1.356e-05,1.356e-05,20729.0
171,1508479200000,1.378e-05,1.38e-05,1.356e-05,1.37e-05,40290.0
172,1508482800000,1.37e-05,1.38e-05,1.345e-05,1.345e-05,35161.0
173,1508486400000,1.345e-05,1.357e-05,1.336e-05,1.357e-05,17947.0
174,1508490000000,1.377e-05,1.38e-05,1.377e-05,1.38e-05,4285.0
175,1508493600000,1.345e-05,1.369e-05,1.301e-05,1.368e-05,142109.0
176,1508497200000,1.369e-05,1.374e-05,1.369e-05,1.373e-05,2577.0
177,1508500800000,1.379e-05,1.379e-05,1.379e-05,1.379e-05,4483.0
178,1508504400000,1.352e-05,1.352e-05,1.256e-05,1.277e-05,137346.0
179,1508508000000,1.299e-05,1.356e-05,1.256e-05,1.257e-05,231642.0
180,1508511600000,1.289e-05,1.353e-05,1.228e-05,1.255e-05,62296.0
181,1508515200000,1.255e-05,1.26e-05,1.229e-05,1.259e-05,39414.0
182,1508518800000,1.308e-05,1.308e-05,1.258e-05,1.259e-05,32305.0
183,1508522400000,1.23e-05,1.337e-05,1.206e-05,1.337e-05,29324.0
184,1508526000000,1.275e-05,1.275e-05,1.27e-05,1.27e-05,2254.0
185,1508529600000,1.233e-05,1.265e-05,1.205e-05,1.205e-05,48729.0
186,1508533200000,1.2e-05,1.282e-05,1.163e-05,1.28e-05,129219.0
187,1508536800000,1.279e-05,1.346e-05,1.211e-05,1.221e-05,23704.0
188,1508540400000,1.281e-05,1.373e-05,1.258e-05,1.28e-05,98628.0
189,1508544000000,1.366e-05,1.366e-05,1.281e-05,1.281e-05,165.0
190,1508547600000,1.282e-05,1.346e-05,1.281e-05,1.288e-05,9863.0
191,1508551200000,1.29e-05,1.293e-05,1.29e-05,1.293e-05,19697.0
192,1508554800000,1.291e-05,1.293e-05,1.287e-05,1.287e-05,27090.0
193,1508558400000,1.287e-05,1.292e-05,1.265e-05,1.292e-05,6497.0
194,1508562000000,1.292e-05,1.292e-05,1.292e-05,1.292e-05,0.0
195,1508565600000,1.265e-05,1.289e-05,1.218e-05,1.218e-05,70256.0
196,1508569200000,1.219e-05,1.22e-05,1.217e-05,1.217e-05,71952.0
197,1508572800000,1.209e-05,1.243e-05,1.209e-05,1.243e-05,110.0
198,1508576400000,1.243e-05,1.243e-05,1.204e-05,1.204e-05,10450.0
199,1508580000000,1.204e-05,1.242e-05,1.201e-05,1.242e-05,31566.0
200,1508583600000,1.202e-05,1.292e-05,1.161e-05,1.213e-05,162029.0
201,1508587200000,1.344e-05,1.45e-05,1.272e-05,1.283e-05,490591.0
202,1508590800000,1.282e-05,1.364e-05,1.28e-05,1.3e-05,49993.0
203,1508594400000,1.346e-05,1.363e-05,1.28e-05,1.291e-05,32875.0
204,1508598000000,1.282e-05,1.539e-05,1.276e-05,1.38e-05,809038.0
