,ts,open,high,low,close,volume
0,1507536000000,0.000674,0.001598,0.000674,0.00135,3532.17
1,1507539600000,0.00135,0.001415,0.001319,0.001403,888.63
2,1507543200000,0.00141,0.00141,0.001351,0.00141,694.41
3,1507546800000,0.00141,0.001411,0.001363,0.001363,257.33
4,1507550400000,0.001336,0.001336,0.001315,0.001316,323.33
5,1507554000000,0.001397,0.00141,0.001388,0.001388,93.48
6,1507557600000,0.001407,0.001432,0.0014,0.001432,481.61
7,1507561200000,0.001432,0.00145,0.0014,0.001408,482.11
8,1507564800000,0.001374,0.001374,0.001255,0.001255,749.89
9,1507568400000,0.001254,0.001255,0.001254,0.001255,295.5
10,1507572000000,0.001244,0.001244,0.001211,0.001213,233.35
11,1507575600000,0.001213,0.001213,0.001211,0.001212,1017.38
12,1507579200000,0.001275,0.001372,0.001275,0.001349,173.69
13,1507582800000,0.001349,0.001349,0.001344,0.001344,6.56
14,1507586400000,0.001343,0.001343,0.001205,0.001205,321.14
15,1507590000000,0.001206,0.001299,0.001186,0.001186,629.44
16,1507593600000,0.001215,0.001281,0.001215,0.00125,915.36
17,1507597200000,0.001199,0.001269,0.001187,0.001269,880.54
18,1507600800000,0.001269,0.001311,0.001269,0.001286,1382.63
19,1507604400000,0.001235,0.001372,0.001132,0.001372,5703.82
20,1507608000000,0.001372,0.00138,0.00135,0.00135,1960.29
21,1507611600000,0.00135,0.001486,0.00135,0.001479,1254.58
22,1507615200000,0.001469,0.001471,0.0014,0.0014,1219.47
23,1507618800000,0.001424,0.001441,0.001312,0.001437,156.58
24,1507622400000,0.001435,0.001455,0.00143,0.001455,527.11
25,1507626000000,0.001455,0.001456,0.001455,0.001455,306.14
26,1507629600000,0.001455,0.001487,0.001437,0.001487,171.91
27,1507633200000,0.0014,0.001486,0.001399,0.001486,137.77
28,1507636800000,0.001455,0.001495,0.001455,0.001495,139.39
29,1507640400000,0.00144,0.001495,0.00144,0.001495,25.6
30,1507644000000,0.001471,0.001472,0.001443,0.001443,270.59
31,1507647600000,0.001372,0.001451,0.001372,0.001423,72.38
32,1507651200000,0.001444,0.00155,0.001444,0.00155,434.47
33,1507654800000,0.00155,0.00155,0.00155,0.00155,0.0
34,1507658400000,0.001588,0.001595,0.001588,0.001595,274.79
35,1507662000000,0.001598,0.00178,0.001588,0.00178,646.95
36,1507665600000,0.001594,0.001729,0.001591,0.001591,572.22
37,1507669200000,0.001591,0.001779,0.001574,0.001574,776.69
38,1507672800000,0.00166,0.001661,0.00163,0.00163,693.89
39,1507676400000,0.00163,0.00175,0.001605,0.00175,705.61
40,1507680000000,0.001735,0.001749,0.001607,0.001749,204.43
41,1507683600000,0.001749,0.001777,0.00168,0.00168,83.14
42,1507687200000,0.00168,0.001685,0.00162,0.00162,441.29
43,1507690800000,0.001628,0.001628,0.001628,0.001628,5.0
44,1507694400000,0.001621,0.001685,0.001621,0.001685,149.47
45,1507698000000,0.001622,0.001622,0.00162,0.00162,175.68
46,1507701600000,0.001551,0.001586,0.00155,0.001586,26.0
47,1507705200000,0.0015,0.0015,0.0015,0.0015,336.87
48,1507708800000,0.001577,0.00162,0.001577,0.00162,391.65
49,1507712400000,0.001498,0.001498,0.001487,0.001488,70.56
50,1507716000000,0.001489,0.001489,0.001489,0.001489,131.79
51,1507719600000,0.0016,0.001618,0.001599,0.001599,164.34
52,1507723200000,0.001595,0.0016,0.001595,0.0016,142.98
53,1507726800000,0.0016,0.0016,0.0016,0.0016,0.0
54,1507730400000,0.0016,0.0016,0.0016,0.0016,0.0
55,1507734000000,0.001589,0.001589,0.001589,0.001589,120.12
56,1507737600000,0.001588,0.001588,0.001501,0.001501,60.87
57,1507741200000,0.001502,0.001502,0.001502,0.001502,10.99
58,1507744800000,0.001502,0.001502,0.001502,0.001502,0.0
59,1507748400000,0.001503,0.001503,0.001503,0.001503,5.07
60,1507752000000,0.001504,0.001504,0.001504,0.001504,88.3
61,1507755600000,0.001585,0.001586,0.00152,0.00152,147.98
62,1507759200000,0.00152,0.001776,0.00152,0.001776,1263.42
63,1507762800000,0.00177,0.00177,0.00177,0.00177,4.12
64,1507766400000,0.00173,0.001776,0.00173,0.001775,108.62
65,1507770000000,0.001521,0.001521,0.001492,0.001492,504.9
66,1507773600000,0.001754,0.001754,0.001501,0.001732,25.78
67,1507777200000,0.001558,0.001558,0.0015,0.0015,88.32
68,1507780800000,0.001502,0.001558,0.001502,0.001558,18.56
69,1507784400000,0.001501,0.001501,0.001463,0.001463,306.74
70,1507788000000,0.001412,0.001412,0.001412,0.001412,43.28
71,1507791600000,0.001412,0.001462,0.001412,0.001462,229.52
72,1507795200000,0.001419,0.001419,0.001396,0.0014,622.43
73,1507798800000,0.0014,0.001401,0.00138,0.00138,225.11
74,1507802400000,0.001381,0.001381,0.001354,0.001354,84.45
75,1507806000000,0.001358,0.001358,0.001358,0.001358,12.27
76,1507809600000,0.001357,0.001357,0.001357,0.001357,41.57
77,1507813200000,0.001366,0.001366,0.001354,0.001354,107.56
78,1507816800000,0.001359,0.001359,0.001358,0.001358,14.86
79,1507820400000,0.001358,0.001358,0.00135,0.00135,208.57
80,1507824000000,0.00135,0.00187,0.001157,0.00133,2019.86
81,1507827600000,0.00133,0.00134,0.00133,0.00134,52.96
82,1507831200000,0.001342,0.001342,0.001258,0.001258,1148.4
83,1507834800000,0.001599,0.001599,0.001265,0.001265,33.05
84,1507838400000,0.00154,0.001599,0.00154,0.001599,154.44
85,1507842000000,0.001599,0.001599,0.001597,0.001597,473.83
86,1507845600000,0.001391,0.00141,0.001391,0.00141,399.76
87,1507849200000,0.0014,0.0014,0.001332,0.001332,260.5
88,1507852800000,0.001332,0.001332,0.001332,0.001332,0.0
89,1507856400000,0.001361,0.001388,0.001361,0.001388,109.21
90,1507860000000,0.001388,0.001388,0.001388,0.001388,0.0
91,1507863600000,0.001348,0.001348,0.001348,0.001348,12.0
92,1507867200000,0.001274,0.001274,0.0012,0.0012,761.85
93,1507870800000,0.0012,0.00129,0.0012,0.00129,810.95
94,1507874400000,0.001523,0.001523,0.001251,0.001251,182.77
95,1507878000000,0.001252,0.001252,0.001252,0.001252,2.2
96,1507881600000,0.001251,0.001252,0.00125,0.00125,345.43
97,1507885200000,0.001221,0.001221,0.001221,0.001221,1.0
98,1507888800000,0.001221,0.001221,0.001221,0.001221,0.0
99,1507892400000,0.001221,0.001221,0.001221,0.001221,0.0
100,1507896000000,0.001221,0.001221,0.001221,0.001221,0.0
101,1507899600000,0.001369,0.001371,0.001319,0.001371,8.9
102,1507903200000,0.001373,0.001375,0.001145,0.001246,73.92
103,1507906800000,0.001246,0.001246,0.001246,0.001246,0.0
104,1507910400000,0.001246,0.001246,0.001246,0.001246,0.0
105,1507914000000,0.001251,0.001351,0.001176,0.001176,37.38
106,1507917600000,0.001171,0.00142,0.001171,0.001312,106.34
107,1507921200000,0.001471,0.001471,0.001471,0.001471,617.69
108,1507924800000,0.001452,0.001452,0.001452,0.001452,293.11
109,1507928400000,0.0014,0.001401,0.0014,0.001401,98.27
110,1507932000000,0.001411,0.00147,0.001411,0.00147,165.6
111,1507935600000,0.00147,0.00147,0.00141,0.00141,63.43
112,1507939200000,0.00141,0.00141,0.0013,0.001301,178.57
113,1507942800000,0.001301,0.001301,0.0013,0.001301,313.16
114,1507946400000,0.001301,0.001301,0.001301,0.001301,8.31
115,1507950000000,0.00134,0.00134,0.00134,0.00134,2.01
116,1507953600000,0.001302,0.001302,0.001302,0.001302,19.0
117,1507957200000,0.00134,0.00134,0.001303,0.001303,114.08
118,1507960800000,0.001458,0.001458,0.001458,0.001458,171.18
119,1507964400000,0.001458,0.001458,0.001367,0.001381,24.36
120,1507968000000,0.001381,0.001382,0.00138,0.001381,250.88
121,1507971600000,0.001367,0.001367,0.00135,0.00135,173.73
122,1507975200000,0.001351,0.0014,0.00135,0.0014,47.61
123,1507978800000,0.00135,0.001351,0.0013,0.0013,460.6
124,1507982400000,0.0013,0.0013,0.0013,0.0013,0.0
125,1507986000000,0.00129,0.00147,0.00129,0.00147,161.39
126,1507989600000,0.001291,0.001291,0.001283,0.001283,60.23
127,1507993200000,0.001283,0.001283,0.001283,0.001283,0.0
128,1507996800000,0.00129,0.0021,0.001216,0.00132,1260.68
129,1508000400000,0.001322,0.001346,0.001246,0.001246,608.78
130,1508004000000,0.001346,0.001565,0.001304,0.001315,96.51
131,1508007600000,0.001315,0.001325,0.001315,0.001316,148.82
132,1508011200000,0.001316,0.001316,0.001315,0.001315,394.24
133,1508014800000,0.001315,0.001315,0.001315,0.001315,0.0
134,1508018400000,0.001245,0.001245,0.001216,0.001216,19.98
135,1508022000000,0.001216,0.001216,0.001216,0.001216,299.7
136,1508025600000,0.001217,0.001217,0.001216,0.001216,75.33
137,1508029200000,0.001276,0.001276,0.001276,0.001276,74.25
138,1508032800000,0.001276,0.001276,0.001276,0.001276,0.0
139,1508036400000,0.001276,0.001276,0.001276,0.001276,0.0
140,1508040000000,0.001276,0.001276,0.001276,0.001276,0.0
141,1508043600000,0.001216,0.001216,0.001216,0.001216,4.69
142,1508047200000,0.001216,0.001216,0.001216,0.001216,0.0
143,1508050800000,0.001249,0.001249,0.001248,0.001248,59.54
144,1508054400000,0.001248,0.001248,0.001248,0.001248,0.0
145,1508058000000,0.00129,0.00129,0.00129,0.00129,41.04
146,1508061600000,0.00129,0.00129,0.00129,0.00129,11.0
147,1508065200000,0.00129,0.00129,0.00129,0.00129,0.0
148,1508068800000,0.00129,0.00129,0.00129,0.00129,0.0
149,1508072400000,0.00129,0.00129,0.00129,0.00129,0.0
150,1508076000000,0.001322,0.001322,0.001322,0.001322,78.0
151,1508079600000,0.001322,0.001322,0.001298,0.001307,238.54
152,1508083200000,0.00125,0.001307,0.001231,0.001307,163.78
153,1508086800000,0.001307,0.001307,0.001307,0.001307,16.0
154,1508090400000,0.001307,0.001307,0.001307,0.001307,0.0
155,1508094000000,0.001307,0.001307,0.001307,0.001307,12.0
156,1508097600000,0.001299,0.001299,0.001299,0.001299,21.63
157,1508101200000,0.001307,0.001307,0.001307,0.001307,130.06
158,1508104800000,0.00128,0.001299,0.00128,0.001299,272.78
159,1508108400000,0.001299,0.001299,0.001299,0.001299,98.62
160,1508112000000,0.001254,0.001254,0.00115,0.00115,161.77
161,1508115600000,0.00115,0.00115,0.00115,0.00115,0.0
162,1508119200000,0.001307,0.001307,0.001307,0.001307,10.02
163,1508122800000,0.001307,0.001307,0.001307,0.001307,0.0
164,1508126400000,0.001307,0.001307,0.001307,0.001307,44.29
165,1508130000000,0.001307,0.001307,0.001307,0.001307,2.25
166,1508133600000,0.001307,0.001307,0.001307,0.001307,0.0
167,1508137200000,0.001307,0.001307,0.001307,0.001307,51.29
168,1508140800000,0.001307,0.001307,0.001307,0.001307,0.0
169,1508144400000,0.001206,0.001307,0.001206,0.001307,3.22
170,1508148000000,0.001307,0.001307,0.001307,0.001307,0.0
171,1508151600000,0.001307,0.001307,0.001307,0.001307,0.0
172,1508155200000,0.001307,0.001307,0.001307,0.001307,15.0
173,1508158800000,0.001307,0.001307,0.001307,0.001307,0.0
174,1508162400000,0.001307,0.001307,0.001307,0.001307,19.59
175,1508166000000,0.001307,0.001307,0.0013,0.0013,3.0
176,1508169600000,0.0013,0.0013,0.0013,0.0013,0.0
177,1508173200000,0.0013,0.0013,0.0013,0.0013,0.0
178,1508176800000,0.001307,0.0015,0.001307,0.0015,1.0
179,1508180400000,0.001168,0.001168,0.001168,0.001168,17.31
180,1508184000000,0.001188,0.001188,0.001188,0.001188,0.2
181,1508187600000,0.001188,0.001188,0.001188,0.001188,0.0
182,1508191200000,0.001301,0.001301,0.001301,0.001301,7.69
183,1508194800000,0.001301,0.001301,0.001301,0.001301,0.0
184,1508198400000,0.00142,0.00142,0.0012,0.0012,73.35
185,1508202000000,0.001399,0.001399,0.001399,0.001399,7.95
186,1508205600000,0.001399,0.0014,0.001399,0.0014,5.49
187,1508209200000,0.0014,0.0014,0.0014,0.0014,3.95
188,1508212800000,0.001399,0.001399,0.001261,0.001261,11.0
189,1508216400000,0.001261,0.001261,0.001261,0.001261,0.0
190,1508220000000,0.001399,0.00145,0.001399,0.00145,147.92
191,1508223600000,0.00145,0.00145,0.00145,0.00145,30.0
192,1508227200000,0.00145,0.00195,0.001226,0.001338,11449.34
193,1508230800000,0.001325,0.001338,0.001306,0.001327,4123.59
194,1508234400000,0.001327,0.001355,0.001321,0.001348,18363.97
195,1508238000000,0.001355,0.001356,0.001328,0.001343,6583.73
196,1508241600000,0.001342,0.001363,0.001328,0.001334,3883.68
197,1508245200000,0.001334,0.001378,0.001334,0.001374,4649.54
198,1508248800000,0.001374,0.001381,0.001353,0.001362,5263.04
199,1508252400000,0.001373,0.001382,0.001352,0.001363,11918.95
200,1508256000000,0.001352,0.001371,0.001344,0.001355,3700.49
201,1508259600000,0.001355,0.001404,0.001355,0.001402,6897.67
202,1508263200000,0.001402,0.001403,0.001355,0.001362,6485.83
203,1508266800000,0.001355,0.001382,0.001355,0.001382,3321.01
204,1508270400000,0.001382,0.001383,0.001355,0.001382,15880.74
205,1508274000000,0.00138,0.001382,0.001363,0.001369,4507.32
206,1508277600000,0.001364,0.001382,0.001364,0.00138,6735.01
207,1508281200000,0.00138,0.00138,0.001364,0.001379,9985.62
208,1508284800000,0.001365,0.001398,0.00135,0.001398,11938.14
209,1508288400000,0.001398,0.001398,0.001353,0.001353,953.55
210,1508292000000,0.001353,0.00138,0.001346,0.001366,827.45
211,1508295600000,0.001346,0.001367,0.00133,0.001352,8083.25
212,1508299200000,0.001331,0.001366,0.001331,0.001359,4768.23
213,1508302800000,0.00138,0.001381,0.001359,0.001359,3761.13
214,1508306400000,0.00138,0.001382,0.001357,0.001359,12670.09
215,1508310000000,0.00138,0.00138,0.001342,0.001342,5364.1
216,1508313600000,0.001364,0.001366,0.001341,0.001342,4724.25
217,1508317200000,0.001342,0.001381,0.001341,0.001371,8238.63
218,1508320800000,0.001371,0.001381,0.00137,0.001381,5551.01
219,1508324400000,0.001371,0.001402,0.001371,0.001401,2654.17
220,1508328000000,0.001399,0.001401,0.001376,0.001399,1110.8
221,1508331600000,0.001378,0.001421,0.001375,0.001376,4411.43
222,1508335200000,0.001377,0.001419,0.001376,0.001377,4383.74
223,1508338800000,0.001377,0.001436,0.001377,0.001436,1454.48
224,1508342400000,0.001461,0.001461,0.001418,0.001429,3084.64
225,1508346000000,0.001429,0.00147,0.001426,0.001444,6659.0
226,1508349600000,0.001469,0.001533,0.001445,0.001482,1470.38
227,1508353200000,0.001515,0.001548,0.00146,0.001461,2403.03
228,1508356800000,0.001461,0.001481,0.001419,0.001419,3886.43
229,1508360400000,0.001406,0.001461,0.001406,0.001442,3171.34
230,1508364000000,0.001423,0.001461,0.001422,0.001423,2489.54
231,1508367600000,0.001443,0.001446,0.001406,0.00141,2616.86
232,1508371200000,0.001445,0.001446,0.001411,0.001411,2118.43
233,1508374800000,0.001411,0.001462,0.001411,0.001442,4871.31
234,1508378400000,0.001442,0.001483,0.001441,0.001478,4564.93
235,1508382000000,0.001478,0.001483,0.001441,0.001477,3601.49
236,1508385600000,0.001457,0.00148,0.001411,0.001442,3883.44
237,1508389200000,0.00144,0.001446,0.00139,0.001427,6551.35
238,1508392800000,0.001427,0.001445,0.001402,0.001402,4830.49
239,1508396400000,0.001445,0.001445,0.001401,0.001419,7333.93
240,1508400000000,0.001434,0.001434,0.001402,0.001433,2474.02
241,1508403600000,0.001416,0.001467,0.00141,0.001455,3752.67
242,1508407200000,0.001436,0.001456,0.001371,0.001373,9717.55
243,1508410800000,0.001408,0.001408,0.001359,0.001361,2130.39
244,1508414400000,0.001361,0.0014,0.001359,0.001363,1157.92
245,1508418000000,0.001373,0.001388,0.001358,0.001369,3162.87
246,1508421600000,0.001369,0.001369,0.001314,0.001314,16780.49
247,1508425200000,0.001339,0.001345,0.001314,0.00134,3900.95
248,1508428800000,0.00134,0.001407,0.001316,0.001387,8442.99
249,1508432400000,0.001405,0.001407,0.001337,0.001352,4580.44
250,1508436000000,0.001352,0.001377,0.001351,0.001352,2404.1
251,1508439600000,0.001361,0.001364,0.001316,0.001337,2464.32
252,1508443200000,0.001321,0.001338,0.001301,0.001329,1132.12
253,1508446800000,0.001328,0.001346,0.001301,0.001313,2778.24
