,ts,open,high,low,close,volume
0,1517598000000,2.2,5.31,1.85,2.2,1864.14
1,1517601600000,2.2,2.88,1.8704,1.9998,16787.22
2,1517605200000,1.9996,2.099,1.86,1.95,3691.28
3,1517608800000,1.9483,1.9483,1.7192,1.819,3245.46
4,1517612400000,1.819,1.9024,1.65,1.78,1969.07
5,1517616000000,1.7406,1.9,1.7106,1.7615,1537.27
6,1517619600000,1.7614,1.77,1.6903,1.709,1527.87
7,1517623200000,1.6953,1.7499,1.6525,1.6527,598.06
8,1517626800000,1.6533,1.7462,1.6,1.7214,1590.69
9,1517630400000,1.7031,1.7491,1.6389,1.7112,861.99
10,1517634000000,1.7052,1.88,1.7052,1.7423,1426.92
11,1517637600000,1.76,1.7685,1.7052,1.7212,1169.74
12,1517641200000,1.7301,1.7637,1.6615,1.704,801.5
13,1517644800000,1.7039,1.7458,1.6626,1.6647,1207.43
14,1517648400000,1.6647,1.7041,1.6301,1.6695,771.19
15,1517652000000,1.6694,1.6948,1.64,1.67,1562.5
16,1517655600000,1.66,1.6701,1.6211,1.6699,884.41
17,1517659200000,1.6699,1.6699,1.562,1.62,1123.17
18,1517662800000,1.6199,1.6406,1.6,1.6235,899.09
19,1517666400000,1.6235,1.6998,1.563,1.6603,1486.41
20,1517670000000,1.6999,1.7,1.6,1.6564,2292.21
21,1517673600000,1.6653,1.7,1.6231,1.6489,1760.96
22,1517677200000,1.6488,1.6489,1.6116,1.645,1004.06
23,1517680800000,1.645,1.68,1.623,1.6312,1679.12
24,1517684400000,1.6539,1.66,1.6236,1.6483,1444.67
25,1517688000000,1.6483,1.69,1.628,1.6626,1021.17
26,1517691600000,1.6625,1.6897,1.6325,1.689,856.17
27,1517695200000,1.689,1.75,1.655,1.745,1371.68
28,1517698800000,1.7211,1.81,1.6811,1.6881,1335.9
29,1517702400000,1.7094,1.74,1.68,1.6802,460.78
30,1517706000000,1.6904,1.7006,1.6513,1.6901,791.43
31,1517709600000,1.6673,1.7262,1.6673,1.7234,560.9
32,1517713200000,1.7234,1.7262,1.6845,1.7,1133.27
33,1517716800000,1.6999,1.6999,1.6607,1.669,445.95
34,1517720400000,1.666,1.7095,1.6529,1.6795,440.8
35,1517724000000,1.6793,1.7095,1.6529,1.6529,1123.93
36,1517727600000,1.6529,1.6766,1.6515,1.6637,424.06
37,1517731200000,1.6572,1.668,1.6292,1.6292,1162.3
38,1517734800000,1.628,1.6649,1.6102,1.6394,1498.36
39,1517738400000,1.6112,1.6362,1.5621,1.5944,5451.15
40,1517742000000,1.5968,1.63,1.5701,1.6005,163.67
