,ts,open,high,low,close,volume
0,1517598000000,0.0201,0.0275,0.019,0.0208,38317.36
1,1517601600000,0.0208,0.029987,0.019325,0.020204,258783.91
2,1517605200000,0.020203,0.021312,0.0192,0.02031,71731.85
3,1517608800000,0.02031,0.02038,0.018373,0.018683,47007.11
4,1517612400000,0.018702,0.018881,0.017646,0.018412,32521.37
5,1517616000000,0.018488,0.018898,0.018126,0.0183,22844.93
6,1517619600000,0.0183,0.018316,0.01755,0.01769,14844.81
7,1517623200000,0.017691,0.0178,0.017189,0.017189,11849.88
8,1517626800000,0.0172,0.01751,0.016161,0.017485,27379.24
9,1517630400000,0.017465,0.0185,0.016789,0.017766,20665.09
10,1517634000000,0.0178,0.0189,0.017507,0.017936,19846.16
11,1517637600000,0.017983,0.018141,0.017509,0.0176,13478.34
12,1517641200000,0.017603,0.01772,0.017024,0.017315,9013.89
13,1517644800000,0.017247,0.017549,0.017,0.017165,11678.18
14,1517648400000,0.017165,0.017409,0.0168,0.016915,11541.42
15,1517652000000,0.016917,0.017203,0.016761,0.01683,17389.53
16,1517655600000,0.016809,0.016886,0.0165,0.01665,12527.09
17,1517659200000,0.016651,0.016895,0.0163,0.016505,22687.14
18,1517662800000,0.016505,0.0167,0.016003,0.01653,19260.87
19,1517666400000,0.01653,0.01734,0.01621,0.017301,28601.02
20,1517670000000,0.017204,0.017499,0.016625,0.017015,33489.6
21,1517673600000,0.017015,0.017015,0.01652,0.0167,14876.03
22,1517677200000,0.0167,0.0168,0.016237,0.016607,14207.14
23,1517680800000,0.016607,0.0172,0.016605,0.016655,16801.31
24,1517684400000,0.016655,0.016989,0.016528,0.016809,9982.76
25,1517688000000,0.016809,0.017179,0.01668,0.016929,23402.58
26,1517691600000,0.016983,0.017037,0.01669,0.016827,9741.63
27,1517695200000,0.016827,0.01763,0.016767,0.017399,17063.28
28,1517698800000,0.017393,0.0174,0.017,0.017009,7470.25
29,1517702400000,0.017005,0.017199,0.0167,0.0167,7867.28
30,1517706000000,0.016865,0.016968,0.016554,0.01679,5290.11
31,1517709600000,0.016791,0.017052,0.016748,0.016872,6729.24
32,1517713200000,0.016937,0.016997,0.01665,0.01673,6513.13
33,1517716800000,0.01674,0.016757,0.01655,0.016625,8140.33
34,1517720400000,0.016656,0.016689,0.01652,0.016662,5913.56
35,1517724000000,0.016688,0.016798,0.0163,0.016609,15117.64
36,1517727600000,0.016609,0.01673,0.01654,0.016541,7921.34
37,1517731200000,0.016542,0.016613,0.016259,0.0164,8403.62
38,1517734800000,0.016339,0.016733,0.016012,0.016199,11325.44
39,1517738400000,0.016164,0.016392,0.015799,0.015917,13264.98
40,1517742000000,0.015917,0.0164,0.01582,0.016088,7144.05
41,1517745600000,0.016098,0.016098,0.0154,0.01566,18535.72
42,1517749200000,0.015661,0.016344,0.015406,0.015534,8681.6
43,1517752800000,0.015602,0.016,0.015322,0.015504,16105.44
44,1517756400000,0.015504,0.015599,0.015021,0.015056,13457.28
45,1517760000000,0.015056,0.015299,0.01502,0.015299,14965.07
46,1517763600000,0.015299,0.015408,0.014989,0.01518,23110.41
47,1517767200000,0.01518,0.015299,0.0146,0.014801,17796.42
48,1517770800000,0.014795,0.015,0.0143,0.014792,23868.3
49,1517774400000,0.014715,0.014887,0.014253,0.014407,24502.67
50,1517778000000,0.014407,0.0153,0.014407,0.014745,23864.49
51,1517781600000,0.014745,0.015341,0.014741,0.015313,16204.06
52,1517785200000,0.015313,0.01562,0.015074,0.015317,7686.4
53,1517788800000,0.0153,0.0158,0.015068,0.015474,10505.08
54,1517792400000,0.015474,0.015795,0.0146,0.0148,10512.11
55,1517796000000,0.014781,0.014975,0.014503,0.014713,8916.23
56,1517799600000,0.014641,0.015795,0.0143,0.0146,12986.61
57,1517803200000,0.014633,0.014887,0.014254,0.014695,10511.57
58,1517806800000,0.01477,0.01495,0.014521,0.0147,12545.35
59,1517810400000,0.014642,0.0148,0.014505,0.014673,9106.63
60,1517814000000,0.014699,0.014852,0.0144,0.0146,9294.13
61,1517817600000,0.0146,0.01465,0.01411,0.014195,13031.83
62,1517821200000,0.014187,0.014289,0.01385,0.013854,17814.48
63,1517824800000,0.01388,0.013906,0.012799,0.012959,29578.67
64,1517828400000,0.012961,0.013443,0.012605,0.01277,22184.84
65,1517832000000,0.01277,0.013053,0.012356,0.012488,55994.99
66,1517835600000,0.012488,0.0135,0.012401,0.012923,34992.55
67,1517839200000,0.012925,0.01302,0.011869,0.011881,56410.88
68,1517842800000,0.011964,0.0126,0.0113,0.011937,91640.04
69,1517846400000,0.011822,0.0126,0.011725,0.011902,34262.5
70,1517850000000,0.011933,0.0126,0.011493,0.011811,44098.7
71,1517853600000,0.011867,0.011867,0.011302,0.011479,37112.25
72,1517857200000,0.011479,0.01176,0.011404,0.011501,43724.21
73,1517860800000,0.011476,0.012641,0.011328,0.012399,67584.79
74,1517864400000,0.012399,0.01335,0.012017,0.013105,47256.62
75,1517868000000,0.013106,0.014096,0.012346,0.012579,65921.35
76,1517871600000,0.01272,0.013257,0.012165,0.012848,27001.42
77,1517875200000,0.012848,0.013502,0.012605,0.012754,13163.24
78,1517878800000,0.012754,0.012797,0.0117,0.01201,23515.16
79,1517882400000,0.012009,0.0123,0.0119,0.01207,27061.29
80,1517886000000,0.012068,0.01221,0.011602,0.011811,22289.32
81,1517889600000,0.011811,0.0119,0.0114,0.011525,28627.96
