,ts,open,high,low,close,volume
0,1514365200000,0.42069,0.475,0.334,0.399,5976.47
1,1514368800000,0.399,0.42999,0.38001,0.41,3256.87
2,1514372400000,0.41,0.42523,0.3888,0.41488,2790.46
3,1514376000000,0.396,0.41493,0.39198,0.41266,3279.29
4,1514379600000,0.41965,0.426,0.39501,0.41796,4829.78
5,1514383200000,0.41796,0.43068,0.40001,0.42498,1870.34
6,1514386800000,0.42498,0.44295,0.4175,0.4299,3519.73
7,1514390400000,0.4299,0.46868,0.4299,0.4555,2090.83
8,1514394000000,0.4555,0.4775,0.4175,0.44272,1782.8
9,1514397600000,0.44276,0.45941,0.42706,0.42711,557.14
10,1514401200000,0.42713,0.44871,0.42713,0.44871,955.26
11,1514404800000,0.44,0.45939,0.42701,0.42725,952.66
12,1514408400000,0.44522,0.45722,0.42725,0.45722,811.36
13,1514412000000,0.45724,0.51194,0.44524,0.47664,3158.73
14,1514415600000,0.47664,0.4982,0.43,0.43,1980.03
15,1514419200000,0.43,0.43,0.40425,0.405,677.54
16,1514422800000,0.405,0.46,0.40429,0.46,2248.05
17,1514426400000,0.48044,0.50002,0.42493,0.45042,16423.53
18,1514430000000,0.4602,0.47579,0.42001,0.44565,3346.09
19,1514433600000,0.46,0.46898,0.42202,0.45983,1368.71
20,1514437200000,0.45974,0.49737,0.42522,0.467,986.14
21,1514440800000,0.467,0.5,0.44943,0.5,1024.87
22,1514444400000,0.5,0.50541,0.4652,0.4656,1291.59
23,1514448000000,0.4656,0.49096,0.46547,0.46547,2369.32
24,1514451600000,0.48484,0.48496,0.4499,0.4499,861.51
25,1514455200000,0.43834,0.46514,0.43834,0.46441,173.97
26,1514458800000,0.464,0.464,0.43915,0.4589,163.23
27,1514462400000,0.4581,0.47018,0.43701,0.46,352.83
28,1514466000000,0.46,0.48,0.42885,0.4584,1690.39
29,1514469600000,0.42935,0.45761,0.42934,0.43235,758.35
30,1514473200000,0.45528,0.45761,0.43251,0.43251,1869.53
31,1514476800000,0.4399,0.4399,0.42905,0.42905,510.97
32,1514480400000,0.453,0.453,0.4289,0.44837,593.01
33,1514484000000,0.44815,0.44815,0.4089,0.42981,6006.72
34,1514487600000,0.42945,0.43999,0.41007,0.41209,424.8
35,1514491200000,0.41216,0.44879,0.41215,0.43724,248.79
36,1514494800000,0.42017,0.425,0.42017,0.425,41.92
37,1514498400000,0.425,0.43064,0.42498,0.42498,446.06
38,1514502000000,0.42498,0.43054,0.41319,0.42955,218.7
39,1514505600000,0.41218,0.42386,0.385,0.38723,1239.05
40,1514509200000,0.40956,0.42379,0.39497,0.395,549.77
41,1514512800000,0.42379,0.42379,0.40001,0.40001,706.94
42,1514516400000,0.40003,0.42234,0.40001,0.401,250.87
43,1514520000000,0.401,0.42155,0.401,0.42155,58.58
44,1514523600000,0.42233,0.42234,0.40601,0.42198,425.91
45,1514527200000,0.42199,0.42199,0.40601,0.40601,103.24
46,1514530800000,0.40615,0.42102,0.40609,0.40609,17.21
47,1514534400000,0.42,0.435,0.40639,0.40639,408.7
48,1514538000000,0.42656,0.42656,0.40601,0.40601,141.48
49,1514541600000,0.40602,0.418,0.40601,0.40603,1631.62
50,1514545200000,0.40603,0.42387,0.406,0.40888,1058.77
51,1514548800000,0.40887,0.40887,0.40211,0.405,196.56
52,1514552400000,0.405,0.40887,0.385,0.40099,2625.75
53,1514556000000,0.40099,0.421,0.38636,0.421,1542.5
54,1514559600000,0.421,0.421,0.40001,0.401,832.56
55,1514563200000,0.4089,0.40994,0.385,0.385,835.88
56,1514566800000,0.385,0.40914,0.37669,0.4089,427.04
57,1514570400000,0.40831,0.43734,0.40831,0.40999,3125.96
58,1514574000000,0.42499,0.42499,0.39892,0.41,2478.03
59,1514577600000,0.41498,0.41498,0.3867,0.41498,1943.49
60,1514581200000,0.41498,0.42495,0.40453,0.40476,1309.12
61,1514584800000,0.43435,0.43435,0.40483,0.42777,221.08
62,1514588400000,0.40476,0.42616,0.3979,0.39795,805.42
63,1514592000000,0.40999,0.40999,0.39797,0.39805,183.33
64,1514595600000,0.405,0.405,0.387,0.39698,2298.11
65,1514599200000,0.39,0.39991,0.378,0.38,1779.71
66,1514602800000,0.378,0.39804,0.377,0.39782,257.7
67,1514606400000,0.38,0.38,0.376,0.377,155.3
68,1514610000000,0.377,0.39684,0.377,0.39523,215.59
69,1514613600000,0.38069,0.39401,0.37755,0.39401,206.71
70,1514617200000,0.39395,0.39999,0.37811,0.37811,1511.98
71,1514620800000,0.39999,0.39999,0.39985,0.39999,505.06
72,1514624400000,0.38999,0.39999,0.38999,0.39999,325.25
73,1514628000000,0.37837,0.39998,0.37837,0.39998,39.55
74,1514631600000,0.39995,0.39995,0.37872,0.37873,74.06
