,ts,open,high,low,close,volume
0,1519639200000,0.02,0.02,0.0035,0.00549,2823948.78
1,1519642800000,0.00567,0.00603,0.00452,0.00486,2671707.35
2,1519646400000,0.00484,0.0056,0.00456,0.00498,2141915.05
3,1519650000000,0.00487,0.00487,0.00435,0.0046,1414201.14
4,1519653600000,0.0046,0.00464,0.0038,0.00386,2011706.35
5,1519657200000,0.0039,0.00424,0.00333,0.00386,7269270.85
6,1519660800000,0.0039,0.00424,0.0037,0.00391,4106972.62
7,1519664400000,0.00383,0.00408,0.0038,0.004,2257467.46
8,1519668000000,0.00399,0.0041,0.00385,0.00385,641683.21
9,1519671600000,0.00388,0.0041,0.0038,0.00404,2587036.59
10,1519675200000,0.00403,0.00413,0.00391,0.004,1588870.9
11,1519678800000,0.00399,0.0041,0.00394,0.0041,1081564.13
12,1519682400000,0.0041,0.005,0.00404,0.00434,2240927.51
13,1519686000000,0.00434,0.00493,0.00413,0.00415,1392648.67
14,1519689600000,0.0042,0.0042,0.00394,0.00404,1194707.43
15,1519693200000,0.00404,0.00417,0.00396,0.00413,1110057.61
16,1519696800000,0.00411,0.0043,0.00404,0.00407,1145768.85
17,1519700400000,0.00405,0.00416,0.00396,0.00405,1083833.99
18,1519704000000,0.00402,0.00409,0.00396,0.00406,1077198.03
19,1519707600000,0.00402,0.00408,0.00399,0.004,737101.09
20,1519711200000,0.00402,0.00406,0.00388,0.00388,2288031.8
21,1519714800000,0.00386,0.00389,0.0035,0.00354,4512352.29
22,1519718400000,0.00354,0.00357,0.00344,0.00354,1373624.44
23,1519722000000,0.00354,0.00356,0.00338,0.00341,1083216.64
24,1519725600000,0.00341,0.00354,0.0033,0.00332,1331820.71
25,1519729200000,0.00331,0.0034,0.00322,0.00335,1295375.13
26,1519732800000,0.00332,0.0034,0.00322,0.00331,1200956.42
27,1519736400000,0.00336,0.00336,0.0032,0.0032,1596290.55
28,1519740000000,0.00321,0.00338,0.00318,0.00336,2651345.72
29,1519743600000,0.00338,0.00347,0.00328,0.00332,2381936.79
30,1519747200000,0.00332,0.0034,0.00321,0.00321,983152.79
31,1519750800000,0.00325,0.00329,0.0031,0.00315,1185850.02
32,1519754400000,0.00313,0.00323,0.00301,0.00314,1393532.09
33,1519758000000,0.00314,0.00325,0.00311,0.00313,849577.57
34,1519761600000,0.00312,0.00348,0.00312,0.00331,1701212.08
35,1519765200000,0.00332,0.00356,0.00331,0.0034,1873321.34
36,1519768800000,0.0034,0.00342,0.00327,0.00332,464471.44
37,1519772400000,0.00333,0.00338,0.00311,0.00325,781069.67
38,1519776000000,0.00325,0.00331,0.00311,0.00319,738358.43
39,1519779600000,0.00322,0.00329,0.00318,0.00318,633583.94
40,1519783200000,0.00318,0.0032,0.00311,0.00314,576960.91
41,1519786800000,0.00313,0.00325,0.00311,0.00317,457275.13
42,1519790400000,0.00316,0.00324,0.00312,0.00315,605978.41
43,1519794000000,0.00315,0.00327,0.00314,0.00322,889946.81
44,1519797600000,0.0032,0.00325,0.00317,0.00318,444837.32
45,1519801200000,0.00318,0.00319,0.00305,0.00308,1190871.01
46,1519804800000,0.00309,0.00316,0.00308,0.00311,736496.25
47,1519808400000,0.00312,0.00315,0.00301,0.00305,1018074.6
48,1519812000000,0.00301,0.00315,0.00292,0.00313,1542392.3
49,1519815600000,0.0031,0.00311,0.00292,0.00297,830538.82
50,1519819200000,0.00298,0.00301,0.00293,0.00295,814006.75
51,1519822800000,0.00293,0.00302,0.00292,0.00301,1473473.54
52,1519826400000,0.00301,0.00301,0.00286,0.00286,813399.72
53,1519830000000,0.00286,0.0029,0.00276,0.00287,734052.48
54,1519833600000,0.00287,0.00287,0.00271,0.00271,2581657.3
55,1519837200000,0.00272,0.00285,0.00271,0.00279,1492655.09
56,1519840800000,0.00279,0.00283,0.00272,0.0028,1048963.31
57,1519844400000,0.00282,0.00294,0.00282,0.00292,916141.28
58,1519848000000,0.00292,0.00294,0.00275,0.0028,1104103.39
59,1519851600000,0.0028,0.00285,0.00277,0.00278,398082.6
60,1519855200000,0.00278,0.00284,0.00268,0.00277,582109.08
61,1519858800000,0.00274,0.00277,0.00262,0.00269,486703.52
62,1519862400000,0.00269,0.0027,0.00262,0.00264,208319.78
63,1519866000000,0.00264,0.00316,0.00264,0.00295,2713226.33
64,1519869600000,0.00295,0.00304,0.00277,0.0029,571380.79
65,1519873200000,0.00288,0.00299,0.00285,0.00289,543142.64
66,1519876800000,0.00295,0.00299,0.00287,0.00293,464108.85
67,1519880400000,0.00294,0.00309,0.00294,0.00303,733372.59
68,1519884000000,0.00303,0.00309,0.00289,0.00291,2310598.41
69,1519887600000,0.00291,0.00306,0.0029,0.00292,968447.35
70,1519891200000,0.00294,0.00294,0.00282,0.00287,587485.74
71,1519894800000,0.00287,0.00295,0.00287,0.00292,353823.28
72,1519898400000,0.00291,0.00293,0.00288,0.00293,1274184.26
73,1519902000000,0.00293,0.00295,0.0029,0.0029,383377.06
74,1519905600000,0.00291,0.00296,0.00291,0.00294,435344.73
75,1519909200000,0.00294,0.00298,0.0029,0.00293,503942.16
76,1519912800000,0.00293,0.00297,0.00288,0.00296,455622.32
77,1519916400000,0.00296,0.00318,0.00296,0.0031,1448916.03
78,1519920000000,0.00309,0.00355,0.00308,0.0035,6513279.2
79,1519923600000,0.0035,0.0035,0.00333,0.00335,3788431.36
80,1519927200000,0.00335,0.00402,0.0033,0.0038,6734971.73
81,1519930800000,0.0038,0.00392,0.00362,0.00379,5074710.39
82,1519934400000,0.00379,0.0038,0.00352,0.00366,2931694.05
