,ts,open,high,low,close,volume
0,1519639200000,1e-05,1e-05,3e-06,5.43e-06,336859860.0
1,1519642800000,5.48e-06,5.83e-06,4.4e-06,4.62e-06,364956870.0
2,1519646400000,4.62e-06,5.08e-06,4.3e-06,4.66e-06,259473777.0
3,1519650000000,4.67e-06,4.67e-06,4.26e-06,4.45e-06,122518324.0
4,1519653600000,4.46e-06,4.48e-06,3.76e-06,3.79e-06,191943272.0
5,1519657200000,3.79e-06,4.04e-06,3.21e-06,3.8e-06,597975646.0
6,1519660800000,3.8e-06,4.1e-06,3.57e-06,3.74e-06,388329369.0
7,1519664400000,3.74e-06,3.9e-06,3.68e-06,3.81e-06,162547969.0
8,1519668000000,3.81e-06,3.82e-06,3.64e-06,3.72e-06,83158089.0
9,1519671600000,3.73e-06,3.94e-06,3.69e-06,3.85e-06,138997702.0
10,1519675200000,3.85e-06,3.88e-06,3.75e-06,3.82e-06,73835044.0
11,1519678800000,3.82e-06,3.9e-06,3.76e-06,3.86e-06,55254015.0
12,1519682400000,3.87e-06,4.25e-06,3.83e-06,4.12e-06,207615396.0
13,1519686000000,4.12e-06,4.13e-06,3.96e-06,3.98e-06,141434789.0
14,1519689600000,3.98e-06,4.04e-06,3.84e-06,3.91e-06,111957598.0
15,1519693200000,3.91e-06,4.02e-06,3.87e-06,3.97e-06,53085338.0
16,1519696800000,3.97e-06,4.15e-06,3.89e-06,3.93e-06,118117210.0
17,1519700400000,3.93e-06,3.95e-06,3.84e-06,3.91e-06,63982310.0
18,1519704000000,3.91e-06,3.93e-06,3.82e-06,3.89e-06,46169989.0
19,1519707600000,3.89e-06,3.93e-06,3.84e-06,3.85e-06,29437065.0
20,1519711200000,3.86e-06,3.9e-06,3.74e-06,3.77e-06,43422884.0
21,1519714800000,3.76e-06,3.82e-06,3.56e-06,3.6e-06,82440203.0
22,1519718400000,3.6e-06,3.68e-06,3.56e-06,3.65e-06,42017901.0
23,1519722000000,3.65e-06,3.67e-06,3.43e-06,3.5e-06,76986150.0
24,1519725600000,3.5e-06,3.57e-06,3.38e-06,3.41e-06,80182148.0
25,1519729200000,3.41e-06,3.43e-06,3.25e-06,3.38e-06,112532995.0
26,1519732800000,3.38e-06,3.45e-06,3.3e-06,3.42e-06,54929113.0
27,1519736400000,3.42e-06,3.43e-06,3.23e-06,3.23e-06,60669049.0
28,1519740000000,3.22e-06,3.33e-06,3.19e-06,3.31e-06,92275589.0
29,1519743600000,3.31e-06,3.39e-06,3.23e-06,3.27e-06,78796856.0
30,1519747200000,3.27e-06,3.31e-06,3.18e-06,3.18e-06,45078960.0
31,1519750800000,3.19e-06,3.25e-06,3.11e-06,3.17e-06,75888314.0
32,1519754400000,3.17e-06,3.2e-06,3.08e-06,3.18e-06,61109759.0
33,1519758000000,3.17e-06,3.23e-06,3.14e-06,3.17e-06,44974079.0
