,ts,open,high,low,close,volume
0,1513922400000,0.71,3.25,0.71,2.4888,758.8
1,1513926000000,3.199,4.95,1.5,1.5,768.7
2,1513929600000,1.60206,2.50999,1.60206,1.999,643.88
3,1513933200000,1.99899,1.999,1.74999,1.74999,281.53
4,1513936800000,1.74999,1.999,1.60101,1.8,153.71
5,1513940400000,1.8,2.5,1.70139,2.00002,133.74
6,1513944000000,2.00004,2.49999,1.80502,2.0,204.46
7,1513947600000,2.00001,4.35888,1.42,1.80006,1399.7
8,1513951200000,2.49899,2.5,1.115,1.8017,3060.09
9,1513954800000,1.8017,1.80173,1.4,1.4,486.76
10,1513958400000,1.4001,1.80168,1.4001,1.79999,957.96
11,1513962000000,1.79999,1.79999,1.6003,1.79988,394.72
12,1513965600000,1.7998,1.7998,1.60301,1.77987,105.55
13,1513969200000,1.61707,1.77992,0.00051,1.74999,3204.08
14,1513972800000,1.74999,1.74999,1.66599,1.74077,228.93
15,1513976400000,1.74077,1.77994,1.67078,1.69,435.66
16,1513980000000,1.69,1.77993,1.60016,1.65,485.81
17,1513983600000,1.65005,1.7765,1.65001,1.66101,420.18
18,1513987200000,1.66305,1.71347,1.66305,1.71204,258.34
19,1513990800000,1.71204,1.80169,1.705,1.80169,290.15
20,1513994400000,1.85002,1.89999,1.77698,1.80171,199.75
21,1513998000000,1.89998,1.91,1.89,1.89,757.94
22,1514001600000,1.80179,1.93,1.80172,1.92999,241.51
23,1514005200000,1.92999,2.08,1.92993,2.0799,573.04
24,1514008800000,2.0799,2.08,1.80503,1.83004,233.53
25,1514012400000,1.83004,1.83104,1.7,1.71347,997.09
26,1514016000000,1.71347,2.079,1.66102,1.66105,584.89
27,1514019600000,1.66105,1.83994,1.66105,1.83902,81.18
28,1514023200000,1.66103,1.66103,1.6,1.61018,295.67
29,1514026800000,1.61189,1.82715,1.15,1.82715,516.66
30,1514030400000,1.71928,1.71928,1.71924,1.71924,123.05
31,1514034000000,1.50064,1.76,1.50064,1.65001,91.59
32,1514037600000,1.7588,1.7588,1.55047,1.58501,143.23
