,ts,open,high,low,close,volume
0,1513922400000,0.008,0.084,0.001836,0.017,11249.83484
1,1513926000000,0.0175,0.022,0.010006,0.01002,20290.23764513
2,1513929600000,0.010351,0.014,0.0102,0.013874,4942.27999999
3,1513933200000,0.013872,0.013872,0.011501,0.012203,2293.96
4,1513936800000,0.012203,0.012288,0.011534,0.011999,2733.36606352
5,1513940400000,0.011535,0.014699,0.011534,0.014497,2400.23393644
6,1513944000000,0.014497,0.015,0.012199,0.014,4957.85999997
7,1513947600000,0.014,0.0188,0.012,0.013,9575.25
8,1513951200000,0.01275,0.012999,0.01002,0.011158,8969.57
9,1513954800000,0.011158,0.01237,0.010003,0.01032,3334.19
10,1513958400000,0.010325,0.0113,0.010202,0.010802,2971.47
11,1513962000000,0.01085,0.0116,0.010508,0.011552,5548.06
12,1513965600000,0.011536,0.011536,0.010501,0.011,896.19
13,1513969200000,0.011,0.01156,0.01035,0.011115,2718.23
14,1513972800000,0.011119,0.012495,0.01067,0.011495,2048.55
15,1513976400000,0.011571,0.012852,0.010741,0.011785,2153.27
16,1513980000000,0.011785,0.01298,0.01123,0.011267,1695.18
17,1513983600000,0.011831,0.012118,0.011268,0.011763,2133.81
18,1513987200000,0.011797,0.01199,0.010999,0.011498,1620.29
19,1513990800000,0.011276,0.012979,0.010999,0.012383,2451.51
20,1513994400000,0.012347,0.012386,0.010999,0.012383,2146.31
21,1513998000000,0.012386,0.012898,0.0119,0.012132,3988.88
22,1514001600000,0.012336,0.01261,0.01192,0.012549,1637.73
23,1514005200000,0.012536,0.016,0.011938,0.013499,6200.85
24,1514008800000,0.01296,0.013499,0.012,0.012,2459.12
25,1514012400000,0.012855,0.01306,0.0115,0.011587,3640.1
26,1514016000000,0.011587,0.01256,0.0115,0.011839,1519.0
27,1514019600000,0.011945,0.012396,0.0116,0.01165,2830.67
28,1514023200000,0.011501,0.012295,0.010281,0.011416,5216.69
29,1514026800000,0.011377,0.01199,0.0103,0.011303,5225.34
30,1514030400000,0.011303,0.011989,0.010761,0.011789,7473.97
31,1514034000000,0.01178,0.01197,0.01142,0.01175,1798.21
32,1514037600000,0.011498,0.011699,0.010635,0.011447,3078.64
33,1514041200000,0.011133,0.011446,0.010634,0.010885,2686.75
34,1514044800000,0.011,0.0114,0.010866,0.011298,1169.51
35,1514048400000,0.011229,0.011398,0.0108,0.0108,5751.48
36,1514052000000,0.010802,0.011442,0.0107,0.010966,3242.91
37,1514055600000,0.010968,0.011432,0.010968,0.011432,1315.76
38,1514059200000,0.011432,0.011432,0.0111,0.011145,2017.91
39,1514062800000,0.011101,0.011431,0.010966,0.011,1367.51
40,1514066400000,0.011403,0.011403,0.010966,0.010966,1478.58
41,1514070000000,0.010966,0.011146,0.010699,0.010699,2324.05
42,1514073600000,0.011021,0.011425,0.010053,0.010818,12423.82
43,1514077200000,0.010151,0.0111,0.01015,0.010207,1441.87
44,1514080800000,0.010241,0.01071,0.010241,0.01025,498.76
45,1514084400000,0.010299,0.011,0.01025,0.010999,459.59
46,1514088000000,0.010311,0.011089,0.010311,0.010931,2258.57
47,1514091600000,0.010751,0.011089,0.010751,0.011085,772.87
48,1514095200000,0.011,0.011,0.01078,0.01078,529.26
49,1514098800000,0.0108,0.010999,0.010362,0.010999,1673.9
50,1514102400000,0.010443,0.010999,0.010443,0.0106,544.53
51,1514106000000,0.0109,0.0109,0.010601,0.010899,555.28
52,1514109600000,0.01089,0.01089,0.01048,0.010488,2146.72
53,1514113200000,0.01085,0.01085,0.010513,0.010551,94.51
54,1514116800000,0.010552,0.010845,0.01048,0.01048,239.92
55,1514120400000,0.010488,0.01085,0.010401,0.01042,852.2
56,1514124000000,0.01042,0.010421,0.01025,0.01025,963.89
57,1514127600000,0.010254,0.010843,0.010252,0.010449,907.16
58,1514131200000,0.0103,0.0103,0.01018,0.01025,1850.4
59,1514134800000,0.010251,0.010251,0.0102,0.0102,505.67
60,1514138400000,0.0101,0.010443,0.010054,0.01006,249.99
61,1514142000000,0.01006,0.010611,0.010051,0.010598,2994.54
62,1514145600000,0.010154,0.010579,0.0095,0.010298,4849.7
63,1514149200000,0.010275,0.010275,0.0099,0.0099,219.44
64,1514152800000,0.009999,0.010298,0.008999,0.0097,3607.45
65,1514156400000,0.009626,0.010298,0.009528,0.009899,1421.87
66,1514160000000,0.009531,0.0099,0.009531,0.009554,1104.54
67,1514163600000,0.0099,0.0099,0.0093,0.0093,966.51
68,1514167200000,0.0093,0.00956,0.009,0.009012,600.57
69,1514170800000,0.009,0.00954,0.00885,0.009496,302.54
70,1514174400000,0.009,0.009497,0.009,0.009384,149.4
71,1514178000000,0.00925,0.009655,0.00925,0.009529,512.44
72,1514181600000,0.00953,0.009654,0.009419,0.009433,208.39
73,1514185200000,0.009433,0.009494,0.0094,0.0094,835.62
74,1514188800000,0.009543,0.009651,0.00925,0.009651,233.69
75,1514192400000,0.00945,0.00945,0.00885,0.008886,982.18
76,1514196000000,0.008887,0.009474,0.00885,0.0089,2154.8
77,1514199600000,0.00885,0.009098,0.00885,0.009086,599.05
78,1514203200000,0.009086,0.009237,0.008542,0.009237,695.36
79,1514206800000,0.009,0.009319,0.008552,0.00908,581.61
80,1514210400000,0.009081,0.0099,0.00892,0.0092,1560.06
81,1514214000000,0.0092,0.009202,0.009027,0.009027,1386.26
82,1514217600000,0.0092,0.009403,0.009045,0.009229,177.5
83,1514221200000,0.009596,0.009667,0.0092,0.0092,455.74
84,1514224800000,0.009054,0.00942,0.009053,0.009249,296.94
85,1514228400000,0.009419,0.009627,0.009043,0.0094,660.44
86,1514232000000,0.0094,0.009627,0.009044,0.009627,1133.39
87,1514235600000,0.00962,0.009666,0.009046,0.009402,1251.4
88,1514239200000,0.009402,0.009402,0.009047,0.009047,1084.43
89,1514242800000,0.009048,0.009357,0.009047,0.009253,274.31
90,1514246400000,0.00925,0.009696,0.009047,0.009258,769.3
91,1514250000000,0.009258,0.00945,0.009061,0.009062,656.94
92,1514253600000,0.009063,0.009063,0.008884,0.008884,2034.64
93,1514257200000,0.008878,0.009398,0.008735,0.009346,2068.04
94,1514260800000,0.009346,0.009346,0.008513,0.008705,1231.2
95,1514264400000,0.008705,0.008705,0.007542,0.008001,1565.59
96,1514268000000,0.008105,0.008279,0.007542,0.007551,699.5
97,1514271600000,0.007646,0.008334,0.007646,0.008317,433.55
98,1514275200000,0.007761,0.008233,0.00776,0.00796,121.73
99,1514278800000,0.00796,0.008468,0.00779,0.007914,322.21
100,1514282400000,0.00795,0.008775,0.00795,0.008,1386.74
101,1514286000000,0.008199,0.008568,0.008,0.008001,801.87
