,ts,open,high,low,close,volume
0,1511146800000,24.0,100.0,24.0,28.5,33.531
1,1511150400000,27.4,27.9,26.5,26.5,20.693
2,1511154000000,26.499,26.5,26.499,26.5,13.873
3,1511157600000,25.504,25.7,25.0,25.7,26.299
4,1511161200000,24.703,26.0,24.703,25.201,311.176
5,1511164800000,25.93,25.93,24.699,24.7,100.219
6,1511168400000,25.9,26.5,25.89,26.5,35.305
7,1511172000000,25.002,25.899,24.502,25.0,36.199
8,1511175600000,24.6,25.899,24.6,25.4,164.467
9,1511179200000,25.4,25.4,25.001,25.002,144.3
10,1511182800000,25.598,26.5,25.598,26.25,256.488
11,1511186400000,26.25,26.3,24.801,26.1,216.789
12,1511190000000,26.1,26.1,25.0,25.0,18.192
13,1511193600000,25.998,25.998,24.0,24.2,1404.25
14,1511197200000,24.0,24.401,22.137,23.2,986.648
15,1511200800000,23.208,24.92,23.208,24.919,13.151
16,1511204400000,24.0,24.8,24.0,24.0,115.241
17,1511208000000,24.349,24.349,23.501,23.501,25.564
18,1511211600000,23.501,23.7,22.96,23.0,39.363
19,1511215200000,22.72,23.397,22.0,22.3,105.15
20,1511218800000,22.5,22.5,22.0,22.0,269.678
21,1511222400000,22.499,22.499,21.28,21.78,292.314
22,1511226000000,21.78,23.1,21.41,23.1,139.788
23,1511229600000,22.501,22.899,22.3,22.3,474.169
24,1511233200000,22.0,22.6,21.4,22.6,153.704
25,1511236800000,21.405,22.397,21.35,22.397,115.762
26,1511240400000,22.397,23.5,22.397,23.5,15.062
27,1511244000000,22.003,23.499,22.003,23.499,24.342
28,1511247600000,22.009,22.797,22.0,22.6,358.776
29,1511251200000,22.6,22.797,22.6,22.797,7.68
30,1511254800000,22.797,23.0,22.311,23.0,17.493
31,1511258400000,23.0,23.899,22.604,22.604,54.104
32,1511262000000,22.314,22.314,22.0,22.314,197.209
33,1511265600000,22.314,22.314,22.0,22.0,2.989
34,1511269200000,22.003,22.003,22.0,22.001,70.227
35,1511272800000,22.2,23.0,22.0,22.0,430.498
36,1511276400000,22.499,22.499,22.4,22.4,8.448
37,1511280000000,22.399,22.4,21.503,21.541,22.631
38,1511283600000,21.541,22.4,21.541,21.542,94.749
39,1511287200000,22.398,22.398,21.543,22.398,27.901
40,1511290800000,22.398,22.398,22.398,22.398,0.0
41,1511294400000,21.544,21.545,21.544,21.545,0.188
42,1511298000000,22.399,22.399,22.399,22.399,6.169
43,1511301600000,21.545,22.399,21.5,22.399,4.5
44,1511305200000,21.601,22.398,21.5,21.5,36.624
45,1511308800000,21.5,21.5,21.5,21.5,0.0
46,1511312400000,21.501,22.39,21.501,21.511,12.005
47,1511316000000,21.511,21.511,21.511,21.511,0.0
48,1511319600000,22.298,22.399,22.298,22.399,4.464
49,1511323200000,22.299,22.3,21.516,21.516,3.0
50,1511326800000,22.388,23.2,22.3,22.3,178.481
51,1511330400000,23.097,23.6,23.097,23.6,104.628
52,1511334000000,22.402,22.506,22.402,22.506,0.567
53,1511337600000,22.507,22.507,22.3,22.3,151.777
54,1511341200000,22.0,22.0,21.91,21.91,6.057
