,ts,open,high,low,close,volume
0,1500004800000,0.00375,0.00375,0.00245,0.002545,4695.58
1,1500008400000,0.002602,0.002602,0.002486,0.00255,4523.25
2,1500012000000,0.00255,0.002571,0.002538,0.002557,1829.38
3,1500015600000,0.00255,0.002612,0.002544,0.002609,4756.25
4,1500019200000,0.00261,0.002625,0.002573,0.002588,6499.26
5,1500022800000,0.002583,0.002606,0.002583,0.002585,2416.85
6,1500026400000,0.002583,0.002614,0.002583,0.002596,15140.23
7,1500030000000,0.002596,0.002613,0.002585,0.002595,3386.25
8,1500033600000,0.002597,0.002598,0.00251,0.00251,2086.81
9,1500037200000,0.0025,0.0025,0.002416,0.002452,15299.9
10,1500040800000,0.002456,0.00247,0.002411,0.00247,336.36
11,1500044400000,0.002468,0.0025,0.002468,0.0025,344.19
12,1500048000000,0.002468,0.002469,0.002357,0.002469,4488.67
13,1500051600000,0.002468,0.00247,0.002433,0.002433,7224.43
14,1500055200000,0.002433,0.00244,0.002427,0.002427,2920.0
15,1500058800000,0.002427,0.002427,0.002386,0.002415,15840.16
16,1500062400000,0.00241,0.002412,0.0024,0.0024,344.72
17,1500066000000,0.0024,0.002457,0.0024,0.002457,19246.0
18,1500069600000,0.002457,0.002457,0.002457,0.002457,0.0
19,1500073200000,0.002477,0.002517,0.002477,0.002499,1613.31
20,1500076800000,0.002536,0.002536,0.002428,0.002428,18503.67
21,1500080400000,0.002416,0.002421,0.002406,0.002408,4789.83
22,1500084000000,0.002408,0.002601,0.002407,0.002425,10454.99
23,1500087600000,0.002464,0.002539,0.00245,0.002538,5011.93
24,1500091200000,0.002538,0.00256,0.002472,0.002548,11050.86
25,1500094800000,0.002548,0.002548,0.002471,0.002481,26329.98
26,1500098400000,0.002484,0.002494,0.002451,0.002471,13784.4
27,1500102000000,0.002484,0.002542,0.002482,0.002482,6045.2
28,1500105600000,0.002493,0.002554,0.002487,0.002506,10128.58
29,1500109200000,0.002505,0.002535,0.002496,0.002526,8452.82
30,1500112800000,0.002527,0.002527,0.002468,0.002489,7744.63
31,1500116400000,0.002488,0.002503,0.002464,0.002503,7469.66
32,1500120000000,0.002502,0.002503,0.002453,0.002482,5054.3
33,1500123600000,0.00248,0.002482,0.002451,0.002451,586.51
34,1500127200000,0.002467,0.002487,0.002467,0.002487,1085.39
35,1500130800000,0.002487,0.002519,0.002482,0.002505,5442.71
36,1500134400000,0.002502,0.002554,0.002479,0.002553,6666.56
37,1500138000000,0.002552,0.002583,0.002533,0.002548,5461.27
38,1500141600000,0.002544,0.002609,0.002534,0.002607,5920.9
39,1500145200000,0.002594,0.002616,0.002574,0.002612,7138.27
40,1500148800000,0.002616,0.002616,0.002531,0.002546,8325.67
41,1500152400000,0.002542,0.002602,0.002532,0.002559,7666.89
42,1500156000000,0.002556,0.002581,0.002534,0.002536,6086.22
43,1500159600000,0.002533,0.002578,0.002514,0.002514,8479.07
44,1500163200000,0.002512,0.002568,0.002512,0.002528,6217.71
45,1500166800000,0.002523,0.002583,0.002523,0.002577,6146.02
46,1500170400000,0.002579,0.002597,0.002553,0.002571,5912.3
47,1500174000000,0.002566,0.002569,0.002545,0.002554,5256.78
48,1500177600000,0.002551,0.002567,0.002545,0.002545,5737.6
49,1500181200000,0.002556,0.002567,0.002537,0.002563,5392.79
50,1500184800000,0.002558,0.002569,0.002532,0.002565,6591.29
51,1500188400000,0.002566,0.002569,0.00252,0.002547,7404.21
52,1500192000000,0.002545,0.002567,0.002525,0.002567,6138.66
53,1500195600000,0.002564,0.002567,0.002534,0.002561,7873.54
54,1500199200000,0.002559,0.002569,0.002532,0.002545,6885.28
55,1500202800000,0.002546,0.002567,0.002529,0.002558,7698.7
56,1500206400000,0.002534,0.002575,0.002523,0.002542,7995.98
57,1500210000000,0.00254,0.00257,0.00251,0.00257,6494.61
58,1500213600000,0.002559,0.002598,0.002554,0.002588,7591.53
59,1500217200000,0.002588,0.0026,0.002562,0.0026,8113.76
60,1500220800000,0.002614,0.00262,0.00255,0.002603,6952.28
61,1500224400000,0.002602,0.00263,0.002581,0.002626,8246.24
62,1500228000000,0.002631,0.00265,0.002615,0.002628,7490.98
63,1500231600000,0.002613,0.002633,0.002601,0.002604,5862.6
64,1500235200000,0.002602,0.002617,0.00245,0.002592,8811.06
65,1500238800000,0.002589,0.002612,0.002543,0.0026,7496.96
66,1500242400000,0.002599,0.00261,0.002563,0.002606,4995.15
67,1500246000000,0.002609,0.002638,0.002602,0.002638,5758.42
68,1500249600000,0.002638,0.002638,0.002602,0.002633,5627.57
69,1500253200000,0.002633,0.002671,0.002614,0.002643,7687.06
70,1500256800000,0.002646,0.002662,0.002609,0.002624,8471.72
71,1500260400000,0.002646,0.002647,0.002612,0.002623,5870.27
72,1500264000000,0.002643,0.002645,0.002621,0.002635,5759.29
73,1500267600000,0.002637,0.002659,0.002614,0.002617,5095.42
74,1500271200000,0.002614,0.00266,0.002606,0.002632,6487.28
75,1500274800000,0.002629,0.002743,0.002628,0.00268,6686.38
76,1500278400000,0.002683,0.002742,0.002649,0.002687,7923.45
77,1500282000000,0.002685,0.002688,0.002632,0.002677,6903.44
78,1500285600000,0.002671,0.002694,0.002664,0.002685,5555.25
79,1500289200000,0.002685,0.002686,0.002611,0.002615,7329.54
80,1500292800000,0.002613,0.002656,0.002591,0.002648,6334.89
81,1500296400000,0.002643,0.002673,0.00263,0.002667,5041.95
82,1500300000000,0.002658,0.002667,0.002634,0.002654,6992.23
83,1500303600000,0.002656,0.002679,0.002611,0.002635,7481.51
84,1500307200000,0.002631,0.002668,0.002629,0.002656,5373.65
85,1500310800000,0.002656,0.00268,0.002644,0.002656,5995.28
86,1500314400000,0.002652,0.002689,0.00265,0.002681,5104.0
87,1500318000000,0.002689,0.002698,0.002662,0.002682,5177.04
88,1500321600000,0.002682,0.002714,0.002661,0.002705,6085.24
89,1500325200000,0.002715,0.002728,0.00269,0.002724,7448.74
90,1500328800000,0.002737,0.002737,0.002681,0.002715,5813.36
91,1500332400000,0.002712,0.00273,0.002642,0.002666,7936.91
92,1500336000000,0.002669,0.002731,0.002646,0.002646,6879.56
93,1500339600000,0.002644,0.002664,0.002609,0.002664,8637.4
94,1500343200000,0.002665,0.002667,0.002589,0.002604,6110.44
