,ts,open,high,low,close,volume
0,1511146800000,36.0,46.0,36.0,42.4,601.411
1,1511150400000,43.89,43.89,41.73,42.2,243.876
2,1511154000000,42.2,42.2,40.501,42.2,384.512
3,1511157600000,41.0,41.0,39.0,40.798,167.469
4,1511161200000,40.0,42.0,39.201,40.5,591.463
5,1511164800000,40.75,41.0,38.5,40.9,1383.658
6,1511168400000,40.0,42.2,40.0,40.85,902.363
7,1511172000000,41.6,41.6,40.5,40.5,883.055
8,1511175600000,40.5,41.6,40.0,40.5,322.607
9,1511179200000,40.5,40.5,40.0,40.5,424.555
10,1511182800000,41.0,42.5,40.02,42.5,1381.191
11,1511186400000,42.5,42.999,39.196,41.0,3432.393
12,1511190000000,41.0,42.0,40.5,41.001,444.677
13,1511193600000,41.002,41.475,38.0,38.0,5684.33
14,1511197200000,38.0,40.5,34.7,37.502,6130.983
15,1511200800000,38.7,40.0,37.7,39.0,1092.42
16,1511204400000,39.1,39.45,38.53,39.45,104.769
17,1511208000000,39.4,39.9,38.6,38.65,189.821
18,1511211600000,38.65,38.65,37.0,37.3,862.75
19,1511215200000,37.3,37.49,36.011,36.05,2321.152
20,1511218800000,36.062,37.2,35.1,35.582,2792.875
21,1511222400000,35.582,36.39,34.2,35.0,3951.063
22,1511226000000,35.0,36.9,35.0,36.9,2137.308
23,1511229600000,36.9,36.9,35.28,35.28,636.911
24,1511233200000,35.28,35.28,33.5,34.106,3868.162
25,1511236800000,34.0,35.18,33.6,35.18,2019.03
26,1511240400000,35.18,36.81,35.0,35.8,856.383
27,1511244000000,36.15,37.178,35.188,36.296,919.47
28,1511247600000,36.283,36.7,35.1,36.7,749.742
29,1511251200000,36.996,37.0,36.996,36.998,1172.844
30,1511254800000,36.998,37.19,35.581,37.19,1979.376
31,1511258400000,37.498,37.499,36.3,36.5,230.432
32,1511262000000,36.331,36.7,35.702,35.85,1135.594
33,1511265600000,35.85,36.1,35.11,35.5,1550.062
34,1511269200000,35.5,36.39,35.122,35.129,1761.71
35,1511272800000,35.129,36.1,35.129,35.152,99.74
36,1511276400000,36.099,36.89,35.301,35.301,804.799
37,1511280000000,35.2,36.099,35.0,36.0,1873.802
38,1511283600000,35.997,36.0,35.021,35.021,364.997
39,1511287200000,35.111,35.15,34.5,34.61,1651.432
40,1511290800000,34.8,34.801,34.65,34.65,425.413
41,1511294400000,35.5,35.5,34.501,35.06,227.899
42,1511298000000,35.06,35.58,34.351,35.58,145.475
43,1511301600000,34.8,35.25,34.25,35.25,115.888
44,1511305200000,35.0,35.0,35.0,35.0,0.037
45,1511308800000,35.0,35.8,35.0,35.8,299.732
46,1511312400000,35.76,35.76,35.011,35.011,15.995
47,1511316000000,35.011,35.011,34.5,34.5,23.625
48,1511319600000,35.0,35.0,34.586,35.0,28.157
49,1511323200000,35.0,35.09,35.0,35.09,198.52
50,1511326800000,35.09,36.7,35.09,36.689,787.179
51,1511330400000,36.1,36.59,36.1,36.59,204.876
52,1511334000000,36.58,36.689,36.0,36.0,263.604
53,1511337600000,36.0,36.0,35.164,35.164,395.529
54,1511341200000,35.164,35.164,35.164,35.164,0.0
55,1511344800000,35.186,36.7,35.185,36.7,353.506
56,1511348400000,35.311,37.3,35.311,36.0,663.111
57,1511352000000,36.051,36.051,36.051,36.051,0.052
58,1511355600000,36.998,36.999,35.9,35.9,175.588
59,1511359200000,35.6,36.299,35.001,36.299,279.675
60,1511362800000,36.299,37.0,36.299,37.0,312.752
61,1511366400000,36.98,36.98,36.2,36.3,582.83
62,1511370000000,36.879,36.88,36.3,36.879,197.895
63,1511373600000,36.301,36.301,36.002,36.002,397.312
64,1511377200000,36.003,36.98,36.002,36.98,150.669
65,1511380800000,36.003,36.005,36.002,36.002,283.53
66,1511384400000,36.002,36.002,35.5,35.5,830.701
67,1511388000000,35.55,35.62,35.55,35.62,87.997
68,1511391600000,35.65,35.65,35.005,35.005,406.696
69,1511395200000,35.01,36.9,35.006,35.8,315.34
70,1511398800000,35.801,35.801,35.8,35.8,5.12
71,1511402400000,36.3,36.3,35.9,35.9,130.46
72,1511406000000,35.96,36.426,35.434,35.434,678.085
73,1511409600000,35.259,35.27,35.259,35.259,291.419
74,1511413200000,35.259,36.0,35.259,36.0,686.854
75,1511416800000,36.0,36.0,35.7,36.0,83.287
76,1511420400000,35.7,36.197,35.3,35.7,745.769
77,1511424000000,35.4,35.4,34.71,34.72,1063.553
78,1511427600000,34.72,34.771,34.71,34.71,225.687
79,1511431200000,34.71,36.426,34.1,34.11,2013.724
80,1511434800000,34.115,35.4,34.114,35.3,56.396
81,1511438400000,34.8,34.999,34.26,34.999,360.268
82,1511442000000,35.0,35.0,34.0,34.001,600.948
83,1511445600000,35.19,35.199,34.1,35.199,130.042
84,1511449200000,35.197,35.199,34.121,34.5,512.467
85,1511452800000,34.52,35.5,34.5,35.0,341.356
86,1511456400000,35.003,35.94,35.003,35.213,645.329
87,1511460000000,35.213,35.213,34.208,34.209,415.486
88,1511463600000,34.5,35.55,34.5,34.51,97.823
89,1511467200000,34.51,35.497,34.51,35.497,62.89
90,1511470800000,35.0,35.49,34.89,34.89,219.149
91,1511474400000,34.89,35.66,34.56,35.66,142.015
