,ts,open,high,low,close,volume
0,1510110000000,0.08055,25.0,0.08055,0.158,288165.03
1,1510113600000,0.158,0.19999,0.15,0.16948,853799.83
2,1510117200000,0.1694,0.16947,0.13205,0.16,571622.68
3,1510120800000,0.16,0.161,0.134,0.155,209357.1
4,1510124400000,0.155,0.15892,0.15102,0.15769,121820.16
5,1510128000000,0.15892,0.15896,0.15103,0.1579,138980.88
6,1510131600000,0.1525,0.1565,0.1435,0.15249,69178.13
7,1510135200000,0.14955,0.15248,0.147,0.14908,51058.48
8,1510138800000,0.14908,0.15168,0.141,0.1418,43339.06
9,1510142400000,0.141,0.15001,0.141,0.14942,18765.79
10,1510146000000,0.14952,0.15399,0.149,0.149,25398.1
11,1510149600000,0.149,0.1499,0.1355,0.1356,17464.65
12,1510153200000,0.1356,0.155,0.1355,0.155,73651.22
13,1510156800000,0.155,0.155,0.149,0.15494,32657.16
14,1510160400000,0.15489,0.1738,0.1507,0.1738,153784.72
15,1510164000000,0.17379,0.199,0.13552,0.19519,392371.23
16,1510167600000,0.19089,0.35,0.187,0.1898,279481.24
17,1510171200000,0.1889,0.28842,0.1651,0.23653,451924.53
18,1510174800000,0.24787,0.278,0.215,0.2754,293943.51
19,1510178400000,0.2778,0.28842,0.2402,0.26762,309440.58
20,1510182000000,0.26762,0.3297,0.26762,0.292,802124.81
21,1510185600000,0.29001,0.32976,0.271,0.29982,496815.07
22,1510189200000,0.2998,0.3027,0.27541,0.302,326972.04
23,1510192800000,0.302,0.33301,0.27883,0.3215,484922.17
24,1510196400000,0.3215,0.58999,0.31199,0.52501,825378.64
25,1510200000000,0.535,0.535,0.41,0.41884,532602.26
26,1510203600000,0.4169,0.49701,0.4169,0.49701,240954.26
27,1510207200000,0.49701,0.5131,0.46445,0.483,154536.84
28,1510210800000,0.483,0.555,0.47537,0.54612,173591.71
29,1510214400000,0.54612,0.61799,0.53416,0.56995,388829.03
30,1510218000000,0.57,0.58,0.41,0.46434,242625.31
31,1510221600000,0.478,0.48,0.362,0.449,349594.86
32,1510225200000,0.449,0.45,0.37,0.371,204517.08
33,1510228800000,0.371,0.4,0.33552,0.381,166296.46
34,1510232400000,0.39399,0.418,0.3875,0.4,71167.59
35,1510236000000,0.4084,0.45629,0.4,0.405,108971.89
36,1510239600000,0.425,0.47422,0.415,0.455,155179.02
37,1510243200000,0.45997,0.5299,0.455,0.52686,219455.73
38,1510246800000,0.5268,0.55,0.481,0.49501,258648.66
39,1510250400000,0.51,0.5139,0.463,0.49799,80118.68
40,1510254000000,0.49798,0.49799,0.425,0.459,36879.98
41,1510257600000,0.45699,0.46849,0.4,0.43,34675.83
42,1510261200000,0.435,0.469,0.42889,0.469,26614.52
43,1510264800000,0.4699,0.4699,0.41684,0.41802,33758.83
44,1510268400000,0.41802,0.465,0.40001,0.465,26325.21
45,1510272000000,0.44005,0.46988,0.41999,0.44999,19789.94
46,1510275600000,0.44999,0.45299,0.44102,0.44102,10470.31
47,1510279200000,0.44103,0.45434,0.438,0.442,53782.93
48,1510282800000,0.44699,0.447,0.39005,0.40702,78013.61
49,1510286400000,0.40702,0.42148,0.379,0.39999,87106.34
50,1510290000000,0.39979,0.44706,0.39979,0.42369,42601.27
51,1510293600000,0.42369,0.43548,0.4111,0.42812,24001.38
52,1510297200000,0.42687,0.43766,0.42283,0.43372,49957.65
53,1510300800000,0.43352,0.43448,0.4205,0.43257,63473.88
54,1510304400000,0.4314,0.4316,0.401,0.40572,46945.97
55,1510308000000,0.40625,0.42,0.403,0.40616,38676.86
56,1510311600000,0.40616,0.40769,0.3934,0.39932,14168.25
57,1510315200000,0.39942,0.41067,0.3929,0.3999,41049.82
58,1510318800000,0.3998,0.4133,0.3998,0.41,25677.73
