,ts,open,high,low,close,volume
0,1508752800000,6e-05,7.99e-05,6e-05,7.797e-05,1297.0
1,1508756400000,7.001e-05,7.201e-05,7e-05,7.2e-05,6095.0
2,1508760000000,7.2e-05,7.2e-05,7e-05,7.2e-05,4203.0
3,1508763600000,7.2e-05,7.2e-05,7e-05,7e-05,1829.0
4,1508767200000,7e-05,7e-05,7e-05,7e-05,0.0
5,1508770800000,7.41e-05,7.452e-05,7.41e-05,7.452e-05,686.0
6,1508774400000,7.001e-05,7.001e-05,6.879e-05,6.879e-05,1380.0
7,1508778000000,6.879e-05,6.879e-05,6.879e-05,6.879e-05,35.0
8,1508781600000,6.901e-05,6.901e-05,6.879e-05,6.879e-05,990.0
9,1508785200000,6.879e-05,6.879e-05,6.6e-05,6.6e-05,4321.0
10,1508788800000,6.6e-05,6.879e-05,6.6e-05,6.85e-05,1191.0
11,1508792400000,6.85e-05,6.85e-05,6.771e-05,6.771e-05,262.0
12,1508796000000,6.601e-05,6.601e-05,6.601e-05,6.601e-05,448.0
13,1508799600000,6.889e-05,6.889e-05,6.887e-05,6.887e-05,386.0
14,1508803200000,6.601e-05,6.7e-05,6.6e-05,6.7e-05,1604.0
15,1508806800000,6.859e-05,7.452e-05,6.859e-05,7.452e-05,5112.0
16,1508810400000,7.452e-05,7.633e-05,7.452e-05,7.633e-05,5544.0
17,1508814000000,7.633e-05,7.633e-05,7.633e-05,7.633e-05,130.0
18,1508817600000,7.633e-05,7.633e-05,7.633e-05,7.633e-05,0.0
19,1508821200000,7.587e-05,7.587e-05,7.2e-05,7.2e-05,11073.0
20,1508824800000,7.299e-05,7.299e-05,7.299e-05,7.299e-05,80.0
21,1508828400000,7.023e-05,7.199e-05,6.971e-05,6.975e-05,8553.0
22,1508832000000,6.975e-05,7.198e-05,6.975e-05,7.198e-05,814.0
23,1508835600000,6.958e-05,7.2e-05,6.958e-05,7.2e-05,19489.0
24,1508839200000,7.292e-05,7.305e-05,7.262e-05,7.292e-05,720.0
25,1508842800000,7.466e-05,7.466e-05,7.466e-05,7.466e-05,147.0
26,1508846400000,7.293e-05,7.342e-05,7.293e-05,7.342e-05,388.0
27,1508850000000,7.348e-05,7.601e-05,7.348e-05,7.601e-05,1523.0
28,1508853600000,7.633e-05,7.75e-05,7.601e-05,7.75e-05,1721.0
29,1508857200000,7.607e-05,7.725e-05,7.6e-05,7.699e-05,5539.0
30,1508860800000,7.748e-05,7.748e-05,6.929e-05,6.929e-05,40438.0
31,1508864400000,6.929e-05,6.929e-05,6.929e-05,6.929e-05,0.0
32,1508868000000,7.082e-05,7.65e-05,7.082e-05,7.65e-05,1223.0
33,1508871600000,7.511e-05,7.74e-05,6.931e-05,7.738e-05,9446.0
34,1508875200000,7.7e-05,7.7e-05,7.001e-05,7.474e-05,1377.0
35,1508878800000,7.481e-05,7.481e-05,7.474e-05,7.474e-05,1172.0
36,1508882400000,7.623e-05,7.623e-05,7.623e-05,7.623e-05,18.0
37,1508886000000,7.623e-05,7.623e-05,7.623e-05,7.623e-05,0.0
