,ts,open,high,low,close,volume
0,1505188800000,0.003,0.00335,0.00291,0.002951,23163.1
1,1505192400000,0.002951,0.003102,0.0029,0.003042,9539.11
2,1505196000000,0.003019,0.0031,0.00296,0.002977,11623.92
3,1505199600000,0.002972,0.002997,0.002931,0.002997,8660.49
4,1505203200000,0.002983,0.002997,0.00292,0.002969,6490.27
5,1505206800000,0.002969,0.002974,0.002944,0.002953,7417.83
6,1505210400000,0.002967,0.00299,0.00293,0.00299,6412.83
7,1505214000000,0.002958,0.002995,0.002947,0.002947,4700.97
8,1505217600000,0.002947,0.002947,0.002825,0.002884,12405.19
9,1505221200000,0.002884,0.002924,0.00283,0.002882,2937.56
10,1505224800000,0.002872,0.002924,0.00284,0.002859,8815.36
11,1505228400000,0.002859,0.002878,0.002825,0.002825,5225.77
12,1505232000000,0.002822,0.00288,0.002784,0.002854,3695.5
13,1505235600000,0.002858,0.002912,0.00285,0.00285,4116.34
14,1505239200000,0.002853,0.002853,0.0027,0.002735,6844.33
15,1505242800000,0.002716,0.002813,0.002716,0.002806,2177.2
16,1505246400000,0.002781,0.002878,0.002778,0.002832,7054.03
17,1505250000000,0.00281,0.002865,0.00281,0.002826,6370.17
18,1505253600000,0.002826,0.002864,0.002826,0.002832,5400.6
19,1505257200000,0.002832,0.002849,0.002788,0.002827,3442.96
20,1505260800000,0.002827,0.002828,0.002761,0.002789,2528.02
21,1505264400000,0.002769,0.002804,0.002761,0.002779,3623.71
22,1505268000000,0.002779,0.0028,0.002718,0.002733,3178.69
23,1505271600000,0.002731,0.002789,0.002645,0.002651,5362.49
24,1505275200000,0.002652,0.002715,0.002534,0.002715,8587.74
25,1505278800000,0.002715,0.00272,0.002621,0.002689,8253.92
26,1505282400000,0.002649,0.002724,0.002602,0.002724,16472.69
27,1505286000000,0.002714,0.00272,0.002662,0.002692,7521.11
28,1505289600000,0.002692,0.002696,0.002631,0.002669,8486.78
29,1505293200000,0.002658,0.002714,0.002658,0.002684,7515.51
30,1505296800000,0.002676,0.002684,0.002589,0.002589,8937.78
31,1505300400000,0.002589,0.002623,0.002505,0.002559,6302.58
32,1505304000000,0.002538,0.002649,0.002517,0.002648,5017.85
33,1505307600000,0.002648,0.002657,0.002606,0.002656,10233.69
34,1505311200000,0.002656,0.002657,0.002581,0.002604,10050.54
35,1505314800000,0.002601,0.002666,0.002599,0.002656,5970.19
36,1505318400000,0.002656,0.002755,0.002625,0.00273,11665.69
37,1505322000000,0.002734,0.002827,0.002701,0.002731,4748.94
38,1505325600000,0.002731,0.00275,0.002679,0.002746,4846.0
39,1505329200000,0.002746,0.002752,0.002709,0.00271,7108.86
40,1505332800000,0.00271,0.002756,0.00269,0.002701,5872.41
41,1505336400000,0.002704,0.002759,0.002686,0.002707,6348.14
42,1505340000000,0.0027,0.0028,0.002699,0.002779,5222.87
43,1505343600000,0.002779,0.002779,0.002719,0.002736,6896.19
44,1505347200000,0.002742,0.00277,0.002736,0.002761,5787.0
45,1505350800000,0.002761,0.002804,0.002721,0.002803,6567.73
46,1505354400000,0.002803,0.002844,0.002732,0.002754,3170.93
47,1505358000000,0.002746,0.002795,0.002707,0.002724,4738.27
48,1505361600000,0.002744,0.002754,0.0027,0.002737,5980.82
49,1505365200000,0.002737,0.002756,0.00272,0.002733,3238.04
50,1505368800000,0.002733,0.002753,0.002718,0.002718,5538.93
51,1505372400000,0.002718,0.002779,0.00271,0.002772,5419.17
52,1505376000000,0.002773,0.002799,0.0027,0.00277,2996.61
53,1505379600000,0.00277,0.002779,0.002715,0.002715,7444.24
54,1505383200000,0.002715,0.002738,0.002649,0.002691,6948.72
55,1505386800000,0.002695,0.002721,0.002522,0.002564,8052.85
56,1505390400000,0.002564,0.002667,0.002476,0.002484,6486.15
57,1505394000000,0.002484,0.002609,0.002432,0.002519,7660.44
58,1505397600000,0.002519,0.002605,0.002457,0.002565,8427.56
59,1505401200000,0.002565,0.002566,0.002485,0.002506,7247.54
60,1505404800000,0.002506,0.002523,0.002452,0.002462,6531.19
61,1505408400000,0.002468,0.002478,0.00235,0.002352,5903.15
62,1505412000000,0.002405,0.002627,0.002351,0.002532,3514.08
63,1505415600000,0.002579,0.002654,0.002531,0.002611,5593.38
64,1505419200000,0.002614,0.002642,0.002582,0.002598,7870.18
65,1505422800000,0.002598,0.002607,0.002521,0.002585,5503.25
66,1505426400000,0.002585,0.002749,0.002535,0.002585,5497.32
