,ts,open,high,low,close,volume
0,1520488800000,0.005,2.0,0.005,0.34491,47983.89
1,1520492400000,0.34001,0.34001,0.22001,0.22002,101473.42
2,1520496000000,0.23,0.2419,0.18008,0.18016,65208.98
3,1520499600000,0.18019,0.18799,0.13802,0.14116,77214.78
4,1520503200000,0.1435,0.18108,0.14001,0.17,102289.04
5,1520506800000,0.17,0.231,0.17,0.18788,219669.93
6,1520510400000,0.188,0.19749,0.17499,0.1823,109558.91
7,1520514000000,0.18311,0.18311,0.1637,0.1637,66703.63
8,1520517600000,0.1637,0.17647,0.16,0.16723,40737.1
9,1520521200000,0.16724,0.205,0.16724,0.19402,114194.85
10,1520524800000,0.19472,0.265,0.1905,0.216,383230.78
11,1520528400000,0.21999,0.26,0.21302,0.23801,195374.82
12,1520532000000,0.23802,0.25,0.225,0.23058,161721.97
13,1520535600000,0.23058,0.2401,0.22009,0.23519,81288.38
14,1520539200000,0.235,0.28866,0.2317,0.2595,115370.41
15,1520542800000,0.2595,0.42158,0.25926,0.37,712983.98
16,1520546400000,0.37,0.38999,0.30956,0.32299,317063.75
17,1520550000000,0.32299,0.37,0.292,0.34397,216183.96
18,1520553600000,0.34387,0.35989,0.3125,0.32001,125090.52
19,1520557200000,0.32002,0.34697,0.3125,0.31722,72974.68
20,1520560800000,0.31609,0.32889,0.285,0.31067,90053.9
21,1520564400000,0.31,0.349,0.30566,0.335,105482.65
22,1520568000000,0.335,0.39255,0.31379,0.37,169784.27
23,1520571600000,0.37741,0.37741,0.326,0.32702,116835.89
24,1520575200000,0.32702,0.33998,0.27,0.27313,180667.95
25,1520578800000,0.27313,0.28365,0.24574,0.255,115198.47
26,1520582400000,0.255,0.28848,0.25255,0.28001,125733.16
27,1520586000000,0.28001,0.2871,0.26304,0.264,178663.13
28,1520589600000,0.26401,0.2656,0.2445,0.24516,73173.0
29,1520593200000,0.245,0.2457,0.05,0.21788,303397.15
30,1520596800000,0.219,0.2288,0.2013,0.2165,89010.1
31,1520600400000,0.2185,0.233,0.205,0.22496,87026.81
32,1520604000000,0.22496,0.23055,0.217,0.22235,102501.4
33,1520607600000,0.22235,0.2249,0.20469,0.2093,52731.45
34,1520611200000,0.2093,0.21325,0.18808,0.18902,71940.1
35,1520614800000,0.18902,0.19642,0.18372,0.19058,63193.36
36,1520618400000,0.19058,0.209,0.18985,0.19416,68610.24
37,1520622000000,0.19264,0.19976,0.18986,0.199,18261.39
38,1520625600000,0.19886,0.2,0.192,0.19851,37132.66
39,1520629200000,0.19952,0.23333,0.19952,0.22003,124730.49
40,1520632800000,0.21997,0.22335,0.20525,0.21111,45577.84
41,1520636400000,0.21111,0.213,0.196,0.198,66036.22
42,1520640000000,0.1996,0.21007,0.1996,0.20683,19318.38
43,1520643600000,0.20712,0.209,0.20031,0.20527,11555.12
44,1520647200000,0.20569,0.2137,0.20502,0.211,20832.52
45,1520650800000,0.211,0.2135,0.20194,0.20211,10312.19
46,1520654400000,0.20211,0.20913,0.20101,0.20874,7874.75
47,1520658000000,0.20874,0.2092,0.20612,0.20816,18464.49
48,1520661600000,0.20816,0.235,0.20611,0.23,57226.33
49,1520665200000,0.22999,0.23,0.22019,0.22225,29071.57
50,1520668800000,0.22428,0.22429,0.2101,0.21228,29988.66
51,1520672400000,0.21321,0.21457,0.208,0.208,13824.58
52,1520676000000,0.20877,0.21247,0.20792,0.20992,12555.31
53,1520679600000,0.20811,0.2109,0.20458,0.20496,16862.2
54,1520683200000,0.20496,0.20999,0.198,0.206,32103.42
55,1520686800000,0.20697,0.209,0.20354,0.20394,8970.89
56,1520690400000,0.20397,0.207,0.20376,0.20543,6680.63
57,1520694000000,0.2054,0.20621,0.20165,0.20359,13998.04
58,1520697600000,0.204,0.21089,0.204,0.21089,18983.43
59,1520701200000,0.21087,0.211,0.2035,0.20581,10737.82
60,1520704800000,0.20585,0.20674,0.19731,0.20001,17207.3
61,1520708400000,0.20006,0.206,0.1995,0.1995,10919.38
62,1520712000000,0.1995,0.2013,0.1959,0.19609,10729.91
63,1520715600000,0.19609,0.19845,0.19299,0.19375,12996.16
64,1520719200000,0.19799,0.1982,0.19386,0.19491,10059.27
65,1520722800000,0.19498,0.19823,0.19498,0.19503,6785.93
66,1520726400000,0.19704,0.19704,0.19,0.19327,16085.98
67,1520730000000,0.193,0.201,0.193,0.20092,12629.84
68,1520733600000,0.2009,0.20436,0.19851,0.20049,10135.85
