,ts,open,high,low,close,volume
0,1513663200000,0.08,0.12,0.04,0.078,83978.89
1,1513666800000,0.07995,0.08,0.07101,0.07183,55797.99
2,1513670400000,0.071,0.08,0.06903,0.06904,38046.94
3,1513674000000,0.06904,0.07499,0.06607,0.06922,24458.39
4,1513677600000,0.06922,0.06922,0.06065,0.06065,36552.18
5,1513681200000,0.06365,0.06922,0.05306,0.05306,308472.51
6,1513684800000,0.05606,0.07011,0.05307,0.06815,243564.4
7,1513688400000,0.06815,0.06974,0.06001,0.06001,18462.56
8,1513692000000,0.06999,0.07498,0.06001,0.0671,22546.27
9,1513695600000,0.0671,0.06901,0.066,0.06666,33498.17
10,1513699200000,0.06666,0.07,0.06601,0.06604,1892.88
11,1513702800000,0.07,0.195,0.067,0.0777,52819.38
12,1513706400000,0.07,0.07767,0.07,0.07765,806.91
13,1513710000000,0.07763,0.0777,0.07213,0.07386,34390.01
14,1513713600000,0.07386,0.07576,0.07221,0.07222,33386.22
15,1513717200000,0.0756,0.07561,0.06944,0.06944,65726.63
16,1513720800000,0.06944,0.06944,0.06468,0.06804,16194.52
17,1513724400000,0.067,0.06998,0.064,0.06972,4933.29
18,1513728000000,0.06972,0.06972,0.05774,0.05776,19787.17
19,1513731600000,0.06406,0.06898,0.05412,0.06144,22510.43
20,1513735200000,0.06144,0.075,0.0575,0.0691,24992.23
21,1513738800000,0.06922,0.06922,0.06153,0.06323,10844.7
22,1513742400000,0.06323,0.06838,0.06214,0.06255,29358.12
23,1513746000000,0.06288,0.06838,0.06288,0.0633,3894.78
24,1513749600000,0.06837,0.07499,0.06387,0.07478,10973.57
25,1513753200000,0.06999,0.07278,0.06391,0.064,3836.26
26,1513756800000,0.064,0.07265,0.06293,0.06975,30543.27
27,1513760400000,0.06501,0.06501,0.06293,0.06303,6480.8
28,1513764000000,0.06303,0.06438,0.06,0.06211,33819.1
29,1513767600000,0.0601,0.06211,0.06,0.06003,1323.92
30,1513771200000,0.06289,0.06822,0.06001,0.06822,15543.13
31,1513774800000,0.065,0.06697,0.06006,0.06491,23821.43
32,1513778400000,0.06007,0.06825,0.06006,0.06692,17965.08
33,1513782000000,0.06545,0.06545,0.06014,0.06025,6202.26
34,1513785600000,0.06025,0.06544,0.06025,0.06469,2305.04
35,1513789200000,0.06468,0.06468,0.06025,0.06028,11285.19
36,1513792800000,0.06444,0.06444,0.0605,0.06051,228.94
37,1513796400000,0.06399,0.0642,0.06058,0.06325,6171.48
38,1513800000000,0.06325,0.0645,0.06325,0.06348,5025.63
39,1513803600000,0.06348,0.06348,0.06058,0.06058,12665.89
40,1513807200000,0.06058,0.0615,0.06025,0.06025,9208.78
41,1513810800000,0.06025,0.061,0.05936,0.06025,14797.18
42,1513814400000,0.0603,0.06148,0.05901,0.05901,14717.82
43,1513818000000,0.05901,0.0619,0.058,0.058,10959.77
44,1513821600000,0.06056,0.06215,0.0576,0.0581,14702.16
45,1513825200000,0.0581,0.06244,0.04755,0.0553,23086.04
46,1513828800000,0.0553,0.06193,0.0553,0.06182,893.12
47,1513832400000,0.06078,0.06078,0.05532,0.05532,5187.46
48,1513836000000,0.06073,0.06449,0.0553,0.061,18531.6
49,1513839600000,0.061,0.06827,0.058,0.06377,40766.29
50,1513843200000,0.05701,0.06824,0.05701,0.06824,6629.32
51,1513846800000,0.06788,0.06788,0.06232,0.06709,6628.8
52,1513850400000,0.06718,0.06971,0.06144,0.06345,22436.57
