,ts,open,high,low,close,volume
0,1513659600000,0.0001,0.00012,3.33e-05,4.299e-05,113799.0
1,1513663200000,4e-05,4.298e-05,2.28e-05,2.622e-05,12398551.0
2,1513666800000,2.629e-05,2.794e-05,2.32e-05,2.439e-05,7500129.0
3,1513670400000,2.426e-05,2.576e-05,2.28e-05,2.484e-05,5404289.0
4,1513674000000,2.455e-05,2.579e-05,2.31e-05,2.368e-05,4447638.0
5,1513677600000,2.369e-05,2.4e-05,2.003e-05,2.036e-05,4670739.0
6,1513681200000,2.036e-05,2.212e-05,1.901e-05,1.92e-05,3570462.0
7,1513684800000,1.92e-05,2.355e-05,1.91e-05,2.196e-05,4802337.0
8,1513688400000,2.21e-05,2.249e-05,2.12e-05,2.237e-05,2029322.0
9,1513692000000,2.236e-05,2.299e-05,2.166e-05,2.191e-05,2064780.0
10,1513695600000,2.191e-05,2.26e-05,2.176e-05,2.217e-05,1600970.0
11,1513699200000,2.214e-05,2.265e-05,2.188e-05,2.23e-05,1925036.0
12,1513702800000,2.23e-05,2.564e-05,2.21e-05,2.363e-05,4514560.0
13,1513706400000,2.363e-05,2.449e-05,2.29e-05,2.391e-05,1679283.0
14,1513710000000,2.397e-05,2.488e-05,2.35e-05,2.404e-05,1792860.0
15,1513713600000,2.404e-05,2.45e-05,2.336e-05,2.359e-05,1285616.0
16,1513717200000,2.359e-05,2.4e-05,2.21e-05,2.22e-05,1426611.0
17,1513720800000,2.22e-05,2.241e-05,2.055e-05,2.206e-05,1568606.0
18,1513724400000,2.216e-05,2.238e-05,2.129e-05,2.167e-05,843762.0
19,1513728000000,2.166e-05,2.24e-05,1.801e-05,1.89e-05,3170454.0
20,1513731600000,1.89e-05,2.086e-05,1.805e-05,1.817e-05,1865219.0
21,1513735200000,1.816e-05,2.2e-05,1.814e-05,2.034e-05,2079420.0
22,1513738800000,2.036e-05,2.238e-05,2.036e-05,2.11e-05,1330653.0
23,1513742400000,2.11e-05,2.19e-05,2.07e-05,2.19e-05,637263.0
24,1513746000000,2.195e-05,2.2e-05,2.074e-05,2.107e-05,727448.0
25,1513749600000,2.107e-05,2.15e-05,2.06e-05,2.104e-05,897380.0
26,1513753200000,2.097e-05,2.107e-05,2e-05,2.021e-05,820100.0
27,1513756800000,2.04e-05,2.056e-05,1.98e-05,2.05e-05,825415.0
28,1513760400000,2.036e-05,2.05e-05,1.98e-05,2e-05,648895.0
29,1513764000000,1.994e-05,2.023e-05,1.9e-05,1.9e-05,920782.0
30,1513767600000,1.909e-05,1.978e-05,1.901e-05,1.972e-05,697942.0
31,1513771200000,1.973e-05,2.156e-05,1.972e-05,2.104e-05,1903737.0
32,1513774800000,2.108e-05,2.15e-05,1.921e-05,2.044e-05,1152296.0
33,1513778400000,2.02e-05,2.126e-05,2.001e-05,2.083e-05,709197.0
34,1513782000000,2.063e-05,2.083e-05,1.95e-05,2.005e-05,544321.0
35,1513785600000,2.005e-05,2.005e-05,1.93e-05,1.973e-05,492691.0
36,1513789200000,1.973e-05,2.041e-05,1.951e-05,1.975e-05,443033.0
37,1513792800000,1.975e-05,1.997e-05,1.942e-05,1.976e-05,346264.0
38,1513796400000,1.986e-05,2.024e-05,1.964e-05,2.007e-05,512969.0
39,1513800000000,2.007e-05,2.007e-05,1.906e-05,1.949e-05,595984.0
40,1513803600000,1.949e-05,1.95e-05,1.862e-05,1.89e-05,852152.0
41,1513807200000,1.891e-05,1.92e-05,1.866e-05,1.894e-05,445734.0
42,1513810800000,1.871e-05,1.927e-05,1.811e-05,1.921e-05,943171.0
43,1513814400000,1.921e-05,1.924e-05,1.834e-05,1.842e-05,795880.0
44,1513818000000,1.842e-05,1.942e-05,1.83e-05,1.927e-05,1148583.0
45,1513821600000,1.923e-05,1.95e-05,1.86e-05,1.876e-05,1039688.0
46,1513825200000,1.87e-05,1.94e-05,1.865e-05,1.905e-05,766278.0
47,1513828800000,1.907e-05,1.907e-05,1.836e-05,1.841e-05,1288588.0
48,1513832400000,1.841e-05,1.911e-05,1.83e-05,1.911e-05,1095921.0
49,1513836000000,1.891e-05,2.041e-05,1.891e-05,1.976e-05,2445324.0
50,1513839600000,1.975e-05,2.034e-05,1.931e-05,2.008e-05,1344220.0
51,1513843200000,2.008e-05,2.12e-05,1.95e-05,2.113e-05,1962001.0
52,1513846800000,2.112e-05,2.19e-05,2.002e-05,2.14e-05,1322036.0
53,1513850400000,2.14e-05,2.14e-05,1.996e-05,2.064e-05,920241.0
54,1513854000000,2.064e-05,2.078e-05,1.98e-05,2.005e-05,926089.0
55,1513857600000,2.005e-05,2.064e-05,1.93e-05,1.985e-05,1056344.0
56,1513861200000,1.985e-05,2.018e-05,1.889e-05,1.976e-05,1421044.0
57,1513864800000,1.972e-05,1.985e-05,1.935e-05,1.956e-05,592364.0
58,1513868400000,1.945e-05,1.946e-05,1.88e-05,1.9e-05,846752.0
59,1513872000000,1.9e-05,2.008e-05,1.84e-05,1.976e-05,918638.0
60,1513875600000,1.976e-05,2.049e-05,1.969e-05,2.026e-05,897604.0
61,1513879200000,2.026e-05,2.044e-05,1.943e-05,2e-05,430266.0
62,1513882800000,1.978e-05,2.039e-05,1.91e-05,2.011e-05,452120.0
63,1513886400000,2.01e-05,2.024e-05,1.97e-05,1.996e-05,250643.0
64,1513890000000,1.989e-05,2.06e-05,1.988e-05,2.046e-05,468125.0
65,1513893600000,2.046e-05,2.08e-05,1.992e-05,2.046e-05,526482.0
66,1513897200000,2.047e-05,2.061e-05,2.002e-05,2.01e-05,351806.0
67,1513900800000,2.01e-05,2.1e-05,2.002e-05,2.068e-05,470276.0
68,1513904400000,2.055e-05,2.056e-05,1.954e-05,1.958e-05,736805.0
69,1513908000000,1.963e-05,1.999e-05,1.885e-05,1.885e-05,568872.0
70,1513911600000,1.885e-05,1.891e-05,1.815e-05,1.89e-05,672033.0
71,1513915200000,1.91e-05,2e-05,1.896e-05,1.975e-05,540591.0
72,1513918800000,1.975e-05,1.976e-05,1.94e-05,1.944e-05,216563.0
73,1513922400000,1.945e-05,1.961e-05,1.851e-05,1.871e-05,267675.0
74,1513926000000,1.853e-05,1.87e-05,1.755e-05,1.756e-05,478489.0
75,1513929600000,1.756e-05,1.798e-05,1.702e-05,1.75e-05,346085.0
76,1513933200000,1.753e-05,1.819e-05,1.747e-05,1.774e-05,479118.0
77,1513936800000,1.773e-05,1.88e-05,1.751e-05,1.8e-05,365110.0
78,1513940400000,1.803e-05,1.81e-05,1.707e-05,1.75e-05,288131.0
79,1513944000000,1.769e-05,1.78e-05,1.736e-05,1.766e-05,148134.0
80,1513947600000,1.766e-05,1.767e-05,1.644e-05,1.658e-05,481016.0
81,1513951200000,1.684e-05,1.778e-05,1.246e-05,1.52e-05,695162.0
82,1513954800000,1.523e-05,1.576e-05,1.4e-05,1.544e-05,363968.0
83,1513958400000,1.56e-05,1.716e-05,1.542e-05,1.645e-05,316471.0
84,1513962000000,1.67e-05,1.716e-05,1.532e-05,1.64e-05,372006.0
85,1513965600000,1.64e-05,1.676e-05,1.632e-05,1.647e-05,134622.0
86,1513969200000,1.651e-05,1.73e-05,1.651e-05,1.729e-05,155213.0
87,1513972800000,1.726e-05,1.727e-05,1.685e-05,1.716e-05,206780.0
88,1513976400000,1.699e-05,1.716e-05,1.632e-05,1.644e-05,203167.0
89,1513980000000,1.666e-05,1.717e-05,1.634e-05,1.707e-05,165695.0
90,1513983600000,1.681e-05,1.721e-05,1.65e-05,1.651e-05,199102.0
91,1513987200000,1.657e-05,1.678e-05,1.643e-05,1.657e-05,156609.0
92,1513990800000,1.657e-05,1.715e-05,1.609e-05,1.609e-05,372133.0
93,1513994400000,1.628e-05,1.669e-05,1.566e-05,1.611e-05,459091.0
94,1513998000000,1.633e-05,1.634e-05,1.594e-05,1.601e-05,185354.0
95,1514001600000,1.607e-05,1.678e-05,1.601e-05,1.659e-05,265432.0
96,1514005200000,1.66e-05,1.72e-05,1.63e-05,1.715e-05,369249.0
97,1514008800000,1.715e-05,1.73e-05,1.65e-05,1.729e-05,356948.0
98,1514012400000,1.729e-05,1.79e-05,1.683e-05,1.77e-05,481125.0
99,1514016000000,1.782e-05,1.783e-05,1.688e-05,1.763e-05,447321.0
100,1514019600000,1.75e-05,1.787e-05,1.725e-05,1.78e-05,259937.0
101,1514023200000,1.78e-05,1.907e-05,1.78e-05,1.907e-05,525476.0
102,1514026800000,1.907e-05,1.957e-05,1.8e-05,1.879e-05,478549.0
