,ts,open,high,low,close,volume
0,1516676400000,2.0,3.3,1.0,1.09002,12792.27
1,1516680000000,1.09002,1.19,1.0,1.17,13319.7
2,1516683600000,1.16999,1.46,1.02,1.02001,16602.86
3,1516687200000,1.02003,1.2,0.99929,1.03696,4911.57
4,1516690800000,1.03696,1.03696,0.91,0.97999,3366.75
5,1516694400000,0.94045,1.03,0.94,1.0,3110.45
6,1516698000000,0.97994,1.00001,0.96,0.9723,1757.57
7,1516701600000,0.965,1.03687,0.96103,1.00001,2285.24
8,1516705200000,1.00457,1.036,0.9762,0.97867,1633.33
9,1516708800000,0.99988,1.00498,0.93005,0.97,5566.03
10,1516712400000,0.97,0.98479,0.9,0.927,5362.92
11,1516716000000,0.92704,0.92999,0.87082,0.905,3945.32
12,1516719600000,0.905,0.90501,0.85075,0.87,4182.81
13,1516723200000,0.868,0.91999,0.8221,0.86874,6230.84
14,1516726800000,0.86874,0.91888,0.83019,0.9098,4684.2
15,1516730400000,0.88764,0.9097,0.85202,0.89001,3854.7
16,1516734000000,0.89,0.90197,0.84148,0.8551,1772.12
17,1516737600000,0.87177,0.98134,0.84155,0.98134,5227.46
18,1516741200000,0.981,0.981,0.86027,0.93593,6543.5
19,1516744800000,0.93576,0.93576,0.85603,0.88985,2472.13
20,1516748400000,0.88989,0.9363,0.856,0.93428,3059.52
21,1516752000000,0.93554,0.93598,0.86414,0.86414,2551.64
22,1516755600000,0.87832,0.89741,0.86029,0.87478,1823.41
23,1516759200000,0.90898,0.90898,0.86351,0.87471,1491.88
24,1516762800000,0.87475,0.87479,0.83497,0.83886,2005.06
25,1516766400000,0.83082,0.8388,0.8123,0.82221,3397.74
26,1516770000000,0.82221,0.82221,0.77457,0.78774,1841.67
27,1516773600000,0.78719,0.79957,0.74518,0.78013,3463.28
28,1516777200000,0.78011,0.81001,0.7801,0.79501,694.75
29,1516780800000,0.79301,0.8,0.7801,0.78015,1263.85
30,1516784400000,0.786,0.79634,0.7801,0.79,669.78
31,1516788000000,0.78265,0.79571,0.78068,0.79531,293.95
32,1516791600000,0.79531,0.81969,0.78177,0.79379,1344.51
33,1516795200000,0.79379,0.83377,0.76904,0.81304,5339.19
34,1516798800000,0.81304,0.83351,0.77603,0.78218,1839.79
35,1516802400000,0.78201,0.7963,0.74501,0.77,2668.01
36,1516806000000,0.76921,0.77088,0.75123,0.76101,1947.93
37,1516809600000,0.76101,0.78662,0.76,0.76541,643.47
38,1516813200000,0.77801,0.77961,0.76237,0.77554,206.61
39,1516816800000,0.77554,0.77554,0.765,0.77,467.81
40,1516820400000,0.77,0.7754,0.75,0.77456,825.5
41,1516824000000,0.7744,0.77557,0.75954,0.75964,801.88
42,1516827600000,0.75966,0.79696,0.751,0.79428,1806.56
43,1516831200000,0.78,0.78,0.76021,0.7701,299.68
44,1516834800000,0.77015,0.79495,0.77015,0.78401,260.05
45,1516838400000,0.784,0.79491,0.76021,0.76767,627.5
46,1516842000000,0.76255,0.77481,0.75001,0.7524,1507.62
47,1516845600000,0.75002,0.76492,0.75001,0.76301,883.79
48,1516849200000,0.76301,0.77953,0.75,0.75015,1233.85
49,1516852800000,0.75015,0.75798,0.746,0.75772,374.8
50,1516856400000,0.75795,0.75893,0.74652,0.757,161.19
51,1516860000000,0.75699,0.762,0.742,0.762,801.57
52,1516863600000,0.76194,0.76942,0.7495,0.75003,323.34
53,1516867200000,0.75,0.75782,0.74358,0.75624,457.22
54,1516870800000,0.756,0.756,0.74346,0.746,118.09
55,1516874400000,0.74601,0.75397,0.74601,0.751,183.09
56,1516878000000,0.75099,0.75749,0.74547,0.74624,170.18
57,1516881600000,0.74624,0.75782,0.74347,0.757,468.05
58,1516885200000,0.757,0.77848,0.757,0.76964,274.25
59,1516888800000,0.76964,0.76964,0.74347,0.74931,398.97
60,1516892400000,0.75018,0.751,0.735,0.74109,5192.22
61,1516896000000,0.74113,0.75791,0.73006,0.75791,5982.02
62,1516899600000,0.75791,0.75999,0.72222,0.75626,561.06
63,1516903200000,0.75588,0.76,0.755,0.75501,560.53
64,1516906800000,0.74411,0.76,0.72323,0.72323,1775.74
65,1516910400000,0.75919,0.76,0.73526,0.747,365.88
66,1516914000000,0.747,0.75758,0.7451,0.75754,65.36
67,1516917600000,0.7561,0.765,0.75019,0.7502,333.94
68,1516921200000,0.75021,0.77001,0.74796,0.77,799.75
69,1516924800000,0.775,0.775,0.745,0.745,256.35
70,1516928400000,0.7519,0.77499,0.745,0.75975,190.27
71,1516932000000,0.76047,0.76143,0.74894,0.76001,315.3
72,1516935600000,0.76001,0.76905,0.74744,0.76609,1563.13
73,1516939200000,0.75961,0.7695,0.75234,0.7695,1168.93
74,1516942800000,0.76005,0.76949,0.74521,0.76523,361.08
75,1516946400000,0.76426,0.76523,0.75107,0.76523,79.62
76,1516950000000,0.76523,0.76523,0.7456,0.74563,217.62
77,1516953600000,0.75612,0.75612,0.7297,0.7297,902.9
78,1516957200000,0.7297,0.74039,0.72323,0.72323,685.54
79,1516960800000,0.72323,0.73106,0.7113,0.71245,254.12
80,1516964400000,0.73267,0.73267,0.71601,0.725,74.08
81,1516968000000,0.719,0.73296,0.7165,0.7235,289.44
82,1516971600000,0.72355,0.735,0.72355,0.72999,1021.85
83,1516975200000,0.72999,0.74098,0.72999,0.74089,52.34
84,1516978800000,0.72323,0.7396,0.72323,0.73824,44.62
85,1516982400000,0.73808,0.7435,0.72406,0.72642,379.82
86,1516986000000,0.72501,0.74087,0.72501,0.72523,67.84
87,1516989600000,0.73296,0.74045,0.716,0.73817,1648.49
88,1516993200000,0.72,0.73945,0.72,0.72001,356.53
89,1516996800000,0.72774,0.73942,0.725,0.735,172.25
90,1517000400000,0.735,0.735,0.727,0.72901,537.3
91,1517004000000,0.73938,0.73938,0.72901,0.72902,53.54
92,1517007600000,0.73931,0.74087,0.7393,0.74087,173.21
93,1517011200000,0.74298,0.74298,0.72799,0.73499,685.18
94,1517014800000,0.7266,0.7266,0.72001,0.72001,448.11
95,1517018400000,0.721,0.72398,0.713,0.713,248.7
96,1517022000000,0.71302,0.724,0.71302,0.724,282.12
97,1517025600000,0.71331,0.72371,0.71312,0.71354,56.4
98,1517029200000,0.71371,0.72405,0.711,0.72405,411.21
99,1517032800000,0.72405,0.7394,0.71684,0.71685,69.9
100,1517036400000,0.71744,0.73134,0.71744,0.73093,10.39
101,1517040000000,0.71801,0.72261,0.718,0.72261,78.63
102,1517043600000,0.72261,0.72483,0.72,0.72001,51.51
103,1517047200000,0.72001,0.74,0.72001,0.73799,220.26
104,1517050800000,0.74,0.74581,0.73214,0.73214,241.18
105,1517054400000,0.74447,0.74969,0.73213,0.73213,288.41
106,1517058000000,0.73479,0.74909,0.73013,0.74676,69.49
107,1517061600000,0.74833,0.74833,0.74623,0.74623,70.93
108,1517065200000,0.73999,0.75499,0.73999,0.75499,465.67
109,1517068800000,0.74501,0.74946,0.74038,0.74454,536.93
110,1517072400000,0.74431,0.74496,0.73013,0.74495,226.87
111,1517076000000,0.73101,0.74483,0.73101,0.74483,39.39
112,1517079600000,0.74402,0.74402,0.731,0.731,26.87
113,1517083200000,0.73107,0.74969,0.73102,0.74962,403.29
114,1517086800000,0.74909,0.74909,0.731,0.74745,230.86
115,1517090400000,0.73381,0.74979,0.73381,0.73466,394.9
116,1517094000000,0.7349,0.74887,0.731,0.74063,139.8
117,1517097600000,0.74887,0.749,0.731,0.74891,273.51
118,1517101200000,0.73612,0.7489,0.73612,0.7489,73.62
119,1517104800000,0.74886,0.74886,0.73638,0.74882,58.14
120,1517108400000,0.73637,0.73999,0.73636,0.7378,296.52
121,1517112000000,0.74801,0.74802,0.7378,0.7378,80.24
122,1517115600000,0.73141,0.74001,0.73,0.74001,262.18
123,1517119200000,0.74,0.75498,0.73011,0.73233,347.25
124,1517122800000,0.73234,0.73357,0.72011,0.73211,129.5
125,1517126400000,0.72101,0.72969,0.711,0.72436,501.46
126,1517130000000,0.724,0.724,0.711,0.71792,107.29
127,1517133600000,0.71714,0.72969,0.69486,0.70481,1396.28
128,1517137200000,0.70481,0.72053,0.70481,0.72053,104.97
129,1517140800000,0.70539,0.72158,0.70002,0.70059,227.27
130,1517144400000,0.7258,0.72583,0.70557,0.70557,102.57
131,1517148000000,0.71,0.725,0.70055,0.71993,275.87
132,1517151600000,0.71993,0.72969,0.70787,0.71535,1067.29
133,1517155200000,0.72002,0.7405,0.72002,0.72754,404.52
134,1517158800000,0.74049,0.7549,0.7285,0.7369,261.51
135,1517162400000,0.75489,0.80287,0.73792,0.7393,2874.45
136,1517166000000,0.74,0.75783,0.74,0.75405,133.99
137,1517169600000,0.74332,0.75281,0.74207,0.75281,321.87
138,1517173200000,0.75281,0.75281,0.71,0.73847,1347.77
139,1517176800000,0.73847,0.73847,0.71124,0.71124,172.67
140,1517180400000,0.71814,0.73863,0.71814,0.73699,138.77
141,1517184000000,0.72417,0.73648,0.72319,0.72319,149.85
142,1517187600000,0.72997,0.73,0.70002,0.71011,198.31
143,1517191200000,0.71005,0.72499,0.70046,0.70046,345.7
144,1517194800000,0.71738,0.71739,0.71723,0.71732,179.65
145,1517198400000,0.71734,0.729,0.71734,0.72249,149.79
146,1517202000000,0.71734,0.729,0.71731,0.71731,465.38
147,1517205600000,0.70709,0.70933,0.70635,0.70903,132.22
148,1517209200000,0.70635,0.72099,0.70053,0.72099,14.19
149,1517212800000,0.71917,0.71917,0.70141,0.705,6.73
150,1517216400000,0.71564,0.74,0.7091,0.73656,373.04
151,1517220000000,0.70601,0.70812,0.70601,0.70812,2.84
152,1517223600000,0.71725,0.71725,0.70816,0.70816,29.97
153,1517227200000,0.71314,0.74252,0.71314,0.71541,385.79
154,1517230800000,0.71547,0.71547,0.70816,0.70964,139.05
155,1517234400000,0.71545,0.74097,0.70834,0.71736,65.98
156,1517238000000,0.71737,0.71737,0.709,0.70987,93.79
157,1517241600000,0.71634,0.73646,0.71634,0.71696,569.73
158,1517245200000,0.71737,0.72519,0.71002,0.71002,120.61
159,1517248800000,0.72103,0.72103,0.70005,0.7187,320.37
160,1517252400000,0.70872,0.71872,0.70872,0.71872,76.83
161,1517256000000,0.71872,0.72696,0.71039,0.71798,429.58
162,1517259600000,0.71798,0.72696,0.71798,0.72696,204.91
163,1517263200000,0.71758,0.71758,0.71403,0.71404,59.13
164,1517266800000,0.70872,0.71756,0.67,0.70701,1792.87
165,1517270400000,0.71757,0.72694,0.71035,0.72091,110.33
166,1517274000000,0.71094,0.7193,0.71093,0.7193,65.06
167,1517277600000,0.72691,0.72691,0.7268,0.7268,59.4
168,1517281200000,0.72679,0.72896,0.7217,0.7217,260.31
169,1517284800000,0.71864,0.71866,0.71093,0.71103,136.41
170,1517288400000,0.72029,0.72029,0.7113,0.712,224.23
171,1517292000000,0.7113,0.7113,0.70505,0.70506,1457.11
172,1517295600000,0.70506,0.70506,0.69,0.70006,2230.23
173,1517299200000,0.70487,0.70506,0.70212,0.70506,1033.81
174,1517302800000,0.70506,0.70506,0.70222,0.70506,684.37
175,1517306400000,0.70507,0.72355,0.7,0.70433,253.56
176,1517310000000,0.71156,0.71432,0.68469,0.69679,230.82
177,1517313600000,0.6968,0.6968,0.693,0.693,198.65
178,1517317200000,0.693,0.693,0.693,0.693,164.02
179,1517320800000,0.68519,0.69545,0.68519,0.68548,43.66
180,1517324400000,0.68549,0.69093,0.67001,0.67296,618.1
181,1517328000000,0.67095,0.68806,0.67047,0.68806,194.68
182,1517331600000,0.6879,0.6879,0.66541,0.66541,964.61
183,1517335200000,0.66539,0.67277,0.66372,0.67269,446.0
184,1517338800000,0.67396,0.68072,0.66333,0.68072,345.99
185,1517342400000,0.68826,0.68839,0.67219,0.67219,41.02
186,1517346000000,0.68265,0.69896,0.68265,0.69896,159.97
187,1517349600000,0.69896,0.69896,0.68928,0.68928,119.04
188,1517353200000,0.68927,0.68927,0.67578,0.676,91.22
189,1517356800000,0.676,0.68908,0.66003,0.66003,172.97
190,1517360400000,0.66251,0.67988,0.65572,0.65572,216.67
191,1517364000000,0.65572,0.66482,0.65501,0.65501,380.48
192,1517367600000,0.65503,0.67127,0.65501,0.6557,1111.29
193,1517371200000,0.6557,0.66672,0.6557,0.6557,191.37
194,1517374800000,0.6667,0.66672,0.658,0.666,257.92
195,1517378400000,0.66641,0.66702,0.66641,0.66702,77.06
196,1517382000000,0.67942,0.68928,0.67935,0.68928,521.17
197,1517385600000,0.68929,0.73,0.68435,0.68435,1011.38
198,1517389200000,0.71815,0.71815,0.70192,0.70418,3.58
199,1517392800000,0.70203,0.71592,0.69902,0.71592,167.59
200,1517396400000,0.71441,0.71806,0.71441,0.71806,1.87
201,1517400000000,0.71761,0.71761,0.68881,0.71408,125.02
202,1517403600000,0.71388,0.7145,0.69697,0.7143,352.93
203,1517407200000,0.71439,0.72141,0.71415,0.72141,1109.08
204,1517410800000,0.72242,0.7386,0.72242,0.73698,464.84
205,1517414400000,0.73698,0.75,0.73226,0.75,1192.05
206,1517418000000,0.73897,0.76968,0.73897,0.74931,359.01
207,1517421600000,0.75176,0.78879,0.7445,0.78879,575.18
208,1517425200000,0.78554,0.78555,0.73019,0.74053,614.08
209,1517428800000,0.73592,0.74729,0.73001,0.73006,163.49
210,1517432400000,0.7459,0.7459,0.71833,0.719,79.0
211,1517436000000,0.74192,0.74798,0.72113,0.73005,187.4
212,1517439600000,0.74649,0.7465,0.7145,0.71831,367.46
213,1517443200000,0.7149,0.725,0.70584,0.70584,141.32
214,1517446800000,0.70584,0.7229,0.70584,0.70592,133.13
215,1517450400000,0.72053,0.72053,0.70621,0.71907,56.53
216,1517454000000,0.71501,0.71984,0.71021,0.71021,27.32
217,1517457600000,0.71021,0.72982,0.71021,0.72892,40.04
218,1517461200000,0.7285,0.7285,0.71028,0.71029,52.27
219,1517464800000,0.712,0.72333,0.71024,0.72085,264.15
220,1517468400000,0.72085,0.73585,0.71294,0.73585,353.62
221,1517472000000,0.7197,0.73999,0.7197,0.72504,710.52
222,1517475600000,0.71163,0.73696,0.71019,0.73696,3505.62
223,1517479200000,0.72588,0.72725,0.72427,0.72427,2298.03
224,1517482800000,0.72427,0.73209,0.7138,0.71381,754.16
225,1517486400000,0.73066,0.73151,0.71352,0.7315,670.67
226,1517490000000,0.72194,0.73999,0.71562,0.71562,288.04
227,1517493600000,0.71562,0.72259,0.69969,0.72259,1176.95
228,1517497200000,0.71,0.72177,0.69,0.7215,1590.27
229,1517500800000,0.7215,0.72389,0.69,0.71282,5404.49
230,1517504400000,0.699,0.699,0.69001,0.69001,103.68
231,1517508000000,0.69695,0.7071,0.67238,0.7071,821.51
232,1517511600000,0.7071,0.73282,0.69862,0.73273,1163.13
233,1517515200000,0.72048,0.72413,0.67686,0.69696,197.86
234,1517518800000,0.70237,0.71696,0.68896,0.71693,224.24
235,1517522400000,0.71693,0.71695,0.71693,0.71695,55.34
236,1517526000000,0.71695,0.72644,0.70017,0.70017,354.83
237,1517529600000,0.72484,0.72484,0.69038,0.69038,396.34
238,1517533200000,0.69102,0.7,0.66236,0.69725,1207.98
239,1517536800000,0.69486,0.69486,0.67551,0.6905,331.43
240,1517540400000,0.69464,0.69464,0.67674,0.69335,385.83
241,1517544000000,0.68149,0.68149,0.67332,0.68149,157.62
242,1517547600000,0.67994,0.68809,0.65451,0.6841,7430.1
243,1517551200000,0.65248,0.661,0.64001,0.64001,726.31
244,1517554800000,0.64886,0.64886,0.61177,0.62,465.77
245,1517558400000,0.61877,0.6375,0.61459,0.63518,394.19
246,1517562000000,0.61669,0.62454,0.61,0.62454,273.43
247,1517565600000,0.61043,0.61935,0.61019,0.61924,509.66
248,1517569200000,0.61924,0.6211,0.61032,0.61601,487.94
249,1517572800000,0.61005,0.62583,0.6,0.62582,611.46
250,1517576400000,0.64,0.67995,0.62102,0.63854,693.37
251,1517580000000,0.64318,0.65847,0.60641,0.60641,333.95
252,1517583600000,0.60712,0.61688,0.60216,0.60818,325.53
253,1517587200000,0.60819,0.63555,0.59999,0.60606,1608.67
254,1517590800000,0.61672,0.63051,0.58579,0.58579,1231.87
255,1517594400000,0.61488,0.62766,0.58512,0.58512,412.76
256,1517598000000,0.58516,0.61696,0.58516,0.61696,27.43
257,1517601600000,0.61696,0.63045,0.61696,0.63045,327.55
258,1517605200000,0.63555,0.64354,0.63555,0.64353,135.78
259,1517608800000,0.64353,0.65043,0.64353,0.64452,12.08
260,1517612400000,0.62602,0.62602,0.61217,0.6175,160.09
261,1517616000000,0.61667,0.61667,0.6166,0.6166,82.7
262,1517619600000,0.63685,0.63685,0.63685,0.63685,38.0
263,1517623200000,0.63685,0.63685,0.63685,0.63685,0.0
264,1517626800000,0.63513,0.63513,0.61191,0.61191,79.91
265,1517630400000,0.6246,0.6246,0.5896,0.5896,574.85
266,1517634000000,0.5896,0.5896,0.5896,0.5896,0.0
267,1517637600000,0.60663,0.60663,0.60428,0.60428,7.75
268,1517641200000,0.60428,0.63513,0.60428,0.62516,775.51
269,1517644800000,0.62516,0.64648,0.60808,0.64648,447.72
270,1517648400000,0.64648,0.64648,0.63059,0.64128,410.59
271,1517652000000,0.6458,0.76001,0.64127,0.74056,3918.28
272,1517655600000,0.75332,0.87578,0.72205,0.73312,8867.83
273,1517659200000,0.73312,0.74023,0.69337,0.73243,744.84
274,1517662800000,0.72742,0.73499,0.68596,0.68706,2246.0
275,1517666400000,0.68933,0.70127,0.67543,0.69697,3606.51
276,1517670000000,0.6987,0.72457,0.68306,0.70208,1062.87
277,1517673600000,0.70208,0.7137,0.69609,0.703,2217.51
278,1517677200000,0.703,0.71038,0.6964,0.71,758.56
279,1517680800000,0.71,0.71389,0.7062,0.7062,571.06
280,1517684400000,0.71289,0.71389,0.69653,0.7036,391.87
281,1517688000000,0.6966,0.7039,0.68833,0.7,884.56
282,1517691600000,0.69247,0.70073,0.68423,0.6997,1462.84
283,1517695200000,0.70074,0.71187,0.6986,0.69961,171.92
284,1517698800000,0.70199,0.71359,0.70099,0.71255,186.52
285,1517702400000,0.70634,0.71088,0.69113,0.7013,104.87
286,1517706000000,0.7003,0.7064,0.6909,0.7003,208.05
287,1517709600000,0.7013,0.75,0.6949,0.72043,894.42
288,1517713200000,0.7273,0.73021,0.70821,0.7092,706.95
289,1517716800000,0.71123,0.7144,0.70007,0.70115,664.51
290,1517720400000,0.70007,0.71439,0.69361,0.7002,877.24
291,1517724000000,0.7008,0.70808,0.6933,0.70808,486.46
292,1517727600000,0.70808,0.71321,0.69874,0.70382,1830.91
293,1517731200000,0.71025,0.71321,0.69874,0.7076,530.99
294,1517734800000,0.701,0.7016,0.691,0.694,722.82
295,1517738400000,0.69102,0.69427,0.6801,0.68568,735.39
296,1517742000000,0.68568,0.69838,0.68397,0.68911,1231.19
297,1517745600000,0.69111,0.6921,0.67885,0.6829,1562.71
298,1517749200000,0.6839,0.69736,0.68059,0.68189,874.01
299,1517752800000,0.6819,0.69176,0.6819,0.6905,369.13
300,1517756400000,0.68248,0.6912,0.68158,0.68738,472.64
301,1517760000000,0.68456,0.68668,0.67445,0.67851,225.3
302,1517763600000,0.67851,0.68664,0.6765,0.68393,419.37
303,1517767200000,0.6755,0.68396,0.6755,0.68396,682.39
304,1517770800000,0.68396,0.68398,0.67595,0.67595,1109.99
305,1517774400000,0.67617,0.68408,0.67595,0.67595,3809.04
306,1517778000000,0.67446,0.67446,0.67201,0.67201,20.25
307,1517781600000,0.67879,0.6789,0.667,0.667,283.84
308,1517785200000,0.667,0.67762,0.667,0.66704,51.3
309,1517788800000,0.67336,0.67336,0.67335,0.67336,302.94
310,1517792400000,0.67337,0.67337,0.66405,0.667,263.38
311,1517796000000,0.67563,0.67563,0.664,0.664,20.23
312,1517799600000,0.67052,0.67375,0.67051,0.67375,231.12
313,1517803200000,0.67342,0.69366,0.67342,0.67761,356.35
314,1517806800000,0.67751,0.839,0.66004,0.76462,5335.17
315,1517810400000,0.7604,0.79893,0.72001,0.73809,1615.41
316,1517814000000,0.73821,0.75358,0.72005,0.72005,13390.54
317,1517817600000,0.72005,0.74297,0.69705,0.70048,2666.04
318,1517821200000,0.70048,0.7148,0.70016,0.71012,416.77
319,1517824800000,0.7,0.7067,0.69366,0.70183,239.71
320,1517828400000,0.692,0.692,0.6702,0.67079,872.59
321,1517832000000,0.67079,0.7256,0.66666,0.7256,457.04
322,1517835600000,0.72561,0.798,0.69482,0.74261,1541.69
323,1517839200000,0.74261,0.7592,0.71173,0.73923,370.32
324,1517842800000,0.75777,0.75905,0.72,0.72958,543.26
