,ts,open,high,low,close,volume
0,1519801200000,9.0,9.0,0.03502,0.05601,86058.84
1,1519804800000,0.05614,0.06694,0.05614,0.0585,104918.48
2,1519808400000,0.05875,0.06185,0.05069,0.05147,100134.28
3,1519812000000,0.05147,0.05223,0.04606,0.04979,62512.39
4,1519815600000,0.04979,0.05627,0.04869,0.05476,78707.78
5,1519819200000,0.05365,0.05365,0.0468,0.052,78469.71
6,1519822800000,0.05119,0.05442,0.04969,0.053,101513.76
7,1519826400000,0.05304,0.06,0.05234,0.06,163184.45
8,1519830000000,0.06007,0.06978,0.05915,0.06065,205830.8
9,1519833600000,0.06096,0.06351,0.05575,0.06231,157818.63
10,1519837200000,0.06336,0.06579,0.05881,0.06237,105433.21
11,1519840800000,0.06237,0.06472,0.06105,0.06399,25735.08
12,1519844400000,0.06404,0.068,0.0631,0.0675,65868.4
13,1519848000000,0.06703,0.06703,0.0628,0.064,40070.23
14,1519851600000,0.06379,0.06751,0.062,0.065,42862.82
15,1519855200000,0.065,0.065,0.0602,0.0602,54255.14
16,1519858800000,0.06058,0.06193,0.0576,0.06025,57892.29
17,1519862400000,0.06125,0.06126,0.0576,0.05785,38409.3
18,1519866000000,0.0576,0.05999,0.055,0.05609,24429.59
19,1519869600000,0.05656,0.0605,0.05639,0.0605,19425.14
20,1519873200000,0.0605,0.0625,0.05692,0.05692,36303.89
21,1519876800000,0.05725,0.05793,0.05605,0.05613,17507.14
22,1519880400000,0.05613,0.05663,0.055,0.05582,17251.25
23,1519884000000,0.05575,0.05598,0.05305,0.05402,45766.01
24,1519887600000,0.05406,0.058,0.05375,0.05707,33122.03
25,1519891200000,0.05707,0.05724,0.0542,0.0555,11435.24
26,1519894800000,0.0555,0.05689,0.05474,0.05591,9069.25
27,1519898400000,0.05628,0.0617,0.05628,0.05991,153098.78
28,1519902000000,0.05899,0.06064,0.0553,0.05651,42013.95
29,1519905600000,0.05651,0.05717,0.0555,0.05678,9020.71
30,1519909200000,0.05678,0.05768,0.056,0.05684,20514.05
31,1519912800000,0.0561,0.0565,0.0553,0.05542,19946.86
32,1519916400000,0.05535,0.0566,0.054,0.0544,45318.13
33,1519920000000,0.05456,0.05651,0.0529,0.05553,67206.08
34,1519923600000,0.05507,0.0561,0.05507,0.05608,7104.42
35,1519927200000,0.05608,0.05688,0.05502,0.0555,7022.63
36,1519930800000,0.0551,0.0566,0.0551,0.05651,8671.6
37,1519934400000,0.05651,0.0578,0.05501,0.05606,71398.24
38,1519938000000,0.05606,0.05648,0.05178,0.05586,65542.44
39,1519941600000,0.05586,0.057,0.0547,0.05647,37248.37
40,1519945200000,0.05647,0.05678,0.05453,0.05458,15365.18
41,1519948800000,0.05523,0.0555,0.05275,0.05277,20082.8
42,1519952400000,0.05342,0.055,0.05189,0.05233,30595.97
43,1519956000000,0.05257,0.054,0.05236,0.05372,6255.29
44,1519959600000,0.05372,0.05517,0.053,0.05373,19139.17
45,1519963200000,0.05301,0.05348,0.05066,0.05077,75448.47
46,1519966800000,0.05081,0.05297,0.05006,0.0515,20042.64
47,1519970400000,0.05212,0.05212,0.05009,0.05009,12444.85
48,1519974000000,0.05009,0.05225,0.05007,0.05161,19117.06
49,1519977600000,0.05161,0.05161,0.04981,0.04981,38027.74
50,1519981200000,0.04981,0.05081,0.04977,0.05037,9027.62
51,1519984800000,0.05027,0.05225,0.05027,0.05133,31469.25
52,1519988400000,0.05104,0.05269,0.05025,0.05025,51332.47
53,1519992000000,0.05032,0.05192,0.05021,0.051,5901.33
54,1519995600000,0.051,0.05182,0.05048,0.05058,10432.45
55,1519999200000,0.05048,0.05052,0.0489,0.04989,33109.3
56,1520002800000,0.0493,0.0499,0.0489,0.04955,18067.0
57,1520006400000,0.05002,0.0502,0.0494,0.0498,8907.68
58,1520010000000,0.04963,0.05028,0.04901,0.0493,21832.39
59,1520013600000,0.04989,0.0517,0.04934,0.0516,14079.59
60,1520017200000,0.0517,0.0518,0.0497,0.05049,5785.17
61,1520020800000,0.05009,0.0505,0.04978,0.05,5221.76
62,1520024400000,0.05,0.05069,0.04974,0.05031,10827.04
63,1520028000000,0.05031,0.05104,0.05031,0.05031,16148.09
64,1520031600000,0.05031,0.05136,0.05001,0.05029,20597.24
65,1520035200000,0.05029,0.05043,0.0481,0.04846,30224.66
66,1520038800000,0.0487,0.04949,0.0483,0.04871,12307.99
67,1520042400000,0.04871,0.051,0.047,0.04735,52013.56
68,1520046000000,0.04767,0.04777,0.0458,0.04623,29069.98
69,1520049600000,0.04622,0.04698,0.04552,0.04595,11611.79
70,1520053200000,0.04639,0.04683,0.04433,0.04522,51257.95
71,1520056800000,0.04491,0.04815,0.04442,0.04665,8207.69
72,1520060400000,0.04641,0.047,0.0458,0.04669,6164.83
73,1520064000000,0.04669,0.04669,0.04329,0.04452,53686.75
74,1520067600000,0.04452,0.04504,0.0411,0.04223,48390.94
75,1520071200000,0.04221,0.04306,0.04011,0.04255,71466.16
76,1520074800000,0.04255,0.04444,0.04207,0.04361,16809.04
77,1520078400000,0.04297,0.04564,0.04164,0.04533,28324.85
78,1520082000000,0.04533,0.048,0.045,0.04583,47961.09
79,1520085600000,0.04583,0.0477,0.04571,0.04702,25135.15
80,1520089200000,0.04642,0.04702,0.04401,0.0443,7501.87
81,1520092800000,0.0449,0.04735,0.04474,0.04575,22432.86
82,1520096400000,0.04608,0.04714,0.04608,0.04657,10756.72
83,1520100000000,0.04678,0.047,0.04629,0.04639,3315.07
84,1520103600000,0.04697,0.04712,0.0461,0.0469,7011.15
85,1520107200000,0.0469,0.0471,0.04538,0.04538,3242.29
86,1520110800000,0.04538,0.04675,0.045,0.0455,2802.06
87,1520114400000,0.04531,0.04535,0.04465,0.04508,5811.68
88,1520118000000,0.04508,0.0471,0.04468,0.04482,9293.49
89,1520121600000,0.04505,0.04554,0.04454,0.0446,7946.83
90,1520125200000,0.04454,0.04554,0.04454,0.04454,8441.77
91,1520128800000,0.0446,0.04535,0.0445,0.04535,1218.41
92,1520132400000,0.0451,0.0472,0.04498,0.0472,32928.88
93,1520136000000,0.04722,0.04999,0.04675,0.0495,31219.5
94,1520139600000,0.0495,0.04997,0.04742,0.04742,16037.81
95,1520143200000,0.0482,0.049,0.04695,0.0479,12900.85
96,1520146800000,0.0479,0.0498,0.0473,0.04895,21824.59
97,1520150400000,0.0491,0.0503,0.046,0.04689,38850.75
98,1520154000000,0.04689,0.04784,0.04616,0.04617,14758.57
99,1520157600000,0.04663,0.0479,0.046,0.04616,23131.08
100,1520161200000,0.0466,0.0473,0.046,0.04657,6361.16
101,1520164800000,0.04657,0.04729,0.04648,0.04711,7126.56
102,1520168400000,0.04711,0.04729,0.04663,0.04729,4927.27
103,1520172000000,0.04682,0.04733,0.04559,0.04625,6127.0
104,1520175600000,0.04625,0.04804,0.0457,0.0473,3823.4
105,1520179200000,0.047,0.04875,0.047,0.04739,6529.66
106,1520182800000,0.0475,0.04789,0.04675,0.04721,1514.91
107,1520186400000,0.04721,0.04783,0.04705,0.04706,5636.93
108,1520190000000,0.04777,0.04777,0.04629,0.04682,6120.29
109,1520193600000,0.04682,0.047,0.04629,0.04661,3490.47
110,1520197200000,0.0464,0.04778,0.04629,0.04778,3916.23
111,1520200800000,0.047,0.04716,0.04621,0.04706,4537.48
112,1520204400000,0.04706,0.04781,0.04571,0.04581,12988.45
113,1520208000000,0.04581,0.04686,0.0452,0.04686,44012.8
114,1520211600000,0.0452,0.04565,0.0445,0.04565,8045.41
115,1520215200000,0.0449,0.0455,0.0437,0.0437,7023.84
116,1520218800000,0.04418,0.0449,0.04313,0.0449,3264.23
117,1520222400000,0.0449,0.04549,0.0431,0.0452,25941.09
118,1520226000000,0.04549,0.04549,0.04522,0.0454,4161.41
119,1520229600000,0.0455,0.0456,0.0449,0.0449,2575.61
120,1520233200000,0.04491,0.04522,0.0443,0.04489,4796.57
121,1520236800000,0.04489,0.04517,0.04421,0.04517,1444.27
122,1520240400000,0.04517,0.04523,0.04435,0.04523,2912.32
123,1520244000000,0.04471,0.04549,0.04464,0.04505,3370.09
124,1520247600000,0.04549,0.04597,0.0439,0.0439,9204.44
125,1520251200000,0.04417,0.04529,0.04368,0.04377,9281.94
126,1520254800000,0.04378,0.04425,0.04376,0.04388,9732.34
127,1520258400000,0.04386,0.0449,0.04377,0.04433,3626.9
128,1520262000000,0.04449,0.04607,0.04376,0.04521,19776.55
129,1520265600000,0.04527,0.04567,0.04481,0.04505,3935.02
130,1520269200000,0.04505,0.04575,0.0448,0.045,2053.18
131,1520272800000,0.04549,0.04549,0.0448,0.0448,2804.36
132,1520276400000,0.04481,0.04549,0.04462,0.04549,1019.51
133,1520280000000,0.04462,0.04541,0.0443,0.04541,1387.03
134,1520283600000,0.04506,0.04506,0.04407,0.0449,1398.61
135,1520287200000,0.0449,0.04491,0.04417,0.04436,7062.11
136,1520290800000,0.04431,0.04444,0.04407,0.04407,605.86
137,1520294400000,0.0449,0.0449,0.0425,0.04302,28957.25
138,1520298000000,0.04302,0.0437,0.04201,0.04302,4335.06
139,1520301600000,0.0434,0.04391,0.04281,0.04282,4623.49
140,1520305200000,0.04283,0.04483,0.04283,0.04483,17761.99
141,1520308800000,0.04483,0.0452,0.0435,0.0449,4396.38
142,1520312400000,0.0449,0.04497,0.0431,0.04312,3643.21
143,1520316000000,0.04313,0.04411,0.04301,0.04328,4505.04
144,1520319600000,0.04353,0.04467,0.0433,0.04447,8529.25
145,1520323200000,0.04447,0.045,0.04405,0.04433,2096.54
146,1520326800000,0.04419,0.04499,0.04419,0.04419,4861.75
147,1520330400000,0.04428,0.04429,0.0428,0.04286,9752.0
148,1520334000000,0.04286,0.04369,0.04272,0.04368,7637.88
149,1520337600000,0.04368,0.04399,0.04291,0.04399,4926.05
150,1520341200000,0.04329,0.04367,0.04296,0.04367,6964.18
151,1520344800000,0.04367,0.04471,0.04341,0.04393,4459.73
152,1520348400000,0.04428,0.04499,0.04394,0.04441,2085.38
153,1520352000000,0.0443,0.0443,0.04371,0.04386,12965.17
154,1520355600000,0.04419,0.0449,0.04393,0.04399,5720.44
155,1520359200000,0.0445,0.04478,0.04371,0.04371,8203.19
156,1520362800000,0.04371,0.04371,0.0434,0.0434,8208.72
157,1520366400000,0.0434,0.04363,0.0425,0.04325,16279.95
158,1520370000000,0.04288,0.0437,0.04288,0.04355,4091.57
159,1520373600000,0.04337,0.04337,0.04233,0.04233,2557.61
160,1520377200000,0.04233,0.04317,0.0423,0.04255,2057.94
161,1520380800000,0.04255,0.0434,0.04235,0.04299,1034.21
162,1520384400000,0.04349,0.04349,0.04298,0.0431,770.75
163,1520388000000,0.04339,0.04339,0.04247,0.04287,2598.39
164,1520391600000,0.04272,0.04272,0.0423,0.04251,883.98
165,1520395200000,0.04251,0.04251,0.04193,0.04193,4104.44
166,1520398800000,0.04242,0.04258,0.04023,0.04064,40150.42
167,1520402400000,0.041,0.0413,0.0404,0.04092,9868.37
168,1520406000000,0.0411,0.0413,0.04042,0.04106,3291.25
169,1520409600000,0.0409,0.04157,0.04073,0.04115,2933.98
170,1520413200000,0.04138,0.04138,0.04076,0.04137,1721.81
171,1520416800000,0.0407,0.0407,0.04023,0.0404,17781.0
172,1520420400000,0.0404,0.0404,0.03957,0.04021,6122.83
173,1520424000000,0.04021,0.04026,0.03911,0.0392,6692.02
174,1520427600000,0.03921,0.03966,0.03855,0.039,70608.93
175,1520431200000,0.0394,0.04051,0.03861,0.03875,16768.15
176,1520434800000,0.03861,0.0398,0.03763,0.03894,22307.34
177,1520438400000,0.03943,0.041,0.03905,0.03945,13696.07
178,1520442000000,0.04005,0.04157,0.0386,0.0398,15501.01
179,1520445600000,0.0393,0.04022,0.0386,0.0398,6228.39
180,1520449200000,0.03971,0.0437,0.03903,0.04275,10038.97
181,1520452800000,0.0434,0.045,0.0407,0.0413,13768.11
182,1520456400000,0.0419,0.0425,0.0407,0.0407,929.93
183,1520460000000,0.0407,0.0425,0.0394,0.0413,9975.47
184,1520463600000,0.0413,0.0419,0.03819,0.03829,62454.22
185,1520467200000,0.0389,0.03939,0.03831,0.03939,2591.01
186,1520470800000,0.0395,0.04,0.03891,0.03988,2648.43
187,1520474400000,0.04,0.04042,0.03951,0.04041,1516.22
188,1520478000000,0.04064,0.04129,0.0395,0.04047,14599.73
189,1520481600000,0.04047,0.04048,0.04,0.04004,1024.49
190,1520485200000,0.04007,0.04007,0.039,0.039,9104.5
191,1520488800000,0.03908,0.04111,0.03908,0.04056,7341.06
192,1520492400000,0.04056,0.0419,0.0404,0.0419,4726.47
193,1520496000000,0.04218,0.04435,0.04171,0.04253,5496.07
194,1520499600000,0.04247,0.0434,0.04247,0.0434,207.39
195,1520503200000,0.0434,0.0437,0.04152,0.04318,9093.6
196,1520506800000,0.0432,0.04366,0.04235,0.04235,4555.41
197,1520510400000,0.04231,0.04231,0.0409,0.04092,7299.71
198,1520514000000,0.04088,0.04134,0.04012,0.04096,5173.43
199,1520517600000,0.04096,0.04214,0.04004,0.04049,17024.39
200,1520521200000,0.0403,0.04039,0.04001,0.04014,1433.43
201,1520524800000,0.0407,0.04166,0.04023,0.0404,5353.89
202,1520528400000,0.04016,0.04061,0.0388,0.04009,15200.87
203,1520532000000,0.03982,0.0404,0.0395,0.03983,1601.81
204,1520535600000,0.03983,0.0407,0.03983,0.04069,395.44
205,1520539200000,0.04064,0.04064,0.0398,0.04063,1049.9
206,1520542800000,0.0398,0.03981,0.03922,0.0395,3126.29
207,1520546400000,0.03922,0.03989,0.03783,0.03783,15127.52
208,1520550000000,0.03827,0.03851,0.03763,0.0377,8366.52
209,1520553600000,0.0377,0.03881,0.03763,0.03838,2317.21
210,1520557200000,0.03838,0.0385,0.03771,0.03791,4010.09
211,1520560800000,0.0389,0.04021,0.0387,0.03888,1306.77
212,1520564400000,0.0386,0.0404,0.0383,0.04,6898.84
213,1520568000000,0.03982,0.04008,0.03879,0.0392,3064.13
214,1520571600000,0.03871,0.03932,0.03863,0.03875,1159.72
215,1520575200000,0.03909,0.04163,0.03875,0.0413,17680.06
216,1520578800000,0.0413,0.04231,0.04075,0.04188,15694.19
217,1520582400000,0.04188,0.0427,0.04121,0.0427,4902.02
218,1520586000000,0.04175,0.0435,0.0416,0.0435,5274.06
219,1520589600000,0.0435,0.0437,0.0422,0.04258,2441.74
220,1520593200000,0.0422,0.04237,0.03954,0.04101,13330.7
221,1520596800000,0.04101,0.04249,0.04011,0.04165,9252.83
222,1520600400000,0.04157,0.0435,0.0413,0.0413,10213.21
223,1520604000000,0.0419,0.04214,0.0407,0.04214,1818.15
224,1520607600000,0.0413,0.04279,0.0407,0.0422,26776.68
225,1520611200000,0.0422,0.04392,0.0422,0.04289,3489.94
226,1520614800000,0.04289,0.04393,0.04191,0.04285,12417.57
227,1520618400000,0.04222,0.04381,0.04222,0.04379,2798.61
228,1520622000000,0.04399,0.04431,0.0428,0.0428,2669.69
229,1520625600000,0.04328,0.04491,0.04281,0.04371,10576.59
230,1520629200000,0.04344,0.04484,0.04292,0.04348,3757.17
231,1520632800000,0.0443,0.045,0.04387,0.045,15622.17
232,1520636400000,0.045,0.0471,0.0431,0.04401,45646.06
233,1520640000000,0.04399,0.048,0.04399,0.04682,49416.34
234,1520643600000,0.04675,0.04928,0.04611,0.04611,99010.88
235,1520647200000,0.04611,0.0473,0.0458,0.04618,14035.33
236,1520650800000,0.04673,0.04717,0.0443,0.0455,13475.34
237,1520654400000,0.04497,0.04548,0.04452,0.04485,1988.18
238,1520658000000,0.04514,0.0458,0.0428,0.04297,32298.26
239,1520661600000,0.0435,0.04472,0.04289,0.04447,13368.73
240,1520665200000,0.04446,0.04483,0.04377,0.04378,10246.95
241,1520668800000,0.04423,0.04448,0.04401,0.04423,1564.81
242,1520672400000,0.04448,0.04486,0.04429,0.04486,8153.85
243,1520676000000,0.04486,0.04493,0.04458,0.04458,1876.17
244,1520679600000,0.04437,0.04493,0.04289,0.04394,19736.36
245,1520683200000,0.04399,0.04399,0.04305,0.04329,5665.72
246,1520686800000,0.04315,0.0436,0.04315,0.04323,51.31
247,1520690400000,0.04321,0.0449,0.04303,0.04481,11348.06
248,1520694000000,0.04415,0.0452,0.04408,0.0452,8607.38
249,1520697600000,0.04491,0.04509,0.0445,0.0445,3003.1
250,1520701200000,0.0445,0.04492,0.0445,0.0446,4481.67
251,1520704800000,0.0445,0.0445,0.0423,0.04289,9116.19
252,1520708400000,0.04292,0.04294,0.042,0.04238,13249.67
253,1520712000000,0.04239,0.04425,0.04206,0.04271,11595.03
254,1520715600000,0.04259,0.04277,0.042,0.04273,2786.18
255,1520719200000,0.04191,0.0434,0.0419,0.0434,3804.53
256,1520722800000,0.04333,0.04334,0.0428,0.0428,1129.36
257,1520726400000,0.04311,0.0435,0.04241,0.0435,3533.9
258,1520730000000,0.0435,0.04418,0.0435,0.04395,3005.67
259,1520733600000,0.04395,0.04444,0.04395,0.04444,2712.73
260,1520737200000,0.04444,0.045,0.04392,0.04392,969.13
261,1520740800000,0.04499,0.04499,0.04343,0.0436,2118.52
262,1520744400000,0.04372,0.04372,0.0425,0.0425,8018.71
263,1520748000000,0.04318,0.04324,0.04317,0.04324,2288.32
264,1520751600000,0.04324,0.0436,0.0422,0.04228,2657.61
265,1520755200000,0.04279,0.04279,0.04279,0.04279,141.42
266,1520758800000,0.04279,0.04318,0.04202,0.04221,2385.38
267,1520762400000,0.0422,0.0428,0.04071,0.0414,3694.85
268,1520766000000,0.04111,0.04129,0.0399,0.0399,30961.99
269,1520769600000,0.04019,0.04224,0.04019,0.04143,19190.48
270,1520773200000,0.0413,0.04272,0.0413,0.0415,13708.61
271,1520776800000,0.0425,0.043,0.0419,0.04271,4009.57
272,1520780400000,0.04247,0.04256,0.04194,0.04246,6248.54
273,1520784000000,0.04264,0.04279,0.0425,0.04278,4547.49
274,1520787600000,0.04252,0.04295,0.04252,0.04261,1546.27
275,1520791200000,0.04252,0.04505,0.04242,0.04487,8029.0
276,1520794800000,0.04372,0.04504,0.04347,0.0443,2105.84
277,1520798400000,0.04413,0.0448,0.0431,0.0431,3085.04
278,1520802000000,0.04312,0.044,0.0431,0.04326,910.48
279,1520805600000,0.04326,0.0443,0.04286,0.04404,534.35
280,1520809200000,0.04404,0.04501,0.0437,0.0437,1364.26
281,1520812800000,0.04442,0.04442,0.04327,0.04327,419.18
282,1520816400000,0.04399,0.04429,0.04314,0.044,1743.94
283,1520820000000,0.044,0.04444,0.04301,0.04444,3844.15
284,1520823600000,0.04478,0.0449,0.04395,0.04395,2372.1
285,1520827200000,0.04396,0.0448,0.04396,0.0448,258.82
286,1520830800000,0.04479,0.04536,0.04449,0.0452,4583.0
287,1520834400000,0.0452,0.04545,0.04461,0.04464,1606.91
288,1520838000000,0.04465,0.04478,0.04351,0.04389,7630.19
289,1520841600000,0.04402,0.04471,0.04359,0.04408,6558.01
290,1520845200000,0.04408,0.0448,0.04408,0.0448,8615.13
291,1520848800000,0.04415,0.04428,0.0441,0.04423,3050.71
292,1520852400000,0.04431,0.0449,0.04431,0.04488,4583.29
293,1520856000000,0.04488,0.04505,0.04423,0.0445,688.04
294,1520859600000,0.04464,0.04464,0.04401,0.04444,1080.46
295,1520863200000,0.04431,0.04506,0.04376,0.04376,3941.51
296,1520866800000,0.04429,0.04429,0.04334,0.04388,2831.49
297,1520870400000,0.04337,0.0443,0.04337,0.0443,4145.73
298,1520874000000,0.0443,0.04432,0.04355,0.04429,13369.91
299,1520877600000,0.04362,0.04452,0.04362,0.04415,1415.9
300,1520881200000,0.0443,0.04448,0.0437,0.0437,446.47
301,1520884800000,0.04451,0.04471,0.04353,0.04379,4018.4
302,1520888400000,0.04449,0.04458,0.04406,0.04457,362.45
303,1520892000000,0.04398,0.04398,0.04396,0.04396,0.81
304,1520895600000,0.04391,0.04392,0.04376,0.04376,1310.08
305,1520899200000,0.04381,0.04433,0.0438,0.04425,2536.93
306,1520902800000,0.04392,0.04401,0.04392,0.04394,989.4
307,1520906400000,0.04471,0.0449,0.04455,0.04476,360.34
308,1520910000000,0.04456,0.04538,0.04455,0.0446,286.3
309,1520913600000,0.0446,0.04502,0.04449,0.04453,1752.49
310,1520917200000,0.04453,0.04488,0.0443,0.04488,7606.28
311,1520920800000,0.04499,0.04578,0.04496,0.04523,3205.66
312,1520924400000,0.04522,0.04523,0.0446,0.0446,4180.8
313,1520928000000,0.0443,0.04458,0.04381,0.04413,3879.07
314,1520931600000,0.04416,0.04459,0.0438,0.04459,1337.42
315,1520935200000,0.0438,0.0438,0.04371,0.04371,3968.85
316,1520938800000,0.0437,0.04371,0.04275,0.04275,3507.62
317,1520942400000,0.04267,0.04268,0.04221,0.04231,3892.57
318,1520946000000,0.04231,0.0434,0.03231,0.0338,164165.29
319,1520949600000,0.03301,0.0353,0.03018,0.03064,40134.4
320,1520953200000,0.03062,0.03709,0.03047,0.0359,56360.37
321,1520956800000,0.03565,0.03709,0.0349,0.03653,4584.9
322,1520960400000,0.03628,0.03628,0.03424,0.03488,12435.01
323,1520964000000,0.035,0.03528,0.0344,0.03456,2055.09
324,1520967600000,0.03479,0.03527,0.03456,0.03456,391.24
325,1520971200000,0.03528,0.03557,0.03464,0.03482,4464.91
326,1520974800000,0.03473,0.03519,0.03296,0.03296,7520.62
327,1520978400000,0.03306,0.03431,0.03257,0.034,2290.68
328,1520982000000,0.03374,0.03516,0.03308,0.03436,6866.78
329,1520985600000,0.0341,0.03502,0.03309,0.03449,4883.54
330,1520989200000,0.0344,0.03499,0.0344,0.03499,525.22
331,1520992800000,0.0344,0.0344,0.0341,0.0341,5574.29
332,1520996400000,0.0338,0.0338,0.03298,0.03298,284.09
333,1521000000000,0.03417,0.03417,0.03339,0.03341,3379.78
334,1521003600000,0.03313,0.03378,0.0329,0.0329,1186.89
335,1521007200000,0.03374,0.03394,0.03312,0.03394,9349.56
336,1521010800000,0.0342,0.0344,0.03378,0.03378,997.91
337,1521014400000,0.0336,0.0336,0.03343,0.03343,206.45
338,1521018000000,0.0334,0.0342,0.0332,0.0342,702.51
339,1521021600000,0.03362,0.0345,0.0332,0.034,7164.53
340,1521025200000,0.034,0.03403,0.0332,0.03367,6876.22
341,1521028800000,0.03356,0.0338,0.03276,0.0332,3936.61
342,1521032400000,0.0332,0.0347,0.0332,0.03422,911.81
343,1521036000000,0.034,0.0342,0.03351,0.0342,3792.9
344,1521039600000,0.03396,0.03396,0.03302,0.03302,18221.8
345,1521043200000,0.0329,0.03358,0.03267,0.03355,2559.28
346,1521046800000,0.03328,0.03548,0.03256,0.03314,145605.7
347,1521050400000,0.0332,0.03372,0.03248,0.03282,1848.93
348,1521054000000,0.03306,0.03307,0.0322,0.0328,1548.84
349,1521057600000,0.03257,0.03343,0.03257,0.0328,208.85
350,1521061200000,0.03293,0.0334,0.03209,0.03209,1224.96
351,1521064800000,0.03211,0.03334,0.03211,0.03303,2761.9
352,1521068400000,0.03334,0.03334,0.032,0.032,933.05
353,1521072000000,0.0326,0.0326,0.032,0.032,194.38
354,1521075600000,0.0321,0.0322,0.03152,0.03209,9253.54
355,1521079200000,0.03214,0.0326,0.0318,0.0326,9410.76
356,1521082800000,0.0322,0.0322,0.03121,0.0315,17515.73
357,1521086400000,0.0318,0.0324,0.0318,0.03214,536.2
358,1521090000000,0.0326,0.0332,0.0326,0.0326,1774.91
359,1521093600000,0.0326,0.0326,0.03221,0.03221,450.87
360,1521097200000,0.0324,0.0328,0.03227,0.03227,269.18
361,1521100800000,0.03254,0.0326,0.032,0.0326,695.12
362,1521104400000,0.0326,0.0332,0.0326,0.0332,4858.45
363,1521108000000,0.0328,0.03344,0.03244,0.0331,963.95
364,1521111600000,0.033,0.03301,0.0328,0.0328,1828.32
365,1521115200000,0.0329,0.0329,0.03201,0.03201,1369.05
366,1521118800000,0.03221,0.03259,0.03221,0.03259,1034.0
367,1521122400000,0.03259,0.0334,0.03224,0.03292,5111.63
368,1521126000000,0.03309,0.03309,0.03101,0.0315,17798.12
369,1521129600000,0.0316,0.0318,0.03142,0.03142,2460.18
370,1521133200000,0.03163,0.032,0.0316,0.0316,53.55
371,1521136800000,0.0316,0.0316,0.031,0.03137,3695.63
372,1521140400000,0.0316,0.0316,0.03131,0.03131,163.08
373,1521144000000,0.0316,0.032,0.0316,0.032,63.17
374,1521147600000,0.0316,0.03229,0.0316,0.03187,713.28
375,1521151200000,0.03229,0.03229,0.03191,0.03191,832.95
376,1521154800000,0.03229,0.0332,0.03229,0.0328,869.65
377,1521158400000,0.0326,0.0326,0.0324,0.0324,231.16
378,1521162000000,0.03299,0.03299,0.0322,0.03271,470.48
379,1521165600000,0.03227,0.03244,0.03227,0.03244,448.46
380,1521169200000,0.03248,0.0328,0.03248,0.03249,1080.05
381,1521172800000,0.03252,0.03252,0.0325,0.0325,1.57
382,1521176400000,0.033,0.033,0.03249,0.03249,687.38
383,1521180000000,0.03258,0.03299,0.03258,0.03269,2972.6
384,1521183600000,0.03262,0.03264,0.03258,0.03258,701.53
385,1521187200000,0.03264,0.03278,0.03241,0.03278,1749.18
386,1521190800000,0.03264,0.03271,0.0324,0.03271,351.54
387,1521194400000,0.03244,0.03294,0.03203,0.03203,4702.29
388,1521198000000,0.0326,0.0326,0.03124,0.03124,8442.12
