,ts,open,high,low,close,volume
0,1519801200000,0.000176,0.000176,5.511e-05,5.601e-05,11653364.0
1,1519804800000,5.602e-05,6.555e-05,5.6e-05,5.85e-05,10368185.0
2,1519808400000,5.832e-05,5.9e-05,5.01e-05,5.08e-05,3866319.0
3,1519812000000,5.083e-05,5.145e-05,4.581e-05,4.95e-05,5031797.0
4,1519815600000,4.94e-05,5.498e-05,4.802e-05,5.389e-05,4252835.0
5,1519819200000,5.389e-05,5.389e-05,4.633e-05,5.049e-05,4305893.0
6,1519822800000,5.049e-05,5.39e-05,4.934e-05,5.282e-05,3383124.0
7,1519826400000,5.282e-05,6.138e-05,5.282e-05,6.138e-05,7714755.0
8,1519830000000,6.138e-05,6.83e-05,5.954e-05,6.133e-05,14764464.0
9,1519833600000,6.133e-05,6.4e-05,5.658e-05,6.27e-05,5844196.0
10,1519837200000,6.271e-05,6.54e-05,5.934e-05,6.333e-05,4526053.0
11,1519840800000,6.34e-05,6.478e-05,6.184e-05,6.447e-05,2296119.0
12,1519844400000,6.446e-05,6.798e-05,6.377e-05,6.689e-05,4893978.0
13,1519848000000,6.688e-05,6.7e-05,6.35e-05,6.453e-05,1986623.0
14,1519851600000,6.453e-05,6.644e-05,6.214e-05,6.51e-05,1632967.0
15,1519855200000,6.507e-05,6.51e-05,6.068e-05,6.09e-05,1656868.0
16,1519858800000,6.069e-05,6.242e-05,5.869e-05,6.136e-05,1918879.0
17,1519862400000,6.136e-05,6.157e-05,5.85e-05,5.871e-05,764079.0
18,1519866000000,5.87e-05,5.935e-05,5.533e-05,5.677e-05,1735341.0
19,1519869600000,5.72e-05,6.15e-05,5.59e-05,6.142e-05,1489448.0
20,1519873200000,6.15e-05,6.334e-05,5.76e-05,5.782e-05,2703318.0
21,1519876800000,5.8e-05,5.868e-05,5.66e-05,5.692e-05,835417.0
22,1519880400000,5.692e-05,5.795e-05,5.59e-05,5.624e-05,890059.0
23,1519884000000,5.606e-05,5.646e-05,5.348e-05,5.447e-05,1815175.0
24,1519887600000,5.447e-05,5.7e-05,5.383e-05,5.615e-05,925761.0
25,1519891200000,5.614e-05,5.7e-05,5.439e-05,5.546e-05,847699.0
26,1519894800000,5.545e-05,5.663e-05,5.486e-05,5.6e-05,608271.0
27,1519898400000,5.6e-05,6.196e-05,5.6e-05,5.915e-05,7064419.0
28,1519902000000,5.91e-05,6.03e-05,5.455e-05,5.591e-05,5382317.0
29,1519905600000,5.59e-05,5.598e-05,5.485e-05,5.579e-05,1190188.0
30,1519909200000,5.569e-05,5.666e-05,5.43e-05,5.477e-05,1741182.0
31,1519912800000,5.477e-05,5.5e-05,5.355e-05,5.369e-05,962658.0
32,1519916400000,5.392e-05,5.43e-05,5.25e-05,5.349e-05,1004426.0
33,1519920000000,5.35e-05,5.491e-05,5.3e-05,5.4e-05,962212.0
34,1519923600000,5.389e-05,5.485e-05,5.368e-05,5.441e-05,473488.0
35,1519927200000,5.441e-05,5.533e-05,5.343e-05,5.373e-05,713356.0
36,1519930800000,5.341e-05,5.488e-05,5.316e-05,5.438e-05,645196.0
37,1519934400000,5.438e-05,5.47e-05,5.303e-05,5.359e-05,530721.0
38,1519938000000,5.368e-05,5.377e-05,5.305e-05,5.334e-05,295505.0
39,1519941600000,5.333e-05,5.514e-05,5.307e-05,5.407e-05,686162.0
40,1519945200000,5.416e-05,5.459e-05,5.183e-05,5.289e-05,756793.0
41,1519948800000,5.289e-05,5.289e-05,4.966e-05,5.038e-05,1222864.0
42,1519952400000,5.046e-05,5.222e-05,4.856e-05,5.008e-05,1413731.0
43,1519956000000,4.995e-05,5.1e-05,4.953e-05,5.1e-05,608291.0
44,1519959600000,5.103e-05,5.196e-05,4.995e-05,5.006e-05,408702.0
45,1519963200000,5.014e-05,5.055e-05,4.797e-05,4.874e-05,1478548.0
46,1519966800000,4.875e-05,4.944e-05,4.808e-05,4.887e-05,572664.0
47,1519970400000,4.877e-05,4.897e-05,4.7e-05,4.715e-05,652708.0
48,1519974000000,4.724e-05,4.89e-05,4.681e-05,4.79e-05,909351.0
49,1519977600000,4.781e-05,4.827e-05,4.661e-05,4.683e-05,636519.0
50,1519981200000,4.665e-05,4.84e-05,4.657e-05,4.726e-05,408321.0
51,1519984800000,4.726e-05,4.922e-05,4.707e-05,4.803e-05,802712.0
52,1519988400000,4.803e-05,4.933e-05,4.677e-05,4.7e-05,1166126.0
53,1519992000000,4.697e-05,4.85e-05,4.697e-05,4.779e-05,556543.0
54,1519995600000,4.779e-05,4.828e-05,4.728e-05,4.742e-05,627459.0
55,1519999200000,4.741e-05,4.768e-05,4.6e-05,4.675e-05,750318.0
56,1520002800000,4.693e-05,4.767e-05,4.619e-05,4.721e-05,407173.0
57,1520006400000,4.721e-05,4.748e-05,4.649e-05,4.664e-05,293875.0
