,ts,open,high,low,close,volume
0,1511172000000,6.8e-07,1.7e-06,6.8e-07,1.05e-06,49720531.0
1,1511175600000,1.06e-06,1.22e-06,9.7e-07,9.9e-07,26548219.0
2,1511179200000,9.8e-07,1.1e-06,8.5e-07,1.07e-06,26152248.0
3,1511182800000,1.06e-06,1.08e-06,1e-06,1.04e-06,8203711.0
4,1511186400000,1.03e-06,1.05e-06,9.9e-07,1.03e-06,6768963.0
5,1511190000000,1.04e-06,1.04e-06,9.7e-07,9.9e-07,4611459.0
6,1511193600000,1.02e-06,1.02e-06,9.7e-07,1e-06,6913444.0
7,1511197200000,1.01e-06,1.02e-06,9.6e-07,9.8e-07,2550176.0
8,1511200800000,1e-06,1.04e-06,1e-06,1.03e-06,1719697.0
9,1511204400000,1.03e-06,1.05e-06,9.7e-07,1.01e-06,2229672.0
10,1511208000000,1.01e-06,1.1e-06,1e-06,1.08e-06,5634830.0
11,1511211600000,1.08e-06,1.08e-06,9.8e-07,9.8e-07,2907574.0
12,1511215200000,9.8e-07,1.01e-06,9.5e-07,9.5e-07,3886706.0
13,1511218800000,9.6e-07,1e-06,9.3e-07,9.8e-07,2620467.0
14,1511222400000,9.7e-07,1e-06,9.4e-07,9.7e-07,4118030.0
15,1511226000000,9.8e-07,9.9e-07,9.6e-07,9.9e-07,2181524.0
16,1511229600000,9.9e-07,1e-06,8.4e-07,8.5e-07,8004905.0
17,1511233200000,8.4e-07,9.9e-07,8.3e-07,8.7e-07,6829970.0
18,1511236800000,9e-07,9.4e-07,8.1e-07,8.6e-07,2919825.0
19,1511240400000,9e-07,9e-07,8.4e-07,8.5e-07,3356144.0
20,1511244000000,8.5e-07,8.6e-07,8.3e-07,8.6e-07,1021700.0
21,1511247600000,8.3e-07,8.8e-07,8.2e-07,8.4e-07,2283630.0
22,1511251200000,8.5e-07,8.5e-07,8e-07,8e-07,2989042.0
23,1511254800000,8e-07,8.2e-07,7.6e-07,7.6e-07,1519449.0
24,1511258400000,7.8e-07,8.2e-07,7.6e-07,8.2e-07,2125826.0
25,1511262000000,8.1e-07,8.2e-07,7.6e-07,7.9e-07,1767279.0
26,1511265600000,7.9e-07,8.5e-07,7.9e-07,8.3e-07,1324979.0
27,1511269200000,8.3e-07,8.6e-07,8.3e-07,8.4e-07,770344.0
28,1511272800000,8.4e-07,8.4e-07,8e-07,8.1e-07,662142.0
29,1511276400000,8e-07,8.4e-07,7.9e-07,8.2e-07,1614763.0
30,1511280000000,8.1e-07,8.4e-07,7.8e-07,8.1e-07,1041166.0
31,1511283600000,8.1e-07,8.4e-07,8.1e-07,8.4e-07,2323786.0
32,1511287200000,8.4e-07,8.4e-07,8.1e-07,8.2e-07,1100942.0
33,1511290800000,8.2e-07,8.9e-07,8e-07,8.9e-07,1190832.0
34,1511294400000,8.9e-07,9.1e-07,8.2e-07,8.2e-07,489444.0
35,1511298000000,8.2e-07,8.3e-07,8.1e-07,8.3e-07,444376.0
36,1511301600000,8.5e-07,8.9e-07,8.3e-07,8.5e-07,473243.0
37,1511305200000,8.5e-07,8.8e-07,8.3e-07,8.3e-07,779816.0
