,ts,open,high,low,close,volume
0,1511172000000,1.52e-05,6.5e-05,8e-06,2.31e-05,25615115.0
1,1511175600000,2.37e-05,2.709e-05,2.18e-05,2.221e-05,16667918.0
2,1511179200000,2.22e-05,2.42e-05,2e-05,2.415e-05,7819113.0
3,1511182800000,2.415e-05,2.5e-05,2.324e-05,2.324e-05,5697190.0
4,1511186400000,2.324e-05,2.41e-05,2.215e-05,2.336e-05,4591848.0
5,1511190000000,2.35e-05,2.41e-05,2.2e-05,2.299e-05,5618324.0
6,1511193600000,2.298e-05,2.3e-05,2.152e-05,2.158e-05,4185365.0
7,1511197200000,2.159e-05,2.337e-05,2.159e-05,2.321e-05,1955382.0
8,1511200800000,2.321e-05,2.34e-05,2.262e-05,2.3e-05,624717.0
9,1511204400000,2.289e-05,2.3e-05,2.202e-05,2.202e-05,632084.0
10,1511208000000,2.21e-05,2.399e-05,2.156e-05,2.399e-05,1461680.0
11,1511211600000,2.393e-05,2.399e-05,2.186e-05,2.186e-05,297536.0
12,1511215200000,2.191e-05,2.191e-05,2.121e-05,2.137e-05,1966378.0
13,1511218800000,2.141e-05,2.192e-05,2.12e-05,2.178e-05,745086.0
14,1511222400000,2.122e-05,2.159e-05,2.102e-05,2.159e-05,3000830.0
15,1511226000000,2.178e-05,2.219e-05,2.175e-05,2.219e-05,1243911.0
16,1511229600000,2.198e-05,2.205e-05,1.878e-05,1.938e-05,3240510.0
17,1511233200000,1.9e-05,2.28e-05,1.887e-05,1.999e-05,3255349.0
18,1511236800000,1.979e-05,2.05e-05,1.904e-05,1.904e-05,969436.0
19,1511240400000,1.913e-05,2e-05,1.9e-05,1.9e-05,2534345.0
20,1511244000000,1.965e-05,1.98e-05,1.895e-05,1.9e-05,549497.0
21,1511247600000,1.9e-05,1.93e-05,1.9e-05,1.901e-05,879770.0
22,1511251200000,1.901e-05,1.901e-05,1.785e-05,1.785e-05,2552198.0
23,1511254800000,1.85e-05,1.85e-05,1.765e-05,1.849e-05,249005.0
24,1511258400000,1.781e-05,1.833e-05,1.775e-05,1.782e-05,1722243.0
25,1511262000000,1.785e-05,1.831e-05,1.639e-05,1.786e-05,3493967.0
26,1511265600000,1.786e-05,1.9e-05,1.774e-05,1.808e-05,1051334.0
27,1511269200000,1.9e-05,1.929e-05,1.809e-05,1.84e-05,1442526.0
28,1511272800000,1.925e-05,1.925e-05,1.82e-05,1.822e-05,419479.0
29,1511276400000,1.822e-05,1.839e-05,1.811e-05,1.839e-05,561551.0
30,1511280000000,1.83e-05,1.923e-05,1.812e-05,1.837e-05,1240911.0
31,1511283600000,1.837e-05,1.837e-05,1.812e-05,1.816e-05,1312082.0
32,1511287200000,1.817e-05,1.869e-05,1.816e-05,1.817e-05,588917.0
33,1511290800000,1.839e-05,1.929e-05,1.813e-05,1.929e-05,306278.0
34,1511294400000,1.926e-05,1.929e-05,1.825e-05,1.825e-05,385189.0
35,1511298000000,1.813e-05,1.928e-05,1.813e-05,1.856e-05,164540.0
36,1511301600000,1.926e-05,1.929e-05,1.868e-05,1.926e-05,723941.0
37,1511305200000,1.901e-05,1.977e-05,1.9e-05,1.9e-05,593201.0
38,1511308800000,1.9e-05,1.922e-05,1.9e-05,1.902e-05,77637.0
39,1511312400000,1.902e-05,1.925e-05,1.901e-05,1.901e-05,1785637.0
40,1511316000000,1.901e-05,1.978e-05,1.901e-05,1.977e-05,371906.0
41,1511319600000,2.023e-05,2.023e-05,1.926e-05,1.999e-05,276822.0
42,1511323200000,1.94e-05,2.045e-05,1.901e-05,1.92e-05,2237804.0
43,1511326800000,1.905e-05,1.942e-05,1.901e-05,1.906e-05,989478.0
