,ts,open,high,low,close,volume
0,1510027200000,0.1,0.155,0.1,0.1366,211813.84
1,1510030800000,0.1369,0.1439,0.1208,0.1287,225782.27
2,1510034400000,0.1287,0.1301,0.1222,0.13,67838.16
3,1510038000000,0.1295,0.1309,0.1275,0.1308,12845.79
4,1510041600000,0.128,0.1335,0.1274,0.133,31800.41
5,1510045200000,0.133,0.1333,0.1328,0.1328,244.52
6,1510048800000,0.1328,0.1401,0.1328,0.14,47467.81
7,1510052400000,0.139,0.1397,0.1339,0.1366,21193.93
8,1510056000000,0.1342,0.1352,0.1308,0.1315,20709.63
9,1510059600000,0.1315,0.1315,0.1258,0.1258,22754.08
10,1510063200000,0.1251,0.1251,0.1174,0.1174,80301.68
11,1510066800000,0.1174,0.119,0.1137,0.119,35624.58
12,1510070400000,0.1211,0.1233,0.119,0.119,44039.82
13,1510074000000,0.1164,0.1181,0.1097,0.11,45379.89
14,1510077600000,0.1105,0.1105,0.1002,0.1002,50653.8
15,1510081200000,0.1002,0.1041,0.0955,0.1002,83142.73
16,1510084800000,0.0996,0.107,0.0985,0.1037,41193.05
17,1510088400000,0.1037,0.104,0.1016,0.1025,28567.43
18,1510092000000,0.1025,0.103,0.0974,0.0975,71558.26
19,1510095600000,0.0953,0.1019,0.0901,0.101,178392.41
20,1510099200000,0.0996,0.0996,0.0919,0.0919,48065.49
21,1510102800000,0.0919,0.0943,0.0894,0.0907,65779.5
22,1510106400000,0.0907,0.0928,0.085,0.085,108608.82
23,1510110000000,0.0859,0.091,0.0836,0.0895,79379.82
24,1510113600000,0.0868,0.0919,0.0845,0.089,166667.71
25,1510117200000,0.0899,0.0998,0.0899,0.0966,287374.51
26,1510120800000,0.0966,0.1001,0.0894,0.0915,50397.7
27,1510124400000,0.0947,0.0947,0.091,0.091,2141.86
28,1510128000000,0.0892,0.09,0.0865,0.0881,10299.77
29,1510131600000,0.09,0.0915,0.0856,0.0856,19421.55
30,1510135200000,0.0856,0.0883,0.085,0.0883,19371.85
31,1510138800000,0.0871,0.0871,0.0836,0.0845,5969.01
32,1510142400000,0.086,0.0875,0.086,0.0869,4193.23
33,1510146000000,0.0869,0.0899,0.0864,0.0899,36714.83
34,1510149600000,0.0863,0.0863,0.084,0.084,5210.14
35,1510153200000,0.0849,0.0881,0.0848,0.0861,42937.14
36,1510156800000,0.0844,0.0861,0.0843,0.0861,4043.58
37,1510160400000,0.089,0.0906,0.0811,0.0863,114577.73
38,1510164000000,0.0884,0.1032,0.0884,0.0998,156612.79
39,1510167600000,0.1008,0.1008,0.0914,0.0933,125612.04
40,1510171200000,0.0949,0.0974,0.0915,0.0939,68499.82
41,1510174800000,0.0939,0.0972,0.0916,0.0972,86608.91
