,ts,open,high,low,close,volume
0,1509505200000,1.09e-05,1.299e-05,1.09e-05,1.229e-05,287533.0
1,1509508800000,1.222e-05,1.229e-05,1e-05,1.06e-05,1176172.0
2,1509512400000,1.063e-05,1.209e-05,1.062e-05,1.167e-05,764029.0
3,1509516000000,1.167e-05,1.25e-05,1.018e-05,1.194e-05,606639.0
4,1509519600000,1.193e-05,1.193e-05,1.071e-05,1.1e-05,209878.0
5,1509523200000,1.128e-05,1.173e-05,1.102e-05,1.118e-05,326171.0
6,1509526800000,1.102e-05,1.102e-05,9.21e-06,9.38e-06,449903.0
7,1509530400000,9.4e-06,9.4e-06,8.21e-06,8.52e-06,651364.0
8,1509534000000,8.58e-06,9.25e-06,8.03e-06,9.25e-06,405657.0
9,1509537600000,9.3e-06,1.124e-05,9.3e-06,1.07e-05,481016.0
10,1509541200000,1.06e-05,1.089e-05,8.23e-06,9e-06,620495.0
11,1509544800000,9e-06,1.01e-05,9e-06,9.39e-06,103777.0
12,1509548400000,9.4e-06,9.46e-06,8.72e-06,9e-06,192507.0
13,1509552000000,9.1e-06,9.3e-06,8.51e-06,8.51e-06,494282.0
14,1509555600000,8.6e-06,8.68e-06,7.77e-06,8.2e-06,973165.0
15,1509559200000,8.19e-06,8.38e-06,8e-06,8.05e-06,509331.0
16,1509562800000,8e-06,8.38e-06,6.78e-06,8.26e-06,699695.0
17,1509566400000,8.37e-06,8.58e-06,7.33e-06,7.5e-06,536088.0
18,1509570000000,8.23e-06,9.87e-06,8.23e-06,9.75e-06,595343.0
19,1509573600000,9.77e-06,9.78e-06,8.1e-06,8.88e-06,371627.0
20,1509577200000,8.88e-06,9.54e-06,8.1e-06,8.1e-06,475115.0
21,1509580800000,8.11e-06,9.3e-06,7.73e-06,9.05e-06,231465.0
22,1509584400000,9.05e-06,9.17e-06,8.85e-06,9.17e-06,243724.0
23,1509588000000,9e-06,9.24e-06,8.06e-06,8.06e-06,567574.0
24,1509591600000,8.1e-06,1.1e-05,7.8e-06,9.78e-06,1773802.0
25,1509595200000,9.99e-06,1.287e-05,8.99e-06,1e-05,2429285.0
26,1509598800000,1e-05,1.239e-05,1e-05,1.103e-05,3122653.0
27,1509602400000,1.101e-05,1.104e-05,1.02e-05,1.071e-05,589873.0
28,1509606000000,1.071e-05,1.079e-05,1.028e-05,1.039e-05,297759.0
29,1509609600000,1.039e-05,1.064e-05,1.02e-05,1.023e-05,470320.0
30,1509613200000,1.059e-05,1.104e-05,1.021e-05,1.102e-05,788006.0
31,1509616800000,1.099e-05,1.102e-05,1.042e-05,1.042e-05,539186.0
