,ts,open,high,low,close,volume
0,1509505200000,0.000219,0.00027,0.000219,0.000255,11107.0
1,1509508800000,0.000251,0.000253,0.00020051,0.000226,378594.0
2,1509512400000,0.00023,0.000248,0.00021035,0.00021239,663041.0
3,1509516000000,0.00024694,0.000247,0.0002125,0.000225,179175.0
4,1509519600000,0.00022527,0.0002438,0.000225,0.00023341,158703.0
5,1509523200000,0.00024318,0.00024366,0.00023354,0.00023354,218162.0
6,1509526800000,0.00023354,0.00023354,0.000205,0.0002052,504520.0
7,1509530400000,0.0002106,0.00021082,0.00016503,0.00019601,264943.0
8,1509534000000,0.00019601,0.00021061,0.00018,0.00021,512586.0
9,1509537600000,0.00020001,0.00023445,0.00020001,0.00023,550439.0
10,1509541200000,0.00023,0.00023,0.00018091,0.00020699,329817.0
11,1509544800000,0.000195,0.00022397,0.000195,0.00022397,66228.0
12,1509548400000,0.00019883,0.000224,0.00019,0.000192,186911.0
13,1509552000000,0.0002,0.00020488,0.0001908,0.00019207,279633.0
14,1509555600000,0.00019102,0.00019466,0.00017515,0.000183,481843.0
15,1509559200000,0.000183,0.00018886,0.00017558,0.0001778,163255.0
16,1509562800000,0.00017774,0.000193,0.00015114,0.00018959,261961.0
17,1509566400000,0.00018019,0.00018926,0.000162,0.00018288,408240.0
18,1509570000000,0.000175,0.00021588,0.00017477,0.00021588,145968.0
19,1509573600000,0.000215,0.000215,0.00018,0.00020817,356540.0
20,1509577200000,0.00021,0.00021901,0.00017828,0.000199,312500.0
21,1509580800000,0.00019001,0.00022011,0.00018756,0.00022011,84728.0
22,1509584400000,0.00021999,0.00021999,0.00021,0.00021983,107237.0
23,1509588000000,0.00021983,0.00021999,0.00019415,0.000195,463802.0
24,1509591600000,0.00019501,0.0002455,0.0001877,0.00023,544578.0
25,1509595200000,0.0002299,0.0003,0.000217,0.00023998,531111.0
26,1509598800000,0.00023998,0.000289,0.00023998,0.000268,693084.0
27,1509602400000,0.000268,0.000268,0.00024,0.00025498,206794.0
28,1509606000000,0.00025498,0.000266,0.00025056,0.000255,65299.0
29,1509609600000,0.00025899,0.000265,0.00025057,0.000255,74100.0
30,1509613200000,0.00025071,0.000275,0.00025071,0.00027151,277787.0
31,1509616800000,0.00027151,0.0002725,0.00026018,0.00026212,164355.0
32,1509620400000,0.00026212,0.00026899,0.00024,0.000261,334426.0
33,1509624000000,0.000255,0.000255,0.000255,0.000255,8904.0
34,1509627600000,0.000255,0.00029999,0.0002443,0.00029999,566232.0
35,1509631200000,0.00029999,0.00032894,0.00028039,0.00032001,803670.0
36,1509634800000,0.00032849,0.00033,0.00029601,0.00029702,331474.0
37,1509638400000,0.00029715,0.00032998,0.00027506,0.00032998,459369.0
38,1509642000000,0.00032995,0.00032999,0.00030417,0.00032999,254397.0
39,1509645600000,0.00032005,0.0003305,0.00030493,0.000329,411765.0
40,1509649200000,0.00032899,0.0003405,0.00032,0.00033702,353212.0
41,1509652800000,0.00034499,0.0004,0.00033703,0.00038001,579441.0
42,1509656400000,0.00038001,0.00039998,0.00034077,0.00039998,424295.0
43,1509660000000,0.00039998,0.0006,0.00039198,0.00051,1513041.0
44,1509663600000,0.00051,0.000551,0.00036047,0.0003795,937932.0
45,1509667200000,0.00041997,0.00041997,0.00030495,0.00036832,847305.0
46,1509670800000,0.000377,0.0004,0.00031408,0.00036344,362863.0
47,1509674400000,0.000363,0.00036401,0.00031401,0.00031401,279132.0
48,1509678000000,0.00031402,0.00034334,0.00029006,0.000311,1064875.0
49,1509681600000,0.000311,0.00036401,0.00030588,0.00036401,336445.0
50,1509685200000,0.000364,0.000364,0.00031898,0.00031898,201049.0
51,1509688800000,0.00031898,0.00033132,0.0003,0.0003,256525.0
52,1509692400000,0.000302,0.00031517,0.0002923,0.00031517,106998.0
53,1509696000000,0.00031059,0.00033297,0.00031059,0.00032409,72721.0
54,1509699600000,0.00031728,0.00033575,0.00031728,0.00033574,149901.0
55,1509703200000,0.00033574,0.00036227,0.00033574,0.000345,386114.0
56,1509706800000,0.000339,0.00035496,0.00033882,0.00035219,221709.0
57,1509710400000,0.00035896,0.000389,0.00034802,0.00034816,334533.0
58,1509714000000,0.00036,0.00037112,0.00033501,0.00034213,292790.0
59,1509717600000,0.00035395,0.00036,0.00030309,0.00030309,449148.0
60,1509721200000,0.000305,0.00033796,0.00030308,0.00031308,68317.0
61,1509724800000,0.00032417,0.00033795,0.00032417,0.00032507,358416.0
62,1509728400000,0.00033,0.00033465,0.000326,0.00033287,127345.0
63,1509732000000,0.00033287,0.00035044,0.00032,0.00032,105671.0
64,1509735600000,0.00032001,0.00033,0.00031316,0.00032917,74394.0
65,1509739200000,0.00032522,0.00032984,0.00030307,0.00032984,100639.0
66,1509742800000,0.00030801,0.00034907,0.0003,0.0003,496254.0
67,1509746400000,0.0003,0.0003201,0.000297,0.00032,83733.0
68,1509750000000,0.00032,0.000421,0.000295,0.0003746,1186984.0
69,1509753600000,0.00035031,0.00037895,0.00035031,0.00036741,123701.0
70,1509757200000,0.0003674,0.0003725,0.00034961,0.00034961,295989.0
71,1509760800000,0.00034973,0.00036498,0.00034972,0.00035371,228660.0
72,1509764400000,0.000355,0.000364,0.000355,0.000364,74002.0
73,1509768000000,0.000364,0.00036889,0.00036003,0.00036727,77703.0
74,1509771600000,0.00036727,0.00038496,0.00036727,0.00037565,126323.0
75,1509775200000,0.00038,0.00038496,0.00036808,0.00038013,46577.0
76,1509778800000,0.00038013,0.0003805,0.00036727,0.000377,79619.0
77,1509782400000,0.00037701,0.00038112,0.00036704,0.0003798,44185.0
78,1509786000000,0.0003798,0.00039,0.00036,0.00036,145339.0
79,1509789600000,0.000359,0.00037,0.00035016,0.00037,62246.0
80,1509793200000,0.00037043,0.00037395,0.00035898,0.00037179,46379.0
81,1509796800000,0.00037174,0.00037174,0.00034011,0.00035353,229310.0
82,1509800400000,0.000352,0.00036968,0.00035012,0.00035117,67350.0
83,1509804000000,0.0003692,0.0003692,0.00035336,0.00035836,19991.0
84,1509807600000,0.000353,0.00036833,0.000353,0.00035524,53896.0
85,1509811200000,0.00036827,0.00038,0.000361,0.00037147,90932.0
86,1509814800000,0.00037147,0.00038259,0.00037145,0.00038223,136880.0
87,1509818400000,0.00038224,0.00039999,0.00038223,0.00039108,173489.0
88,1509822000000,0.00039167,0.00040981,0.0003828,0.00040877,150681.0
89,1509825600000,0.00040871,0.00042,0.00037244,0.00041099,357426.0
90,1509829200000,0.00041094,0.00042,0.00040999,0.0004161,136177.0
91,1509832800000,0.00042,0.00043,0.00041054,0.00042001,184179.0
92,1509836400000,0.00042001,0.00043,0.00041179,0.00042001,223217.0
93,1509840000000,0.00042001,0.00044,0.00041162,0.00044,246268.0
94,1509843600000,0.00044499,0.00046999,0.00044281,0.000467,422389.0
95,1509847200000,0.00046001,0.00047,0.00043571,0.00044395,344303.0
96,1509850800000,0.00045892,0.0004955,0.00044436,0.00048109,661124.0
97,1509854400000,0.00048112,0.000498,0.000475,0.00047501,633336.0
98,1509858000000,0.00047502,0.00048699,0.00045,0.00048699,206365.0
99,1509861600000,0.00048011,0.000493,0.00046028,0.00047349,384197.0
100,1509865200000,0.00046801,0.00047436,0.000455,0.00047248,165770.0
101,1509868800000,0.00047195,0.00049349,0.0004713,0.00047344,225118.0
102,1509872400000,0.000475,0.0005,0.000475,0.00049964,683805.0
103,1509876000000,0.00049963,0.00054,0.000496,0.00053994,758989.0
104,1509879600000,0.00053994,0.000551,0.000512,0.00053114,886080.0
105,1509883200000,0.00053997,0.00053999,0.0005208,0.00053698,444201.0
106,1509886800000,0.00053698,0.000556,0.00052829,0.00055555,695789.0
107,1509890400000,0.00055555,0.00055555,0.00053261,0.00053999,462740.0
108,1509894000000,0.00053999,0.00053999,0.00049105,0.00050259,609220.0
109,1509897600000,0.00050259,0.00053499,0.000502,0.00051038,342671.0
110,1509901200000,0.00051041,0.00051891,0.000502,0.000502,109733.0
111,1509904800000,0.000502,0.000518,0.000432,0.00049993,380731.0
112,1509908400000,0.00051875,0.00053884,0.00049993,0.0005,238104.0
113,1509912000000,0.00049996,0.000529,0.00048784,0.000529,213720.0
114,1509915600000,0.00053898,0.00055,0.000525,0.000535,179990.0
