,ts,open,high,low,close,volume
0,1512097200000,0.00092,0.015,0.00092,0.0011695,5871.54
1,1512100800000,0.001149,0.001149,0.001,0.001088,8036.06
2,1512104400000,0.001025,0.00112,0.0010115,0.0010634,3651.05
3,1512108000000,0.0010651,0.001135,0.00102,0.0011341,2116.0
4,1512111600000,0.001134,0.001134,0.0010517,0.0011315,1561.47
5,1512115200000,0.001131,0.0011312,0.0011309,0.0011309,117.45
6,1512118800000,0.001131,0.001131,0.0010895,0.00111,494.82
7,1512122400000,0.00111,0.0011304,0.0010605,0.0010912,1505.55
8,1512126000000,0.0010871,0.001088,0.0010622,0.001088,195.15
9,1512129600000,0.001088,0.0010932,0.001088,0.0010915,774.9
10,1512133200000,0.0010915,0.0011364,0.0010002,0.0011363,3054.89
11,1512136800000,0.0011363,0.0011363,0.0009899,0.0010235,871.05
12,1512140400000,0.0010235,0.0012783,0.0010235,0.0011638,1550.68
13,1512144000000,0.0011638,0.0012857,0.0011496,0.0012855,1910.17
14,1512147600000,0.0012855,0.0013014,0.0011862,0.0012023,3967.22
15,1512151200000,0.0011877,0.0012048,0.0011495,0.00118,1963.01
16,1512154800000,0.00118,0.00118,0.0011622,0.0011622,722.12
17,1512158400000,0.0011547,0.0013,0.001125,0.0011493,2324.79
18,1512162000000,0.001162,0.001183,0.001125,0.00116,282.34
19,1512165600000,0.001192,0.001192,0.00117,0.00117,66.1
20,1512169200000,0.001168,0.001168,0.001126,0.00114,961.44
21,1512172800000,0.00114,0.0011675,0.001126,0.0011398,3020.35
22,1512176400000,0.0011398,0.0011675,0.0011026,0.0011675,5653.71
23,1512180000000,0.0011604,0.0011675,0.0011086,0.001122,336.12
24,1512183600000,0.0011265,0.0011674,0.0011001,0.0011316,124.61
25,1512187200000,0.0011356,0.00116,0.0010858,0.0011252,1023.77
26,1512190800000,0.0011238,0.0011257,0.0010797,0.001121,168.98
27,1512194400000,0.001123,0.00115,0.001094,0.0011353,666.27
28,1512198000000,0.0011311,0.0011515,0.001095,0.0011442,322.69
29,1512201600000,0.0011443,0.0011531,0.0011443,0.0011531,327.93
30,1512205200000,0.0011531,0.0011531,0.0011106,0.0011457,221.62
31,1512208800000,0.001152,0.001152,0.001152,0.001152,2.54
32,1512212400000,0.001152,0.001152,0.0011397,0.00114,56.65
33,1512216000000,0.0011397,0.0011397,0.0010661,0.0010661,164.73
34,1512219600000,0.0010849,0.00114,0.0010791,0.0011157,108.03
35,1512223200000,0.0011157,0.0011157,0.001055,0.0011028,557.08
36,1512226800000,0.0011027,0.0011027,0.0010875,0.0011027,140.58
37,1512230400000,0.0011026,0.001152,0.0011,0.0011252,156.56
38,1512234000000,0.0011252,0.0011517,0.0011252,0.0011316,143.16
39,1512237600000,0.0011317,0.0011318,0.0011316,0.0011316,89.5
40,1512241200000,0.00114,0.001149,0.0011316,0.0011316,66.33
41,1512244800000,0.0011513,0.0011513,0.0011513,0.0011513,0.87
42,1512248400000,0.0011512,0.0011512,0.0011512,0.0011512,22.96
43,1512252000000,0.0011512,0.00116,0.0011512,0.00116,730.74
44,1512255600000,0.0011672,0.0011676,0.00116,0.00116,294.73
45,1512259200000,0.00118,0.00125,0.0011531,0.0011541,364.51
46,1512262800000,0.0011541,0.0012,0.0011413,0.0011527,470.61
47,1512266400000,0.0011527,0.0011527,0.0011413,0.0011413,5.35
48,1512270000000,0.0011413,0.0011778,0.0011316,0.0011316,448.54
49,1512273600000,0.0011316,0.00115,0.0011316,0.00115,122.0
50,1512277200000,0.00115,0.00115,0.001143,0.001143,215.75
51,1512280800000,0.001143,0.001143,0.001143,0.001143,22.82
52,1512284400000,0.001143,0.001143,0.001143,0.001143,0.0
53,1512288000000,0.001143,0.00115,0.00114,0.00115,114.41
54,1512291600000,0.00115,0.0011781,0.00115,0.0011781,413.91
55,1512295200000,0.0011782,0.0011782,0.0011781,0.0011781,43.77
56,1512298800000,0.0011781,0.0011781,0.0011501,0.0011501,48.26
57,1512302400000,0.0011501,0.001177,0.00115,0.001177,402.57
58,1512306000000,0.0011501,0.0011753,0.00114,0.0011753,957.68
59,1512309600000,0.0011755,0.0011755,0.0011755,0.0011755,12.77
60,1512313200000,0.0011755,0.0011771,0.00116,0.0011771,291.19
61,1512316800000,0.00116,0.00116,0.00116,0.00116,178.84
62,1512320400000,0.00116,0.0011771,0.00116,0.0011771,290.0
63,1512324000000,0.00116,0.001177,0.0011252,0.0011478,863.83
64,1512327600000,0.0011478,0.0011611,0.0011335,0.0011611,83.59
65,1512331200000,0.0011611,0.0011699,0.0011611,0.0011699,229.73
66,1512334800000,0.00114,0.0011579,0.0010973,0.0010973,944.94
67,1512338400000,0.0010973,0.0011228,0.00108,0.0011228,1274.38
68,1512342000000,0.0011156,0.0011463,0.001097,0.0011234,548.35
69,1512345600000,0.001108,0.0011343,0.001097,0.0011289,710.56
70,1512349200000,0.0011289,0.0011289,0.0011289,0.0011289,0.0
71,1512352800000,0.001108,0.00111,0.001108,0.00111,46.71
72,1512356400000,0.0011347,0.0011348,0.0011082,0.0011348,129.23
73,1512360000000,0.0011175,0.0011319,0.0011175,0.0011319,42.06
74,1512363600000,0.0011319,0.0011343,0.0011319,0.0011342,125.15
75,1512367200000,0.0011342,0.0011342,0.0011342,0.0011342,0.0
76,1512370800000,0.0011208,0.0011208,0.0011208,0.0011208,0.65
77,1512374400000,0.0011208,0.0011348,0.0011208,0.0011348,410.88
78,1512378000000,0.0011348,0.0011348,0.0011348,0.0011348,9.5
79,1512381600000,0.0011347,0.0011348,0.0011102,0.0011344,301.46
80,1512385200000,0.0011105,0.0011348,0.0011105,0.0011125,514.96
81,1512388800000,0.0011347,0.0011348,0.0011347,0.0011348,336.98
82,1512392400000,0.0011348,0.0011348,0.0011348,0.0011348,4.96
83,1512396000000,0.0011255,0.0011463,0.0011255,0.0011463,307.08
84,1512399600000,0.0011578,0.001177,0.0011574,0.0011595,199.4
85,1512403200000,0.0011595,0.0011777,0.001156,0.001177,40.42
86,1512406800000,0.0011596,0.001177,0.0011596,0.001177,63.0
87,1512410400000,0.001177,0.001177,0.00115,0.00115,90.72
88,1512414000000,0.00115,0.00115,0.0011132,0.0011132,993.85
89,1512417600000,0.0011129,0.0011323,0.0011128,0.0011323,1023.45
90,1512421200000,0.0011323,0.0011666,0.0011127,0.0011666,307.01
91,1512424800000,0.0011511,0.0011665,0.0011509,0.0011665,191.3
92,1512428400000,0.0011659,0.00117,0.0011368,0.0011368,372.13
93,1512432000000,0.0011368,0.001176,0.0011109,0.0011352,1127.28
94,1512435600000,0.0011351,0.0011351,0.0010611,0.0010904,2925.91
95,1512439200000,0.0010907,0.001148,0.0010904,0.001148,611.46
96,1512442800000,0.0011305,0.0011305,0.0011305,0.0011305,2.19
97,1512446400000,0.0011319,0.0011563,0.0011146,0.0011446,736.06
98,1512450000000,0.0011446,0.0011588,0.0011446,0.0011588,299.1
99,1512453600000,0.0011588,0.0011588,0.0011588,0.0011588,11.0
100,1512457200000,0.00113,0.0011588,0.00113,0.0011588,720.91
101,1512460800000,0.0011326,0.0011326,0.0011302,0.0011302,142.95
102,1512464400000,0.0011302,0.0011588,0.00113,0.0011588,992.7
103,1512468000000,0.00115,0.00115,0.00115,0.00115,273.65
104,1512471600000,0.00115,0.00115,0.00115,0.00115,15.64
105,1512475200000,0.0011497,0.0012102,0.00113,0.00113,733.68
106,1512478800000,0.0011544,0.0011748,0.0011262,0.0011262,300.38
107,1512482400000,0.001118,0.0011399,0.001115,0.0011399,156.76
108,1512486000000,0.00113,0.0011398,0.00113,0.0011398,221.65
109,1512489600000,0.00114,0.0012363,0.00114,0.0011982,429.02
110,1512493200000,0.0011981,0.0012362,0.0011496,0.0011496,510.17
111,1512496800000,0.0011996,0.0012319,0.0011875,0.0012246,396.64
112,1512500400000,0.001225,0.001225,0.001224,0.001224,240.27
113,1512504000000,0.001224,0.001224,0.0011859,0.0012239,706.37
114,1512507600000,0.0012239,0.0012241,0.0011994,0.0012241,368.89
115,1512511200000,0.0012239,0.0012242,0.001198,0.001198,1437.47
116,1512514800000,0.0012162,0.0012241,0.001198,0.001198,419.75
117,1512518400000,0.0011997,0.0012209,0.0011969,0.0012049,1191.02
118,1512522000000,0.0012049,0.0012049,0.00118,0.001195,215.56
119,1512525600000,0.0011925,0.0011955,0.0011399,0.0011875,869.0
120,1512529200000,0.0011571,0.0011959,0.0011551,0.0011959,408.42
121,1512532800000,0.0012077,0.0012242,0.0011913,0.001224,804.48
122,1512536400000,0.0012233,0.001224,0.0011934,0.0011992,129.39
123,1512540000000,0.001224,0.0012243,0.0011962,0.0012243,1080.27
124,1512543600000,0.0012243,0.0012955,0.0012243,0.001269,1050.36
125,1512547200000,0.00125,0.0012997,0.00125,0.0012575,1393.65
126,1512550800000,0.001264,0.001321,0.001264,0.0012905,1003.01
127,1512554400000,0.0012801,0.0012959,0.00123,0.00123,1961.92
128,1512558000000,0.00123,0.0012997,0.0012298,0.0012997,3340.0
129,1512561600000,0.0012526,0.0013355,0.0012525,0.0013355,548.24
130,1512565200000,0.0013016,0.0014985,0.0013016,0.0013733,1083.12
