,ts,open,high,low,close,volume
0,1512097200000,0.02,0.08,0.02,0.0247,3241.78
1,1512100800000,0.024765,0.025994,0.02302,0.0245,2707.22
2,1512104400000,0.0244,0.024886,0.0237,0.0245,1856.99
3,1512108000000,0.0242,0.0253,0.024,0.024,1960.02
4,1512111600000,0.024501,0.024501,0.0245,0.0245,124.48
5,1512115200000,0.025619,0.025619,0.02466,0.025618,96.68
6,1512118800000,0.0254,0.0262,0.025116,0.025945,508.15
7,1512122400000,0.025944,0.025944,0.024969,0.024969,139.57
8,1512126000000,0.024906,0.025552,0.0245,0.025552,270.41
9,1512129600000,0.025343,0.025343,0.025,0.025052,39.16
10,1512133200000,0.025052,0.0263,0.02385,0.0263,1360.37
11,1512136800000,0.02642,0.02642,0.024001,0.0241,249.86
12,1512140400000,0.024567,0.0271,0.0241,0.0271,621.72
13,1512144000000,0.0271,0.0297,0.026232,0.0297,1715.77
14,1512147600000,0.0297,0.0297,0.027133,0.028082,1807.5
15,1512151200000,0.027871,0.027871,0.026738,0.026738,633.45
16,1512154800000,0.027318,0.028,0.026597,0.027192,554.17
17,1512158400000,0.027192,0.027192,0.025511,0.026782,255.87
18,1512162000000,0.026863,0.027354,0.026863,0.027,72.52
19,1512165600000,0.027354,0.027769,0.026623,0.026623,82.53
20,1512169200000,0.027177,0.0274,0.0265,0.02685,250.34
21,1512172800000,0.026636,0.026636,0.0262,0.02662,30.38
22,1512176400000,0.026556,0.027799,0.0262,0.027799,921.61
23,1512180000000,0.02777,0.02777,0.026322,0.026593,89.92
24,1512183600000,0.026676,0.0271,0.026676,0.026896,165.4
25,1512187200000,0.027,0.02727,0.0262,0.026507,957.32
26,1512190800000,0.02655,0.02655,0.02655,0.02655,78.19
27,1512194400000,0.02655,0.0271,0.0264,0.026748,253.92
28,1512198000000,0.0268,0.0273,0.026459,0.0273,1178.06
29,1512201600000,0.027059,0.0273,0.027059,0.0272,2136.81
30,1512205200000,0.0272,0.0276,0.0272,0.0272,2864.99
31,1512208800000,0.0272,0.0272,0.0272,0.0272,0.0
32,1512212400000,0.0272,0.027239,0.026776,0.026776,10.34
33,1512216000000,0.026968,0.026968,0.0263,0.0263,147.09
34,1512219600000,0.026539,0.026771,0.0263,0.026771,19.15
35,1512223200000,0.026539,0.026539,0.02625,0.02625,309.46
36,1512226800000,0.02625,0.02625,0.0261,0.0262,205.74
37,1512230400000,0.026162,0.0276,0.026162,0.0276,22.68
38,1512234000000,0.026867,0.026898,0.026867,0.026898,16.07
39,1512237600000,0.026926,0.026995,0.026789,0.026995,63.12
40,1512241200000,0.026995,0.02777,0.026995,0.02777,253.0
41,1512244800000,0.02777,0.02777,0.02777,0.02777,0.0
42,1512248400000,0.02777,0.02777,0.02777,0.02777,48.28
43,1512252000000,0.02777,0.02777,0.02777,0.02777,231.56
44,1512255600000,0.02777,0.0278,0.02777,0.0278,386.81
45,1512259200000,0.0279,0.029,0.025751,0.027191,3523.1
46,1512262800000,0.02794,0.02796,0.024,0.026731,1227.31
47,1512266400000,0.026992,0.02796,0.026992,0.02796,101.9
48,1512270000000,0.02728,0.0273,0.026884,0.0273,368.42
