,ts,open,high,low,close,volume
0,1522648800000,0.006,0.03,0.006,0.01366,828139.22
1,1522652400000,0.01366,0.01366,0.01301,0.01346,519099.98
2,1522656000000,0.01346,0.01425,0.0133,0.01396,1018039.9
3,1522659600000,0.01397,0.0142,0.0132,0.01321,1083652.54
4,1522663200000,0.01321,0.01338,0.01145,0.01284,1833588.47
5,1522666800000,0.01284,0.01285,0.01215,0.01269,724154.69
6,1522670400000,0.01269,0.01278,0.01219,0.01244,534977.03
7,1522674000000,0.01244,0.01268,0.01239,0.01264,349139.87
8,1522677600000,0.01264,0.01266,0.01197,0.01234,561459.01
9,1522681200000,0.01234,0.01242,0.01201,0.01226,345337.39
10,1522684800000,0.01234,0.01252,0.0121,0.01218,506462.92
11,1522688400000,0.01218,0.01229,0.01167,0.01183,456963.32
12,1522692000000,0.01197,0.01225,0.01183,0.01198,970040.87
13,1522695600000,0.01193,0.01198,0.01162,0.01169,569978.01
14,1522699200000,0.01169,0.01212,0.01168,0.01202,338936.44
15,1522702800000,0.01199,0.01199,0.01175,0.01187,229471.76
16,1522706400000,0.01187,0.01209,0.01178,0.01191,208287.61
17,1522710000000,0.01191,0.01191,0.01166,0.01173,446818.55
18,1522713600000,0.01174,0.01176,0.01152,0.01164,332010.64
19,1522717200000,0.01164,0.01194,0.01157,0.01186,462555.24
20,1522720800000,0.01184,0.01195,0.01174,0.0119,258908.12
21,1522724400000,0.01186,0.01225,0.0118,0.01194,475524.88
22,1522728000000,0.01194,0.01229,0.01194,0.01216,545777.67
23,1522731600000,0.01216,0.01221,0.01187,0.01199,478051.48
24,1522735200000,0.01191,0.01191,0.01141,0.01153,412322.01
25,1522738800000,0.01159,0.01169,0.0111,0.01115,342046.0
26,1522742400000,0.01112,0.01133,0.01092,0.01111,507919.29
27,1522746000000,0.01113,0.01125,0.01099,0.01119,311148.98
28,1522749600000,0.01119,0.01145,0.01108,0.01131,648783.53
29,1522753200000,0.01131,0.01136,0.0109,0.01134,1347790.29
30,1522756800000,0.01134,0.01143,0.01097,0.01102,275756.76
31,1522760400000,0.01102,0.01111,0.01076,0.01083,466962.39
32,1522764000000,0.01083,0.01102,0.01075,0.01075,341025.32
33,1522767600000,0.01079,0.01079,0.01028,0.01028,582518.41
34,1522771200000,0.01029,0.0107,0.01028,0.0106,438254.65
35,1522774800000,0.0106,0.0108,0.0105,0.0106,363302.82
36,1522778400000,0.0106,0.0107,0.01051,0.01058,156750.98
37,1522782000000,0.01058,0.01074,0.01056,0.01068,448751.36
38,1522785600000,0.01059,0.01077,0.01054,0.01062,197947.26
39,1522789200000,0.01063,0.01088,0.01059,0.01084,285166.67
40,1522792800000,0.01084,0.01091,0.01073,0.0109,309750.32
41,1522796400000,0.0109,0.01112,0.01085,0.01096,330887.63
42,1522800000000,0.01088,0.01141,0.01085,0.0114,486704.25
43,1522803600000,0.0114,0.01145,0.01109,0.01124,323053.09
44,1522807200000,0.01134,0.01154,0.01116,0.0112,260611.2
45,1522810800000,0.01124,0.01126,0.0109,0.01096,350519.54
46,1522814400000,0.011,0.01141,0.01089,0.01114,516432.17
47,1522818000000,0.01114,0.01124,0.01066,0.01066,395771.47
48,1522821600000,0.01061,0.01095,0.01038,0.01078,970327.98
49,1522825200000,0.01078,0.0111,0.0107,0.01098,242027.69
50,1522828800000,0.01095,0.01108,0.01079,0.01098,595576.92
51,1522832400000,0.01098,0.01102,0.01045,0.01077,668228.66
52,1522836000000,0.01076,0.01078,0.01053,0.01067,252086.72
53,1522839600000,0.01082,0.01082,0.01045,0.01049,388357.09
54,1522843200000,0.01049,0.01064,0.01031,0.01031,270703.36
55,1522846800000,0.01031,0.01047,0.01024,0.0103,349770.09
56,1522850400000,0.0103,0.01047,0.01013,0.01037,517618.11
