,ts,open,high,low,close,volume
0,1511229600000,0.1,1.0,0.04,0.05658,174937.65
1,1511233200000,0.05111,0.06034,0.051,0.05255,178602.06
2,1511236800000,0.05255,0.05594,0.04699,0.047,328669.37
3,1511240400000,0.051,0.051,0.04001,0.04001,241307.97
4,1511244000000,0.04291,0.04816,0.04071,0.04087,118346.39
5,1511247600000,0.0411,0.04631,0.0411,0.04631,196866.36
6,1511251200000,0.04631,0.04631,0.04236,0.046,53554.18
7,1511254800000,0.046,0.053,0.04396,0.051,72534.68
8,1511258400000,0.0528,0.05605,0.051,0.05605,93839.78
9,1511262000000,0.05605,0.05944,0.05499,0.057,40604.27
10,1511265600000,0.0597,0.07566,0.057,0.069,269989.62
11,1511269200000,0.06736,0.07449,0.06336,0.06336,204919.61
12,1511272800000,0.06336,0.06736,0.06036,0.06085,182527.6
13,1511276400000,0.06481,0.06999,0.06481,0.06999,130043.06
14,1511280000000,0.06999,0.06999,0.06999,0.06999,101999.28
15,1511283600000,0.06488,0.06488,0.057,0.057,141778.55
16,1511287200000,0.05503,0.06012,0.05295,0.06012,43863.81
17,1511290800000,0.06013,0.06013,0.06,0.06,9720.27
18,1511294400000,0.0602,0.0602,0.06,0.06,17149.51
19,1511298000000,0.06449,0.06449,0.06449,0.06449,3368.81
20,1511301600000,0.06449,0.06449,0.0627,0.0627,7796.23
21,1511305200000,0.05533,0.06204,0.05533,0.05533,33468.27
22,1511308800000,0.06201,0.06201,0.0575,0.06,10999.7
23,1511312400000,0.06,0.062,0.0585,0.05855,34143.82
24,1511316000000,0.06099,0.068,0.06099,0.068,40883.53
25,1511319600000,0.065,0.07541,0.065,0.07178,297087.37
26,1511323200000,0.07178,0.0862,0.07178,0.0862,270224.89
27,1511326800000,0.0872,0.09161,0.08088,0.08088,280880.18
28,1511330400000,0.08077,0.08364,0.07669,0.08364,119687.49
29,1511334000000,0.08364,0.08364,0.07872,0.07911,26167.1
30,1511337600000,0.0793,0.087,0.07915,0.08584,294298.23
31,1511341200000,0.08584,0.08688,0.07837,0.07937,70095.18
32,1511344800000,0.07937,0.087,0.07937,0.087,14498.54
33,1511348400000,0.087,0.09539,0.085,0.094,79740.51
34,1511352000000,0.09488,0.09799,0.08777,0.09591,182625.4
35,1511355600000,0.09102,0.09438,0.08769,0.08769,64655.16
36,1511359200000,0.08769,0.09176,0.08584,0.08999,40375.88
37,1511362800000,0.08999,0.09687,0.08731,0.09687,66101.57
38,1511366400000,0.09177,0.1095,0.09177,0.1095,134861.96
39,1511370000000,0.10487,0.1063,0.0981,0.09825,191083.11
40,1511373600000,0.10256,0.112,0.10031,0.109,24168.75
41,1511377200000,0.108,0.1159,0.10724,0.10725,94567.61
42,1511380800000,0.11589,0.11939,0.112,0.11418,26618.42
43,1511384400000,0.11978,0.12999,0.116,0.1295,83491.25
44,1511388000000,0.125,0.12969,0.11928,0.125,142855.98
45,1511391600000,0.125,0.12809,0.10224,0.11699,211028.25
46,1511395200000,0.11601,0.12076,0.1052,0.12076,70968.43
47,1511398800000,0.12,0.13888,0.12,0.1275,371662.66
48,1511402400000,0.135,0.138,0.127,0.13113,135749.84
49,1511406000000,0.13111,0.13111,0.12,0.13111,84857.31
50,1511409600000,0.13111,0.13111,0.11688,0.1208,89183.62
51,1511413200000,0.12068,0.12496,0.12068,0.12086,181993.43
52,1511416800000,0.12079,0.129,0.117,0.117,107210.55
53,1511420400000,0.11689,0.11937,0.10999,0.11937,49184.24
54,1511424000000,0.12797,0.128,0.1129,0.12173,101451.12
55,1511427600000,0.11502,0.11962,0.10784,0.1079,192882.09
56,1511431200000,0.1079,0.11123,0.09999,0.10679,143842.24
57,1511434800000,0.1002,0.10679,0.0928,0.095,68210.48
58,1511438400000,0.095,0.10678,0.0928,0.10001,82537.28
59,1511442000000,0.10677,0.10678,0.1001,0.1018,17220.12
60,1511445600000,0.1018,0.10418,0.0955,0.09688,148126.21
61,1511449200000,0.09694,0.1001,0.09684,0.1001,49453.34
62,1511452800000,0.101,0.101,0.08356,0.08931,421733.7
63,1511456400000,0.08931,0.08931,0.083,0.0857,20639.26
64,1511460000000,0.0893,0.10679,0.0893,0.10679,51767.31
65,1511463600000,0.1098,0.1123,0.1024,0.1024,64943.02
66,1511467200000,0.1024,0.11229,0.1024,0.11229,5697.68
67,1511470800000,0.11228,0.12209,0.11228,0.12209,94020.28
68,1511474400000,0.11375,0.11829,0.101,0.10872,19339.55
69,1511478000000,0.10846,0.10846,0.0959,0.0959,186463.23
70,1511481600000,0.0959,0.10938,0.09104,0.10159,60064.5
71,1511485200000,0.1025,0.10576,0.09694,0.09694,1314.92
72,1511488800000,0.1,0.1025,0.09766,0.102,4763.09
73,1511492400000,0.10249,0.10249,0.09316,0.09316,50412.77
74,1511496000000,0.0945,0.0945,0.09035,0.09146,75436.77
75,1511499600000,0.095,0.09505,0.09146,0.09146,18012.17
76,1511503200000,0.09146,0.0949,0.088,0.09281,31734.2
77,1511506800000,0.09281,0.09281,0.08981,0.08981,6895.0
78,1511510400000,0.08981,0.09475,0.08981,0.09475,1351.34
79,1511514000000,0.09465,0.09768,0.0916,0.09337,30606.87
80,1511517600000,0.0932,0.101,0.0929,0.09345,107422.55
81,1511521200000,0.09326,0.09822,0.08854,0.09732,70412.8
82,1511524800000,0.0974,0.10044,0.09591,0.09692,15411.01
83,1511528400000,0.0995,0.10146,0.09701,0.09701,11812.37
84,1511532000000,0.0983,0.10186,0.0983,0.09959,41335.26
85,1511535600000,0.10072,0.10186,0.09332,0.09332,35457.57
86,1511539200000,0.09493,0.09589,0.09061,0.09489,100285.6
87,1511542800000,0.09479,0.09784,0.09479,0.09524,132543.85
88,1511546400000,0.09524,0.10084,0.09498,0.10084,3500.6
89,1511550000000,0.09947,0.10082,0.09636,0.10082,22651.27
90,1511553600000,0.10082,0.10082,0.09751,0.09751,67695.34
91,1511557200000,0.09753,0.09855,0.09723,0.09855,15522.54
92,1511560800000,0.10093,0.10137,0.0938,0.0938,19715.96
93,1511564400000,0.09388,0.09624,0.0938,0.0938,8568.2
94,1511568000000,0.09444,0.09444,0.09,0.09,73157.92
95,1511571600000,0.09026,0.09074,0.0893,0.0893,1798.9
96,1511575200000,0.0898,0.09407,0.08774,0.08866,30566.69
97,1511578800000,0.08866,0.08866,0.08051,0.08489,69163.11
98,1511582400000,0.08361,0.08858,0.08356,0.08732,75162.6
99,1511586000000,0.08766,0.08789,0.08606,0.08606,51417.25
100,1511589600000,0.08607,0.08714,0.08553,0.08553,18051.9
101,1511593200000,0.08528,0.08549,0.08274,0.08274,70707.64
102,1511596800000,0.08249,0.08849,0.0806,0.08822,39774.42
103,1511600400000,0.08813,0.09086,0.08813,0.08953,31731.34
104,1511604000000,0.08941,0.09124,0.08828,0.08828,35686.52
105,1511607600000,0.08828,0.0885,0.08591,0.08719,59335.73
106,1511611200000,0.0871,0.09021,0.08642,0.08801,12081.39
107,1511614800000,0.08832,0.08876,0.08563,0.08563,60285.41
108,1511618400000,0.08588,0.08588,0.08414,0.0843,76270.8
109,1511622000000,0.08481,0.088,0.084,0.088,45091.92
110,1511625600000,0.08697,0.0902,0.08654,0.08692,41347.91
111,1511629200000,0.08839,0.09233,0.08779,0.08779,64331.01
112,1511632800000,0.0888,0.09378,0.0876,0.09378,39298.54
113,1511636400000,0.09331,0.09331,0.0914,0.0933,131724.4
114,1511640000000,0.09139,0.09233,0.09047,0.09233,1223.8
115,1511643600000,0.09329,0.09969,0.09329,0.09475,26942.08
116,1511647200000,0.09286,0.0947,0.09037,0.09176,14229.58
117,1511650800000,0.09176,0.0937,0.09068,0.09068,28612.95
118,1511654400000,0.09023,0.09281,0.08963,0.09281,36667.9
119,1511658000000,0.09281,0.0992,0.09281,0.09466,50623.67
120,1511661600000,0.095,0.095,0.0916,0.094,16387.55
121,1511665200000,0.094,0.10137,0.08802,0.08998,160571.7
122,1511668800000,0.08998,0.09114,0.08735,0.08866,44502.47
123,1511672400000,0.08822,0.08822,0.08582,0.0876,33969.48
124,1511676000000,0.0876,0.08796,0.08373,0.08373,46669.92
125,1511679600000,0.08383,0.08931,0.08373,0.08931,19162.25
126,1511683200000,0.08709,0.08976,0.08709,0.08717,8697.58
127,1511686800000,0.08631,0.08886,0.08187,0.08886,27359.28
128,1511690400000,0.08886,0.08931,0.08807,0.08807,3430.75
129,1511694000000,0.08807,0.08886,0.08752,0.08795,6836.04
130,1511697600000,0.08795,0.08795,0.08501,0.08681,58123.27
131,1511701200000,0.08681,0.08841,0.08588,0.08796,44230.39
132,1511704800000,0.08796,0.08796,0.08587,0.08752,11047.35
133,1511708400000,0.08752,0.08796,0.08628,0.08752,4340.13
134,1511712000000,0.08671,0.08708,0.08467,0.08668,5485.08
135,1511715600000,0.08509,0.08752,0.0823,0.08605,18384.72
136,1511719200000,0.0856,0.0871,0.0856,0.0857,5798.3
137,1511722800000,0.0853,0.0853,0.0853,0.0853,12.93
138,1511726400000,0.08661,0.09342,0.08661,0.09342,2252.22
139,1511730000000,0.09342,0.0963,0.09342,0.0948,61291.78
140,1511733600000,0.0959,0.0959,0.09021,0.09021,21784.47
141,1511737200000,0.09336,0.09336,0.08864,0.08864,71036.78
142,1511740800000,0.08806,0.09035,0.08746,0.08746,40896.11
143,1511744400000,0.08746,0.09111,0.08659,0.08703,4965.8
144,1511748000000,0.08703,0.08865,0.08634,0.08634,13841.17
145,1511751600000,0.08711,0.09065,0.08683,0.09065,38554.3
146,1511755200000,0.08899,0.08899,0.08701,0.08701,9488.87
147,1511758800000,0.08735,0.08766,0.0849,0.08722,9117.62
148,1511762400000,0.08704,0.08722,0.08405,0.08405,87825.44
149,1511766000000,0.08421,0.08893,0.08363,0.08363,51023.16
150,1511769600000,0.08323,0.08453,0.08068,0.08068,84573.44
151,1511773200000,0.08124,0.0839,0.08,0.0839,10419.16
152,1511776800000,0.08393,0.0872,0.08324,0.08422,15233.79
153,1511780400000,0.084,0.08775,0.08287,0.08702,15227.25
154,1511784000000,0.08563,0.08734,0.08458,0.08582,9529.21
155,1511787600000,0.08518,0.08518,0.0825,0.08413,21834.72
156,1511791200000,0.08396,0.0848,0.08302,0.08302,15483.35
157,1511794800000,0.08479,0.08839,0.08434,0.08687,20800.35
158,1511798400000,0.08687,0.094,0.08589,0.094,88361.48
159,1511802000000,0.09092,0.09092,0.08743,0.08743,2489.96
160,1511805600000,0.08656,0.08656,0.08434,0.08434,1750.0
161,1511809200000,0.08434,0.08626,0.08385,0.08385,32243.4
162,1511812800000,0.08301,0.08302,0.07899,0.08266,175311.16
163,1511816400000,0.08266,0.08307,0.07989,0.07989,1342.38
164,1511820000000,0.081,0.081,0.079,0.07901,4111.21
165,1511823600000,0.07901,0.07901,0.07321,0.07663,6762.01
166,1511827200000,0.07742,0.07901,0.07474,0.07474,13182.74
167,1511830800000,0.0748,0.07742,0.0748,0.07555,4208.6
168,1511834400000,0.07555,0.07555,0.0729,0.0729,13924.04
169,1511838000000,0.07394,0.0784,0.07394,0.07589,21564.14
170,1511841600000,0.0759,0.08099,0.07489,0.0767,173043.52
171,1511845200000,0.07675,0.07934,0.07564,0.07823,119191.57
172,1511848800000,0.07732,0.07925,0.07603,0.07726,126302.9
173,1511852400000,0.07726,0.07733,0.0749,0.07526,247637.66
174,1511856000000,0.07732,0.07737,0.07492,0.07494,182135.41
175,1511859600000,0.07531,0.07736,0.07508,0.07548,172904.91
176,1511863200000,0.07685,0.07685,0.07415,0.07504,219052.81
177,1511866800000,0.07507,0.07569,0.073,0.07371,224310.31
178,1511870400000,0.07367,0.07427,0.07001,0.07017,225390.24
179,1511874000000,0.07019,0.0733,0.06955,0.07151,349429.0
180,1511877600000,0.07192,0.07237,0.06914,0.07101,459864.33
181,1511881200000,0.07102,0.07189,0.06913,0.06931,309207.27
182,1511884800000,0.0693,0.07001,0.06343,0.0668,374082.43
183,1511888400000,0.06677,0.06979,0.06487,0.06889,448973.61
184,1511892000000,0.06912,0.07223,0.06859,0.07223,396871.35
185,1511895600000,0.07223,0.07298,0.06902,0.07153,237802.73
186,1511899200000,0.07147,0.07147,0.06794,0.06905,214038.87
187,1511902800000,0.07047,0.07081,0.06743,0.06818,208631.78
188,1511906400000,0.06804,0.06826,0.06508,0.06578,258141.53
189,1511910000000,0.06592,0.06708,0.065,0.06545,193457.01
190,1511913600000,0.06502,0.06566,0.06302,0.06442,338186.62
191,1511917200000,0.06442,0.07045,0.06442,0.06995,367533.81
192,1511920800000,0.07006,0.07051,0.06803,0.06803,225793.11
193,1511924400000,0.06849,0.06894,0.06467,0.06702,221243.77
194,1511928000000,0.06647,0.06724,0.06364,0.06417,231206.02
195,1511931600000,0.06417,0.06484,0.06176,0.06281,423140.86
196,1511935200000,0.06278,0.06419,0.05982,0.06367,342024.68
197,1511938800000,0.06366,0.06665,0.06177,0.06378,366231.53
198,1511942400000,0.06384,0.0721,0.06372,0.06691,514391.78
199,1511946000000,0.06691,0.07,0.06207,0.0645,477088.6
200,1511949600000,0.06371,0.06571,0.06216,0.06422,221589.98
201,1511953200000,0.06434,0.06541,0.06177,0.06449,274911.91
202,1511956800000,0.06448,0.06487,0.06225,0.06394,324005.58
203,1511960400000,0.06361,0.06456,0.06147,0.06208,311306.53
204,1511964000000,0.06172,0.06397,0.06063,0.06261,277265.38
205,1511967600000,0.06374,0.06541,0.06102,0.06431,247730.81
206,1511971200000,0.06431,0.06479,0.061,0.06249,363478.48
207,1511974800000,0.06219,0.06395,0.06111,0.06363,242769.45
208,1511978400000,0.06419,0.06729,0.05696,0.05827,489463.34
209,1511982000000,0.05714,0.06216,0.05661,0.0575,437237.1
210,1511985600000,0.05775,0.06013,0.05245,0.05406,689718.93
211,1511989200000,0.05415,0.05599,0.05415,0.05599,576024.67
212,1511992800000,0.056,0.06023,0.056,0.05838,343559.4
213,1511996400000,0.05897,0.06228,0.05485,0.06048,539651.79
214,1512000000000,0.06044,0.06044,0.05571,0.05637,515069.6
215,1512003600000,0.05681,0.06123,0.05662,0.05921,441393.19
216,1512007200000,0.06047,0.06048,0.05688,0.05718,526826.26
217,1512010800000,0.05737,0.05737,0.05517,0.05517,547040.89
218,1512014400000,0.05529,0.05656,0.05444,0.05626,3097580.43
219,1512018000000,0.05643,0.06154,0.05585,0.05968,2535657.18
220,1512021600000,0.05968,0.0604,0.05801,0.05876,2462146.25
221,1512025200000,0.05845,0.06337,0.05839,0.06321,1990441.31
222,1512028800000,0.06268,0.06292,0.06066,0.06124,3475888.54
223,1512032400000,0.06152,0.06189,0.05966,0.06041,2788264.23
224,1512036000000,0.06008,0.06072,0.0571,0.05781,1902866.45
225,1512039600000,0.05785,0.0581,0.05708,0.05708,1127410.33
226,1512043200000,0.05681,0.05717,0.05505,0.05634,945497.7
227,1512046800000,0.05647,0.05739,0.05409,0.05563,1292234.12
228,1512050400000,0.05564,0.05622,0.05447,0.05539,1189902.07
229,1512054000000,0.0554,0.05572,0.05381,0.05435,1230590.51
230,1512057600000,0.05449,0.05601,0.0539,0.05548,1709222.84
231,1512061200000,0.05547,0.05553,0.05389,0.05491,1386746.35
232,1512064800000,0.05493,0.05775,0.05471,0.05646,1545547.12
233,1512068400000,0.05637,0.05879,0.05591,0.05818,1749486.58
234,1512072000000,0.05826,0.062,0.05678,0.062,1435709.8
235,1512075600000,0.06184,0.06631,0.06122,0.06338,1996279.16
236,1512079200000,0.0636,0.06538,0.05993,0.06269,1976063.84
237,1512082800000,0.06301,0.06541,0.05986,0.05986,1822378.35
238,1512086400000,0.0596,0.06101,0.05892,0.06047,1589147.02
239,1512090000000,0.06046,0.06104,0.05852,0.05874,920419.15
240,1512093600000,0.05874,0.05924,0.05702,0.0587,521831.31
241,1512097200000,0.05837,0.0587,0.05617,0.0564,929324.33
242,1512100800000,0.05636,0.05803,0.05616,0.05761,1772276.39
243,1512104400000,0.05761,0.05803,0.05697,0.05736,2042835.38
244,1512108000000,0.05693,0.05764,0.054,0.05551,1179619.78
245,1512111600000,0.05551,0.056,0.05486,0.05546,1739982.25
246,1512115200000,0.05527,0.05588,0.0549,0.05517,1451723.63
247,1512118800000,0.05505,0.05713,0.05494,0.05596,1435572.61
248,1512122400000,0.05595,0.05601,0.05447,0.05508,1759554.05
249,1512126000000,0.05468,0.05798,0.05427,0.05668,859973.58
250,1512129600000,0.05736,0.05833,0.05563,0.05647,1467079.24
251,1512133200000,0.05697,0.05809,0.05532,0.05601,1641031.49
252,1512136800000,0.05557,0.05794,0.05522,0.05762,2126307.86
253,1512140400000,0.05829,0.05887,0.05757,0.0582,1937689.76
254,1512144000000,0.05869,0.05888,0.05701,0.05843,1114946.14
255,1512147600000,0.05841,0.05995,0.05768,0.05768,1380128.26
256,1512151200000,0.0581,0.05811,0.05565,0.05743,641678.41
257,1512154800000,0.05706,0.0581,0.05706,0.05791,1942501.9
258,1512158400000,0.05737,0.05951,0.05736,0.05742,2354714.89
259,1512162000000,0.05748,0.05886,0.05523,0.05605,1535974.89
260,1512165600000,0.05687,0.05757,0.05554,0.05712,1775154.37
261,1512169200000,0.05697,0.05756,0.05522,0.05633,1717864.98
262,1512172800000,0.05604,0.05784,0.05576,0.05766,2146231.41
263,1512176400000,0.05742,0.05848,0.05693,0.05774,1892014.28
264,1512180000000,0.05727,0.0582,0.05633,0.05809,2372065.32
265,1512183600000,0.05754,0.06013,0.05752,0.05913,1804895.67
266,1512187200000,0.05913,0.05927,0.05752,0.05781,2156295.62
267,1512190800000,0.05783,0.05787,0.05521,0.05563,2035046.4
268,1512194400000,0.05581,0.0569,0.0556,0.05618,1571490.11
269,1512198000000,0.0564,0.05659,0.05555,0.05611,1497058.26
270,1512201600000,0.05611,0.05612,0.05517,0.05572,1051524.07
271,1512205200000,0.05549,0.05648,0.05539,0.05559,1003320.16
272,1512208800000,0.05597,0.057,0.05562,0.05567,1495993.47
273,1512212400000,0.05557,0.05627,0.05517,0.0552,1496021.56
274,1512216000000,0.05563,0.05588,0.05502,0.05558,1422694.1
275,1512219600000,0.05586,0.05649,0.05559,0.05594,955552.77
276,1512223200000,0.05619,0.05762,0.0545,0.055,1329051.69
277,1512226800000,0.05513,0.05554,0.05401,0.05488,1661902.92
278,1512230400000,0.05478,0.05609,0.05443,0.05478,1594510.46
