,ts,open,high,low,close,volume
0,1511229600000,1.411e-05,6e-05,5.3e-06,1.045e-05,9528182.0
1,1511233200000,1.034e-05,1.125e-05,9.87e-06,1.044e-05,6532644.0
2,1511236800000,1.044e-05,1.049e-05,9.1e-06,9.5e-06,4072523.0
3,1511240400000,9.5e-06,9.68e-06,7.55e-06,8.36e-06,5772226.0
4,1511244000000,8.35e-06,8.79e-06,8e-06,8.29e-06,2906590.0
5,1511247600000,8.11e-06,8.63e-06,8.1e-06,8.32e-06,3249122.0
6,1511251200000,8.31e-06,9.19e-06,8.17e-06,8.89e-06,4036328.0
7,1511254800000,8.9e-06,1.069e-05,8.89e-06,9.9e-06,6007618.0
8,1511258400000,9.9e-06,1.129e-05,9.5e-06,1.12e-05,6251014.0
9,1511262000000,1.119e-05,1.151e-05,1.03e-05,1.123e-05,6016915.0
10,1511265600000,1.123e-05,1.5e-05,1.101e-05,1.335e-05,13211447.0
11,1511269200000,1.335e-05,1.476e-05,1.216e-05,1.255e-05,14394294.0
12,1511272800000,1.253e-05,1.285e-05,1.16e-05,1.26e-05,8857340.0
13,1511276400000,1.26e-05,1.35e-05,1.242e-05,1.33e-05,7458741.0
14,1511280000000,1.31e-05,1.33e-05,1.259e-05,1.277e-05,4268808.0
15,1511283600000,1.28e-05,1.285e-05,1.068e-05,1.08e-05,8564829.0
16,1511287200000,1.07e-05,1.146e-05,1.022e-05,1.08e-05,3691792.0
17,1511290800000,1.09e-05,1.269e-05,1.076e-05,1.157e-05,5275048.0
18,1511294400000,1.157e-05,1.206e-05,1.157e-05,1.19e-05,2192367.0
19,1511298000000,1.195e-05,1.21e-05,1.17e-05,1.206e-05,2866751.0
20,1511301600000,1.199e-05,1.209e-05,1.082e-05,1.129e-05,4699878.0
21,1511305200000,1.129e-05,1.17e-05,1.107e-05,1.134e-05,1789448.0
22,1511308800000,1.131e-05,1.203e-05,1.101e-05,1.17e-05,2718961.0
23,1511312400000,1.169e-05,1.194e-05,1.145e-05,1.181e-05,2220399.0
24,1511316000000,1.177e-05,1.327e-05,1.165e-05,1.327e-05,4911492.0
25,1511319600000,1.326e-05,1.479e-05,1.286e-05,1.425e-05,14252758.0
26,1511323200000,1.422e-05,1.66e-05,1.388e-05,1.626e-05,22541499.0
27,1511326800000,1.621e-05,1.75e-05,1.558e-05,1.596e-05,26655825.0
28,1511330400000,1.595e-05,1.624e-05,1.47e-05,1.619e-05,15191922.0
29,1511334000000,1.608e-05,1.619e-05,1.515e-05,1.56e-05,6340892.0
30,1511337600000,1.56e-05,1.703e-05,1.553e-05,1.606e-05,11593023.0
31,1511341200000,1.609e-05,1.63e-05,1.485e-05,1.559e-05,5646062.0
32,1511344800000,1.559e-05,1.685e-05,1.537e-05,1.663e-05,8510210.0
33,1511348400000,1.663e-05,1.847e-05,1.636e-05,1.833e-05,10962602.0
34,1511352000000,1.832e-05,1.922e-05,1.674e-05,1.764e-05,14668975.0
35,1511355600000,1.764e-05,1.79e-05,1.66e-05,1.695e-05,6775909.0
36,1511359200000,1.698e-05,1.75e-05,1.654e-05,1.734e-05,6129554.0
37,1511362800000,1.734e-05,1.833e-05,1.69e-05,1.83e-05,7981599.0
38,1511366400000,1.83e-05,2.05e-05,1.773e-05,2e-05,17211098.0
39,1511370000000,2.009e-05,2.015e-05,1.899e-05,1.92e-05,13603634.0
