,ts,open,high,low,close,volume
0,1521446400000,10.0,10.0,1.04525,1.71999,3451.59
1,1521450000000,1.71999,1.80798,1.50001,1.78995,20744.71
2,1521453600000,1.75451,1.78994,1.69,1.74874,21089.1
3,1521457200000,1.73002,1.77212,1.70767,1.74499,3108.7
4,1521460800000,1.74,1.745,1.7191,1.735,2848.27
5,1521464400000,1.73499,1.74399,1.63667,1.66205,4283.08
6,1521468000000,1.67,1.7379,1.67,1.7133,4838.06
7,1521471600000,1.70779,1.84999,1.705,1.84999,6253.85
8,1521475200000,1.83401,1.89,1.82008,1.85,12496.69
9,1521478800000,1.85,1.9,1.84001,1.889,10786.96
10,1521482400000,1.89001,1.9437,1.87513,1.915,5243.89
11,1521486000000,1.92,2.1359,1.92,2.10753,16511.85
12,1521489600000,2.11,2.12,2.0125,2.03437,8592.92
13,1521493200000,2.035,2.1236,1.98337,2.08707,8336.32
14,1521496800000,2.09502,2.1899,2.075,2.18001,10033.25
15,1521500400000,2.1801,2.37089,2.1508,2.23,13419.01
16,1521504000000,2.2299,2.5,2.21291,2.43,19456.99
17,1521507600000,2.43001,2.44,2.19,2.27652,12696.48
18,1521511200000,2.27652,2.39332,2.26425,2.31333,6369.46
19,1521514800000,2.31333,2.32001,2.25001,2.26594,4852.28
20,1521518400000,2.26594,2.26594,2.14538,2.18,7796.25
21,1521522000000,2.18,2.25569,2.13764,2.25569,5799.83
22,1521525600000,2.2541,2.26119,2.18906,2.19905,8597.47
23,1521529200000,2.203,2.20785,2.12902,2.12903,2926.89
24,1521532800000,2.13,2.22,2.08,2.18273,7282.47
25,1521536400000,2.18273,2.242,2.13529,2.23448,7737.07
26,1521540000000,2.23101,2.25,2.2,2.22876,5617.41
27,1521543600000,2.23,2.2389,2.18787,2.18967,6459.28
28,1521547200000,2.19508,2.20338,2.15242,2.19466,7274.85
29,1521550800000,2.19466,2.33274,2.194,2.26002,18241.79
30,1521554400000,2.26002,2.33332,2.25395,2.315,7387.64
31,1521558000000,2.32261,2.43862,2.3169,2.39431,13015.38
32,1521561600000,2.39378,2.41,2.323,2.3419,8824.17
33,1521565200000,2.33228,2.37,2.32291,2.35228,5886.28
34,1521568800000,2.35228,2.366,2.3169,2.32,4812.2
35,1521572400000,2.32756,2.35624,2.3022,2.31301,3010.57
36,1521576000000,2.31301,2.3223,2.27332,2.3223,3788.02
37,1521579600000,2.32291,2.32291,2.27331,2.27331,2649.26
38,1521583200000,2.27331,2.27331,2.19009,2.22112,8081.83
39,1521586800000,2.2185,2.23448,2.1616,2.2258,5458.01
40,1521590400000,2.2258,2.26595,2.20785,2.22557,5383.43
41,1521594000000,2.22557,2.2315,2.19467,2.22111,3092.51
42,1521597600000,2.21816,2.23,2.20638,2.20915,2300.6
43,1521601200000,2.21227,2.23002,2.19466,2.20656,16789.87
44,1521604800000,2.20929,2.21227,2.17279,2.18924,7173.07
45,1521608400000,2.18227,2.25691,2.18001,2.23903,8621.23
46,1521612000000,2.23903,2.24342,2.20344,2.20638,1231.3
47,1521615600000,2.20638,2.21226,2.17278,2.18797,3387.98
48,1521619200000,2.18797,2.21,2.17,2.17,3486.05
49,1521622800000,2.17,2.19499,2.16669,2.19028,8853.55
50,1521626400000,2.19028,2.19437,2.05,2.08494,6959.47
51,1521630000000,2.08494,2.10444,1.98203,2.04641,9833.05
52,1521633600000,2.04685,2.07524,1.97019,2.00995,7545.05
53,1521637200000,2.00995,2.05,2.00594,2.03012,4373.45
54,1521640800000,2.03012,2.04985,1.99,1.99794,7327.47
55,1521644400000,1.99395,2.01549,1.97808,2.01549,5449.77
56,1521648000000,2.01549,2.04641,2.0102,2.0285,11671.29
57,1521651600000,2.03234,2.03799,1.99342,2.01347,11173.46
58,1521655200000,2.01347,2.0191,1.99613,2.005,6344.5
59,1521658800000,2.005,2.027,1.98817,2.009,8451.45
60,1521662400000,2.009,2.02412,1.98154,2.01989,5292.44
61,1521666000000,2.01988,2.02146,1.991,1.991,3210.42
62,1521669600000,1.99,1.99,1.8725,1.875,3481.68
63,1521673200000,1.87749,1.9684,1.86876,1.9684,5739.88
