,ts,open,high,low,close,volume
0,1501113600000,0.0304,0.0306,0.029855,0.030437,1560.97
1,1501117200000,0.030526,0.030786,0.029534,0.03013,578.13
2,1501120800000,0.029952,0.0302,0.02925,0.02985,563.55
3,1501124400000,0.030033,0.030682,0.0296,0.030032,790.93
4,1501128000000,0.030086,0.0305,0.029756,0.029966,643.75
5,1501131600000,0.029943,0.030346,0.029705,0.029717,893.36
6,1501135200000,0.029966,0.03054,0.029937,0.030238,1070.33
7,1501138800000,0.030238,0.030364,0.029834,0.029885,761.22
8,1501142400000,0.029986,0.030112,0.029228,0.029499,696.1
9,1501146000000,0.029566,0.029893,0.029188,0.029821,502.69
10,1501149600000,0.029775,0.030081,0.029416,0.029706,877.93
11,1501153200000,0.02951,0.029921,0.029416,0.02974,603.85
12,1501156800000,0.029586,0.02972,0.029096,0.029096,685.56
13,1501160400000,0.029148,0.029891,0.029096,0.029712,760.57
14,1501164000000,0.029547,0.030063,0.029154,0.029343,586.29
15,1501167600000,0.029196,0.029821,0.029196,0.029408,311.83
16,1501171200000,0.029482,0.029931,0.029196,0.029573,491.74
17,1501174800000,0.029595,0.030026,0.029303,0.029826,406.19
18,1501178400000,0.029621,0.030026,0.029303,0.029577,472.14
19,1501182000000,0.029784,0.030026,0.029196,0.029624,256.87
20,1501185600000,0.029695,0.030171,0.029624,0.030126,865.49
21,1501189200000,0.02987,0.03083,0.029813,0.03026,1769.09
22,1501192800000,0.03037,0.030728,0.030083,0.030273,692.86
23,1501196400000,0.030459,0.030728,0.029662,0.029662,799.55
24,1501200000000,0.029793,0.030501,0.029769,0.030304,633.18
25,1501203600000,0.030149,0.030191,0.029082,0.029667,869.12
26,1501207200000,0.029529,0.029766,0.0288,0.028876,479.42
27,1501210800000,0.028876,0.02927,0.0288,0.02898,553.71
28,1501214400000,0.028979,0.02927,0.028412,0.028521,1349.62
29,1501218000000,0.028413,0.028982,0.028302,0.028369,420.94
30,1501221600000,0.028426,0.029045,0.028369,0.028785,680.39
31,1501225200000,0.028757,0.029652,0.02867,0.029388,887.53
32,1501228800000,0.029427,0.029436,0.028879,0.029335,578.07
33,1501232400000,0.029416,0.029434,0.028798,0.029108,1710.58
34,1501236000000,0.029102,0.029538,0.029006,0.029509,1220.27
35,1501239600000,0.02937,0.029766,0.029065,0.029675,4044.48
36,1501243200000,0.02974,0.029763,0.028595,0.02868,3633.1
37,1501246800000,0.02889,0.02956,0.028773,0.028972,2181.88
38,1501250400000,0.028933,0.029655,0.028911,0.029327,1437.44
39,1501254000000,0.029304,0.029374,0.028663,0.029235,1409.62
40,1501257600000,0.029219,0.029584,0.028843,0.029155,845.17
41,1501261200000,0.029306,0.029307,0.028887,0.029276,671.2
42,1501264800000,0.029254,0.029551,0.029206,0.029252,890.09
43,1501268400000,0.029299,0.029538,0.029235,0.029248,699.88
44,1501272000000,0.029233,0.029297,0.028973,0.029278,1007.12
45,1501275600000,0.029262,0.02955,0.029213,0.02955,581.33
46,1501279200000,0.029534,0.029656,0.029409,0.029586,778.12
47,1501282800000,0.029637,0.029765,0.028985,0.028985,1585.35
48,1501286400000,0.029006,0.029742,0.028991,0.029528,769.39
49,1501290000000,0.029516,0.029516,0.028627,0.028794,1669.94
50,1501293600000,0.028811,0.029193,0.028606,0.0289,1173.07
51,1501297200000,0.028862,0.029454,0.028717,0.029449,1292.52
52,1501300800000,0.029449,0.02956,0.028957,0.02947,2185.67
53,1501304400000,0.029425,0.029766,0.029205,0.029766,1338.81
54,1501308000000,0.029766,0.029996,0.029431,0.029432,2844.83
55,1501311600000,0.029423,0.029734,0.029127,0.029524,1128.31
56,1501315200000,0.029538,0.029554,0.029099,0.029312,1376.32
57,1501318800000,0.029369,0.029829,0.029257,0.029685,1277.14
58,1501322400000,0.029707,0.029835,0.028996,0.029092,2233.46
59,1501326000000,0.029348,0.029438,0.028836,0.029129,1100.71
60,1501329600000,0.029138,0.029429,0.028717,0.029025,3726.66
61,1501333200000,0.029032,0.02941,0.028786,0.029285,1363.62
62,1501336800000,0.02926,0.029729,0.029177,0.029499,3409.61
63,1501340400000,0.02949,0.029611,0.028811,0.029245,1356.06
64,1501344000000,0.029245,0.029415,0.029066,0.029415,287.63
65,1501347600000,0.029399,0.029533,0.028964,0.028964,592.67
66,1501351200000,0.028717,0.028954,0.028001,0.028245,3624.12
67,1501354800000,0.028213,0.028642,0.027555,0.028409,2284.82
68,1501358400000,0.028405,0.028765,0.027978,0.028214,1033.75
69,1501362000000,0.028211,0.028766,0.027654,0.028145,2052.43
70,1501365600000,0.028174,0.028344,0.027409,0.027413,2046.37
71,1501369200000,0.027388,0.028351,0.027308,0.028086,8458.12
72,1501372800000,0.028067,0.028397,0.027614,0.027871,1448.49
73,1501376400000,0.027975,0.028211,0.027555,0.027676,1509.63
74,1501380000000,0.027805,0.028297,0.027676,0.028283,1512.13
75,1501383600000,0.028191,0.0282,0.027688,0.027856,1275.97
76,1501387200000,0.027832,0.027955,0.027478,0.027635,1222.84
77,1501390800000,0.027629,0.027789,0.027486,0.027787,1279.6
78,1501394400000,0.027535,0.027741,0.027222,0.027342,3200.72
79,1501398000000,0.027327,0.027794,0.027209,0.027727,789.27
80,1501401600000,0.027781,0.027955,0.027735,0.02795,720.81
81,1501405200000,0.027928,0.028048,0.027449,0.027619,1313.0
82,1501408800000,0.027649,0.027665,0.027361,0.027553,730.14
83,1501412400000,0.027553,0.027923,0.027389,0.027658,760.45
84,1501416000000,0.027497,0.027519,0.027187,0.027475,1188.33
85,1501419600000,0.027496,0.027812,0.027333,0.02763,1193.22
86,1501423200000,0.027643,0.028064,0.027607,0.027761,1769.97
87,1501426800000,0.027727,0.028276,0.027727,0.028079,1287.87
88,1501430400000,0.028002,0.02817,0.027852,0.028156,804.66
89,1501434000000,0.028144,0.02817,0.027791,0.027967,772.33
90,1501437600000,0.027973,0.02805,0.027748,0.02788,1225.83
91,1501441200000,0.027862,0.02791,0.027605,0.02782,531.5
92,1501444800000,0.027818,0.027823,0.027616,0.027817,463.77
93,1501448400000,0.027815,0.027899,0.027583,0.027788,1234.44
94,1501452000000,0.027781,0.028215,0.02771,0.028158,1123.54
95,1501455600000,0.028128,0.028221,0.027783,0.027977,972.15
96,1501459200000,0.027883,0.028147,0.027783,0.028127,1759.35
97,1501462800000,0.028106,0.028527,0.028024,0.02816,3254.31
98,1501466400000,0.028157,0.028323,0.027851,0.02809,1286.58
99,1501470000000,0.028097,0.028142,0.027783,0.027783,5369.18
100,1501473600000,0.027808,0.027957,0.027464,0.027464,1094.55
101,1501477200000,0.027562,0.027688,0.027418,0.027424,663.32
102,1501480800000,0.027533,0.027775,0.027333,0.027532,770.74
103,1501484400000,0.027536,0.027879,0.027497,0.027566,1340.79
104,1501488000000,0.027566,0.028408,0.0275,0.028119,1569.72
105,1501491600000,0.028107,0.028158,0.027661,0.028118,1732.86
106,1501495200000,0.028155,0.028249,0.027883,0.027997,885.54
107,1501498800000,0.028037,0.030606,0.027916,0.030559,4395.51
108,1501502400000,0.030531,0.030819,0.02916,0.030061,6902.19
109,1501506000000,0.030028,0.030219,0.029252,0.029466,1562.32
110,1501509600000,0.029466,0.03153,0.029273,0.031019,4113.92
111,1501513200000,0.031,0.031353,0.030548,0.031142,2584.22
112,1501516800000,0.031127,0.031782,0.030357,0.03096,2429.7
113,1501520400000,0.030972,0.031217,0.030402,0.030709,933.29
114,1501524000000,0.030622,0.030944,0.03041,0.030561,1007.4
115,1501527600000,0.030529,0.030819,0.030217,0.030802,600.65
116,1501531200000,0.03082,0.031069,0.030278,0.030719,1763.36
117,1501534800000,0.030719,0.031215,0.03061,0.030981,1514.83
118,1501538400000,0.030651,0.030986,0.030366,0.03039,1479.61
119,1501542000000,0.030378,0.030509,0.029906,0.030048,1868.83
120,1501545600000,0.030036,0.030937,0.030011,0.030686,2595.59
121,1501549200000,0.030678,0.031084,0.030092,0.030714,2119.18
122,1501552800000,0.030709,0.031935,0.030677,0.031186,4276.98
123,1501556400000,0.031193,0.0314,0.030473,0.030776,1471.91
124,1501560000000,0.030764,0.030764,0.030027,0.030127,1862.89
125,1501563600000,0.030119,0.030416,0.029982,0.029993,1325.11
126,1501567200000,0.029992,0.029993,0.028934,0.029062,2743.65
127,1501570800000,0.029062,0.029477,0.028273,0.028382,3861.77
128,1501574400000,0.028379,0.028713,0.027281,0.027742,4790.03
129,1501578000000,0.027743,0.027956,0.0273,0.027576,5944.44
130,1501581600000,0.027483,0.028186,0.027464,0.027824,2031.51
131,1501585200000,0.027778,0.027998,0.0269,0.027278,4309.52
132,1501588800000,0.027333,0.02996,0.027036,0.0287,6903.33
133,1501592400000,0.0287,0.02951,0.027763,0.028372,6051.61
134,1501596000000,0.028369,0.029655,0.028244,0.028482,3192.06
135,1501599600000,0.028462,0.029086,0.028036,0.028139,1720.74
136,1501603200000,0.02828,0.028894,0.02828,0.02874,1187.05
137,1501606800000,0.02874,0.028865,0.028242,0.028618,1325.55
138,1501610400000,0.028624,0.028879,0.028588,0.028677,1116.8
139,1501614000000,0.028663,0.028818,0.028394,0.02868,646.69
140,1501617600000,0.028673,0.028819,0.028573,0.028608,1088.64
141,1501621200000,0.028516,0.028516,0.028091,0.028268,1585.11
142,1501624800000,0.028268,0.028761,0.0281,0.028487,1539.35
143,1501628400000,0.028465,0.028999,0.028433,0.028909,3115.74
144,1501632000000,0.028983,0.029659,0.028417,0.028514,5726.8
145,1501635600000,0.028507,0.028904,0.028169,0.028616,1770.92
146,1501639200000,0.028599,0.029151,0.028354,0.028828,2468.77
147,1501642800000,0.028802,0.028825,0.028054,0.028446,2273.26
148,1501646400000,0.028417,0.028821,0.028165,0.02831,1080.32
149,1501650000000,0.028372,0.028561,0.028273,0.028357,930.26
150,1501653600000,0.02839,0.028829,0.028278,0.02865,1484.27
151,1501657200000,0.028738,0.028838,0.028482,0.028838,1416.83
152,1501660800000,0.028819,0.028928,0.028354,0.028623,1324.8
153,1501664400000,0.028611,0.029414,0.028479,0.029118,2023.93
154,1501668000000,0.029206,0.029613,0.02906,0.029533,957.41
155,1501671600000,0.029524,0.029739,0.029274,0.02934,841.86
156,1501675200000,0.029406,0.029619,0.02906,0.029482,2052.39
157,1501678800000,0.029506,0.030105,0.029223,0.029331,2005.11
158,1501682400000,0.029412,0.029472,0.02882,0.029342,3837.95
159,1501686000000,0.029354,0.02961,0.029237,0.029412,825.49
160,1501689600000,0.029522,0.029716,0.028916,0.028993,1231.23
161,1501693200000,0.028975,0.029928,0.028508,0.028992,1722.62
162,1501696800000,0.029,0.029099,0.028838,0.028923,803.69
163,1501700400000,0.028923,0.028938,0.028624,0.02883,523.02
164,1501704000000,0.028814,0.029329,0.02871,0.029091,531.36
165,1501707600000,0.029133,0.029474,0.02898,0.029189,508.82
166,1501711200000,0.029181,0.029485,0.028955,0.028955,1546.2
167,1501714800000,0.028906,0.029335,0.028891,0.029194,1395.98
168,1501718400000,0.02921,0.029216,0.02864,0.028782,1551.43
169,1501722000000,0.028761,0.028902,0.027919,0.028244,1599.24
170,1501725600000,0.028153,0.02903,0.028009,0.028694,2454.67
171,1501729200000,0.028672,0.029121,0.028457,0.028861,1784.46
172,1501732800000,0.028852,0.028861,0.028456,0.028846,1232.49
173,1501736400000,0.028845,0.028989,0.028549,0.028895,1161.11
174,1501740000000,0.028895,0.029437,0.028744,0.029079,3843.78
175,1501743600000,0.029079,0.029469,0.028939,0.029126,2173.08
176,1501747200000,0.029096,0.029461,0.028993,0.029317,1494.74
177,1501750800000,0.02928,0.03041,0.029042,0.030231,8429.31
178,1501754400000,0.03032,0.031493,0.030166,0.030578,3326.8
179,1501758000000,0.030575,0.031774,0.030406,0.031227,2440.91
180,1501761600000,0.031132,0.031232,0.030761,0.031146,1576.16
181,1501765200000,0.031124,0.031171,0.030505,0.030915,1710.51
182,1501768800000,0.030857,0.032519,0.030722,0.031848,2701.29
183,1501772400000,0.031878,0.033855,0.031832,0.033109,3991.08
184,1501776000000,0.033261,0.033726,0.032905,0.033054,1888.5
185,1501779600000,0.033057,0.033801,0.032997,0.033212,958.45
186,1501783200000,0.033373,0.033574,0.033,0.033179,667.03
187,1501786800000,0.033221,0.033855,0.033073,0.033753,1136.96
188,1501790400000,0.03374,0.03385,0.033344,0.033831,1067.16
189,1501794000000,0.033793,0.034777,0.033643,0.034777,3170.95
190,1501797600000,0.034796,0.03481,0.0333,0.034319,2102.87
191,1501801200000,0.034296,0.034434,0.033284,0.033729,2886.66
192,1501804800000,0.033979,0.03613,0.0331,0.034775,5345.8
193,1501808400000,0.034775,0.035462,0.033985,0.034935,1611.33
194,1501812000000,0.034855,0.034977,0.034137,0.034265,2092.77
195,1501815600000,0.034234,0.034864,0.033577,0.033577,1570.72
196,1501819200000,0.033676,0.034867,0.033648,0.034867,1560.53
197,1501822800000,0.034842,0.035101,0.034225,0.03479,1668.83
198,1501826400000,0.034765,0.036846,0.034206,0.036216,3403.82
199,1501830000000,0.036254,0.037403,0.036018,0.037102,2260.84
200,1501833600000,0.037098,0.037102,0.036649,0.036807,1243.77
201,1501837200000,0.036798,0.038172,0.036648,0.038156,3048.49
202,1501840800000,0.038155,0.038273,0.036755,0.037392,3162.31
203,1501844400000,0.037521,0.037598,0.036783,0.03699,1107.94
204,1501848000000,0.036972,0.03718,0.034316,0.035513,4472.73
205,1501851600000,0.035731,0.036429,0.035705,0.036215,2190.12
206,1501855200000,0.036185,0.036753,0.034816,0.035952,3383.49
207,1501858800000,0.035942,0.036229,0.03534,0.03534,1237.73
208,1501862400000,0.035324,0.035814,0.035165,0.035562,721.7
209,1501866000000,0.035669,0.036064,0.035622,0.035919,1205.65
210,1501869600000,0.035888,0.035961,0.035558,0.035879,592.1
211,1501873200000,0.035879,0.035973,0.035441,0.035895,517.35
212,1501876800000,0.03586,0.035976,0.035657,0.035926,859.38
213,1501880400000,0.035914,0.036229,0.035578,0.03621,1060.11
214,1501884000000,0.036093,0.037182,0.036069,0.03638,2799.07
215,1501887600000,0.036348,0.037193,0.036326,0.036541,1987.04
216,1501891200000,0.036541,0.036542,0.035159,0.035517,1812.39
217,1501894800000,0.035523,0.035691,0.034432,0.034642,2320.42
218,1501898400000,0.034605,0.036329,0.034465,0.035624,2371.1
219,1501902000000,0.03562,0.036819,0.035336,0.03588,3205.77
220,1501905600000,0.03588,0.036298,0.035291,0.035489,1981.53
221,1501909200000,0.035478,0.036682,0.035454,0.036314,2533.84
222,1501912800000,0.036292,0.038038,0.036268,0.037518,2888.13
223,1501916400000,0.037491,0.03773,0.03679,0.037076,3002.59
224,1501920000000,0.037064,0.037202,0.036672,0.037056,1822.14
225,1501923600000,0.037046,0.037512,0.035851,0.036074,2219.74
226,1501927200000,0.035837,0.036593,0.035837,0.035985,1351.79
227,1501930800000,0.035962,0.036593,0.035456,0.036593,2864.11
228,1501934400000,0.036712,0.038561,0.036706,0.037571,3400.3
229,1501938000000,0.037596,0.038117,0.037291,0.038001,2723.95
230,1501941600000,0.038001,0.038401,0.036997,0.037841,3089.63
231,1501945200000,0.037725,0.038145,0.037447,0.037938,1948.73
232,1501948800000,0.037984,0.038635,0.037372,0.038243,3789.39
233,1501952400000,0.038182,0.038675,0.037185,0.037394,2552.69
234,1501956000000,0.037471,0.03771,0.035913,0.036661,1980.83
235,1501959600000,0.036359,0.036982,0.035685,0.036779,2227.65
236,1501963200000,0.036757,0.036869,0.035708,0.036293,798.63
237,1501966800000,0.036269,0.036908,0.03559,0.036091,995.57
238,1501970400000,0.036091,0.037382,0.036067,0.036554,2073.2
239,1501974000000,0.036595,0.037032,0.035988,0.036,3398.54
240,1501977600000,0.035915,0.037066,0.035033,0.037066,4757.0
241,1501981200000,0.036919,0.037877,0.035821,0.036281,2860.16
242,1501984800000,0.03623,0.03671,0.035439,0.035644,1723.13
243,1501988400000,0.035758,0.036858,0.035342,0.036674,2823.02
244,1501992000000,0.036692,0.038036,0.036438,0.037337,3070.84
245,1501995600000,0.037215,0.0381,0.036387,0.037783,3831.88
246,1501999200000,0.037783,0.03825,0.037532,0.038039,2726.29
247,1502002800000,0.038038,0.038217,0.037714,0.038051,1154.83
248,1502006400000,0.038025,0.038217,0.036963,0.037669,1714.09
249,1502010000000,0.037684,0.039367,0.037201,0.039097,3835.66
250,1502013600000,0.039103,0.041784,0.038926,0.040972,4241.72
251,1502017200000,0.04099,0.041775,0.040387,0.040968,2140.91
252,1502020800000,0.040619,0.040996,0.03928,0.040323,3422.72
253,1502024400000,0.040323,0.041036,0.040091,0.04059,1749.12
254,1502028000000,0.040581,0.040589,0.039954,0.040521,219.23
255,1502031600000,0.040516,0.041035,0.04,0.040134,2899.64
256,1502035200000,0.040027,0.040392,0.039954,0.039954,3205.62
257,1502038800000,0.040006,0.040102,0.039464,0.039879,1100.17
258,1502042400000,0.039946,0.039949,0.039377,0.039749,804.72
259,1502046000000,0.039729,0.0399,0.039517,0.039643,823.21
260,1502049600000,0.039632,0.040393,0.039501,0.04008,1219.54
261,1502053200000,0.039868,0.040393,0.039533,0.040372,937.29
262,1502056800000,0.04039,0.040393,0.039552,0.039955,1912.82
263,1502060400000,0.039952,0.039969,0.03782,0.038974,4691.08
264,1502064000000,0.039147,0.03982,0.037457,0.039761,3267.73
265,1502067600000,0.039763,0.039828,0.038415,0.038744,2459.43
266,1502071200000,0.038831,0.039484,0.038323,0.039062,3229.71
267,1502074800000,0.038813,0.040223,0.038689,0.039799,2189.81
268,1502078400000,0.039792,0.040796,0.039093,0.04071,1962.07
269,1502082000000,0.04079,0.04198,0.040525,0.041947,2046.62
270,1502085600000,0.041947,0.044575,0.041716,0.043711,6825.11
271,1502089200000,0.043704,0.046122,0.042782,0.046122,5007.29
272,1502092800000,0.046399,0.046794,0.044151,0.044763,4605.27
273,1502096400000,0.04491,0.045443,0.041813,0.04334,4233.64
274,1502100000000,0.043317,0.044062,0.042574,0.044045,2992.78
