,ts,open,high,low,close,volume
0,1521446400000,16.0,16.5,13.1,15.299,23734.507
1,1521450000000,15.299,15.569,14.199,15.05,43698.026
2,1521453600000,15.05,15.25,14.405,15.03,24884.629
3,1521457200000,15.055,15.368,14.876,15.252,31917.637
4,1521460800000,15.251,15.252,14.933,15.071,17500.311
5,1521464400000,15.072,15.3,14.83,15.1,50530.851
6,1521468000000,15.051,15.489,14.7,15.18,54306.339
7,1521471600000,15.18,16.65,15.179,16.4,70850.555
8,1521475200000,16.4,16.85,16.0,16.01,157597.794
9,1521478800000,16.01,16.397,15.51,16.195,79688.032
10,1521482400000,16.195,16.585,16.1,16.492,38237.668
11,1521486000000,16.5,18.5,16.495,18.299,169171.283
12,1521489600000,18.299,18.399,17.446,17.677,76094.087
13,1521493200000,17.677,18.2,17.181,17.9,61795.672
14,1521496800000,17.939,18.955,17.6,18.955,56977.009
15,1521500400000,18.967,20.549,18.92,19.878,216367.058
16,1521504000000,19.88,22.0,19.718,21.605,248300.135
17,1521507600000,21.615,21.65,19.3,20.136,196258.037
18,1521511200000,20.14,21.1,20.0,20.704,128306.694
19,1521514800000,20.724,20.89,20.0,20.411,83038.632
20,1521518400000,20.411,20.419,18.7,19.174,108594.927
21,1521522000000,19.154,20.0,18.555,19.912,105352.231
22,1521525600000,19.919,19.999,19.338,19.449,60291.062
23,1521529200000,19.469,19.549,18.41,18.587,44179.15
24,1521532800000,18.587,19.498,18.053,18.78,98954.801
25,1521536400000,18.78,19.685,18.35,19.648,89000.377
26,1521540000000,19.625,19.8,19.313,19.59,60034.188
27,1521543600000,19.622,19.75,19.312,19.445,46312.177
28,1521547200000,19.443,19.637,19.2,19.512,45344.181
29,1521550800000,19.505,20.607,19.464,19.829,146486.294
30,1521554400000,19.835,20.7,19.65,20.476,104594.337
31,1521558000000,20.49,21.6,20.405,21.258,171978.561
32,1521561600000,21.258,21.8,21.0,21.227,179957.759
33,1521565200000,21.227,21.6,21.0,21.49,70908.025
34,1521568800000,21.48,21.589,21.002,21.078,55902.356
35,1521572400000,21.08,21.55,21.001,21.187,80288.431
36,1521576000000,21.188,21.419,20.65,21.199,86148.23
37,1521579600000,21.199,21.2,20.922,20.952,38339.753
38,1521583200000,20.953,20.999,20.075,20.393,59003.354
39,1521586800000,20.378,20.478,19.5,20.386,120567.863
40,1521590400000,20.386,20.8,20.06,20.425,96675.957
41,1521594000000,20.424,20.63,20.22,20.492,68741.185
42,1521597600000,20.492,20.684,20.333,20.425,58753.809
43,1521601200000,20.427,20.888,20.35,20.766,94705.94
44,1521604800000,20.757,20.9,20.454,20.555,103286.631
45,1521608400000,20.555,21.0,20.41,20.764,77401.388
46,1521612000000,20.764,20.844,20.501,20.606,62872.5
47,1521615600000,20.612,20.7,19.861,20.094,84760.728
48,1521619200000,20.1,20.3,19.88,20.047,58505.792
49,1521622800000,20.069,20.458,20.038,20.332,53231.526
50,1521626400000,20.345,20.407,20.169,20.274,41324.722
51,1521630000000,20.268,20.549,20.129,20.361,59248.492
52,1521633600000,20.364,20.499,20.0,20.216,93466.962
53,1521637200000,20.216,20.43,20.111,20.182,41089.757
54,1521640800000,20.181,20.42,20.1,20.148,62386.328
55,1521644400000,20.148,20.4,20.099,20.099,71310.409
56,1521648000000,20.094,20.12,19.32,19.346,105019.369
57,1521651600000,19.327,19.541,18.727,19.071,103913.65
58,1521655200000,19.071,19.248,18.874,19.053,48502.079
59,1521658800000,19.051,19.811,19.046,19.34,56155.205
60,1521662400000,19.317,19.45,19.202,19.363,54393.865
61,1521666000000,19.363,19.449,19.254,19.328,26266.542
62,1521669600000,19.351,19.351,18.65,18.65,50646.503
63,1521673200000,18.652,19.63,18.5,19.593,87742.241
64,1521676800000,19.593,19.99,19.37,19.829,93915.072
65,1521680400000,19.829,19.99,19.618,19.899,53329.842
66,1521684000000,19.899,20.177,19.86,19.9,38347.362
67,1521687600000,19.897,19.92,19.46,19.553,38803.711
68,1521691200000,19.554,19.586,19.3,19.5,47434.16
69,1521694800000,19.501,19.607,19.315,19.369,41452.525
70,1521698400000,19.368,19.53,19.332,19.36,24481.02
71,1521702000000,19.36,19.425,19.083,19.246,38152.512
72,1521705600000,19.245,19.4,19.245,19.374,25633.199
73,1521709200000,19.363,19.54,18.61,18.75,109872.307
