,ts,open,high,low,close,volume
0,1510117200000,0.1,0.15,0.085,0.08989,1199686.93
1,1510120800000,0.08603,0.08603,0.076,0.08107,640174.58
2,1510124400000,0.07701,0.07997,0.07652,0.07652,123635.82
3,1510128000000,0.07652,0.07652,0.071,0.07553,132256.74
4,1510131600000,0.07777,0.07777,0.07203,0.07203,7967.2
5,1510135200000,0.07204,0.0731,0.07204,0.073,139555.59
6,1510138800000,0.073,0.073,0.07,0.07199,229750.64
7,1510142400000,0.07199,0.075,0.07108,0.075,46637.3
8,1510146000000,0.075,0.07746,0.07203,0.0721,49093.66
9,1510149600000,0.07403,0.07745,0.07,0.07003,161329.01
10,1510153200000,0.0701,0.07103,0.068,0.068,49501.28
11,1510156800000,0.068,0.07,0.06651,0.06651,11439.0
12,1510160400000,0.06656,0.06656,0.0625,0.0625,128129.82
13,1510164000000,0.06252,0.07019,0.06251,0.07019,170896.0
14,1510167600000,0.06996,0.07081,0.06996,0.07081,24568.97
15,1510171200000,0.07081,0.075,0.07036,0.07036,51055.83
16,1510174800000,0.07108,0.07108,0.06278,0.06585,8181.03
17,1510178400000,0.07107,0.07109,0.07107,0.07109,10740.19
18,1510182000000,0.07114,0.07499,0.06903,0.07149,188430.64
19,1510185600000,0.07149,0.0715,0.06901,0.07,150722.26
20,1510189200000,0.07499,0.07499,0.069,0.069,38963.7
21,1510192800000,0.069,0.07498,0.069,0.07109,57744.34
22,1510196400000,0.07109,0.07359,0.069,0.069,209466.55
23,1510200000000,0.069,0.069,0.068,0.068,96025.36
24,1510203600000,0.06721,0.0712,0.06721,0.069,14971.37
25,1510207200000,0.06801,0.07889,0.068,0.076,226303.03
26,1510210800000,0.07285,0.07305,0.07,0.07204,110432.54
27,1510214400000,0.07204,0.07204,0.06899,0.069,138428.54
28,1510218000000,0.069,0.069,0.0661,0.0661,40651.01
29,1510221600000,0.06612,0.06838,0.06612,0.06838,1857.14
30,1510225200000,0.06838,0.07169,0.06611,0.07167,73860.33
31,1510228800000,0.0701,0.07168,0.06709,0.06709,38153.43
32,1510232400000,0.06709,0.0671,0.0666,0.0666,41357.98
33,1510236000000,0.06998,0.06998,0.067,0.06889,101801.64
34,1510239600000,0.06692,0.0778,0.06611,0.0667,287710.83
35,1510243200000,0.06623,0.0719,0.0661,0.06964,162551.29
36,1510246800000,0.07092,0.0722,0.07092,0.07131,84070.6
37,1510250400000,0.07131,0.07399,0.06964,0.06964,8282.13
38,1510254000000,0.06964,0.06964,0.06964,0.06964,29291.88
39,1510257600000,0.07,0.07,0.066,0.06616,54139.75
40,1510261200000,0.0664,0.0664,0.0664,0.0664,1918.86
41,1510264800000,0.07299,0.074,0.07111,0.07111,58061.52
42,1510268400000,0.07427,0.0745,0.07161,0.0745,13256.61
43,1510272000000,0.07111,0.07111,0.06995,0.07111,4913.68
44,1510275600000,0.07109,0.0711,0.07011,0.07011,26613.83
45,1510279200000,0.07397,0.07397,0.071,0.0725,6675.0
46,1510282800000,0.0725,0.0735,0.0725,0.0735,22588.74
47,1510286400000,0.07389,0.0739,0.07389,0.07389,17721.59
48,1510290000000,0.0738,0.0738,0.07032,0.07342,43329.27
49,1510293600000,0.07341,0.07341,0.06801,0.07013,71237.29
50,1510297200000,0.07013,0.07013,0.06801,0.06999,71924.22
