,ts,open,high,low,close,volume
0,1510117200000,2.997e-05,3.4e-05,2.149e-05,2.2e-05,1655346.0
1,1510120800000,2.226e-05,2.226e-05,1.931e-05,2.01e-05,1729204.0
2,1510124400000,2.009e-05,2.048e-05,1.961e-05,2.01e-05,1365875.0
3,1510128000000,2.01e-05,2.019e-05,1.917e-05,1.987e-05,1911563.0
4,1510131600000,1.988e-05,1.988e-05,1.915e-05,1.945e-05,972533.0
5,1510135200000,1.949e-05,1.957e-05,1.85e-05,1.876e-05,1138701.0
6,1510138800000,1.878e-05,1.902e-05,1.766e-05,1.793e-05,821332.0
7,1510142400000,1.797e-05,1.83e-05,1.731e-05,1.797e-05,752654.0
8,1510146000000,1.826e-05,1.962e-05,1.799e-05,1.836e-05,851956.0
9,1510149600000,1.836e-05,1.858e-05,1.76e-05,1.781e-05,1490988.0
10,1510153200000,1.763e-05,1.795e-05,1.7e-05,1.734e-05,1719113.0
11,1510156800000,1.727e-05,1.769e-05,1.71e-05,1.736e-05,1017337.0
12,1510160400000,1.735e-05,1.753e-05,1.557e-05,1.644e-05,1234733.0
13,1510164000000,1.604e-05,1.97e-05,1.603e-05,1.781e-05,1341321.0
14,1510167600000,1.782e-05,1.942e-05,1.761e-05,1.922e-05,605658.0
15,1510171200000,1.897e-05,1.984e-05,1.85e-05,1.885e-05,1115958.0
16,1510174800000,1.885e-05,1.947e-05,1.809e-05,1.904e-05,742928.0
17,1510178400000,1.907e-05,1.984e-05,1.843e-05,1.912e-05,852245.0
18,1510182000000,1.912e-05,1.912e-05,1.863e-05,1.887e-05,753108.0
19,1510185600000,1.88e-05,1.918e-05,1.843e-05,1.9e-05,1135447.0
20,1510189200000,1.9e-05,1.918e-05,1.843e-05,1.88e-05,797787.0
21,1510192800000,1.881e-05,1.915e-05,1.86e-05,1.91e-05,992281.0
22,1510196400000,1.91e-05,1.911e-05,1.836e-05,1.862e-05,1161284.0
23,1510200000000,1.862e-05,1.899e-05,1.855e-05,1.861e-05,466341.0
24,1510203600000,1.875e-05,1.897e-05,1.862e-05,1.877e-05,1248064.0
25,1510207200000,1.877e-05,2.073e-05,1.876e-05,1.988e-05,2025593.0
26,1510210800000,2.008e-05,2.048e-05,1.89e-05,1.941e-05,1605996.0
27,1510214400000,1.958e-05,1.964e-05,1.909e-05,1.932e-05,1374090.0
28,1510218000000,1.932e-05,1.959e-05,1.878e-05,1.899e-05,1538303.0
29,1510221600000,1.9e-05,1.952e-05,1.883e-05,1.89e-05,670459.0
30,1510225200000,1.896e-05,1.962e-05,1.895e-05,1.957e-05,609297.0
31,1510228800000,1.946e-05,1.997e-05,1.91e-05,1.917e-05,937935.0
32,1510232400000,1.917e-05,1.998e-05,1.909e-05,1.986e-05,716933.0
33,1510236000000,1.984e-05,2.1e-05,1.95e-05,2.001e-05,1372726.0
34,1510239600000,2.015e-05,2.067e-05,1.967e-05,1.97e-05,999682.0
35,1510243200000,1.97e-05,2.1e-05,1.95e-05,2.088e-05,1447947.0
36,1510246800000,2.073e-05,2.15e-05,2.069e-05,2.101e-05,743274.0
37,1510250400000,2.092e-05,2.127e-05,1.935e-05,1.998e-05,1333878.0
38,1510254000000,1.998e-05,2.121e-05,1.971e-05,2.051e-05,705369.0
39,1510257600000,2.052e-05,2.073e-05,1.933e-05,2.013e-05,1060333.0
40,1510261200000,2.012e-05,2.029e-05,1.924e-05,1.982e-05,968961.0
41,1510264800000,1.984e-05,2.07e-05,1.982e-05,2.051e-05,591369.0
42,1510268400000,2.058e-05,2.09e-05,2.021e-05,2.05e-05,459203.0
43,1510272000000,2.04e-05,2.077e-05,1.961e-05,1.984e-05,759150.0
44,1510275600000,1.984e-05,1.984e-05,1.939e-05,1.967e-05,877564.0
45,1510279200000,1.953e-05,1.983e-05,1.944e-05,1.952e-05,1190644.0
46,1510282800000,1.952e-05,1.983e-05,1.948e-05,1.974e-05,609594.0
47,1510286400000,1.976e-05,1.977e-05,1.943e-05,1.968e-05,1567979.0
48,1510290000000,1.945e-05,1.969e-05,1.886e-05,1.91e-05,769980.0
49,1510293600000,1.903e-05,1.962e-05,1.85e-05,1.894e-05,1204060.0
50,1510297200000,1.901e-05,1.902e-05,1.789e-05,1.879e-05,1840998.0
51,1510300800000,1.872e-05,1.915e-05,1.849e-05,1.9e-05,758590.0
52,1510304400000,1.9e-05,1.907e-05,1.832e-05,1.876e-05,1033762.0
53,1510308000000,1.877e-05,1.949e-05,1.857e-05,1.916e-05,1004898.0
54,1510311600000,1.934e-05,1.949e-05,1.836e-05,1.876e-05,1162630.0
55,1510315200000,1.856e-05,1.903e-05,1.819e-05,1.82e-05,1068337.0
56,1510318800000,1.825e-05,1.889e-05,1.818e-05,1.854e-05,454697.0
57,1510322400000,1.854e-05,1.886e-05,1.829e-05,1.867e-05,1352125.0
58,1510326000000,1.866e-05,1.884e-05,1.829e-05,1.832e-05,594873.0
59,1510329600000,1.833e-05,1.878e-05,1.813e-05,1.833e-05,1127698.0
60,1510333200000,1.834e-05,1.858e-05,1.81e-05,1.811e-05,750839.0
61,1510336800000,1.812e-05,1.856e-05,1.792e-05,1.799e-05,670647.0
62,1510340400000,1.798e-05,1.986e-05,1.743e-05,1.972e-05,924443.0
63,1510344000000,1.982e-05,2e-05,1.826e-05,1.864e-05,683150.0
64,1510347600000,1.89e-05,1.92e-05,1.817e-05,1.817e-05,125604.0
65,1510351200000,1.842e-05,1.887e-05,1.776e-05,1.855e-05,173257.0
66,1510354800000,1.855e-05,1.886e-05,1.795e-05,1.825e-05,292981.0
67,1510358400000,1.824e-05,1.878e-05,1.803e-05,1.816e-05,423355.0
68,1510362000000,1.816e-05,1.877e-05,1.801e-05,1.831e-05,872978.0
69,1510365600000,1.872e-05,1.968e-05,1.831e-05,1.94e-05,752234.0
70,1510369200000,1.94e-05,1.945e-05,1.872e-05,1.876e-05,365052.0
71,1510372800000,1.876e-05,1.912e-05,1.876e-05,1.883e-05,386484.0
72,1510376400000,1.885e-05,1.914e-05,1.881e-05,1.912e-05,1120941.0
73,1510380000000,1.912e-05,1.913e-05,1.865e-05,1.877e-05,658639.0
74,1510383600000,1.877e-05,1.892e-05,1.865e-05,1.875e-05,892053.0
75,1510387200000,1.868e-05,1.891e-05,1.862e-05,1.89e-05,659749.0
76,1510390800000,1.89e-05,1.923e-05,1.872e-05,1.9e-05,740689.0
77,1510394400000,1.899e-05,2e-05,1.887e-05,1.991e-05,646937.0
78,1510398000000,1.991e-05,2.006e-05,1.954e-05,1.982e-05,737383.0
79,1510401600000,1.982e-05,2.051e-05,1.961e-05,1.987e-05,1037527.0
80,1510405200000,1.987e-05,2.027e-05,1.947e-05,1.948e-05,735568.0
81,1510408800000,1.953e-05,2.074e-05,1.93e-05,1.989e-05,965933.0
82,1510412400000,1.982e-05,2.04e-05,1.981e-05,2.005e-05,574504.0
83,1510416000000,2.008e-05,2.032e-05,1.985e-05,2.025e-05,629472.0
84,1510419600000,2.031e-05,2.047e-05,1.95e-05,1.995e-05,711458.0
85,1510423200000,1.979e-05,2.044e-05,1.979e-05,2.017e-05,632669.0
86,1510426800000,2.021e-05,2.044e-05,2.001e-05,2.002e-05,612321.0
87,1510430400000,2.001e-05,2.036e-05,2.001e-05,2.021e-05,694840.0
88,1510434000000,2.034e-05,2.035e-05,1.971e-05,2.018e-05,1281658.0
89,1510437600000,2.018e-05,2.033e-05,1.974e-05,2.02e-05,295958.0
90,1510441200000,2.01e-05,2.02e-05,1.971e-05,1.99e-05,232982.0
91,1510444800000,1.972e-05,2.007e-05,1.97e-05,2.006e-05,292149.0
92,1510448400000,2.007e-05,2.01e-05,1.939e-05,1.966e-05,695289.0
93,1510452000000,1.942e-05,1.973e-05,1.872e-05,1.9e-05,876051.0
94,1510455600000,1.901e-05,1.927e-05,1.783e-05,1.84e-05,1079419.0
95,1510459200000,1.832e-05,1.931e-05,1.829e-05,1.857e-05,487870.0
96,1510462800000,1.857e-05,1.899e-05,1.798e-05,1.821e-05,1489272.0
97,1510466400000,1.835e-05,1.85e-05,1.632e-05,1.66e-05,959944.0
98,1510470000000,1.659e-05,1.865e-05,1.625e-05,1.843e-05,992061.0
99,1510473600000,1.865e-05,1.961e-05,1.703e-05,1.808e-05,778893.0
100,1510477200000,1.794e-05,1.847e-05,1.731e-05,1.845e-05,837257.0
101,1510480800000,1.845e-05,1.846e-05,1.705e-05,1.766e-05,1052710.0
102,1510484400000,1.767e-05,1.815e-05,1.681e-05,1.681e-05,807292.0
103,1510488000000,1.722e-05,1.916e-05,1.681e-05,1.794e-05,749561.0
104,1510491600000,1.787e-05,1.924e-05,1.739e-05,1.799e-05,947099.0
105,1510495200000,1.791e-05,1.801e-05,1.7e-05,1.782e-05,620966.0
106,1510498800000,1.763e-05,1.798e-05,1.725e-05,1.792e-05,766130.0
107,1510502400000,1.772e-05,1.821e-05,1.754e-05,1.807e-05,378767.0
108,1510506000000,1.808e-05,1.845e-05,1.769e-05,1.81e-05,640293.0
109,1510509600000,1.811e-05,1.839e-05,1.8e-05,1.804e-05,513614.0
110,1510513200000,1.804e-05,1.845e-05,1.773e-05,1.845e-05,377440.0
111,1510516800000,1.829e-05,1.899e-05,1.81e-05,1.899e-05,464735.0
112,1510520400000,1.862e-05,1.9e-05,1.82e-05,1.863e-05,308593.0
113,1510524000000,1.898e-05,1.899e-05,1.765e-05,1.814e-05,767729.0
114,1510527600000,1.814e-05,1.897e-05,1.783e-05,1.862e-05,606429.0
115,1510531200000,1.845e-05,1.918e-05,1.803e-05,1.803e-05,515860.0
116,1510534800000,1.843e-05,1.853e-05,1.784e-05,1.837e-05,506988.0
117,1510538400000,1.837e-05,1.838e-05,1.81e-05,1.814e-05,626421.0
118,1510542000000,1.814e-05,1.829e-05,1.742e-05,1.805e-05,507733.0
119,1510545600000,1.805e-05,1.848e-05,1.782e-05,1.831e-05,646010.0
120,1510549200000,1.833e-05,1.88e-05,1.812e-05,1.871e-05,876140.0
121,1510552800000,1.863e-05,1.88e-05,1.841e-05,1.857e-05,587552.0
122,1510556400000,1.87e-05,1.881e-05,1.85e-05,1.866e-05,895135.0
123,1510560000000,1.867e-05,1.879e-05,1.831e-05,1.842e-05,1128462.0
124,1510563600000,1.842e-05,1.897e-05,1.8e-05,1.856e-05,1005843.0
125,1510567200000,1.889e-05,1.889e-05,1.81e-05,1.856e-05,350420.0
126,1510570800000,1.835e-05,1.878e-05,1.81e-05,1.835e-05,790070.0
127,1510574400000,1.836e-05,1.836e-05,1.801e-05,1.804e-05,660518.0
128,1510578000000,1.802e-05,1.805e-05,1.726e-05,1.778e-05,865388.0
129,1510581600000,1.776e-05,1.831e-05,1.754e-05,1.781e-05,528393.0
130,1510585200000,1.816e-05,1.816e-05,1.767e-05,1.779e-05,617539.0
131,1510588800000,1.807e-05,1.808e-05,1.759e-05,1.76e-05,810187.0
132,1510592400000,1.76e-05,1.834e-05,1.759e-05,1.83e-05,721765.0
133,1510596000000,1.831e-05,1.831e-05,1.763e-05,1.772e-05,629450.0
134,1510599600000,1.783e-05,1.802e-05,1.764e-05,1.783e-05,558194.0
135,1510603200000,1.775e-05,1.801e-05,1.755e-05,1.801e-05,518154.0
136,1510606800000,1.778e-05,1.839e-05,1.777e-05,1.832e-05,803078.0
137,1510610400000,1.832e-05,1.839e-05,1.79e-05,1.836e-05,373310.0
138,1510614000000,1.836e-05,1.839e-05,1.826e-05,1.832e-05,274184.0
139,1510617600000,1.835e-05,1.871e-05,1.737e-05,1.758e-05,667837.0
140,1510621200000,1.758e-05,1.8e-05,1.724e-05,1.731e-05,302155.0
141,1510624800000,1.742e-05,1.774e-05,1.729e-05,1.758e-05,238213.0
142,1510628400000,1.764e-05,1.9e-05,1.734e-05,1.827e-05,1402245.0
143,1510632000000,1.828e-05,1.9e-05,1.817e-05,1.888e-05,669333.0
144,1510635600000,1.896e-05,2.028e-05,1.842e-05,2.014e-05,1012860.0
145,1510639200000,2.015e-05,2.019e-05,1.922e-05,1.974e-05,666707.0
146,1510642800000,1.969e-05,2.016e-05,1.937e-05,1.989e-05,972555.0
147,1510646400000,1.967e-05,1.998e-05,1.92e-05,1.935e-05,1021214.0
148,1510650000000,1.935e-05,1.935e-05,1.876e-05,1.879e-05,967967.0
149,1510653600000,1.879e-05,2.107e-05,1.876e-05,1.978e-05,778209.0
150,1510657200000,1.957e-05,1.98e-05,1.895e-05,1.954e-05,722361.0
151,1510660800000,1.954e-05,1.994e-05,1.901e-05,1.962e-05,833225.0
152,1510664400000,1.996e-05,1.996e-05,1.889e-05,1.956e-05,651328.0
153,1510668000000,1.972e-05,2.055e-05,1.95e-05,1.997e-05,1085115.0
154,1510671600000,1.996e-05,2.049e-05,1.945e-05,2.043e-05,1081104.0
155,1510675200000,2.043e-05,2.043e-05,1.95e-05,1.999e-05,1473398.0
156,1510678800000,1.995e-05,2.024e-05,1.982e-05,2.013e-05,807046.0
157,1510682400000,2.014e-05,2.099e-05,1.974e-05,2.071e-05,1110443.0
158,1510686000000,2.071e-05,2.106e-05,2.003e-05,2.093e-05,806701.0
159,1510689600000,2.095e-05,2.117e-05,2.06e-05,2.083e-05,499050.0
160,1510693200000,2.082e-05,2.087e-05,2.046e-05,2.05e-05,851031.0
