,ts,open,high,low,close,volume
0,1510225200000,0.7,0.99,0.7,0.7,74913.14
1,1510228800000,0.7,0.7171,0.6,0.69999,53941.2
2,1510232400000,0.67828,0.67828,0.62501,0.63855,1610.46
3,1510236000000,0.669,0.674,0.63,0.63002,14964.08
4,1510239600000,0.63002,0.674,0.625,0.625,5490.32
5,1510243200000,0.67396,0.78994,0.67394,0.75398,49485.57
6,1510246800000,0.75485,0.86856,0.74384,0.82,32084.68
7,1510250400000,0.8601,0.8601,0.71682,0.809,10605.61
8,1510254000000,0.809,0.94999,0.789,0.94999,15810.61
9,1510257600000,0.94999,0.95,0.82001,0.87001,16934.87
10,1510261200000,0.92969,0.95,0.89224,0.89224,11113.2
11,1510264800000,0.89224,0.93985,0.86235,0.8628,11159.69
12,1510268400000,0.86492,0.88998,0.85147,0.88998,4063.4
13,1510272000000,0.88998,0.93885,0.88998,0.938,348.15
14,1510275600000,0.89,0.9,0.87069,0.9,2049.19
15,1510279200000,0.93798,0.94999,0.89684,0.90003,13457.98
16,1510282800000,0.90132,0.91124,0.825,0.83349,15166.0
17,1510286400000,0.86899,0.8711,0.83743,0.8711,14161.44
18,1510290000000,0.8711,0.876,0.84615,0.876,10208.19
19,1510293600000,0.84711,0.87585,0.73,0.73001,15628.74
20,1510297200000,0.73003,0.82,0.73,0.82,3500.62
21,1510300800000,0.82,0.85,0.75093,0.75093,8382.03
22,1510304400000,0.76,0.83899,0.73001,0.73001,7257.32
23,1510308000000,0.741,0.83727,0.741,0.77002,1580.27
24,1510311600000,0.83489,0.83489,0.83488,0.83488,1437.53
25,1510315200000,0.78901,0.83994,0.78901,0.83994,1684.73
26,1510318800000,0.80001,0.83992,0.80001,0.82,1201.22
27,1510322400000,0.82,0.82,0.82,0.82,717.83
28,1510326000000,0.82,0.83994,0.81999,0.83,2414.12
29,1510329600000,0.83,0.84999,0.8,0.84999,3737.06
30,1510333200000,0.84999,0.93877,0.84999,0.93877,2112.14
