,ts,open,high,low,close,volume
0,1510225200000,0.002682,0.0055,0.002682,0.00445,134954.0
1,1510228800000,0.00445,0.0045888,0.0039333,0.004199,139114.0
2,1510232400000,0.004199,0.0043798,0.0040201,0.0043781,67642.0
3,1510236000000,0.0043781,0.0043781,0.004,0.00436,78928.0
4,1510239600000,0.0043598,0.0043598,0.0040851,0.0042166,47759.0
5,1510243200000,0.0042165,0.0049989,0.0041512,0.00459,148981.0
6,1510246800000,0.0045998,0.0052,0.0045124,0.005195,151571.0
7,1510250400000,0.0050501,0.00522,0.004517,0.00522,164779.0
8,1510254000000,0.00522,0.005998,0.00517,0.00565,141593.0
9,1510257600000,0.00565,0.0059,0.0053273,0.0057,101318.0
10,1510261200000,0.0057,0.006,0.0054421,0.00555,92658.0
11,1510264800000,0.00557,0.005778,0.0053,0.0054249,88677.0
12,1510268400000,0.00535,0.0055998,0.0053,0.005588,88111.0
13,1510272000000,0.0055879,0.0058762,0.005441,0.00583,56774.0
14,1510275600000,0.00583,0.005845,0.005439,0.0057358,169426.0
15,1510279200000,0.005735,0.00578,0.005643,0.0057199,124364.0
16,1510282800000,0.0057197,0.0057199,0.005001,0.0054299,114286.0
17,1510286400000,0.0054,0.0054,0.0051502,0.0052865,43181.0
18,1510290000000,0.0052844,0.0053,0.00516,0.0051651,26170.0
19,1510293600000,0.0051815,0.0051815,0.0042515,0.0044004,145432.0
20,1510297200000,0.004566,0.00502,0.0044651,0.00496,65577.0
21,1510300800000,0.00497,0.0050888,0.004675,0.00484,46909.0
22,1510304400000,0.00484,0.004849,0.0043126,0.00446,51059.0
23,1510308000000,0.0044701,0.0047779,0.00447,0.004681,35284.0
24,1510311600000,0.004682,0.0047469,0.00454,0.004651,29655.0
25,1510315200000,0.004681,0.0047401,0.0046,0.00468,24646.0
26,1510318800000,0.004675,0.0048843,0.0046501,0.0048,28673.0
27,1510322400000,0.00483,0.00485,0.0047031,0.00475,42202.0
28,1510326000000,0.00475,0.0049498,0.0047101,0.004929,21589.0
29,1510329600000,0.0049175,0.00517,0.0047921,0.0051,40951.0
30,1510333200000,0.0050986,0.0053,0.0049251,0.005246,54718.0
31,1510336800000,0.005246,0.005246,0.00444,0.0047211,92064.0
32,1510340400000,0.0047156,0.0047201,0.0044,0.0046155,24560.0
33,1510344000000,0.0045102,0.0046695,0.00435,0.004476,26747.0
