,ts,open,high,low,close,volume
0,1509069600000,5.6e-06,5.6e-05,5.6e-06,8.44e-06,369959.0
1,1509073200000,8.49e-06,8.5e-06,5.01e-06,7e-06,6561067.0
2,1509076800000,7e-06,7.88e-06,6.81e-06,7.5e-06,3142344.0
3,1509080400000,7.5e-06,8.89e-06,7.33e-06,8.6e-06,3189388.0
4,1509084000000,8.5e-06,9.79e-06,8.22e-06,9.48e-06,3478225.0
5,1509087600000,9.48e-06,9.59e-06,8.35e-06,9e-06,2972345.0
6,1509091200000,9e-06,9.09e-06,8.5e-06,8.5e-06,1227613.0
7,1509094800000,8.5e-06,8.78e-06,8.36e-06,8.55e-06,269013.0
8,1509098400000,8.55e-06,8.67e-06,8.09e-06,8.5e-06,696946.0
9,1509102000000,8.49e-06,9.1e-06,8.44e-06,8.79e-06,1117494.0
10,1509105600000,8.82e-06,9.09e-06,8.59e-06,8.79e-06,706614.0
11,1509109200000,8.89e-06,8.95e-06,8.35e-06,8.6e-06,707232.0
12,1509112800000,8.6e-06,8.77e-06,8.2e-06,8.5e-06,972899.0
13,1509116400000,8.54e-06,8.75e-06,8.21e-06,8.3e-06,777269.0
14,1509120000000,8.31e-06,8.52e-06,8.21e-06,8.51e-06,553927.0
15,1509123600000,8.51e-06,8.53e-06,8.38e-06,8.5e-06,147978.0
16,1509127200000,8.5e-06,8.67e-06,8.39e-06,8.67e-06,293292.0
17,1509130800000,8.67e-06,8.67e-06,8.26e-06,8.55e-06,300695.0
18,1509134400000,8.44e-06,8.68e-06,8.3e-06,8.68e-06,580740.0
19,1509138000000,8.69e-06,8.74e-06,8.45e-06,8.53e-06,331238.0
20,1509141600000,8.47e-06,8.7e-06,8.45e-06,8.6e-06,260770.0
21,1509145200000,8.63e-06,8.72e-06,8.46e-06,8.46e-06,465991.0
22,1509148800000,8.48e-06,8.61e-06,8.46e-06,8.46e-06,65470.0
23,1509152400000,8.46e-06,8.75e-06,8.46e-06,8.75e-06,269879.0
24,1509156000000,8.75e-06,8.75e-06,8.6e-06,8.74e-06,319055.0
25,1509159600000,8.73e-06,8.93e-06,8.65e-06,8.91e-06,201798.0
26,1509163200000,8.83e-06,8.93e-06,8.8e-06,8.82e-06,678997.0
27,1509166800000,8.93e-06,8.94e-06,8.62e-06,8.62e-06,552202.0
28,1509170400000,8.64e-06,8.89e-06,8.61e-06,8.61e-06,120101.0
29,1509174000000,8.6e-06,8.74e-06,8.46e-06,8.51e-06,210604.0
30,1509177600000,8.52e-06,8.86e-06,8.5e-06,8.5e-06,115808.0
31,1509181200000,8.52e-06,8.63e-06,8.51e-06,8.63e-06,102634.0
32,1509184800000,8.62e-06,8.65e-06,8.5e-06,8.65e-06,165503.0
33,1509188400000,8.66e-06,8.7e-06,8.5e-06,8.53e-06,199187.0
34,1509192000000,8.53e-06,8.63e-06,8.42e-06,8.63e-06,208348.0
35,1509195600000,8.61e-06,8.7e-06,8.41e-06,8.56e-06,170311.0
36,1509199200000,8.47e-06,8.47e-06,8.4e-06,8.4e-06,289240.0
37,1509202800000,8.4e-06,8.49e-06,8.35e-06,8.49e-06,175310.0
38,1509206400000,8.48e-06,8.5e-06,8.24e-06,8.24e-06,267762.0
39,1509210000000,8.25e-06,8.31e-06,8.09e-06,8.29e-06,769487.0
40,1509213600000,8.13e-06,8.31e-06,8.08e-06,8.17e-06,100853.0
41,1509217200000,8.2e-06,8.29e-06,8.04e-06,8.04e-06,190117.0
42,1509220800000,8.06e-06,8.15e-06,7.84e-06,7.86e-06,563729.0
43,1509224400000,7.79e-06,7.87e-06,7.7e-06,7.84e-06,138662.0
44,1509228000000,8.21e-06,8.26e-06,7.98e-06,7.98e-06,106748.0
45,1509231600000,7.98e-06,8e-06,7.82e-06,7.82e-06,290668.0
46,1509235200000,8e-06,8.49e-06,7.8e-06,8.45e-06,528554.0
47,1509238800000,8.45e-06,8.45e-06,8.12e-06,8.2e-06,286312.0
48,1509242400000,8.21e-06,8.42e-06,7.81e-06,8.1e-06,576434.0
49,1509246000000,8.24e-06,8.5e-06,8.07e-06,8.07e-06,426238.0
50,1509249600000,8.1e-06,8.43e-06,7.98e-06,8.43e-06,370912.0
51,1509253200000,8.43e-06,8.43e-06,8.14e-06,8.2e-06,308065.0
52,1509256800000,8.11e-06,8.91e-06,8.11e-06,8.26e-06,380355.0
53,1509260400000,8.27e-06,8.3e-06,8.09e-06,8.09e-06,144479.0
54,1509264000000,8.17e-06,8.37e-06,8.09e-06,8.16e-06,73559.0
55,1509267600000,8.16e-06,8.37e-06,7.81e-06,7.99e-06,900827.0
56,1509271200000,8.24e-06,8.24e-06,7.88e-06,7.88e-06,395659.0
57,1509274800000,8.17e-06,8.22e-06,7.87e-06,7.89e-06,268631.0
58,1509278400000,7.9e-06,8.23e-06,7.9e-06,8.01e-06,85190.0
59,1509282000000,8.12e-06,8.33e-06,8.03e-06,8.19e-06,215551.0
60,1509285600000,8.21e-06,8.51e-06,8.13e-06,8.19e-06,131891.0
61,1509289200000,8.17e-06,8.18e-06,8e-06,8.05e-06,319365.0
62,1509292800000,8.05e-06,8.14e-06,7.2e-06,7.6e-06,349101.0
63,1509296400000,7.62e-06,7.62e-06,7.6e-06,7.6e-06,35000.0
64,1509300000000,7.85e-06,7.85e-06,7.42e-06,7.6e-06,224225.0
65,1509303600000,7.65e-06,7.76e-06,7.54e-06,7.54e-06,66293.0
66,1509307200000,7.54e-06,7.54e-06,7.02e-06,7.27e-06,1142057.0
67,1509310800000,7.25e-06,7.39e-06,7.06e-06,7.38e-06,94376.0
68,1509314400000,7.35e-06,7.35e-06,7.05e-06,7.24e-06,126283.0
69,1509318000000,7.24e-06,7.25e-06,7.07e-06,7.11e-06,85305.0
70,1509321600000,7.12e-06,7.36e-06,7.08e-06,7.35e-06,110851.0
71,1509325200000,7.32e-06,7.39e-06,7.09e-06,7.2e-06,78448.0
72,1509328800000,7.23e-06,7.23e-06,7.03e-06,7.22e-06,449195.0
73,1509332400000,7.21e-06,7.21e-06,7.15e-06,7.15e-06,104683.0
74,1509336000000,7.21e-06,7.21e-06,7e-06,7e-06,249212.0
75,1509339600000,7e-06,7.2e-06,7e-06,7.07e-06,340274.0
76,1509343200000,7.15e-06,7.21e-06,7.1e-06,7.21e-06,208354.0
77,1509346800000,7.2e-06,7.21e-06,7.2e-06,7.21e-06,787292.0
78,1509350400000,7.21e-06,7.45e-06,7.09e-06,7.4e-06,269931.0
79,1509354000000,7.4e-06,7.49e-06,7.19e-06,7.3e-06,571968.0
80,1509357600000,7.3e-06,7.9e-06,7.16e-06,7.16e-06,346560.0
81,1509361200000,7.2e-06,7.2e-06,7.16e-06,7.17e-06,54044.0
82,1509364800000,7.43e-06,7.69e-06,7.25e-06,7.25e-06,139638.0
83,1509368400000,7.37e-06,7.37e-06,7.2e-06,7.2e-06,46688.0
84,1509372000000,7.2e-06,7.76e-06,7.16e-06,7.3e-06,745143.0
85,1509375600000,7.45e-06,7.79e-06,7.2e-06,7.39e-06,689859.0
86,1509379200000,7.37e-06,7.49e-06,7.12e-06,7.36e-06,193278.0
87,1509382800000,7.37e-06,7.64e-06,7.09e-06,7.58e-06,195205.0
88,1509386400000,7.17e-06,7.2e-06,7.05e-06,7.2e-06,153698.0
89,1509390000000,7.25e-06,7.35e-06,7.25e-06,7.3e-06,69299.0
90,1509393600000,7.3e-06,7.3e-06,7.07e-06,7.07e-06,237108.0
91,1509397200000,7.23e-06,7.25e-06,7.07e-06,7.25e-06,38038.0
92,1509400800000,7.23e-06,7.24e-06,7.2e-06,7.22e-06,15901.0
93,1509404400000,7.2e-06,7.2e-06,7.09e-06,7.09e-06,85472.0
94,1509408000000,7.11e-06,7.23e-06,7.11e-06,7.14e-06,39111.0
95,1509411600000,7.15e-06,7.27e-06,7.15e-06,7.27e-06,22490.0
96,1509415200000,7.28e-06,7.33e-06,7.15e-06,7.33e-06,166751.0
97,1509418800000,7.33e-06,7.33e-06,7.2e-06,7.2e-06,27315.0
98,1509422400000,7.12e-06,7.21e-06,7.01e-06,7.01e-06,359191.0
99,1509426000000,7.1e-06,7.17e-06,7.07e-06,7.09e-06,132594.0
100,1509429600000,7.11e-06,7.32e-06,7.11e-06,7.12e-06,117488.0
101,1509433200000,7.1e-06,7.1e-06,6.81e-06,6.81e-06,189071.0
102,1509436800000,7.08e-06,7.19e-06,7.04e-06,7.04e-06,18370.0
103,1509440400000,7.1e-06,7.27e-06,7.1e-06,7.27e-06,2133.0
104,1509444000000,7.02e-06,7.15e-06,7e-06,7.15e-06,25261.0
105,1509447600000,7e-06,7.16e-06,6.8e-06,6.8e-06,427212.0
106,1509451200000,6.82e-06,6.95e-06,6.7e-06,6.7e-06,535694.0
107,1509454800000,6.65e-06,6.65e-06,6.13e-06,6.28e-06,943283.0
108,1509458400000,6.5e-06,6.58e-06,6.15e-06,6.15e-06,530661.0
109,1509462000000,6.15e-06,6.34e-06,6.15e-06,6.3e-06,263819.0
110,1509465600000,6.3e-06,6.3e-06,6.15e-06,6.27e-06,76957.0
111,1509469200000,6.27e-06,6.27e-06,6.19e-06,6.27e-06,26630.0
112,1509472800000,6.26e-06,6.29e-06,6.11e-06,6.12e-06,91587.0
113,1509476400000,6.12e-06,6.52e-06,5.76e-06,6.05e-06,864837.0
114,1509480000000,6.49e-06,6.65e-06,5.83e-06,5.83e-06,349762.0
115,1509483600000,5.81e-06,5.9e-06,5.81e-06,5.85e-06,475325.0
116,1509487200000,5.84e-06,6.29e-06,5.83e-06,6.15e-06,211144.0
117,1509490800000,6.15e-06,6.22e-06,6.05e-06,6.05e-06,300441.0
118,1509494400000,6.01e-06,6.58e-06,5.98e-06,6.06e-06,98982.0
119,1509498000000,6.05e-06,6.06e-06,5.84e-06,6e-06,364191.0
120,1509501600000,6.05e-06,6.2e-06,5.87e-06,6e-06,241054.0
121,1509505200000,6e-06,6.2e-06,6e-06,6.06e-06,158404.0
122,1509508800000,6.1e-06,6.29e-06,5.96e-06,5.98e-06,234312.0
123,1509512400000,5.97e-06,6.08e-06,5.86e-06,5.86e-06,183029.0
124,1509516000000,5.96e-06,6.01e-06,5.84e-06,5.9e-06,308786.0
125,1509519600000,5.9e-06,6e-06,5.88e-06,6e-06,64901.0
126,1509523200000,5.99e-06,6e-06,5.89e-06,5.89e-06,90790.0
127,1509526800000,5.89e-06,6e-06,5.78e-06,5.81e-06,348900.0
128,1509530400000,5.82e-06,5.93e-06,5.25e-06,5.5e-06,1343568.0
129,1509534000000,5.51e-06,5.55e-06,5.42e-06,5.42e-06,243468.0
130,1509537600000,5.43e-06,5.45e-06,5.39e-06,5.42e-06,633208.0
131,1509541200000,5.43e-06,6.46e-06,5.42e-06,6.27e-06,1041424.0
132,1509544800000,6.27e-06,6.29e-06,5.91e-06,6e-06,278526.0
133,1509548400000,5.96e-06,5.96e-06,5.47e-06,5.52e-06,401597.0
134,1509552000000,5.5e-06,5.8e-06,5.47e-06,5.47e-06,118046.0
135,1509555600000,5.44e-06,5.69e-06,5.42e-06,5.43e-06,87774.0
136,1509559200000,5.43e-06,5.46e-06,5.42e-06,5.43e-06,43327.0
137,1509562800000,5.44e-06,5.5e-06,5.38e-06,5.49e-06,121595.0
138,1509566400000,5.39e-06,5.49e-06,5.38e-06,5.39e-06,80395.0
139,1509570000000,5.61e-06,5.69e-06,5.48e-06,5.48e-06,228648.0
140,1509573600000,5.48e-06,5.48e-06,5.37e-06,5.37e-06,92437.0
141,1509577200000,5.37e-06,5.4e-06,5.25e-06,5.25e-06,511524.0
142,1509580800000,5.21e-06,5.21e-06,4.74e-06,4.74e-06,755858.0
143,1509584400000,4.93e-06,5.01e-06,4.59e-06,5.01e-06,733202.0
144,1509588000000,5e-06,5e-06,4.64e-06,4.83e-06,243848.0
145,1509591600000,4.83e-06,4.83e-06,4.62e-06,4.62e-06,706305.0
146,1509595200000,4.81e-06,4.82e-06,4.72e-06,4.72e-06,207926.0
147,1509598800000,4.77e-06,4.81e-06,4.75e-06,4.81e-06,79658.0
148,1509602400000,4.81e-06,5.01e-06,4.79e-06,4.79e-06,103448.0
149,1509606000000,4.8e-06,4.98e-06,4.66e-06,4.76e-06,334032.0
150,1509609600000,4.67e-06,4.8e-06,4.51e-06,4.51e-06,856252.0
151,1509613200000,4.51e-06,4.6e-06,4.45e-06,4.56e-06,604269.0
152,1509616800000,4.52e-06,4.54e-06,4.23e-06,4.23e-06,249486.0
153,1509620400000,4.26e-06,4.8e-06,4.23e-06,4.79e-06,242252.0
154,1509624000000,4.64e-06,4.97e-06,4.38e-06,4.38e-06,705447.0
155,1509627600000,4.75e-06,4.75e-06,4.52e-06,4.67e-06,158018.0
156,1509631200000,4.55e-06,4.71e-06,4.55e-06,4.62e-06,120567.0
157,1509634800000,4.62e-06,4.73e-06,4.62e-06,4.7e-06,149902.0
158,1509638400000,4.66e-06,4.81e-06,4.66e-06,4.81e-06,128190.0
159,1509642000000,4.69e-06,4.83e-06,4.69e-06,4.83e-06,222395.0
160,1509645600000,4.83e-06,4.83e-06,4.71e-06,4.71e-06,39802.0
161,1509649200000,4.71e-06,4.83e-06,4.71e-06,4.82e-06,133480.0
162,1509652800000,4.72e-06,4.82e-06,4.71e-06,4.71e-06,296635.0
163,1509656400000,4.75e-06,4.8e-06,4.65e-06,4.8e-06,373275.0
