,ts,open,high,low,close,volume
0,1515736800000,0.9,99.0,0.2,0.4017,47087.89
1,1515740400000,0.376,0.40141,0.20004,0.23403,124151.3
2,1515744000000,0.23104,0.2467,0.163,0.20444,48942.12
3,1515747600000,0.20302,0.22849,0.201,0.2151,24184.62
4,1515751200000,0.214,0.21723,0.1,0.215,37985.04
5,1515754800000,0.21385,0.21542,0.17101,0.19784,16349.39
6,1515758400000,0.19474,0.20489,0.18004,0.18104,13752.02
7,1515762000000,0.18112,0.195,0.16721,0.18067,18683.97
8,1515765600000,0.1744,0.20555,0.1733,0.20499,31550.7
9,1515769200000,0.20499,0.21805,0.178,0.184,21663.51
10,1515772800000,0.18978,0.18978,0.1672,0.1778,13295.53
11,1515776400000,0.1691,0.17779,0.1653,0.16534,20971.42
12,1515780000000,0.16541,0.1746,0.16,0.16559,6987.8
13,1515783600000,0.16559,0.1735,0.16013,0.16908,4000.48
14,1515787200000,0.16908,0.17788,0.16627,0.17073,6093.71
15,1515790800000,0.174,0.1798,0.16425,0.1798,10074.05
16,1515794400000,0.1798,0.18344,0.17045,0.175,6226.99
17,1515798000000,0.175,0.1809,0.16706,0.17116,15087.79
18,1515801600000,0.1692,0.1723,0.16,0.16203,15010.98
19,1515805200000,0.1645,0.18,0.16159,0.17204,19693.02
20,1515808800000,0.17106,0.175,0.16721,0.16723,16404.15
21,1515812400000,0.17,0.17876,0.16751,0.17747,25433.69
22,1515816000000,0.17749,0.19487,0.17457,0.1849,16005.92
23,1515819600000,0.189,0.21454,0.189,0.20512,41053.02
24,1515823200000,0.20512,0.22656,0.1901,0.1901,40054.96
25,1515826800000,0.198,0.20487,0.1905,0.19151,8294.58
26,1515830400000,0.19647,0.19647,0.18686,0.19093,7299.34
27,1515834000000,0.19055,0.19092,0.185,0.185,1278.82
28,1515837600000,0.18498,0.18775,0.18027,0.18187,5442.99
29,1515841200000,0.18205,0.19,0.17305,0.17308,12049.86
30,1515844800000,0.17308,0.1782,0.16731,0.16731,6417.0
31,1515848400000,0.16666,0.17687,0.16666,0.16942,3901.03
32,1515852000000,0.16877,0.17653,0.16679,0.16733,5340.89
33,1515855600000,0.16996,0.17,0.161,0.162,11813.38
34,1515859200000,0.1625,0.1715,0.161,0.16535,5150.56
35,1515862800000,0.16569,0.1705,0.161,0.16782,4114.8
36,1515866400000,0.16782,0.1715,0.16346,0.16622,4002.85
37,1515870000000,0.1666,0.1666,0.156,0.15682,4780.18
38,1515873600000,0.1608,0.1655,0.15724,0.16079,3990.85
39,1515877200000,0.16004,0.16332,0.15987,0.15998,4276.14
40,1515880800000,0.15998,0.16207,0.139,0.16207,7739.19
41,1515884400000,0.16201,0.188,0.15359,0.15433,7454.09
42,1515888000000,0.15439,0.166,0.1451,0.15531,2032.03
43,1515891600000,0.15774,0.16441,0.151,0.1549,3870.27
44,1515895200000,0.1511,0.15798,0.1487,0.15798,6369.07
45,1515898800000,0.15811,0.17,0.15125,0.16473,4580.77
46,1515902400000,0.16999,0.17588,0.15693,0.1612,3795.87
47,1515906000000,0.15751,0.16126,0.14585,0.15121,4929.05
48,1515909600000,0.15232,0.157,0.15123,0.15511,1239.15
49,1515913200000,0.15499,0.165,0.15302,0.16053,3516.06
50,1515916800000,0.16053,0.165,0.1599,0.16201,3012.23
51,1515920400000,0.16237,0.16483,0.15829,0.1626,3243.27
52,1515924000000,0.16257,0.165,0.16,0.16,3388.71
53,1515927600000,0.16,0.16779,0.16,0.16457,2070.58
54,1515931200000,0.16577,0.17,0.165,0.16793,4660.77
55,1515934800000,0.1679,0.17489,0.16166,0.17106,4587.89
56,1515938400000,0.17,0.17577,0.16711,0.17533,2330.44
57,1515942000000,0.17533,0.193,0.17529,0.1807,14578.52
58,1515945600000,0.1807,0.1807,0.17139,0.17455,5014.05
59,1515949200000,0.17476,0.19,0.17141,0.17857,3555.52
60,1515952800000,0.18412,0.185,0.17141,0.185,5328.61
61,1515956400000,0.185,0.19592,0.172,0.17963,7005.04
62,1515960000000,0.18017,0.194,0.172,0.17989,2180.24
63,1515963600000,0.17284,0.17911,0.172,0.172,934.58
64,1515967200000,0.17687,0.18039,0.16712,0.17388,2476.66
65,1515970800000,0.17495,0.1872,0.17301,0.1735,3939.58
66,1515974400000,0.1735,0.1735,0.16166,0.16959,2324.21
67,1515978000000,0.16788,0.1687,0.16168,0.16317,1718.46
68,1515981600000,0.16335,0.16335,0.158,0.161,3125.92
69,1515985200000,0.15942,0.16,0.15293,0.15816,4291.04
70,1515988800000,0.15296,0.15777,0.147,0.15203,2473.07
71,1515992400000,0.15298,0.1633,0.14686,0.1633,3795.61
72,1515996000000,0.16329,0.1633,0.15023,0.15331,9155.28
73,1515999600000,0.1525,0.15339,0.131,0.13135,7416.16
74,1516003200000,0.13999,0.14445,0.13601,0.13821,5954.06
75,1516006800000,0.13867,0.1451,0.133,0.133,921.13
76,1516010400000,0.1352,0.1415,0.13304,0.14009,1169.83
77,1516014000000,0.14009,0.16,0.14009,0.15701,11267.83
78,1516017600000,0.15898,0.16773,0.15801,0.16465,6134.79
79,1516021200000,0.16463,0.17069,0.162,0.16522,3009.26
80,1516024800000,0.1735,0.17499,0.15905,0.15905,4272.8
81,1516028400000,0.15906,0.16584,0.15794,0.15794,1699.13
82,1516032000000,0.15483,0.16547,0.15483,0.16484,476.91
83,1516035600000,0.15859,0.16568,0.15811,0.16568,3253.26
84,1516039200000,0.16584,0.16998,0.16036,0.16288,231.02
85,1516042800000,0.16306,0.16306,0.15918,0.15931,815.09
86,1516046400000,0.16756,0.16756,0.16756,0.16756,1.5
87,1516050000000,0.161,0.17,0.15465,0.15682,1813.87
88,1516053600000,0.16971,0.16971,0.15702,0.15848,595.42
89,1516057200000,0.15857,0.16171,0.153,0.153,1732.92
90,1516060800000,0.15715,0.15715,0.14992,0.15028,3468.53
91,1516064400000,0.15028,0.16171,0.14381,0.15082,5381.55
92,1516068000000,0.15082,0.16066,0.15019,0.15058,741.25
93,1516071600000,0.15059,0.156,0.15051,0.15405,1793.92
94,1516075200000,0.15404,0.15865,0.14504,0.15686,7643.96
95,1516078800000,0.15484,0.15484,0.14484,0.14484,96.87
96,1516082400000,0.15281,0.15309,0.14555,0.15208,561.11
97,1516086000000,0.15185,0.1572,0.14669,0.14959,4212.1
98,1516089600000,0.14959,0.14959,0.13222,0.13762,5444.02
99,1516093200000,0.14625,0.14627,0.12834,0.13695,5199.02
100,1516096800000,0.14359,0.22302,0.13065,0.1603,42233.22
101,1516100400000,0.16071,0.16071,0.14047,0.14534,3078.06
102,1516104000000,0.14534,0.15636,0.14088,0.15194,1530.27
103,1516107600000,0.14429,0.16024,0.13853,0.14983,4470.8
104,1516111200000,0.14992,0.1563,0.14377,0.15187,2445.79
105,1516114800000,0.15641,0.15641,0.14571,0.14601,2287.79
106,1516118400000,0.15144,0.15542,0.15144,0.15541,756.7
107,1516122000000,0.15541,0.15747,0.15161,0.15747,2132.51
108,1516125600000,0.15747,0.16675,0.1502,0.15021,7216.88
109,1516129200000,0.15021,0.15263,0.14601,0.1522,4768.53
110,1516132800000,0.1522,0.1522,0.14781,0.14781,121.96
111,1516136400000,0.14781,0.1559,0.14602,0.15075,4664.85
112,1516140000000,0.15066,0.15588,0.13856,0.13856,1877.9
113,1516143600000,0.14631,0.15299,0.13904,0.15109,2203.78
114,1516147200000,0.15091,0.15091,0.14477,0.14532,1759.83
115,1516150800000,0.14532,0.15422,0.14532,0.15422,4731.01
116,1516154400000,0.15422,0.15597,0.14786,0.15597,2780.5
117,1516158000000,0.1557,0.15587,0.15005,0.15012,1288.35
118,1516161600000,0.15012,0.1531,0.14787,0.14807,369.63
119,1516165200000,0.14807,0.15768,0.14807,0.15581,862.42
120,1516168800000,0.15001,0.15327,0.14637,0.15098,706.0
121,1516172400000,0.15007,0.15098,0.15007,0.15098,556.05
122,1516176000000,0.15496,0.15496,0.14107,0.1449,1534.5
123,1516179600000,0.1449,0.155,0.14422,0.15033,1628.48
124,1516183200000,0.14562,0.15032,0.145,0.14727,2722.22
125,1516186800000,0.14726,0.14766,0.145,0.14626,710.48
126,1516190400000,0.14622,0.14999,0.14409,0.14501,909.51
127,1516194000000,0.14511,0.149,0.14502,0.14899,874.58
128,1516197600000,0.14887,0.14899,0.14195,0.14592,3006.24
129,1516201200000,0.14737,0.14737,0.14007,0.14007,4630.28
130,1516204800000,0.14031,0.14699,0.131,0.13318,13304.92
131,1516208400000,0.13321,0.13991,0.13221,0.13991,2108.38
132,1516212000000,0.13301,0.14589,0.13301,0.1455,1560.15
133,1516215600000,0.1375,0.14317,0.1375,0.1377,1237.08
134,1516219200000,0.14395,0.14395,0.12899,0.13401,3547.32
135,1516222800000,0.13332,0.13758,0.12818,0.13234,3191.16
136,1516226400000,0.13234,0.13777,0.12836,0.13777,4408.19
137,1516230000000,0.14167,0.14376,0.13826,0.13965,3868.53
138,1516233600000,0.14236,0.16532,0.13859,0.15706,12567.67
139,1516237200000,0.15201,0.15984,0.13576,0.14965,3527.78
140,1516240800000,0.13995,0.14488,0.13671,0.14,1430.43
141,1516244400000,0.14381,0.15726,0.14013,0.14567,3629.25
142,1516248000000,0.14026,0.14964,0.14026,0.14964,942.17
143,1516251600000,0.14753,0.1548,0.14753,0.14828,1033.98
144,1516255200000,0.14834,0.15434,0.14795,0.15434,1048.82
145,1516258800000,0.15497,0.1586,0.14915,0.14961,2857.71
146,1516262400000,0.14982,0.14998,0.149,0.1491,1418.01
147,1516266000000,0.1491,0.15737,0.14303,0.15528,1357.57
148,1516269600000,0.15505,0.15528,0.14908,0.14962,1657.95
149,1516273200000,0.15001,0.15228,0.1475,0.14912,1208.3
150,1516276800000,0.14912,0.14912,0.14283,0.1472,1260.36
151,1516280400000,0.14393,0.14393,0.14309,0.14333,36.81
152,1516284000000,0.1479,0.14999,0.14527,0.14527,436.91
153,1516287600000,0.14995,0.157,0.14752,0.157,1884.13
154,1516291200000,0.15699,0.157,0.14355,0.14635,1988.0
155,1516294800000,0.14655,0.157,0.14655,0.157,1320.69
156,1516298400000,0.157,0.1615,0.15166,0.15612,3888.26
157,1516302000000,0.1525,0.159,0.1525,0.159,959.16
158,1516305600000,0.159,0.1615,0.15689,0.1612,1307.98
159,1516309200000,0.16118,0.16118,0.15724,0.15724,1853.31
160,1516312800000,0.15724,0.15724,0.14623,0.15264,3128.37
161,1516316400000,0.14909,0.16006,0.14624,0.147,1234.63
162,1516320000000,0.15112,0.15338,0.14646,0.15338,4375.63
163,1516323600000,0.15651,0.16019,0.14989,0.15164,2386.59
164,1516327200000,0.15651,0.15651,0.14734,0.14826,1385.36
165,1516330800000,0.14826,0.14934,0.14233,0.14332,2816.12
166,1516334400000,0.14707,0.14707,0.14696,0.14696,576.61
167,1516338000000,0.1468,0.1468,0.14518,0.14521,276.59
168,1516341600000,0.14521,0.15127,0.14521,0.14783,1653.07
169,1516345200000,0.15048,0.15199,0.14943,0.15199,720.99
170,1516348800000,0.15047,0.15048,0.14745,0.14745,2139.4
171,1516352400000,0.15048,0.15335,0.14815,0.14815,1008.24
172,1516356000000,0.15325,0.1585,0.15325,0.1585,4653.82
173,1516359600000,0.1585,0.15998,0.15323,0.1533,3187.11
174,1516363200000,0.1533,0.15998,0.1487,0.15171,623.03
175,1516366800000,0.15,0.15748,0.14518,0.15229,3744.0
176,1516370400000,0.151,0.15443,0.1493,0.15082,681.68
177,1516374000000,0.15308,0.15739,0.15154,0.15207,542.11
178,1516377600000,0.1555,0.15713,0.1555,0.15713,50.82
179,1516381200000,0.15677,0.16521,0.15677,0.15794,4764.41
180,1516384800000,0.15819,0.16691,0.15819,0.16691,5120.11
181,1516388400000,0.16694,0.16786,0.16245,0.16662,896.42
182,1516392000000,0.16662,0.17856,0.16431,0.17043,2038.3
183,1516395600000,0.17351,0.18,0.16784,0.16891,1142.37
184,1516399200000,0.16933,0.17657,0.16701,0.17015,3947.49
185,1516402800000,0.171,0.17102,0.16379,0.17012,813.43
186,1516406400000,0.17025,0.17567,0.16805,0.1712,2961.06
187,1516410000000,0.17144,0.185,0.17144,0.18028,4714.65
188,1516413600000,0.18199,0.1921,0.17965,0.18871,1825.7
189,1516417200000,0.19499,0.20704,0.18721,0.19028,4315.45
190,1516420800000,0.1847,0.18988,0.17314,0.17338,1756.01
191,1516424400000,0.17344,0.17748,0.16244,0.17734,2757.11
