,ts,open,high,low,close,volume
0,1518404400000,9.0,9.0,0.02515,0.03005,485391.58
1,1518408000000,0.03002,0.032,0.025,0.0289,411286.79
2,1518411600000,0.02925,0.03044,0.02841,0.0287,212299.18
3,1518415200000,0.0287,0.02909,0.026,0.02909,216120.45
4,1518418800000,0.0265,0.02898,0.02615,0.02689,192738.17
5,1518422400000,0.02695,0.02995,0.02695,0.02924,168273.43
6,1518426000000,0.02924,0.02985,0.028,0.02928,155558.07
7,1518429600000,0.029,0.029,0.02711,0.0275,127774.54
8,1518433200000,0.0275,0.028,0.02692,0.02772,81537.74
9,1518436800000,0.02775,0.02819,0.0273,0.028,124043.22
10,1518440400000,0.02806,0.0281,0.02701,0.0277,60110.46
11,1518444000000,0.02775,0.02787,0.02708,0.02746,81389.51
12,1518447600000,0.02745,0.02796,0.02696,0.02699,121826.2
13,1518451200000,0.0273,0.0273,0.0264,0.02685,111757.26
14,1518454800000,0.02684,0.02747,0.02661,0.02686,60730.19
15,1518458400000,0.02687,0.02729,0.02679,0.02679,73411.24
16,1518462000000,0.0268,0.02727,0.02679,0.02707,131050.28
17,1518465600000,0.02717,0.02799,0.02682,0.02732,65616.05
18,1518469200000,0.02732,0.03084,0.02732,0.02903,331392.17
19,1518472800000,0.02911,0.0307,0.02818,0.02906,188633.62
20,1518476400000,0.02888,0.0302,0.0277,0.02882,204015.4
21,1518480000000,0.02885,0.03023,0.02885,0.03001,273515.84
22,1518483600000,0.03023,0.032,0.02981,0.03144,394976.81
23,1518487200000,0.03144,0.03422,0.03056,0.03197,259459.72
24,1518490800000,0.03202,0.03213,0.02963,0.02993,185269.74
25,1518494400000,0.03013,0.03107,0.0295,0.0295,246913.79
26,1518498000000,0.02945,0.02962,0.0284,0.02903,165723.22
27,1518501600000,0.02913,0.03031,0.0285,0.03031,78171.41
28,1518505200000,0.02985,0.03032,0.02934,0.0295,57758.41
29,1518508800000,0.0295,0.02974,0.0278,0.02803,83759.8
30,1518512400000,0.02803,0.03,0.02763,0.0279,80101.97
31,1518516000000,0.0281,0.0281,0.02716,0.02772,112293.4
32,1518519600000,0.0277,0.02804,0.02733,0.02767,48788.06
33,1518523200000,0.02765,0.0281,0.02721,0.02762,79845.67
34,1518526800000,0.02803,0.02899,0.0276,0.0287,111670.67
35,1518530400000,0.0287,0.03026,0.0287,0.02906,186217.95
36,1518534000000,0.02904,0.02946,0.0278,0.028,176478.39
37,1518537600000,0.02801,0.03025,0.02801,0.02987,152828.65
38,1518541200000,0.02987,0.02988,0.0286,0.02895,82666.85
39,1518544800000,0.02927,0.02937,0.02845,0.02889,87119.28
