,ts,open,high,low,close,volume
0,1518404400000,4.215e-05,4.88e-05,2.81e-05,3.28e-05,15993725.0
1,1518408000000,3.265e-05,3.423e-05,2.988e-05,3.144e-05,10056578.0
2,1518411600000,3.144e-05,3.3e-05,3.05e-05,3.096e-05,4227868.0
3,1518415200000,3.088e-05,3.125e-05,2.77e-05,2.821e-05,4696784.0
4,1518418800000,2.838e-05,3.05e-05,2.804e-05,2.88e-05,4705782.0
5,1518422400000,2.885e-05,3.215e-05,2.88e-05,3.086e-05,5659427.0
6,1518426000000,3.096e-05,3.138e-05,3e-05,3.07e-05,2154415.0
7,1518429600000,3.079e-05,3.086e-05,2.86e-05,2.921e-05,2591026.0
8,1518433200000,2.913e-05,2.99e-05,2.87e-05,2.958e-05,2216268.0
9,1518436800000,2.958e-05,3.02e-05,2.92e-05,3e-05,2017117.0
10,1518440400000,3e-05,3.009e-05,2.9e-05,2.964e-05,1672580.0
11,1518444000000,2.964e-05,2.988e-05,2.9e-05,2.913e-05,1492292.0
12,1518447600000,2.913e-05,2.93e-05,2.875e-05,2.88e-05,1804433.0
13,1518451200000,2.878e-05,2.886e-05,2.807e-05,2.841e-05,1612817.0
14,1518454800000,2.847e-05,2.921e-05,2.821e-05,2.848e-05,2008537.0
15,1518458400000,2.847e-05,2.893e-05,2.822e-05,2.837e-05,1127090.0
16,1518462000000,2.844e-05,2.88e-05,2.82e-05,2.853e-05,1303002.0
17,1518465600000,2.853e-05,2.893e-05,2.84e-05,2.873e-05,791526.0
18,1518469200000,2.881e-05,3.219e-05,2.877e-05,3.073e-05,9609695.0
19,1518472800000,3.073e-05,3.2e-05,3.023e-05,3.023e-05,4035426.0
20,1518476400000,3.022e-05,3.135e-05,2.992e-05,3.04e-05,2710849.0
21,1518480000000,3.04e-05,3.156e-05,3.039e-05,3.148e-05,2286186.0
22,1518483600000,3.148e-05,3.359e-05,3.116e-05,3.279e-05,6136477.0
23,1518487200000,3.289e-05,3.569e-05,3.25e-05,3.36e-05,8504056.0
24,1518490800000,3.36e-05,3.37e-05,3.103e-05,3.159e-05,4374138.0
25,1518494400000,3.164e-05,3.25e-05,3.094e-05,3.094e-05,3371343.0
26,1518498000000,3.094e-05,3.115e-05,3.012e-05,3.077e-05,2411478.0
27,1518501600000,3.077e-05,3.15e-05,3.018e-05,3.147e-05,1860443.0
28,1518505200000,3.148e-05,3.176e-05,3.062e-05,3.09e-05,1929448.0
29,1518508800000,3.092e-05,3.092e-05,2.9e-05,2.928e-05,2201812.0
30,1518512400000,2.927e-05,2.995e-05,2.892e-05,2.921e-05,1801157.0
31,1518516000000,2.94e-05,2.946e-05,2.827e-05,2.887e-05,1461474.0
32,1518519600000,2.893e-05,2.922e-05,2.851e-05,2.878e-05,1146693.0
33,1518523200000,2.877e-05,2.97e-05,2.854e-05,2.95e-05,928470.0
34,1518526800000,2.944e-05,3.08e-05,2.925e-05,3.028e-05,2033140.0
35,1518530400000,3.028e-05,3.183e-05,3.028e-05,3.114e-05,6306447.0
36,1518534000000,3.113e-05,3.114e-05,2.954e-05,2.961e-05,3156381.0
37,1518537600000,2.961e-05,3.149e-05,2.958e-05,3.13e-05,3684363.0
38,1518541200000,3.129e-05,3.14e-05,3.008e-05,3.035e-05,2555973.0
39,1518544800000,3.04e-05,3.092e-05,2.982e-05,3.015e-05,2121129.0
40,1518548400000,3.015e-05,3.07e-05,3.006e-05,3.006e-05,950549.0
41,1518552000000,3.006e-05,3.024e-05,2.95e-05,2.962e-05,918265.0
42,1518555600000,2.961e-05,2.965e-05,2.9e-05,2.94e-05,1446528.0
43,1518559200000,2.932e-05,2.955e-05,2.891e-05,2.904e-05,766204.0
44,1518562800000,2.904e-05,2.962e-05,2.885e-05,2.933e-05,670298.0
45,1518566400000,2.934e-05,2.94e-05,2.88e-05,2.892e-05,611622.0
46,1518570000000,2.892e-05,2.9e-05,2.847e-05,2.857e-05,903385.0
47,1518573600000,2.857e-05,2.974e-05,2.818e-05,2.83e-05,1923638.0
48,1518577200000,2.835e-05,2.868e-05,2.8e-05,2.827e-05,1105860.0
49,1518580800000,2.829e-05,2.882e-05,2.815e-05,2.867e-05,902074.0
50,1518584400000,2.867e-05,2.896e-05,2.854e-05,2.883e-05,806361.0
51,1518588000000,2.883e-05,2.91e-05,2.836e-05,2.851e-05,832936.0
52,1518591600000,2.851e-05,2.86e-05,2.818e-05,2.839e-05,685866.0
53,1518595200000,2.839e-05,2.841e-05,2.8e-05,2.801e-05,642905.0
54,1518598800000,2.809e-05,2.819e-05,2.72e-05,2.734e-05,1090275.0
55,1518602400000,2.738e-05,2.754e-05,2.64e-05,2.694e-05,1078609.0
56,1518606000000,2.696e-05,2.699e-05,2.621e-05,2.649e-05,860416.0
57,1518609600000,2.647e-05,2.655e-05,2.511e-05,2.572e-05,1847555.0
58,1518613200000,2.573e-05,2.651e-05,2.535e-05,2.593e-05,1877354.0
59,1518616800000,2.598e-05,2.65e-05,2.53e-05,2.622e-05,1280578.0
60,1518620400000,2.622e-05,2.629e-05,2.555e-05,2.578e-05,862461.0
61,1518624000000,2.58e-05,2.736e-05,2.57e-05,2.663e-05,2460433.0
62,1518627600000,2.663e-05,2.665e-05,2.623e-05,2.655e-05,1210928.0
63,1518631200000,2.655e-05,2.697e-05,2.625e-05,2.639e-05,927699.0
64,1518634800000,2.639e-05,2.738e-05,2.611e-05,2.706e-05,1147024.0
65,1518638400000,2.706e-05,2.784e-05,2.696e-05,2.728e-05,1152366.0
66,1518642000000,2.725e-05,2.758e-05,2.612e-05,2.645e-05,1411624.0
67,1518645600000,2.649e-05,2.653e-05,2.569e-05,2.601e-05,1085395.0
68,1518649200000,2.6e-05,2.625e-05,2.531e-05,2.554e-05,934868.0
69,1518652800000,2.554e-05,2.585e-05,2.525e-05,2.563e-05,751857.0
70,1518656400000,2.571e-05,2.65e-05,2.536e-05,2.56e-05,990733.0
71,1518660000000,2.559e-05,2.593e-05,2.49e-05,2.504e-05,859247.0
72,1518663600000,2.504e-05,2.509e-05,2.408e-05,2.434e-05,904857.0
73,1518667200000,2.435e-05,2.452e-05,2.379e-05,2.418e-05,1003698.0
74,1518670800000,2.418e-05,2.423e-05,2.37e-05,2.37e-05,725706.0
75,1518674400000,2.37e-05,2.482e-05,2.326e-05,2.389e-05,1334910.0
76,1518678000000,2.391e-05,2.538e-05,2.384e-05,2.484e-05,1431419.0
77,1518681600000,2.484e-05,2.524e-05,2.439e-05,2.449e-05,724271.0
78,1518685200000,2.441e-05,2.449e-05,2.3e-05,2.36e-05,1373664.0
79,1518688800000,2.36e-05,2.387e-05,2.3e-05,2.33e-05,898489.0
80,1518692400000,2.327e-05,2.352e-05,2.302e-05,2.324e-05,561575.0
81,1518696000000,2.33e-05,2.339e-05,2.291e-05,2.307e-05,497959.0
82,1518699600000,2.307e-05,2.335e-05,2.3e-05,2.323e-05,466083.0
83,1518703200000,2.334e-05,2.347e-05,2.305e-05,2.321e-05,665693.0
84,1518706800000,2.323e-05,2.331e-05,2.3e-05,2.307e-05,540837.0
85,1518710400000,2.307e-05,2.315e-05,2.24e-05,2.242e-05,928147.0
86,1518714000000,2.241e-05,2.28e-05,2.14e-05,2.18e-05,1753810.0
87,1518717600000,2.18e-05,2.2e-05,2.118e-05,2.169e-05,2263048.0
88,1518721200000,2.169e-05,2.172e-05,2.113e-05,2.138e-05,953393.0
89,1518724800000,2.138e-05,2.179e-05,2.122e-05,2.171e-05,1158584.0
90,1518728400000,2.174e-05,2.347e-05,2.174e-05,2.28e-05,2628970.0
91,1518732000000,2.292e-05,2.32e-05,2.224e-05,2.268e-05,830209.0
92,1518735600000,2.268e-05,2.307e-05,2.25e-05,2.29e-05,570441.0
93,1518739200000,2.29e-05,2.297e-05,2.233e-05,2.238e-05,732656.0
94,1518742800000,2.235e-05,2.44e-05,2.212e-05,2.43e-05,1277073.0
95,1518746400000,2.429e-05,2.45e-05,2.255e-05,2.308e-05,1258476.0
96,1518750000000,2.308e-05,2.349e-05,2.241e-05,2.302e-05,680026.0
97,1518753600000,2.313e-05,2.425e-05,2.309e-05,2.36e-05,821337.0
98,1518757200000,2.36e-05,2.38e-05,2.31e-05,2.327e-05,555484.0
99,1518760800000,2.328e-05,2.379e-05,2.321e-05,2.351e-05,380119.0
100,1518764400000,2.351e-05,2.362e-05,2.312e-05,2.315e-05,398986.0
101,1518768000000,2.313e-05,2.369e-05,2.3e-05,2.329e-05,483921.0
102,1518771600000,2.329e-05,2.338e-05,2.299e-05,2.307e-05,384704.0
103,1518775200000,2.307e-05,2.553e-05,2.304e-05,2.436e-05,3358138.0
104,1518778800000,2.437e-05,2.466e-05,2.4e-05,2.412e-05,818834.0
105,1518782400000,2.402e-05,2.424e-05,2.334e-05,2.37e-05,583517.0
106,1518786000000,2.376e-05,2.645e-05,2.376e-05,2.545e-05,4831492.0
107,1518789600000,2.542e-05,2.668e-05,2.51e-05,2.55e-05,3770514.0
108,1518793200000,2.55e-05,2.714e-05,2.533e-05,2.67e-05,4109315.0
109,1518796800000,2.67e-05,2.701e-05,2.633e-05,2.651e-05,2364992.0
110,1518800400000,2.656e-05,2.669e-05,2.561e-05,2.609e-05,2012638.0
111,1518804000000,2.609e-05,2.612e-05,2.508e-05,2.53e-05,1356736.0
112,1518807600000,2.53e-05,2.632e-05,2.53e-05,2.548e-05,1449091.0
113,1518811200000,2.549e-05,2.587e-05,2.536e-05,2.55e-05,692568.0
114,1518814800000,2.537e-05,2.557e-05,2.467e-05,2.489e-05,1129939.0
115,1518818400000,2.492e-05,2.515e-05,2.44e-05,2.473e-05,735420.0
116,1518822000000,2.473e-05,2.525e-05,2.454e-05,2.488e-05,728142.0
117,1518825600000,2.489e-05,2.493e-05,2.44e-05,2.489e-05,414090.0
118,1518829200000,2.492e-05,2.571e-05,2.487e-05,2.488e-05,1666633.0
119,1518832800000,2.498e-05,2.56e-05,2.472e-05,2.538e-05,477525.0
120,1518836400000,2.538e-05,2.575e-05,2.531e-05,2.551e-05,959488.0
121,1518840000000,2.552e-05,2.563e-05,2.457e-05,2.474e-05,665123.0
122,1518843600000,2.467e-05,2.506e-05,2.45e-05,2.457e-05,432769.0
123,1518847200000,2.451e-05,2.504e-05,2.45e-05,2.456e-05,505636.0
124,1518850800000,2.452e-05,2.456e-05,2.389e-05,2.401e-05,715905.0
125,1518854400000,2.402e-05,2.414e-05,2.351e-05,2.36e-05,886149.0
126,1518858000000,2.36e-05,2.366e-05,2.301e-05,2.322e-05,1012627.0
127,1518861600000,2.324e-05,2.4e-05,2.216e-05,2.289e-05,2464749.0
128,1518865200000,2.291e-05,2.34e-05,2.25e-05,2.331e-05,884835.0
129,1518868800000,2.331e-05,2.343e-05,2.285e-05,2.295e-05,558401.0
130,1518872400000,2.298e-05,2.399e-05,2.277e-05,2.369e-05,901031.0
131,1518876000000,2.368e-05,2.41e-05,2.35e-05,2.395e-05,855175.0
132,1518879600000,2.393e-05,2.394e-05,2.335e-05,2.363e-05,590375.0
133,1518883200000,2.358e-05,2.385e-05,2.358e-05,2.37e-05,343655.0
134,1518886800000,2.371e-05,2.385e-05,2.326e-05,2.37e-05,684044.0
135,1518890400000,2.37e-05,2.379e-05,2.321e-05,2.335e-05,304943.0
136,1518894000000,2.329e-05,2.346e-05,2.302e-05,2.32e-05,426381.0
137,1518897600000,2.321e-05,2.361e-05,2.321e-05,2.348e-05,227957.0
138,1518901200000,2.348e-05,2.355e-05,2.307e-05,2.336e-05,248234.0
139,1518904800000,2.332e-05,2.334e-05,2.273e-05,2.274e-05,324783.0
140,1518908400000,2.274e-05,2.302e-05,2.216e-05,2.275e-05,490397.0
141,1518912000000,2.268e-05,2.274e-05,2.21e-05,2.238e-05,388257.0
142,1518915600000,2.234e-05,2.299e-05,2.083e-05,2.155e-05,1583007.0
143,1518919200000,2.157e-05,2.2e-05,2.115e-05,2.142e-05,619037.0
144,1518922800000,2.142e-05,2.244e-05,2.135e-05,2.163e-05,472371.0
145,1518926400000,2.151e-05,2.202e-05,2.143e-05,2.16e-05,396048.0
146,1518930000000,2.16e-05,2.183e-05,2.144e-05,2.158e-05,269021.0
147,1518933600000,2.165e-05,2.221e-05,2.149e-05,2.16e-05,315488.0
148,1518937200000,2.161e-05,2.178e-05,2.152e-05,2.154e-05,258126.0
149,1518940800000,2.161e-05,2.235e-05,2.155e-05,2.185e-05,676508.0
150,1518944400000,2.199e-05,2.204e-05,2.168e-05,2.168e-05,306423.0
151,1518948000000,2.17e-05,2.215e-05,2.142e-05,2.197e-05,399174.0
152,1518951600000,2.197e-05,2.299e-05,2.191e-05,2.255e-05,1186858.0
153,1518955200000,2.255e-05,2.28e-05,2.121e-05,2.187e-05,1089021.0
154,1518958800000,2.184e-05,2.202e-05,2.157e-05,2.172e-05,359938.0
155,1518962400000,2.171e-05,2.187e-05,2.153e-05,2.166e-05,257997.0
156,1518966000000,2.166e-05,2.177e-05,2.141e-05,2.15e-05,372042.0
157,1518969600000,2.154e-05,2.162e-05,2.14e-05,2.149e-05,218615.0
158,1518973200000,2.143e-05,2.183e-05,2.133e-05,2.146e-05,311562.0
159,1518976800000,2.146e-05,2.192e-05,2.137e-05,2.159e-05,223123.0
160,1518980400000,2.158e-05,2.175e-05,2.138e-05,2.14e-05,147197.0
161,1518984000000,2.145e-05,2.184e-05,2.141e-05,2.158e-05,285428.0
162,1518987600000,2.151e-05,2.165e-05,2.141e-05,2.158e-05,170419.0
163,1518991200000,2.158e-05,2.158e-05,2.1e-05,2.112e-05,504409.0
164,1518994800000,2.112e-05,2.132e-05,2.102e-05,2.11e-05,172176.0
165,1518998400000,2.116e-05,2.136e-05,2.091e-05,2.097e-05,267907.0
166,1519002000000,2.099e-05,2.127e-05,2.087e-05,2.124e-05,327276.0
167,1519005600000,2.122e-05,2.126e-05,2.081e-05,2.09e-05,341654.0
168,1519009200000,2.09e-05,2.106e-05,2.07e-05,2.078e-05,214560.0
169,1519012800000,2.073e-05,2.105e-05,2.07e-05,2.101e-05,315077.0
170,1519016400000,2.095e-05,2.13e-05,2.094e-05,2.107e-05,339415.0
171,1519020000000,2.1e-05,2.118e-05,2.09e-05,2.104e-05,172576.0
172,1519023600000,2.107e-05,2.13e-05,2.1e-05,2.112e-05,316626.0
173,1519027200000,2.112e-05,2.162e-05,2.104e-05,2.105e-05,334541.0
174,1519030800000,2.105e-05,2.15e-05,2.105e-05,2.139e-05,416909.0
175,1519034400000,2.141e-05,2.156e-05,2.09e-05,2.113e-05,792404.0
176,1519038000000,2.117e-05,2.129e-05,2.093e-05,2.094e-05,338916.0
177,1519041600000,2.095e-05,2.111e-05,2.083e-05,2.095e-05,285413.0
178,1519045200000,2.091e-05,2.106e-05,2.073e-05,2.082e-05,351128.0
179,1519048800000,2.082e-05,2.082e-05,2.023e-05,2.03e-05,751412.0
180,1519052400000,2.032e-05,2.055e-05,2.004e-05,2.007e-05,762333.0
181,1519056000000,2.013e-05,2.052e-05,2e-05,2.013e-05,572454.0
182,1519059600000,2.014e-05,2.034e-05,1.973e-05,2.01e-05,519654.0
183,1519063200000,2.01e-05,2.018e-05,1.988e-05,1.997e-05,614800.0
184,1519066800000,2e-05,2.168e-05,1.983e-05,2.074e-05,2402713.0
185,1519070400000,2.074e-05,2.075e-05,1.987e-05,2.005e-05,1007072.0
186,1519074000000,2.005e-05,2.022e-05,1.989e-05,2.007e-05,518406.0
187,1519077600000,1.996e-05,2.028e-05,1.986e-05,2.024e-05,474244.0
188,1519081200000,2.024e-05,2.027e-05,1.993e-05,2.007e-05,160846.0
189,1519084800000,2e-05,2.006e-05,1.968e-05,1.969e-05,353022.0
190,1519088400000,1.969e-05,1.971e-05,1.912e-05,1.933e-05,926147.0
191,1519092000000,1.929e-05,1.989e-05,1.905e-05,1.974e-05,537212.0
192,1519095600000,1.975e-05,1.985e-05,1.891e-05,1.904e-05,921709.0
193,1519099200000,1.904e-05,1.93e-05,1.882e-05,1.896e-05,565400.0
194,1519102800000,1.896e-05,1.915e-05,1.853e-05,1.895e-05,783464.0
195,1519106400000,1.895e-05,1.939e-05,1.871e-05,1.921e-05,502169.0
196,1519110000000,1.921e-05,1.979e-05,1.866e-05,1.875e-05,946124.0
197,1519113600000,1.875e-05,1.894e-05,1.866e-05,1.885e-05,371674.0
198,1519117200000,1.885e-05,1.919e-05,1.869e-05,1.889e-05,276162.0
199,1519120800000,1.889e-05,1.907e-05,1.871e-05,1.879e-05,269507.0
200,1519124400000,1.879e-05,1.979e-05,1.863e-05,1.928e-05,1232985.0
201,1519128000000,1.934e-05,1.947e-05,1.9e-05,1.902e-05,485917.0
202,1519131600000,1.902e-05,1.948e-05,1.9e-05,1.9e-05,670632.0
203,1519135200000,1.9e-05,1.903e-05,1.84e-05,1.849e-05,733437.0
204,1519138800000,1.849e-05,1.862e-05,1.83e-05,1.833e-05,482238.0
205,1519142400000,1.832e-05,1.844e-05,1.737e-05,1.774e-05,925320.0
206,1519146000000,1.778e-05,1.786e-05,1.672e-05,1.687e-05,744948.0
207,1519149600000,1.686e-05,1.74e-05,1.62e-05,1.723e-05,1617828.0
208,1519153200000,1.729e-05,1.826e-05,1.65e-05,1.747e-05,1623844.0
209,1519156800000,1.753e-05,1.753e-05,1.651e-05,1.688e-05,681117.0
210,1519160400000,1.688e-05,1.706e-05,1.62e-05,1.659e-05,790863.0
211,1519164000000,1.659e-05,1.725e-05,1.609e-05,1.685e-05,571878.0
212,1519167600000,1.685e-05,1.696e-05,1.625e-05,1.66e-05,638582.0
213,1519171200000,1.66e-05,1.669e-05,1.611e-05,1.637e-05,536372.0
214,1519174800000,1.638e-05,1.695e-05,1.638e-05,1.68e-05,254101.0
215,1519178400000,1.68e-05,1.687e-05,1.646e-05,1.672e-05,259292.0
216,1519182000000,1.672e-05,1.675e-05,1.651e-05,1.667e-05,216154.0
217,1519185600000,1.667e-05,1.672e-05,1.62e-05,1.657e-05,692786.0
218,1519189200000,1.65e-05,1.685e-05,1.641e-05,1.659e-05,261503.0
219,1519192800000,1.659e-05,1.684e-05,1.625e-05,1.67e-05,279224.0
220,1519196400000,1.67e-05,1.688e-05,1.606e-05,1.651e-05,689074.0
221,1519200000000,1.651e-05,1.657e-05,1.581e-05,1.594e-05,1887841.0
222,1519203600000,1.594e-05,1.625e-05,1.583e-05,1.607e-05,2070106.0
223,1519207200000,1.606e-05,1.609e-05,1.537e-05,1.542e-05,1317671.0
224,1519210800000,1.541e-05,1.576e-05,1.5e-05,1.542e-05,3934105.0
225,1519214400000,1.542e-05,1.657e-05,1.527e-05,1.633e-05,2959362.0
226,1519218000000,1.634e-05,1.65e-05,1.581e-05,1.594e-05,1755789.0
227,1519221600000,1.603e-05,1.612e-05,1.556e-05,1.565e-05,739791.0
