,ts,open,high,low,close,volume
0,1506744000000,0.001,0.079887,0.001,0.020006,5117.44
1,1506747600000,0.0225,0.0225,0.0184,0.0191,15537.1
2,1506751200000,0.018802,0.019,0.0122,0.016001,8434.11
3,1506754800000,0.016001,0.01859,0.016,0.017599,6412.42
4,1506758400000,0.0167,0.018399,0.01635,0.0182,3298.92
5,1506762000000,0.0182,0.0185,0.014427,0.014427,4032.72
6,1506765600000,0.0148,0.01699,0.01452,0.01699,2369.34
7,1506769200000,0.016199,0.0164,0.0145,0.0164,3683.81
8,1506772800000,0.016442,0.0168,0.015602,0.015602,595.99
9,1506776400000,0.015301,0.016977,0.0153,0.0168,845.02
10,1506780000000,0.0159,0.01698,0.015406,0.015406,1418.96
11,1506783600000,0.0169,0.019799,0.015801,0.019799,2341.99
12,1506787200000,0.0195,0.019799,0.015802,0.017399,3907.5
13,1506790800000,0.017398,0.0175,0.017,0.0175,5285.47
14,1506794400000,0.0186,0.019659,0.018101,0.0193,2284.1
15,1506798000000,0.0193,0.019659,0.018851,0.01959,2080.19
16,1506801600000,0.019,0.019,0.017369,0.017369,2884.37
17,1506805200000,0.0185,0.018699,0.017315,0.0179,1628.19
18,1506808800000,0.0175,0.01779,0.017003,0.01779,2573.53
19,1506812400000,0.017791,0.01954,0.017301,0.01954,540.27
20,1506816000000,0.0194,0.0194,0.017301,0.0179,1103.6
21,1506819600000,0.018105,0.019079,0.018105,0.018509,177.55
22,1506823200000,0.0181,0.0181,0.017,0.017,3010.29
23,1506826800000,0.0172,0.018499,0.015403,0.016122,8827.87
24,1506830400000,0.016122,0.017992,0.0161,0.0169,5492.43
25,1506834000000,0.01695,0.01695,0.0161,0.01695,1784.09
26,1506837600000,0.017354,0.017355,0.016001,0.01695,1695.75
27,1506841200000,0.01695,0.0179,0.0164,0.0179,708.11
28,1506844800000,0.017799,0.017977,0.017,0.017977,2653.52
29,1506848400000,0.016005,0.018996,0.015417,0.0187,5937.47
30,1506852000000,0.0187,0.023,0.0187,0.023,23449.86
31,1506855600000,0.023,0.02545,0.01912,0.02049,16373.67
32,1506859200000,0.020489,0.024,0.020489,0.023999,4160.54
33,1506862800000,0.023021,0.0244,0.0215,0.0244,4654.6
34,1506866400000,0.0244,0.0244,0.0225,0.023,2396.71
35,1506870000000,0.0225,0.023,0.0215,0.022,3868.15
36,1506873600000,0.022,0.0225,0.021213,0.021213,2342.56
37,1506877200000,0.021216,0.022,0.02,0.02,2150.8
38,1506880800000,0.0208,0.021599,0.0208,0.02154,860.62
39,1506884400000,0.0213,0.021549,0.02,0.02148,1802.66
40,1506888000000,0.021449,0.022888,0.0203,0.02201,6495.45
41,1506891600000,0.02299,0.0245,0.02299,0.0245,11128.82
42,1506895200000,0.0245,0.02499,0.0232,0.0242,8235.45
43,1506898800000,0.0242,0.025,0.02361,0.0242,3432.75
44,1506902400000,0.024967,0.024967,0.023,0.024859,2474.05
45,1506906000000,0.0246,0.0246,0.02375,0.023866,331.1
46,1506909600000,0.02375,0.0255,0.0235,0.0251,4230.3
47,1506913200000,0.0248,0.0248,0.0227,0.023001,3833.96
48,1506916800000,0.023003,0.023952,0.022301,0.023952,2231.63
49,1506920400000,0.02395,0.02395,0.022501,0.02386,1016.26
50,1506924000000,0.02386,0.02555,0.02306,0.024861,6462.44
51,1506927600000,0.023932,0.024,0.023,0.023071,2192.73
52,1506931200000,0.02325,0.023859,0.022,0.023859,557.71
53,1506934800000,0.022005,0.023393,0.02151,0.022119,1373.33
54,1506938400000,0.022119,0.022327,0.02149,0.022325,1503.34
55,1506942000000,0.022325,0.023,0.021621,0.022999,4613.81
56,1506945600000,0.0228,0.0238,0.0225,0.0238,8547.61
57,1506949200000,0.0238,0.024998,0.02069,0.024821,16336.47
58,1506952800000,0.024799,0.024799,0.022509,0.02375,18019.57
59,1506956400000,0.02375,0.024798,0.0224,0.023604,3235.07
60,1506960000000,0.023607,0.023608,0.023,0.023,1486.16
61,1506963600000,0.023,0.0235,0.0224,0.0224,3936.19
62,1506967200000,0.0227,0.0227,0.0215,0.0215,2549.08
63,1506970800000,0.021901,0.022606,0.021901,0.02258,975.12
64,1506974400000,0.02241,0.024485,0.02199,0.023153,2144.13
65,1506978000000,0.023216,0.023993,0.022567,0.02299,218.7
66,1506981600000,0.0228,0.022801,0.0225,0.0225,1568.79
67,1506985200000,0.022073,0.02218,0.02158,0.02158,890.18
68,1506988800000,0.021586,0.02218,0.0212,0.021953,2550.95
69,1506992400000,0.0215,0.022885,0.021,0.021,2743.1
70,1506996000000,0.021,0.021,0.0201,0.020119,3802.94
71,1506999600000,0.020119,0.020119,0.015,0.018551,14360.57
72,1507003200000,0.018551,0.020977,0.018551,0.020731,2551.74
73,1507006800000,0.019994,0.019994,0.0188,0.018806,3148.67
74,1507010400000,0.018806,0.018806,0.0171,0.017716,3160.7
75,1507014000000,0.01802,0.01979,0.01802,0.01979,1790.51
76,1507017600000,0.0194,0.019978,0.018997,0.019978,1381.46
77,1507021200000,0.018997,0.019065,0.01828,0.01828,708.6
78,1507024800000,0.018502,0.01853,0.017601,0.017731,1814.59
79,1507028400000,0.018198,0.018917,0.017604,0.018806,1583.68
80,1507032000000,0.018,0.01815,0.01786,0.018098,693.58
81,1507035600000,0.018074,0.019249,0.0175,0.01811,4921.72
82,1507039200000,0.01811,0.01811,0.017512,0.017561,1724.25
83,1507042800000,0.017699,0.018099,0.017512,0.017818,4101.76
84,1507046400000,0.017818,0.01804,0.0175,0.018031,2440.3
85,1507050000000,0.017801,0.018014,0.017501,0.01761,1747.67
86,1507053600000,0.018016,0.018039,0.017759,0.017785,1122.23
87,1507057200000,0.017901,0.017901,0.017785,0.017785,307.26
88,1507060800000,0.017786,0.018099,0.01767,0.01767,1698.55
89,1507064400000,0.017675,0.018099,0.017637,0.017657,724.79
90,1507068000000,0.018099,0.01811,0.017711,0.018099,1046.15
91,1507071600000,0.018099,0.0189,0.018099,0.018864,1289.8
92,1507075200000,0.018793,0.018794,0.017616,0.018206,691.36
93,1507078800000,0.017659,0.0178,0.01761,0.0178,582.86
94,1507082400000,0.017801,0.018162,0.0176,0.0176,1628.85
95,1507086000000,0.017515,0.017986,0.01717,0.017853,1945.76
96,1507089600000,0.017785,0.017785,0.017215,0.0173,528.45
97,1507093200000,0.01747,0.0185,0.01725,0.018288,1654.41
98,1507096800000,0.017405,0.018295,0.0164,0.018289,3421.52
99,1507100400000,0.017994,0.0183,0.017994,0.0183,1577.72
100,1507104000000,0.017354,0.01748,0.016872,0.017018,2691.53
101,1507107600000,0.017018,0.017018,0.01672,0.017018,2661.61
102,1507111200000,0.017,0.017019,0.016721,0.016721,1416.62
103,1507114800000,0.016721,0.016894,0.016018,0.016101,5949.37
104,1507118400000,0.0161,0.016893,0.0156,0.016893,3792.98
105,1507122000000,0.0156,0.016499,0.013849,0.013901,16880.34
106,1507125600000,0.0139,0.0158,0.013895,0.014998,12205.81
107,1507129200000,0.014997,0.014997,0.0142,0.014593,4203.8
108,1507132800000,0.0146,0.015,0.0146,0.015,2014.73
109,1507136400000,0.015,0.015795,0.015,0.015116,4437.14
110,1507140000000,0.015116,0.0156,0.01501,0.01529,3052.6
111,1507143600000,0.01503,0.01503,0.0147,0.014704,1604.56
112,1507147200000,0.014666,0.01482,0.014529,0.014707,3262.22
113,1507150800000,0.0146,0.0146,0.014,0.014,2300.1
114,1507154400000,0.014137,0.015599,0.014001,0.014482,4768.47
115,1507158000000,0.014482,0.014553,0.014154,0.01453,3218.43
116,1507161600000,0.01453,0.01453,0.014129,0.014175,1224.59
117,1507165200000,0.014124,0.015328,0.014124,0.014301,898.0
118,1507168800000,0.014126,0.014126,0.0135,0.01408,3372.58
119,1507172400000,0.013725,0.014546,0.013725,0.014546,2203.97
120,1507176000000,0.014498,0.015214,0.014136,0.014401,863.7
121,1507179600000,0.014476,0.0156,0.01444,0.014442,1829.62
122,1507183200000,0.014581,0.014582,0.0141,0.014126,1679.04
123,1507186800000,0.014101,0.014101,0.0128,0.0133,3386.21
124,1507190400000,0.013369,0.01398,0.013297,0.013351,3643.57
125,1507194000000,0.0134,0.013611,0.012501,0.013607,10585.03
126,1507197600000,0.013471,0.013472,0.0125,0.012823,10399.48
127,1507201200000,0.013,0.013402,0.012811,0.013402,2465.48
128,1507204800000,0.013319,0.013801,0.013319,0.013801,4609.91
129,1507208400000,0.01421,0.014698,0.013433,0.013433,5632.92
130,1507212000000,0.013433,0.014036,0.0129,0.01368,4487.15
131,1507215600000,0.013359,0.01368,0.013359,0.01368,341.7
132,1507219200000,0.01352,0.01368,0.01333,0.013643,1369.22
133,1507222800000,0.013652,0.013652,0.013599,0.013599,146.54
134,1507226400000,0.01355,0.013651,0.0135,0.013637,459.46
135,1507230000000,0.013637,0.013831,0.013637,0.01383,1090.71
136,1507233600000,0.013852,0.014657,0.013847,0.014184,1680.9
137,1507237200000,0.01404,0.014353,0.0139,0.014353,348.55
138,1507240800000,0.014046,0.014369,0.014045,0.014087,185.44
139,1507244400000,0.014239,0.014239,0.014065,0.0141,733.49
140,1507248000000,0.014046,0.01405,0.014046,0.01405,509.86
141,1507251600000,0.014261,0.014513,0.014,0.0142,752.51
142,1507255200000,0.014201,0.014258,0.0142,0.0142,657.25
143,1507258800000,0.013941,0.0142,0.01369,0.01369,1554.8
144,1507262400000,0.013899,0.014183,0.013899,0.014183,643.61
145,1507266000000,0.014199,0.014671,0.014199,0.014671,2184.33
146,1507269600000,0.014594,0.015502,0.014594,0.014979,2537.55
