,ts,open,high,low,close,volume
0,1507795200000,5.24e-06,6.23e-06,4.67e-06,5e-06,936681.0
1,1507798800000,5.25e-06,5.26e-06,5.01e-06,5.03e-06,51422.0
2,1507802400000,5.06e-06,5.2e-06,4.98e-06,5.19e-06,807553.0
3,1507806000000,5.19e-06,5.2e-06,4.85e-06,5e-06,1113559.0
4,1507809600000,5e-06,5.12e-06,4.6e-06,5.04e-06,790721.0
5,1507813200000,4.97e-06,5.11e-06,4.8e-06,5.02e-06,429116.0
6,1507816800000,5.02e-06,5.2e-06,4.98e-06,5.09e-06,524017.0
7,1507820400000,5.09e-06,5.2e-06,4.87e-06,4.97e-06,479637.0
8,1507824000000,4.94e-06,5.2e-06,4.73e-06,4.85e-06,607591.0
9,1507827600000,4.83e-06,4.97e-06,4.77e-06,4.96e-06,245875.0
10,1507831200000,4.98e-06,4.98e-06,4.64e-06,4.79e-06,533963.0
11,1507834800000,4.79e-06,4.94e-06,4.75e-06,4.85e-06,259934.0
12,1507838400000,4.84e-06,4.99e-06,4.74e-06,4.82e-06,418211.0
13,1507842000000,4.78e-06,4.97e-06,4.73e-06,4.97e-06,615410.0
14,1507845600000,4.97e-06,4.97e-06,4.73e-06,4.88e-06,403066.0
15,1507849200000,4.84e-06,4.88e-06,4.69e-06,4.81e-06,271817.0
16,1507852800000,4.79e-06,4.89e-06,4.39e-06,4.73e-06,920996.0
17,1507856400000,4.78e-06,4.9e-06,4.6e-06,4.69e-06,543872.0
18,1507860000000,4.68e-06,4.8e-06,4.21e-06,4.6e-06,1001699.0
19,1507863600000,4.54e-06,4.74e-06,4.37e-06,4.54e-06,330782.0
20,1507867200000,4.58e-06,4.59e-06,4.34e-06,4.44e-06,572093.0
21,1507870800000,4.48e-06,4.78e-06,4.38e-06,4.73e-06,786438.0
22,1507874400000,4.74e-06,4.94e-06,4.52e-06,4.66e-06,732646.0
23,1507878000000,4.66e-06,4.88e-06,4.43e-06,4.65e-06,541202.0
24,1507881600000,4.66e-06,4.75e-06,4.58e-06,4.66e-06,118706.0
25,1507885200000,4.66e-06,4.67e-06,4.5e-06,4.54e-06,238226.0
26,1507888800000,4.55e-06,4.61e-06,4.53e-06,4.56e-06,158748.0
27,1507892400000,4.59e-06,4.69e-06,4.57e-06,4.65e-06,288659.0
28,1507896000000,4.67e-06,4.82e-06,4.63e-06,4.69e-06,386719.0
29,1507899600000,4.65e-06,4.72e-06,4.59e-06,4.61e-06,591511.0
30,1507903200000,4.62e-06,4.62e-06,4.42e-06,4.43e-06,682307.0
31,1507906800000,4.41e-06,4.44e-06,4.26e-06,4.27e-06,479567.0
32,1507910400000,4.31e-06,4.31e-06,4.18e-06,4.3e-06,311811.0
33,1507914000000,4.31e-06,4.39e-06,4.27e-06,4.33e-06,565810.0
34,1507917600000,4.33e-06,4.38e-06,4.24e-06,4.3e-06,359650.0
35,1507921200000,4.34e-06,4.51e-06,4.28e-06,4.45e-06,456312.0
36,1507924800000,4.42e-06,4.51e-06,4.39e-06,4.51e-06,401747.0
37,1507928400000,4.5e-06,4.51e-06,4.34e-06,4.46e-06,793193.0
38,1507932000000,4.45e-06,4.49e-06,4.38e-06,4.42e-06,616223.0
39,1507935600000,4.42e-06,4.45e-06,4.33e-06,4.39e-06,842431.0
40,1507939200000,4.4e-06,4.47e-06,4.38e-06,4.46e-06,739385.0
41,1507942800000,4.45e-06,4.51e-06,4.45e-06,4.5e-06,345105.0
42,1507946400000,4.51e-06,4.68e-06,4.47e-06,4.55e-06,254881.0
43,1507950000000,4.57e-06,4.69e-06,4.52e-06,4.68e-06,326844.0
44,1507953600000,4.68e-06,4.69e-06,4.45e-06,4.51e-06,243598.0
45,1507957200000,4.5e-06,4.63e-06,4.47e-06,4.59e-06,409679.0
46,1507960800000,4.59e-06,4.68e-06,4.5e-06,4.58e-06,546513.0
47,1507964400000,4.58e-06,4.58e-06,4.36e-06,4.39e-06,955824.0
48,1507968000000,4.45e-06,4.47e-06,4.36e-06,4.41e-06,127560.0
49,1507971600000,4.41e-06,4.47e-06,4.4e-06,4.47e-06,129752.0
50,1507975200000,4.44e-06,4.48e-06,4.41e-06,4.42e-06,183929.0
51,1507978800000,4.42e-06,4.45e-06,4.28e-06,4.3e-06,412537.0
52,1507982400000,4.33e-06,4.39e-06,4.25e-06,4.35e-06,1066021.0
53,1507986000000,4.35e-06,4.43e-06,4.35e-06,4.35e-06,1001595.0
54,1507989600000,4.35e-06,4.47e-06,4.34e-06,4.41e-06,939778.0
55,1507993200000,4.4e-06,4.47e-06,4.33e-06,4.46e-06,330988.0
56,1507996800000,4.46e-06,4.53e-06,4.42e-06,4.48e-06,649360.0
57,1508000400000,4.52e-06,4.81e-06,4.39e-06,4.7e-06,844679.0
58,1508004000000,4.72e-06,4.78e-06,4.61e-06,4.68e-06,253657.0
59,1508007600000,4.65e-06,4.73e-06,4.62e-06,4.7e-06,387761.0
60,1508011200000,4.69e-06,4.72e-06,4.6e-06,4.68e-06,329496.0
61,1508014800000,4.67e-06,4.75e-06,4.6e-06,4.6e-06,176496.0
62,1508018400000,4.61e-06,4.66e-06,4.59e-06,4.62e-06,576065.0
63,1508022000000,4.63e-06,4.68e-06,4.51e-06,4.51e-06,437550.0
64,1508025600000,4.5e-06,4.63e-06,4.5e-06,4.59e-06,648768.0
65,1508029200000,4.59e-06,4.73e-06,4.48e-06,4.53e-06,715336.0
66,1508032800000,4.54e-06,4.67e-06,4.46e-06,4.47e-06,345809.0
67,1508036400000,4.47e-06,4.6e-06,4.46e-06,4.47e-06,587106.0
68,1508040000000,4.48e-06,4.52e-06,4.41e-06,4.51e-06,488565.0
69,1508043600000,4.51e-06,4.67e-06,4.44e-06,4.62e-06,822207.0
70,1508047200000,4.63e-06,4.67e-06,4.54e-06,4.67e-06,385163.0
71,1508050800000,4.67e-06,4.7e-06,4.55e-06,4.65e-06,749192.0
72,1508054400000,4.65e-06,4.76e-06,4.64e-06,4.69e-06,1221828.0
73,1508058000000,4.7e-06,4.72e-06,4.46e-06,4.47e-06,447941.0
74,1508061600000,4.48e-06,4.49e-06,4.34e-06,4.38e-06,655164.0
75,1508065200000,4.37e-06,4.46e-06,4.36e-06,4.42e-06,705372.0
76,1508068800000,4.42e-06,4.71e-06,4.36e-06,4.63e-06,865366.0
77,1508072400000,4.67e-06,4.68e-06,4.55e-06,4.6e-06,427325.0
78,1508076000000,4.65e-06,4.79e-06,4.59e-06,4.78e-06,673252.0
79,1508079600000,4.77e-06,5e-06,4.74e-06,4.82e-06,603547.0
80,1508083200000,4.85e-06,5.08e-06,4.77e-06,4.94e-06,501861.0
81,1508086800000,4.94e-06,5.01e-06,4.88e-06,4.95e-06,481828.0
82,1508090400000,5e-06,5.07e-06,4.95e-06,5.04e-06,487062.0
83,1508094000000,5.03e-06,5.12e-06,4.96e-06,5.09e-06,967970.0
84,1508097600000,5.09e-06,5.18e-06,4.99e-06,5.15e-06,590332.0
85,1508101200000,5.16e-06,5.19e-06,5.02e-06,5.03e-06,565447.0
86,1508104800000,5.04e-06,5.18e-06,4.97e-06,5.13e-06,675994.0
87,1508108400000,5.14e-06,5.22e-06,5.05e-06,5.18e-06,351010.0
88,1508112000000,5.21e-06,5.21e-06,4.99e-06,5.03e-06,235079.0
89,1508115600000,5.03e-06,5.15e-06,4.92e-06,5.12e-06,1031981.0
90,1508119200000,5.12e-06,5.29e-06,5.06e-06,5.17e-06,970635.0
91,1508122800000,5.17e-06,5.3e-06,5.13e-06,5.19e-06,914839.0
92,1508126400000,5.17e-06,5.2e-06,4.94e-06,5.01e-06,473625.0
93,1508130000000,5.03e-06,5.09e-06,4.9e-06,4.97e-06,752285.0
94,1508133600000,4.99e-06,5.08e-06,4.9e-06,4.91e-06,442610.0
95,1508137200000,4.97e-06,5.05e-06,4.86e-06,5.05e-06,638176.0
96,1508140800000,5.04e-06,5.05e-06,4.97e-06,4.99e-06,447618.0
97,1508144400000,4.99e-06,5.05e-06,4.91e-06,5.02e-06,529408.0
98,1508148000000,5e-06,5.05e-06,4.88e-06,4.95e-06,543423.0
99,1508151600000,4.95e-06,4.97e-06,4.82e-06,4.84e-06,301000.0
100,1508155200000,4.84e-06,4.97e-06,4.84e-06,4.95e-06,836527.0
101,1508158800000,4.9e-06,4.99e-06,4.78e-06,4.84e-06,833359.0
102,1508162400000,4.85e-06,5.03e-06,4.79e-06,5.01e-06,813733.0
103,1508166000000,5.01e-06,5.08e-06,4.94e-06,5e-06,735930.0
104,1508169600000,5e-06,5.05e-06,4.94e-06,4.97e-06,505195.0
105,1508173200000,4.97e-06,5.02e-06,4.9e-06,4.94e-06,363860.0
106,1508176800000,4.92e-06,5.03e-06,4.83e-06,4.95e-06,363680.0
107,1508180400000,4.93e-06,5e-06,4.88e-06,4.9e-06,935494.0
108,1508184000000,4.89e-06,5.01e-06,4.89e-06,4.9e-06,467972.0
109,1508187600000,4.91e-06,5.03e-06,4.86e-06,4.94e-06,401854.0
110,1508191200000,4.97e-06,5.06e-06,4.81e-06,4.99e-06,820472.0
111,1508194800000,4.98e-06,5.05e-06,4.92e-06,5.02e-06,632811.0
112,1508198400000,4.97e-06,5.06e-06,4.96e-06,5.05e-06,673235.0
