,ts,open,high,low,close,volume
0,1517475600000,0.7,0.9,0.5,0.50998,17048.07
1,1517479200000,0.50105,0.53999,0.47104,0.5111,34185.78
2,1517482800000,0.5113,0.6,0.48012,0.49496,20146.87
3,1517486400000,0.49494,0.508,0.471,0.5,14272.14
4,1517490000000,0.508,0.51999,0.5,0.50209,8323.8
5,1517493600000,0.5021,0.51775,0.502,0.51691,7094.29
6,1517497200000,0.51691,0.51744,0.50713,0.51326,28245.08
7,1517500800000,0.51326,0.51743,0.50009,0.50405,3270.93
8,1517504400000,0.50422,0.52163,0.504,0.51216,11344.46
9,1517508000000,0.51216,0.52154,0.50196,0.50468,3119.28
10,1517511600000,0.50468,0.512,0.48501,0.5043,4547.32
11,1517515200000,0.5,0.51493,0.485,0.485,4592.5
12,1517518800000,0.49657,0.51998,0.49657,0.51998,8573.78
13,1517522400000,0.50965,0.51998,0.50748,0.50954,1928.3
14,1517526000000,0.518,0.52149,0.5,0.51,2890.45
15,1517529600000,0.51995,0.5215,0.496,0.50016,18312.92
16,1517533200000,0.50894,0.51234,0.49262,0.50895,9527.26
17,1517536800000,0.50397,0.50889,0.50056,0.50137,1755.14
18,1517540400000,0.50137,0.50874,0.495,0.495,9811.77
19,1517544000000,0.49696,0.50824,0.49,0.492,3236.51
20,1517547600000,0.49938,0.49938,0.486,0.486,1997.65
21,1517551200000,0.486,0.49295,0.4755,0.48994,2657.99
22,1517554800000,0.48871,0.496,0.47101,0.48169,3774.41
23,1517558400000,0.47213,0.485,0.46011,0.47146,7138.21
24,1517562000000,0.47127,0.47127,0.45124,0.45978,6512.34
25,1517565600000,0.45978,0.46166,0.45255,0.46142,1491.15
26,1517569200000,0.461,0.47147,0.453,0.453,3477.43
27,1517572800000,0.45303,0.4797,0.45001,0.4797,1472.89
28,1517576400000,0.48204,0.495,0.4501,0.45117,4890.23
29,1517580000000,0.45117,0.47993,0.4501,0.45648,4158.37
30,1517583600000,0.4501,0.46304,0.44057,0.45088,2912.46
31,1517587200000,0.45079,0.4571,0.43146,0.45283,3597.46
32,1517590800000,0.445,0.4592,0.43528,0.44969,1618.25
33,1517594400000,0.43808,0.44986,0.43146,0.448,4589.91
34,1517598000000,0.448,0.454,0.43588,0.439,747.68
35,1517601600000,0.43597,0.45551,0.43531,0.45099,694.86
36,1517605200000,0.44,0.45999,0.43649,0.45999,351.01
37,1517608800000,0.45604,0.45997,0.4368,0.449,1054.32
38,1517612400000,0.44351,0.46233,0.43701,0.46233,530.01
39,1517616000000,0.45009,0.46065,0.44,0.44094,414.68
40,1517619600000,0.45325,0.46284,0.43751,0.46284,613.47
41,1517623200000,0.44998,0.44998,0.43991,0.43991,169.14
42,1517626800000,0.4375,0.4622,0.43601,0.44181,1248.15
43,1517630400000,0.44181,0.4621,0.44,0.44007,1089.22
44,1517634000000,0.44006,0.45579,0.44006,0.45429,388.85
45,1517637600000,0.44338,0.45326,0.44301,0.44991,508.89
46,1517641200000,0.455,0.45966,0.44257,0.45966,722.74
47,1517644800000,0.44714,0.461,0.44714,0.45116,695.34
48,1517648400000,0.45401,0.4622,0.4422,0.4498,941.41
49,1517652000000,0.4555,0.46,0.44395,0.45842,368.17
50,1517655600000,0.46,0.4639,0.45007,0.46389,305.36
51,1517659200000,0.45997,0.4639,0.4555,0.45956,774.22
52,1517662800000,0.46381,0.48896,0.455,0.46518,846.8
53,1517666400000,0.46518,0.47166,0.4553,0.465,1107.21
54,1517670000000,0.47,0.47494,0.462,0.47204,946.71
55,1517673600000,0.46209,0.475,0.45154,0.45681,853.4
56,1517677200000,0.46882,0.46882,0.45297,0.45396,679.97
57,1517680800000,0.4579,0.4635,0.45366,0.461,810.29
58,1517684400000,0.463,0.471,0.45617,0.464,2187.25
59,1517688000000,0.468,0.47,0.4604,0.468,286.8
60,1517691600000,0.47,0.484,0.46541,0.47257,485.63
61,1517695200000,0.47608,0.485,0.47238,0.47999,45.64
62,1517698800000,0.47999,0.48889,0.47605,0.48698,1141.34
63,1517702400000,0.48696,0.48696,0.473,0.473,1179.84
64,1517706000000,0.477,0.47994,0.46601,0.469,1917.74
