,ts,open,high,low,close,volume
0,1517475600000,0.001,0.001,0.0005,0.0005089,1280806.52082661
1,1517479200000,0.0005089,0.0005388,0.00049,0.00052845,672986.76812057
2,1517482800000,0.000528,0.000538,0.0005,0.0005048,228334.9500581
3,1517486400000,0.0005038,0.000519,0.0004855,0.000514,207435.84347974
4,1517490000000,0.0005188,0.0005294,0.0005004,0.0005145,166973.2394201
5,1517493600000,0.0005145,0.000533,0.0005061,0.0005279,148375.46109487
6,1517497200000,0.0005279,0.0005398,0.0005232,0.0005289,98272.14396456
7,1517500800000,0.0005289,0.00053,0.00049,0.0005127,85940.75810289
8,1517504400000,0.0005107,0.00053899,0.0005085,0.0005249,81897.26863607
9,1517508000000,0.0005244,0.0005244,0.000505,0.0005102,52799.88397663
10,1517511600000,0.00051549,0.00051549,0.00049504,0.00050557,81003.28549392
11,1517515200000,0.0005052,0.0005052,0.000482,0.0005034,78738.90842119
12,1517518800000,0.00050295,0.000535,0.000502,0.0005296,101922.39626295
13,1517522400000,0.0005296,0.000534,0.0005258,0.0005285,37392.12954364
14,1517526000000,0.0005284,0.0005349,0.0005244,0.0005336,26464.45741594
15,1517529600000,0.0005328,0.00053869,0.0004982,0.000507,48727.76892996
16,1517533200000,0.0005071,0.00051449,0.00048542,0.0005,60525.09183876
17,1517536800000,0.0005016,0.000506,0.0004996,0.000503,32543.56434474
18,1517540400000,0.000503,0.000512,0.000493,0.0004944,37598.90514608
19,1517544000000,0.0004999,0.0005037,0.000486,0.00048761,38474.49742602
20,1517547600000,0.0004892,0.0004992,0.0004818,0.0004818,31941.00514734
21,1517551200000,0.0004812,0.0004812,0.0004606,0.0004693,45251.60869628
22,1517554800000,0.0004693,0.0004956,0.000461,0.00047697,53972.87187532
23,1517558400000,0.0004769,0.0004769,0.000453,0.000453,48602.25747979
24,1517562000000,0.0004531,0.000455,0.000434,0.0004524,41002.97918637
25,1517565600000,0.0004524,0.0004538,0.00044008,0.0004484,24366.31091075
26,1517569200000,0.0004498,0.000455,0.0004389,0.0004391,37345.95253923
27,1517572800000,0.0004391,0.00045011,0.0004195,0.00044575,50278.576666
28,1517576400000,0.00044575,0.0005,0.00044128,0.0004755,54762.22087984
29,1517580000000,0.0004752,0.0004997,0.0004601,0.00047,34073.25
30,1517583600000,0.00047,0.000494,0.000463,0.0004847,21354.27
31,1517587200000,0.0004847,0.0005179,0.00047,0.0005073,72701.58481463
32,1517590800000,0.0005069,0.0005119,0.000465,0.0004804,40862.77
33,1517594400000,0.000484,0.000488,0.0004699,0.0004784,20536.05
34,1517598000000,0.0004784,0.0004925,0.0004652,0.0004815,16257.82
35,1517601600000,0.0004815,0.0004914,0.00047,0.0004832,18959.0
36,1517605200000,0.0004832,0.0004907,0.0004805,0.0004855,13419.66
