,ts,open,high,low,close,volume
0,1517475600000,0.0055,0.110022,0.003225,0.00442,334904.26637286
1,1517479200000,0.00442,0.0048,0.00419,0.004579,155750.99671866
2,1517482800000,0.0046,0.00469,0.004231,0.004335,44761.32545001
3,1517486400000,0.00430001,0.00449,0.00400639,0.00449,40749.74430212
4,1517490000000,0.00449,0.0045,0.00400001,0.004222,44017.86379609
5,1517493600000,0.00418702,0.004516,0.00418,0.004456,49272.57957847
6,1517497200000,0.00448,0.004649,0.004449,0.00457,34508.12
7,1517500800000,0.004571,0.004599,0.004291,0.004446,34413.16
8,1517504400000,0.004447,0.004532,0.004265,0.004493,25759.47
9,1517508000000,0.004465,0.004572,1.5e-05,0.004511,133369.05
10,1517511600000,0.004503,0.004578,0.0042,0.004438,30327.03
11,1517515200000,0.00446,0.0045,0.004202,0.004478,29875.04
12,1517518800000,0.004489,0.004854,0.004489,0.004812,29564.52938071
13,1517522400000,0.00475,0.004807,0.004701,0.004737,11028.48
14,1517526000000,0.004737,0.004851,0.00465,0.004764,13819.96
15,1517529600000,0.004694,0.004763,0.00445,0.004571,12043.49
16,1517533200000,0.004612,0.00462,0.004404,0.004548,12703.1
17,1517536800000,0.004546,0.004622,0.004523,0.004575,8378.19
18,1517540400000,0.004573,0.004622,0.00446,0.004518,7332.61
19,1517544000000,0.004519,0.004568,0.0044,0.00445,4709.4
20,1517547600000,0.00445,0.004549,0.004395,0.004465,9840.0
21,1517551200000,0.004465,0.004484,0.00424,0.00431,11439.04
22,1517554800000,0.004307,0.0048,0.00424,0.0048,41097.25
23,1517558400000,0.004426,0.00459,0.004201,0.004268,19140.01
24,1517562000000,0.004269,0.00444,0.004102,0.00428,12330.18
25,1517565600000,0.004323,0.004332,0.0042,0.004229,6617.59
26,1517569200000,0.00424,0.004411,0.00424,0.004287,8112.94
27,1517572800000,0.004317,0.004408,0.004235,0.004408,9062.77
28,1517576400000,0.004355,0.00455,0.004131,0.004299,16860.71
29,1517580000000,0.004367,0.00458,0.004283,0.004447,20711.31
30,1517583600000,0.004447,0.0046,0.004403,0.00452,12395.15
