,ts,open,high,low,close,volume
0,1509699600000,4.884e-05,0.000109,4.884e-05,6.601e-05,15584.0
1,1509703200000,6.601e-05,6.959e-05,6.225e-05,6.573e-05,484628.0
2,1509706800000,6.572e-05,7e-05,6.394e-05,6.973e-05,470198.0
3,1509710400000,7.048e-05,7.248e-05,6.81e-05,6.916e-05,312961.0
4,1509714000000,6.946e-05,7.094e-05,6.696e-05,6.697e-05,295339.0
5,1509717600000,6.697e-05,6.89e-05,6.613e-05,6.714e-05,209799.0
6,1509721200000,6.714e-05,6.89e-05,6.631e-05,6.848e-05,139872.0
7,1509724800000,6.889e-05,6.889e-05,6.622e-05,6.767e-05,190405.0
8,1509728400000,6.767e-05,6.869e-05,6.6e-05,6.719e-05,135783.0
9,1509732000000,6.719e-05,6.898e-05,6.715e-05,6.879e-05,329345.0
10,1509735600000,6.879e-05,6.998e-05,6.79e-05,6.997e-05,136420.0
11,1509739200000,6.995e-05,7.358e-05,6.995e-05,7.335e-05,284794.0
12,1509742800000,7.335e-05,7.485e-05,7.104e-05,7.223e-05,104870.0
13,1509746400000,7.332e-05,7.45e-05,7.222e-05,7.251e-05,97761.0
14,1509750000000,7.252e-05,7.309e-05,7.221e-05,7.298e-05,459555.0
15,1509753600000,7.309e-05,7.504e-05,7.228e-05,7.409e-05,198510.0
16,1509757200000,7.409e-05,7.508e-05,7.222e-05,7.435e-05,238778.0
17,1509760800000,7.323e-05,7.442e-05,6.871e-05,7e-05,416215.0
18,1509764400000,7.001e-05,7.267e-05,7e-05,7.003e-05,140523.0
19,1509768000000,7.002e-05,7.195e-05,6.902e-05,6.954e-05,179444.0
20,1509771600000,6.954e-05,7.245e-05,6.916e-05,6.922e-05,318791.0
21,1509775200000,6.917e-05,7.144e-05,6.917e-05,7.107e-05,189192.0
22,1509778800000,7.107e-05,7.2e-05,6.987e-05,7.118e-05,251768.0
23,1509782400000,6.99e-05,7.156e-05,6.869e-05,7.027e-05,88267.0
24,1509786000000,6.869e-05,7.038e-05,6.717e-05,6.896e-05,116289.0
25,1509789600000,6.927e-05,6.949e-05,6.798e-05,6.914e-05,376612.0
26,1509793200000,6.914e-05,6.918e-05,6.768e-05,6.887e-05,210645.0
27,1509796800000,6.886e-05,7.045e-05,6.885e-05,6.924e-05,260193.0
28,1509800400000,6.923e-05,7e-05,6.88e-05,6.881e-05,538046.0
29,1509804000000,6.881e-05,7.053e-05,6.881e-05,7.035e-05,349297.0
30,1509807600000,6.901e-05,7.019e-05,6.63e-05,6.709e-05,96822.0
31,1509811200000,6.716e-05,6.999e-05,6.641e-05,6.641e-05,260307.0
32,1509814800000,6.651e-05,6.806e-05,6.602e-05,6.806e-05,54391.0
33,1509818400000,6.806e-05,6.806e-05,6.65e-05,6.65e-05,162137.0
34,1509822000000,6.652e-05,6.786e-05,6.652e-05,6.721e-05,202435.0
35,1509825600000,6.721e-05,6.721e-05,6.51e-05,6.511e-05,418581.0
36,1509829200000,6.521e-05,6.528e-05,6.509e-05,6.51e-05,385002.0
37,1509832800000,6.51e-05,6.548e-05,6.509e-05,6.532e-05,378428.0
38,1509836400000,6.532e-05,6.577e-05,6.531e-05,6.576e-05,440305.0
39,1509840000000,6.589e-05,6.604e-05,6.565e-05,6.565e-05,615741.0
40,1509843600000,6.566e-05,6.629e-05,6.509e-05,6.51e-05,298308.0
41,1509847200000,6.511e-05,6.647e-05,6.459e-05,6.63e-05,54034.0
42,1509850800000,6.557e-05,6.696e-05,6.554e-05,6.618e-05,58959.0
43,1509854400000,6.644e-05,6.965e-05,6.6e-05,6.929e-05,138086.0
44,1509858000000,6.919e-05,6.929e-05,6.707e-05,6.799e-05,113290.0
45,1509861600000,6.798e-05,6.818e-05,6.703e-05,6.789e-05,87546.0
46,1509865200000,6.72e-05,6.768e-05,6.548e-05,6.691e-05,125557.0
47,1509868800000,6.584e-05,6.788e-05,6.583e-05,6.725e-05,71259.0
48,1509872400000,6.617e-05,6.759e-05,6.516e-05,6.759e-05,55002.0
49,1509876000000,6.729e-05,6.788e-05,6.562e-05,6.637e-05,147809.0
50,1509879600000,6.625e-05,6.687e-05,6.318e-05,6.539e-05,28434.0
51,1509883200000,6.448e-05,6.549e-05,6.303e-05,6.549e-05,28323.0
52,1509886800000,6.563e-05,6.727e-05,6.433e-05,6.607e-05,86223.0
53,1509890400000,6.678e-05,6.709e-05,6.471e-05,6.606e-05,92975.0
54,1509894000000,6.587e-05,6.669e-05,6.449e-05,6.568e-05,84270.0
55,1509897600000,6.658e-05,6.723e-05,6.456e-05,6.619e-05,342307.0
56,1509901200000,6.672e-05,6.859e-05,6.562e-05,6.859e-05,97198.0
57,1509904800000,6.749e-05,6.999e-05,6.715e-05,6.997e-05,155602.0
58,1509908400000,6.991e-05,6.999e-05,6.826e-05,6.85e-05,105351.0
59,1509912000000,6.852e-05,6.932e-05,6.808e-05,6.916e-05,278493.0
60,1509915600000,6.899e-05,6.919e-05,6.639e-05,6.814e-05,205232.0
61,1509919200000,6.83e-05,6.84e-05,6.686e-05,6.817e-05,96895.0
62,1509922800000,6.817e-05,6.82e-05,6.799e-05,6.803e-05,498895.0
63,1509926400000,6.804e-05,6.819e-05,6.802e-05,6.803e-05,236233.0
64,1509930000000,6.803e-05,6.818e-05,6.516e-05,6.584e-05,111291.0
65,1509933600000,6.517e-05,6.774e-05,6.505e-05,6.658e-05,141666.0
66,1509937200000,6.673e-05,6.773e-05,6.632e-05,6.633e-05,8953.0
67,1509940800000,6.632e-05,6.696e-05,6.632e-05,6.693e-05,36616.0
68,1509944400000,6.693e-05,6.708e-05,6.62e-05,6.701e-05,141476.0
69,1509948000000,6.701e-05,6.706e-05,6.619e-05,6.619e-05,128598.0
70,1509951600000,6.62e-05,6.688e-05,6.54e-05,6.569e-05,128193.0
71,1509955200000,6.683e-05,6.698e-05,6.54e-05,6.542e-05,144851.0
72,1509958800000,6.541e-05,6.648e-05,6.45e-05,6.451e-05,80360.0
73,1509962400000,6.452e-05,6.759e-05,6.451e-05,6.759e-05,174036.0
74,1509966000000,6.73e-05,6.773e-05,6.624e-05,6.706e-05,76276.0
75,1509969600000,6.706e-05,6.742e-05,6.548e-05,6.736e-05,216880.0
76,1509973200000,6.735e-05,6.74e-05,6.543e-05,6.705e-05,115585.0
77,1509976800000,6.705e-05,6.706e-05,6.592e-05,6.699e-05,486119.0
78,1509980400000,6.698e-05,6.707e-05,6.45e-05,6.681e-05,80233.0
79,1509984000000,6.679e-05,6.687e-05,6.515e-05,6.651e-05,44000.0
80,1509987600000,6.651e-05,6.972e-05,6.615e-05,6.658e-05,156417.0
81,1509991200000,6.798e-05,6.814e-05,6.653e-05,6.773e-05,543661.0
82,1509994800000,6.772e-05,6.81e-05,6.675e-05,6.808e-05,229584.0
83,1509998400000,6.754e-05,6.961e-05,6.754e-05,6.815e-05,139582.0
84,1510002000000,6.817e-05,7e-05,6.811e-05,6.999e-05,118192.0
85,1510005600000,6.998e-05,7.299e-05,6.921e-05,7.294e-05,103594.0
86,1510009200000,7.055e-05,7.294e-05,6.925e-05,6.939e-05,17496.0
87,1510012800000,6.952e-05,7.069e-05,6.922e-05,6.923e-05,338396.0
88,1510016400000,6.923e-05,7.016e-05,6.921e-05,7.016e-05,428875.0
89,1510020000000,6.93e-05,6.931e-05,6.778e-05,6.778e-05,265489.0
90,1510023600000,6.779e-05,6.911e-05,6.661e-05,6.826e-05,151061.0
91,1510027200000,6.907e-05,6.911e-05,6.719e-05,6.806e-05,185401.0
92,1510030800000,6.805e-05,6.88e-05,6.721e-05,6.879e-05,243556.0
93,1510034400000,6.88e-05,6.947e-05,6.873e-05,6.905e-05,81003.0
94,1510038000000,6.905e-05,7.203e-05,6.905e-05,7.203e-05,186262.0
95,1510041600000,7.221e-05,7.399e-05,6.905e-05,6.906e-05,72349.0
96,1510045200000,6.926e-05,7.097e-05,6.924e-05,7.006e-05,32110.0
97,1510048800000,7.002e-05,7.139e-05,6.924e-05,7.101e-05,198187.0
98,1510052400000,7.101e-05,7.219e-05,6.996e-05,7.198e-05,38064.0
99,1510056000000,7.193e-05,7.193e-05,6.99e-05,7.132e-05,30703.0
100,1510059600000,7.162e-05,7.228e-05,7.129e-05,7.185e-05,352254.0
101,1510063200000,7.198e-05,7.5e-05,7.052e-05,7.389e-05,222987.0
102,1510066800000,7.407e-05,7.735e-05,7.108e-05,7.515e-05,91664.0
103,1510070400000,7.593e-05,7.9e-05,7.515e-05,7.858e-05,98484.0
104,1510074000000,7.828e-05,7.98e-05,7.4e-05,7.4e-05,200181.0
105,1510077600000,7.612e-05,7.722e-05,7.401e-05,7.441e-05,327940.0
106,1510081200000,7.401e-05,7.689e-05,7.397e-05,7.519e-05,158192.0
107,1510084800000,7.52e-05,7.603e-05,7.31e-05,7.404e-05,138631.0
108,1510088400000,7.485e-05,7.663e-05,7.325e-05,7.325e-05,348138.0
109,1510092000000,7.409e-05,7.439e-05,7.254e-05,7.261e-05,41316.0
110,1510095600000,7.293e-05,7.293e-05,7.072e-05,7.137e-05,301495.0
111,1510099200000,7.136e-05,7.447e-05,6.902e-05,7.447e-05,240311.0
112,1510102800000,7.447e-05,7.664e-05,7.148e-05,7.152e-05,74512.0
113,1510106400000,7.151e-05,7.359e-05,7.148e-05,7.35e-05,104537.0
114,1510110000000,7.349e-05,7.36e-05,7.293e-05,7.353e-05,322508.0
115,1510113600000,7.351e-05,7.525e-05,7.265e-05,7.524e-05,359914.0
116,1510117200000,7.523e-05,7.629e-05,7.254e-05,7.257e-05,187352.0
117,1510120800000,7.263e-05,7.367e-05,7.252e-05,7.367e-05,420539.0
118,1510124400000,7.416e-05,7.542e-05,7.263e-05,7.542e-05,178598.0
119,1510128000000,7.541e-05,7.675e-05,7.501e-05,7.652e-05,177264.0
120,1510131600000,7.501e-05,7.655e-05,7.501e-05,7.516e-05,81107.0
121,1510135200000,7.552e-05,7.649e-05,7.409e-05,7.409e-05,316365.0
122,1510138800000,7.409e-05,7.623e-05,7.284e-05,7.352e-05,192914.0
123,1510142400000,7.357e-05,7.449e-05,7.257e-05,7.318e-05,71511.0
