,ts,open,high,low,close,volume
0,1520834400000,0.005,0.007,0.00301,0.00475,2453880.55
1,1520838000000,0.00414,0.00423,0.00351,0.00376,2237228.51
2,1520841600000,0.00376,0.0039,0.00358,0.00373,772956.06
3,1520845200000,0.00373,0.00388,0.00358,0.00361,1394965.25
4,1520848800000,0.00362,0.00369,0.0036,0.00367,664349.03
5,1520852400000,0.00366,0.00387,0.0036,0.00366,1087712.35
6,1520856000000,0.00366,0.00371,0.00358,0.00365,687881.0
7,1520859600000,0.00364,0.00365,0.00349,0.00364,1090403.29
8,1520863200000,0.00364,0.00364,0.00335,0.00345,1053913.0
9,1520866800000,0.00351,0.00355,0.00336,0.00348,928309.7
10,1520870400000,0.00347,0.00349,0.00325,0.00327,1362439.56
11,1520874000000,0.00327,0.00327,0.003,0.00319,2197908.67
12,1520877600000,0.00322,0.0033,0.00314,0.00324,1296283.61
13,1520881200000,0.00323,0.00327,0.0032,0.00322,329667.75
14,1520884800000,0.00326,0.0036,0.00326,0.00354,4089202.93
15,1520888400000,0.00354,0.00368,0.00341,0.00343,4114857.9
16,1520892000000,0.00343,0.00363,0.00343,0.00352,1357863.11
17,1520895600000,0.0035,0.00358,0.00337,0.00346,743482.54
18,1520899200000,0.00348,0.00348,0.0033,0.00344,852025.76
19,1520902800000,0.00344,0.00344,0.00331,0.00334,348035.95
20,1520906400000,0.00334,0.00336,0.00321,0.00326,617580.86
21,1520910000000,0.00325,0.00325,0.00316,0.00321,542129.14
22,1520913600000,0.00324,0.00333,0.00318,0.00325,236924.75
23,1520917200000,0.00325,0.00337,0.00317,0.00331,952771.64
24,1520920800000,0.00331,0.00335,0.00319,0.00324,679126.23
25,1520924400000,0.00324,0.00329,0.0032,0.0032,882780.25
26,1520928000000,0.00325,0.00335,0.00312,0.00326,1581721.65
27,1520931600000,0.00325,0.00333,0.00321,0.00326,488258.41
28,1520935200000,0.00328,0.00347,0.00324,0.00345,708015.13
29,1520938800000,0.00345,0.00345,0.00332,0.00333,477661.06
30,1520942400000,0.00333,0.00338,0.00324,0.00329,586318.17
31,1520946000000,0.00329,0.0034,0.00236,0.0024,3310978.76
32,1520949600000,0.0024,0.00268,0.00226,0.00231,2198584.74
33,1520953200000,0.00231,0.00262,0.00229,0.0025,1974508.08
34,1520956800000,0.00254,0.00268,0.00241,0.0026,1178536.72
35,1520960400000,0.0026,0.0027,0.00242,0.00249,1179195.93
36,1520964000000,0.00249,0.00258,0.00243,0.00258,485811.15
